from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
17-Mar-2020 - 00:00,23.75,994.86,135.92,57.92,65.34,246.66,76.88,1.66,1.45,11.67,44.9,15.64,30.03,32.48,0.78,70.78,11.08,18-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Mar-2020 - 00:00,24.68,993.09,134.71,58.46,62.46,243.0,79.46,1.79,1.72,15.6,43.46,10.35,26.26,33.49,0.91,70.94,11.3,19-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Mar-2020 - 00:00,24.93,989.73,200.05,96.65,66.79,242.56,142.95,1.35,2.25,17.72,56.06,49.61,59.91,36.57,1.25,71.69,14.48,20-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Mar-2020 - 00:00,25.83,988.42,205.06,91.46,60.81,236.31,152.65,1.22,4.5,16.34,49.59,27.47,46.39,45.11,1.16,71.66,16.71,21-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Mar-2020 - 00:00,25.67,988.82,185.1,86.96,61.89,237.83,137.16,1.37,3.6,17.0,53.37,27.16,44.66,42.34,1.11,68.78,15.76,22-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Mar-2020 - 00:00,25.84,990.87,130.35,80.35,58.24,244.28,99.9,1.63,2.41,12.08,47.61,3.32,15.64,24.29,0.83,87.97,15.71,23-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Mar-2020 - 00:00,26.06,990.46,97.67,55.96,57.52,245.44,167.52,1.24,1.39,9.99,43.83,4.08,15.98,23.78,0.75,78.06,14.56,24-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Mar-2020 - 00:00,25.72,989.04,102.53,56.67,61.4,200.56,227.52,1.53,2.41,9.84,42.56,4.94,18.28,26.79,0.84,39.18,14.36,25-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Mar-2020 - 00:00,26.03,989.31,66.49,36.73,64.66,240.92,163.41,1.43,1.37,9.64,43.52,5.49,16.1,21.85,0.74,,8.66,26-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Mar-2020 - 00:00,25.68,990.69,74.08,42.93,64.74,218.87,67.92,1.68,0.96,8.79,42.31,3.83,13.27,19.08,0.67,,9.9,27-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Mar-2020 - 00:00,24.28,992.32,37.17,19.13,69.83,181.32,161.75,1.7,0.91,8.18,33.48,4.35,12.64,17.08,0.58,,7.97,28-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Mar-2020 - 00:00,24.29,992.77,30.44,20.23,70.63,247.06,88.47,1.91,0.68,8.0,31.79,4.04,12.24,16.81,0.59,,7.72,29-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
