from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
16-Jan-2020 - 00:00,41.24,65.92,216.37,1.69,54.37,16.59,23.85,9.91,33.76,11.87,0.27,10.89,17-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Jan-2020 - 00:00,85.72,137.53,189.57,1.41,51.36,17.6,33.57,15.86,49.43,14.36,0.61,8.96,18-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Jan-2020 - 00:00,86.72,144.34,185.84,0.98,55.15,18.77,30.81,23.1,53.92,16.5,0.64,8.06,19-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Jan-2020 - 00:00,51.89,104.24,192.1,1.09,55.65,19.42,24.35,27.51,51.7,17.01,0.62,7.14,20-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Jan-2020 - 00:00,51.14,103.45,198.67,0.97,58.14,19.11,29.61,23.78,53.38,16.53,0.71,8.1,21-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Jan-2020 - 00:00,37.21,84.82,205.23,0.79,50.29,18.13,25.53,13.72,39.26,15.4,0.42,8.98,22-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Jan-2020 - 00:00,36.0,82.77,188.99,1.12,47.68,18.09,34.38,12.52,46.9,13.03,0.37,7.13,23-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Jan-2020 - 00:00,60.7,114.02,169.48,0.53,45.47,19.47,45.21,22.19,67.41,13.4,0.72,6.49,24-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Jan-2020 - 00:00,54.57,114.91,165.25,0.59,40.64,20.32,45.75,22.52,68.27,13.83,0.91,7.71,25-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Jan-2020 - 00:00,58.44,117.55,164.47,0.39,40.85,20.47,43.39,22.39,65.77,15.82,0.92,10.9,26-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Jan-2020 - 00:00,67.16,133.02,166.29,0.38,43.56,21.0,46.71,28.38,75.09,16.21,0.97,10.59,27-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Jan-2020 - 00:00,55.55,100.97,202.83,1.04,47.49,20.81,30.31,14.02,44.33,15.71,0.55,13.18,28-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Jan-2020 - 00:00,45.0,105.86,252.72,1.34,39.51,18.56,21.67,4.43,26.11,17.12,0.25,19.42,29-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Jan-2020 - 00:00,41.12,88.65,173.3,0.88,44.55,18.44,27.18,14.63,41.81,14.79,0.31,11.65,30-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Jan-2020 - 00:00,54.61,119.91,149.05,0.78,41.17,19.96,35.08,17.18,52.26,13.37,0.54,13.93,31-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Jan-2020 - 00:00,67.21,131.89,191.28,0.94,49.41,20.88,32.3,18.63,50.94,14.08,0.51,16.73,01-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Feb-2020 - 00:00,55.54,99.9,208.58,1.48,56.34,20.18,29.7,16.39,46.1,16.21,0.46,12.13,02-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Feb-2020 - 00:00,52.64,93.43,179.3,1.88,56.82,21.83,25.76,12.81,38.57,16.48,0.38,13.57,03-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Feb-2020 - 00:00,39.92,63.08,228.23,1.57,46.78,19.77,21.4,12.54,33.94,14.33,0.19,13.5,04-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Feb-2020 - 00:00,33.83,71.95,239.22,1.7,46.81,19.39,28.77,18.54,47.3,12.46,0.43,10.68,05-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Feb-2020 - 00:00,43.74,89.83,209.37,1.28,44.87,20.4,34.32,15.13,49.45,12.38,0.46,10.23,06-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Feb-2020 - 00:00,51.83,103.29,241.27,1.27,42.93,19.88,32.68,18.93,51.61,12.4,0.43,16.36,07-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Feb-2020 - 00:00,47.89,100.78,264.07,1.63,43.3,18.98,21.45,7.07,28.52,11.37,0.33,17.98,08-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Feb-2020 - 00:00,56.14,117.22,223.1,1.2,45.4,19.6,28.63,8.09,36.71,11.47,0.3,15.14,09-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Feb-2020 - 00:00,60.59,83.51,159.93,1.89,67.59,19.48,24.29,15.71,40.0,14.04,0.22,10.78,10-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Feb-2020 - 00:00,43.64,99.77,179.6,1.66,60.62,17.44,33.97,15.76,49.73,13.86,0.44,8.64,11-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Feb-2020 - 00:00,37.42,77.0,182.81,1.96,57.69,13.64,33.0,12.6,45.61,12.82,0.56,15.36,12-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Feb-2020 - 00:00,51.64,95.3,172.84,1.25,53.8,15.98,41.17,16.96,58.13,10.79,0.71,24.5,13-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Feb-2020 - 00:00,59.22,100.7,158.09,1.31,46.32,18.34,36.98,13.1,50.08,10.11,0.57,29.48,14-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Feb-2020 - 00:00,75.96,150.4,142.65,0.96,33.8,15.69,51.6,16.56,68.16,9.64,0.93,28.6,15-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Feb-2020 - 00:00,59.53,119.5,148.42,1.15,28.9,19.38,55.07,33.61,72.04,7.97,1.05,28.66,16-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Feb-2020 - 00:00,61.06,119.37,176.91,1.2,35.76,23.08,50.44,14.48,64.91,9.28,0.79,27.48,17-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Feb-2020 - 00:00,59.08,116.27,163.9,1.25,34.58,23.42,45.76,8.39,54.15,8.92,0.65,24.55,18-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Feb-2020 - 00:00,56.62,125.23,160.31,1.1,29.77,24.63,49.44,19.48,68.92,8.61,0.83,19.33,19-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Feb-2020 - 00:00,53.15,110.24,177.54,1.26,32.7,25.59,46.79,12.14,58.93,9.57,0.71,17.15,20-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Feb-2020 - 00:00,43.92,86.47,213.49,1.67,44.91,24.33,28.23,7.95,36.17,10.52,0.28,15.44,21-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Feb-2020 - 00:00,40.77,77.77,191.79,1.63,38.96,24.14,33.84,8.53,42.37,9.77,0.36,8.96,22-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Feb-2020 - 00:00,33.62,82.12,190.81,1.38,31.78,24.37,35.76,17.02,52.78,8.42,0.53,5.44,23-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Feb-2020 - 00:00,29.87,63.22,203.05,1.67,37.07,24.63,23.6,10.48,34.08,9.38,0.31,2.82,24-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Feb-2020 - 00:00,35.42,64.94,233.04,1.75,41.9,23.94,21.12,6.28,27.4,10.85,0.28,1.27,25-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Feb-2020 - 00:00,47.35,111.24,150.37,1.54,32.59,24.4,38.61,11.46,50.07,9.55,0.68,0.62,26-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Feb-2020 - 00:00,69.49,138.84,142.49,1.6,28.61,26.18,39.05,11.19,50.25,11.65,0.99,1.75,27-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Feb-2020 - 00:00,55.99,105.54,150.62,1.3,37.9,26.89,26.11,13.45,39.57,12.7,0.75,2.0,28-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Mar-2020 - 00:00,,,,,,,,,,,,,05-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,06-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Mar-2020 - 00:00,,,,,,,,,,,,,07-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,08-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Mar-2020 - 00:00,,,,,,,,,,,,,12-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Mar-2020 - 00:00,,,,,,,,,,,,,13-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Mar-2020 - 00:00,,,,,,,,,,,,,14-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,15-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,17-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Mar-2020 - 00:00,,,,,,,,,,,,,18-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Mar-2020 - 00:00,,,,,,,,,,,,,19-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Mar-2020 - 00:00,,,,,,,,,,,,,20-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Mar-2020 - 00:00,,,,,,,,,,,,,21-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Mar-2020 - 00:00,,,,,,,,,,,,,22-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Apr-2020 - 00:00,48.09,79.0,190.21,2.2,36.31,35.93,27.68,25.77,53.44,24.76,0.62,2.08,05-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Apr-2020 - 00:00,249.54,453.18,213.56,2.35,47.49,6.54,18.44,52.88,71.3,14.69,0.06,1.64,10-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Apr-2020 - 00:00,26.72,683.92,210.9,1.71,36.94,9.3,15.59,54.4,69.89,29.43,0.18,1.4,11-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Apr-2020 - 00:00,25.6,871.14,181.8,1.42,31.12,11.32,9.85,35.49,45.34,25.98,0.07,1.47,12-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Apr-2020 - 00:00,36.86,53.92,191.33,1.38,29.1,12.75,8.7,13.68,20.45,21.55,0.08,1.42,13-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Apr-2020 - 00:00,41.67,64.71,223.13,1.5,26.08,13.12,4.54,8.6,12.04,20.1,0.19,1.48,14-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Apr-2020 - 00:00,40.8,66.16,206.91,1.47,23.58,12.67,4.15,6.24,11.13,19.01,0.03,1.43,15-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Apr-2020 - 00:00,44.21,72.69,223.95,1.37,22.39,12.11,4.64,7.92,10.07,19.41,0.04,1.45,16-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Apr-2020 - 00:00,44.86,73.48,224.86,1.78,24.47,12.84,4.12,12.95,16.84,21.39,0.05,1.49,17-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Apr-2020 - 00:00,33.19,49.55,195.84,1.79,40.63,13.04,3.31,21.51,24.05,24.98,,1.47,18-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Apr-2020 - 00:00,42.58,55.28,203.99,1.52,43.58,13.64,8.41,28.69,36.63,24.88,0.21,1.42,19-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Apr-2020 - 00:00,39.47,,179.83,1.63,41.79,,12.6,17.41,24.33,23.66,,,20-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Apr-2020 - 00:00,42.0,,179.97,1.88,39.92,,3.46,21.03,23.88,24.47,,,21-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Apr-2020 - 00:00,27.41,,206.02,1.6,36.8,,3.49,19.0,20.22,22.71,,,22-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Apr-2020 - 00:00,32.04,,189.05,1.37,25.98,,2.82,14.76,16.07,20.51,,,23-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Apr-2020 - 00:00,34.4,,174.48,1.4,24.16,,2.4,15.61,16.59,20.86,,,24-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Apr-2020 - 00:00,35.39,,160.5,1.72,21.96,,4.96,13.35,15.52,19.77,,,25-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Apr-2020 - 00:00,26.87,,172.49,2.02,25.17,,0.92,12.32,9.94,19.28,,,26-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Apr-2020 - 00:00,24.25,,165.23,1.65,20.09,,5.44,10.67,9.59,18.21,,,27-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Apr-2020 - 00:00,26.88,,154.23,1.66,23.53,,4.72,11.53,12.77,19.29,,,28-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Apr-2020 - 00:00,28.65,,192.52,1.98,35.57,,2.88,14.09,14.75,22.3,,,29-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Apr-2020 - 00:00,21.32,,230.52,1.7,40.71,,2.74,7.55,7.39,22.31,,,30-Apr-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Apr-2020 - 00:00,26.58,,226.57,1.79,36.79,,3.7,5.14,6.19,20.98,,,01-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
01-May-2020 - 00:00,34.0,,303.0,1.9,45.44,,,10.23,9.8,21.61,,,02-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-May-2020 - 00:00,31.85,,230.82,1.8,40.43,,3.22,9.59,8.86,22.55,,,03-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-May-2020 - 00:00,33.3,,176.68,1.33,31.92,,9.74,9.66,15.06,20.99,,,04-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-May-2020 - 00:00,31.43,,200.86,1.44,25.3,,6.35,10.48,15.97,20.37,,,05-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-May-2020 - 00:00,31.69,,155.9,1.54,21.6,,13.38,10.25,21.09,19.71,,,06-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-May-2020 - 00:00,31.19,,218.06,1.94,34.51,,4.72,8.32,9.35,22.08,,,07-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-May-2020 - 00:00,27.68,,195.43,2.15,37.38,,6.31,6.85,9.44,21.67,,,08-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-May-2020 - 00:00,25.29,,217.43,2.06,53.45,,10.19,12.58,16.49,21.88,,,09-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-May-2020 - 00:00,28.13,,189.94,1.17,49.53,,10.17,16.67,24.9,31.35,,,10-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-May-2020 - 00:00,24.25,,188.74,1.98,43.4,,5.09,5.5,8.99,28.48,,,11-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-May-2020 - 00:00,24.23,,167.02,2.03,46.68,,6.71,3.5,8.84,24.84,,,12-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-May-2020 - 00:00,27.11,,212.46,1.29,45.13,,5.03,5.29,9.49,23.25,,,13-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-May-2020 - 00:00,26.58,,204.46,1.65,42.95,,6.1,3.49,7.49,22.25,,,14-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-May-2020 - 00:00,24.79,,161.02,1.68,42.3,,4.9,4.83,7.97,20.91,,,15-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-May-2020 - 00:00,21.91,,156.19,2.0,51.13,,4.57,7.55,9.12,20.7,,,16-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-May-2020 - 00:00,21.0,,145.4,1.75,50.43,,6.44,8.17,11.87,20.93,,,17-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-May-2020 - 00:00,35.8,,148.24,1.16,42.59,,11.58,13.95,25.77,20.45,,,18-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-May-2020 - 00:00,28.3,,137.52,2.14,36.98,,8.3,5.85,6.72,17.85,,,19-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-May-2020 - 00:00,29.32,,130.66,2.58,29.0,,11.08,4.39,8.95,17.44,,,20-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-May-2020 - 00:00,25.97,,171.51,2.3,32.93,,12.05,2.8,7.35,16.8,,,21-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-May-2020 - 00:00,24.5,,156.99,2.02,28.38,,22.42,6.95,17.22,15.95,,,22-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-May-2020 - 00:00,29.71,,171.5,1.81,29.47,,23.96,8.66,20.04,18.27,,,23-May-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
