from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
07-Apr-2020 - 00:00,,1.6,,16.92,145.74,91.28,16.0,57.99,0.42,0.28,0.0,28.02,79.2,0.3,341.5,57.82,749.62,-1.68,08-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Apr-2020 - 00:00,,1.72,,18.17,144.74,91.76,16.43,67.57,0.62,0.69,0.0,28.26,79.83,0.3,264.57,50.0,750.84,-1.66,09-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Apr-2020 - 00:00,,1.62,,15.27,148.41,91.36,19.25,69.05,0.41,0.37,0.0,28.09,79.3,0.3,249.29,53.24,752.0,-1.66,10-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Apr-2020 - 00:00,,1.74,,23.4,141.87,94.48,16.57,85.06,0.97,1.35,0.0,28.61,80.86,0.3,225.05,62.28,751.82,-1.42,11-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
