from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
09-Mar-2020 - 00:00,36.3,33.42,2.87,39.91,86.33,44.71,10-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Mar-2020 - 00:00,22.37,20.01,2.36,31.57,95.95,76.75,11-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Mar-2020 - 00:00,21.02,18.85,2.16,41.4,98.16,145.58,12-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Mar-2020 - 00:00,18.36,16.29,2.07,23.87,77.29,,13-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Mar-2020 - 00:00,30.76,27.85,2.9,38.63,114.83,,14-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Mar-2020 - 00:00,23.64,21.38,2.25,28.44,97.78,166.48,15-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Mar-2020 - 00:00,39.35,36.14,3.21,22.58,99.19,103.03,16-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Mar-2020 - 00:00,36.19,33.14,3.05,38.08,98.51,63.79,17-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Mar-2020 - 00:00,35.75,33.05,2.69,34.85,98.97,51.19,18-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Mar-2020 - 00:00,31.95,29.19,2.76,44.07,107.58,52.59,19-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Mar-2020 - 00:00,38.88,32.84,6.04,41.99,115.49,59.51,20-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Mar-2020 - 00:00,26.36,22.99,3.37,50.71,116.32,105.65,21-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Mar-2020 - 00:00,18.7,15.93,2.78,35.65,84.77,107.17,22-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Mar-2020 - 00:00,19.72,16.53,3.2,51.9,103.33,144.53,23-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Mar-2020 - 00:00,15.74,13.31,2.49,53.84,102.33,86.62,24-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Mar-2020 - 00:00,18.36,16.13,2.23,45.74,96.14,5.89,25-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Mar-2020 - 00:00,14.9,12.75,2.14,35.61,78.78,3.61,26-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Mar-2020 - 00:00,11.02,8.68,2.33,32.13,53.5,0.79,27-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Mar-2020 - 00:00,12.28,9.65,2.63,31.73,49.12,0.95,28-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Mar-2020 - 00:00,14.51,11.79,2.72,35.62,50.44,0.86,29-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Mar-2020 - 00:00,12.67,10.15,2.51,35.65,54.29,1.14,30-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Mar-2020 - 00:00,11.12,8.79,2.33,37.39,60.6,0.68,31-Mar-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Mar-2020 - 00:00,17.87,14.92,2.95,36.33,69.05,1.89,01-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Apr-2020 - 00:00,23.04,16.03,7.01,37.43,75.07,6.39,02-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Apr-2020 - 00:00,21.77,13.01,8.76,32.71,68.84,2.73,03-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Apr-2020 - 00:00,12.64,8.37,4.27,31.76,69.84,0.18,04-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Apr-2020 - 00:00,12.28,10.05,2.23,34.04,79.8,1.9,05-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Apr-2020 - 00:00,15.18,13.04,2.14,38.35,78.42,,06-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Apr-2020 - 00:00,15.44,13.31,2.13,45.52,86.27,0.49,07-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Apr-2020 - 00:00,14.16,11.91,2.25,55.3,92.87,1.17,08-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Apr-2020 - 00:00,11.09,9.02,2.07,50.65,84.38,1.5,09-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
