from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,SR,WS,WD,to date,station
21-Apr-2020 - 00:00,47.86,64.96,7.58,5.1,8.95,8.23,5.11,1.07,10.99,0.01,0.02,0.01,0.01,0.0,28.25,37.64,478.1,20.03,245.13,22-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Apr-2020 - 00:00,46.92,71.07,8.68,5.16,9.59,9.6,5.6,1.13,12.97,0.02,0.02,0.03,0.01,0.01,30.05,28.6,490.8,19.66,255.05,23-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Apr-2020 - 00:00,58.41,91.13,7.04,5.17,8.75,8.41,10.6,1.29,12.42,0.04,0.03,0.03,0.02,0.01,29.26,35.1,439.86,8.65,147.67,24-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Apr-2020 - 00:00,36.12,47.19,33.24,5.59,22.84,30.84,9.02,2.6,20.42,3.12,16.11,0.86,0.8,1.88,32.5,26.36,455.51,8.0,152.86,25-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Apr-2020 - 00:00,49.24,62.65,17.29,5.18,14.1,20.46,6.62,0.86,15.03,2.51,15.84,0.61,0.7,1.58,30.34,34.61,386.82,10.73,160.03,26-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Apr-2020 - 00:00,45.84,63.28,21.58,5.21,16.57,24.57,23.69,1.2,15.81,6.76,13.22,0.64,0.68,1.59,24.84,62.1,242.8,7.58,130.23,27-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Apr-2020 - 00:00,38.21,54.44,14.96,5.15,12.86,20.88,6.12,0.82,16.88,2.99,11.03,0.3,0.4,0.94,24.87,67.51,525.23,6.02,92.76,28-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Apr-2020 - 00:00,44.34,58.77,15.88,5.18,13.37,22.0,6.12,1.22,18.21,3.37,13.76,0.74,0.71,1.7,27.4,58.25,492.51,6.62,124.23,29-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Apr-2020 - 00:00,58.61,75.11,14.79,5.12,12.75,21.85,7.42,1.27,20.17,5.96,19.68,0.91,0.99,2.34,30.18,50.12,480.42,8.55,160.81,30-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Apr-2020 - 00:00,77.85,122.85,18.44,5.21,14.74,22.99,8.22,1.2,8.36,5.84,14.21,0.7,0.71,1.62,31.14,45.88,457.27,8.0,156.04,01-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-May-2020 - 00:00,86.78,152.35,28.45,5.12,22.9,25.22,9.58,1.34,3.27,5.73,13.74,1.88,1.71,2.32,30.39,53.0,519.59,5.71,111.06,02-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-May-2020 - 00:00,55.56,107.03,7.46,5.0,13.03,11.53,25.97,0.8,10.96,2.89,8.91,0.3,0.36,0.82,27.97,59.48,459.66,6.4,98.02,03-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-May-2020 - 00:00,45.63,88.25,4.91,5.19,10.46,7.27,3.08,1.13,9.68,3.42,8.88,0.47,0.5,1.14,27.58,62.29,231.23,8.97,142.34,04-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-May-2020 - 00:00,31.86,71.04,4.55,5.0,9.88,6.57,3.69,1.06,9.01,2.33,11.15,0.87,0.82,1.89,27.94,55.01,403.33,8.09,175.28,05-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-May-2020 - 00:00,42.07,80.86,5.31,4.99,10.7,8.06,4.88,1.15,9.06,3.94,16.76,1.45,1.27,2.85,31.46,40.36,481.7,13.82,219.28,06-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-May-2020 - 00:00,44.19,76.1,4.24,5.02,9.56,6.2,5.84,1.1,8.29,4.01,12.7,0.92,0.86,1.96,30.43,36.57,372.6,10.0,155.41,07-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-May-2020 - 00:00,37.95,77.43,4.05,5.05,9.38,5.76,3.63,1.0,7.9,3.03,11.24,0.82,1.02,1.73,30.06,36.98,508.83,7.28,129.05,08-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-May-2020 - 00:00,38.76,76.83,4.28,5.17,9.75,6.24,5.36,1.14,9.34,4.12,13.23,0.94,0.83,1.77,32.09,40.92,522.59,9.75,161.4,09-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-May-2020 - 00:00,38.48,90.61,4.63,5.03,9.99,6.93,5.44,1.26,11.41,5.69,10.96,0.82,0.79,1.67,32.91,43.08,473.53,6.54,131.91,10-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-May-2020 - 00:00,37.14,85.7,3.84,5.08,9.18,5.62,4.2,1.12,9.4,4.02,11.01,0.67,0.66,1.43,27.88,52.76,291.1,6.52,115.76,11-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-May-2020 - 00:00,34.47,81.04,3.89,5.05,9.21,5.4,3.72,1.17,9.24,4.18,9.65,0.56,0.64,1.47,28.48,55.52,410.85,5.79,102.78,12-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-May-2020 - 00:00,38.82,79.28,4.46,4.98,9.76,6.82,4.21,1.13,10.11,3.59,11.38,0.8,0.7,1.62,32.06,46.81,452.27,5.55,116.93,13-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-May-2020 - 00:00,40.85,85.36,4.21,5.06,9.57,6.15,5.83,1.29,10.81,4.61,13.38,1.67,1.26,2.57,32.06,46.81,262.58,11.75,190.99,14-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-May-2020 - 00:00,42.33,81.76,5.23,5.01,10.63,7.98,6.51,1.15,9.34,4.01,15.97,2.38,1.54,3.19,32.06,46.81,448.01,13.17,198.96,15-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-May-2020 - 00:00,37.42,103.72,5.37,5.14,10.84,8.35,10.04,1.59,7.4,2.55,13.53,1.8,1.44,2.97,33.51,34.62,497.97,26.05,309.99,16-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-May-2020 - 00:00,47.43,154.62,4.69,5.1,10.12,6.99,9.02,0.94,6.82,3.29,13.81,2.51,2.5,3.93,33.79,25.08,542.82,28.13,301.82,17-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-May-2020 - 00:00,61.97,146.78,4.87,5.12,10.35,7.45,10.85,1.32,7.15,4.81,19.17,5.16,3.21,6.4,33.99,24.17,421.68,19.12,249.62,18-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-May-2020 - 00:00,55.5,108.5,6.11,5.14,11.72,9.38,8.97,1.39,5.33,5.68,20.33,3.76,3.25,6.59,34.28,20.16,511.83,22.56,272.51,19-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-May-2020 - 00:00,60.4,114.34,5.96,5.16,11.58,9.06,13.47,1.5,6.54,8.25,32.31,9.4,4.36,8.23,34.58,17.68,489.22,15.23,231.41,20-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-May-2020 - 00:00,51.28,101.11,5.2,5.18,10.77,7.9,8.21,1.17,4.9,4.44,20.3,3.87,2.76,5.5,34.48,15.56,536.43,26.12,303.75,21-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-May-2020 - 00:00,44.38,102.04,4.82,4.92,10.1,6.88,13.65,1.25,4.18,4.56,19.08,4.2,2.96,5.94,35.19,16.54,535.88,26.67,282.88,22-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-May-2020 - 00:00,48.09,105.02,5.6,5.21,11.23,8.33,24.08,1.37,6.56,6.49,21.11,6.01,3.41,6.88,36.69,17.12,510.27,18.33,242.08,23-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-May-2020 - 00:00,83.01,125.44,23.55,5.18,27.67,27.88,30.69,1.9,5.5,11.29,59.63,9.35,4.83,9.02,33.11,23.9,440.04,18.55,240.35,24-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-May-2020 - 00:00,47.93,94.44,4.95,5.11,10.42,7.2,12.72,0.85,4.85,3.96,17.76,3.93,2.01,3.26,38.64,16.12,516.78,21.97,277.14,25-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-May-2020 - 00:00,43.03,85.61,4.02,5.14,9.43,6.09,12.37,1.18,4.48,4.9,21.14,5.25,3.22,6.76,37.84,18.47,535.4,24.23,271.05,26-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-May-2020 - 00:00,58.18,95.09,5.93,5.06,11.45,9.16,14.12,1.24,5.47,5.5,23.34,6.71,4.31,8.04,38.51,16.96,495.55,22.1,251.52,27-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-May-2020 - 00:00,55.8,107.79,5.37,5.0,10.77,7.98,8.16,1.12,9.4,3.85,15.76,2.45,1.66,3.54,37.85,21.67,474.84,12.34,164.42,28-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-May-2020 - 00:00,58.24,140.94,4.34,5.19,9.83,6.74,3.32,1.16,12.82,2.69,9.39,0.93,0.87,1.79,32.89,44.09,369.96,7.61,125.95,29-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-May-2020 - 00:00,35.6,63.79,4.0,5.18,9.47,6.04,21.55,1.14,20.76,2.01,8.23,0.87,0.75,1.54,28.06,62.7,301.6,8.17,130.64,30-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-May-2020 - 00:00,31.84,57.93,5.39,5.04,10.83,8.35,15.0,1.3,26.54,2.06,9.8,0.91,0.66,1.35,27.15,67.77,448.13,8.74,146.23,31-May-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-May-2020 - 00:00,36.1,55.78,3.84,5.06,9.15,5.64,2.59,0.67,25.81,1.49,10.32,0.87,0.56,1.22,26.6,67.67,407.34,10.45,177.33,01-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Jun-2020 - 00:00,37.42,70.45,3.92,5.11,9.29,5.79,3.2,1.35,29.46,3.67,18.11,2.65,1.73,3.58,27.79,67.43,480.09,7.66,140.73,02-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jun-2020 - 00:00,41.05,94.89,3.81,5.1,9.15,5.51,3.96,1.3,30.17,3.61,14.37,2.25,1.59,3.28,30.55,52.74,478.07,14.12,219.75,03-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jun-2020 - 00:00,50.31,95.65,5.14,5.04,10.55,7.96,5.32,1.43,25.31,4.01,19.5,4.36,2.86,6.03,30.71,50.32,410.0,11.26,194.54,04-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jun-2020 - 00:00,56.92,114.22,4.7,5.07,10.1,6.75,4.43,1.45,23.76,5.72,27.65,6.45,3.96,7.93,28.77,60.72,205.0,12.09,186.34,05-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jun-2020 - 00:00,45.06,79.3,4.42,5.05,9.78,6.63,3.57,1.49,27.5,4.32,17.6,3.1,2.23,4.63,28.42,64.46,323.41,9.2,166.82,06-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jun-2020 - 00:00,39.07,71.95,3.7,5.15,9.09,5.45,3.07,1.46,29.39,3.25,14.39,1.11,0.95,2.16,29.36,61.83,426.71,7.86,131.7,07-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jun-2020 - 00:00,50.21,109.46,3.31,5.13,8.65,4.92,5.02,1.68,33.55,4.34,13.83,1.47,1.3,2.76,29.84,60.22,323.3,11.29,180.18,08-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jun-2020 - 00:00,55.37,99.73,4.42,5.11,9.83,6.85,5.6,1.58,34.76,4.01,18.7,3.48,2.53,4.63,32.07,50.93,438.73,12.96,216.02,09-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jun-2020 - 00:00,55.4,133.47,4.06,5.1,9.44,5.99,5.83,2.13,36.28,5.49,25.34,5.75,3.6,6.58,34.76,44.51,366.95,14.57,222.19,10-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jun-2020 - 00:00,71.21,125.31,6.79,5.02,12.34,10.23,6.8,2.03,34.41,4.56,31.1,8.27,4.44,8.71,34.53,45.54,330.49,14.21,203.86,11-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Jun-2020 - 00:00,52.93,102.55,4.03,4.97,9.28,5.88,4.48,2.54,49.45,4.07,20.49,4.94,2.9,5.76,34.5,47.86,343.38,8.89,157.49,12-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jun-2020 - 00:00,58.94,121.17,6.21,5.09,11.77,9.25,2.69,2.54,56.9,4.88,13.47,1.56,1.23,2.56,34.55,50.56,366.77,7.27,118.61,13-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jun-2020 - 00:00,54.72,112.63,3.4,5.05,8.67,5.1,3.72,2.68,46.06,5.47,15.93,3.13,1.9,3.96,32.94,54.28,269.2,9.37,146.86,14-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jun-2020 - 00:00,58.14,101.91,2.99,4.99,8.16,4.26,2.45,3.09,56.45,4.34,15.38,1.8,1.23,2.55,34.13,54.63,367.77,5.23,108.87,15-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jun-2020 - 00:00,71.98,130.23,4.42,5.0,9.73,6.81,4.81,2.22,70.94,4.48,14.72,2.98,2.35,4.41,35.86,42.79,377.93,14.11,206.56,16-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jun-2020 - 00:00,68.95,113.57,3.28,5.08,8.57,4.95,3.69,2.44,70.91,4.27,11.75,1.4,1.25,2.66,35.34,44.42,361.5,7.46,131.96,17-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jun-2020 - 00:00,55.34,90.65,5.5,5.13,11.04,8.23,3.05,3.01,64.08,3.01,9.7,0.85,0.81,1.72,34.15,52.98,436.27,6.54,100.95,18-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jun-2020 - 00:00,46.42,101.06,3.41,5.1,8.73,5.31,3.12,3.23,77.21,3.89,11.46,1.31,1.01,2.1,34.8,52.12,424.97,6.19,108.77,19-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Jun-2020 - 00:00,54.69,129.97,2.93,4.98,8.09,4.35,1.56,3.67,83.9,4.02,11.17,1.46,1.08,2.16,34.76,55.04,349.7,6.79,111.96,20-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Jun-2020 - 00:00,53.56,98.15,3.07,5.04,8.3,4.59,3.34,2.15,59.89,2.7,13.1,2.65,1.54,3.2,31.96,53.35,289.56,10.21,169.04,21-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Jun-2020 - 00:00,46.63,87.31,2.97,5.08,8.23,4.43,4.46,2.8,62.41,3.63,14.75,2.41,1.46,2.79,31.65,58.73,320.75,8.08,149.04,22-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Jun-2020 - 00:00,45.86,85.38,3.21,5.06,8.47,5.06,2.58,3.17,95.73,4.27,14.29,2.35,1.36,2.8,31.28,64.31,392.97,7.88,150.97,23-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Jun-2020 - 00:00,43.36,64.33,3.37,5.09,8.66,5.39,1.74,3.69,68.1,2.71,9.4,0.9,0.73,1.58,30.34,58.48,77.6,5.87,92.53,24-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Jun-2020 - 00:00,52.05,63.39,3.32,5.12,8.64,5.15,1.5,4.41,64.53,2.73,9.53,0.83,0.82,1.76,30.08,73.4,271.26,5.8,97.96,25-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Jun-2020 - 00:00,84.91,136.9,5.18,5.13,10.7,7.88,3.47,0.82,74.62,4.3,16.8,4.39,2.42,4.9,32.15,63.88,354.51,14.63,215.78,26-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Jun-2020 - 00:00,116.89,159.58,6.12,5.21,11.73,10.59,2.5,1.74,71.83,4.05,17.32,3.86,2.14,4.48,31.46,65.19,354.3,16.21,201.84,27-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Jun-2020 - 00:00,104.22,147.17,6.39,5.41,12.29,11.61,5.02,0.01,41.59,3.11,20.53,6.57,2.95,6.16,33.85,55.67,359.55,22.76,253.91,28-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Jun-2020 - 00:00,122.86,159.27,4.22,5.33,9.84,9.17,6.65,0.1,42.63,3.44,22.11,4.5,2.34,4.85,35.79,48.48,431.79,21.49,254.01,29-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Jun-2020 - 00:00,101.51,140.89,7.68,5.49,13.18,14.1,5.27,1.53,48.43,4.64,15.98,5.31,2.26,5.78,34.82,46.13,385.64,14.74,212.11,30-Jun-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Jun-2020 - 00:00,75.59,114.45,10.3,5.53,16.68,10.35,1.37,1.79,60.54,3.0,7.48,1.54,1.03,4.23,31.03,71.34,402.55,5.79,94.32,01-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Jul-2020 - 00:00,66.47,139.33,7.02,5.33,12.9,6.5,0.32,0.01,90.11,4.39,3.39,1.83,1.55,6.17,32.63,66.02,335.45,5.85,99.98,02-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jul-2020 - 00:00,93.58,160.94,4.75,5.22,10.31,4.17,0.18,0.02,127.96,5.05,3.7,2.42,1.74,6.74,34.27,60.28,354.96,6.92,120.04,03-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jul-2020 - 00:00,91.9,158.51,4.61,5.45,10.38,4.23,0.5,0.02,109.42,6.27,3.88,2.01,5.71,4.54,33.93,60.47,365.8,7.34,129.28,04-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jul-2020 - 00:00,58.07,90.96,3.53,5.19,8.95,2.65,0.42,0.02,114.19,3.31,2.6,1.04,4.11,1.06,32.1,68.03,414.84,6.32,101.29,05-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jul-2020 - 00:00,35.98,50.36,3.96,5.22,9.44,3.05,0.06,0.01,98.14,2.4,2.88,1.12,4.51,1.43,29.17,74.35,368.84,6.42,128.28,06-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jul-2020 - 00:00,79.19,83.33,3.72,5.3,9.26,2.86,0.36,0.01,85.67,3.9,3.04,0.91,3.83,1.4,30.5,74.52,417.15,6.11,101.73,07-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jul-2020 - 00:00,39.54,56.86,4.43,6.19,9.83,5.5,19.41,0.28,72.36,2.39,1.4,0.3,0.99,0.25,28.84,78.06,390.16,5.19,82.13,08-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jul-2020 - 00:00,46.64,143.19,3.24,7.11,8.59,7.36,2.23,0.02,85.83,3.6,3.17,1.28,2.91,1.17,30.32,78.19,348.72,7.73,124.98,09-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jul-2020 - 00:00,56.41,207.45,4.8,7.07,10.27,10.21,9.17,0.48,107.23,4.03,14.08,2.11,3.74,1.29,30.96,70.83,349.07,15.71,222.48,10-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jul-2020 - 00:00,80.62,213.09,4.2,7.04,9.63,9.12,5.87,0.9,140.16,2.32,26.94,2.45,3.37,0.84,33.2,62.41,515.21,22.71,252.39,11-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Jul-2020 - 00:00,61.26,139.47,4.51,7.03,9.92,8.7,4.03,0.46,119.79,0.66,2.61,0.53,1.13,0.7,31.22,63.88,339.31,12.19,227.1,12-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jul-2020 - 00:00,51.72,146.72,3.02,6.98,8.26,7.45,1.93,0.36,118.32,0.85,2.84,0.63,1.36,0.89,31.63,59.27,398.39,17.44,271.35,13-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jul-2020 - 00:00,68.79,173.61,7.51,6.94,13.06,13.17,8.3,0.47,73.44,0.97,3.38,0.94,1.62,0.98,32.58,56.82,409.89,21.8,264.46,14-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jul-2020 - 00:00,76.18,185.55,5.69,6.97,11.17,10.16,52.97,0.86,103.51,0.78,3.16,0.61,0.77,0.6,33.67,49.64,484.4,13.86,194.23,15-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jul-2020 - 00:00,70.22,156.35,4.94,6.79,10.01,8.58,30.85,0.52,107.45,0.68,1.87,0.28,0.54,0.22,29.33,68.17,363.74,5.71,88.23,16-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jul-2020 - 00:00,46.14,133.66,4.26,7.11,9.72,7.32,5.29,0.8,95.68,0.67,2.28,0.4,0.9,0.38,31.12,71.58,318.93,5.53,89.12,17-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jul-2020 - 00:00,55.18,143.56,9.99,7.02,15.89,9.72,5.67,0.46,111.66,0.73,2.45,0.42,0.94,0.46,31.53,73.91,270.45,5.67,90.56,18-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jul-2020 - 00:00,53.6,149.92,11.24,7.29,17.43,13.34,28.01,1.09,88.76,1.75,3.59,0.93,1.54,1.14,30.89,71.53,345.36,5.98,100.63,19-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Jul-2020 - 00:00,59.64,144.56,105.13,20.8,132.48,92.5,15.12,1.59,24.13,3.94,22.22,3.19,5.07,3.61,31.03,64.89,373.98,16.69,231.05,20-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Jul-2020 - 00:00,51.54,135.36,15.98,6.98,22.35,11.94,38.23,1.13,54.78,3.82,22.58,2.98,3.26,2.38,28.24,73.87,319.81,19.68,242.95,21-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Jul-2020 - 00:00,42.06,125.8,8.14,7.19,13.93,5.03,30.14,0.49,33.32,3.17,22.22,2.43,3.36,2.7,27.36,81.98,316.79,11.05,191.34,22-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Jul-2020 - 00:00,51.95,144.15,8.22,7.09,14.0,5.62,3.11,0.72,28.83,4.21,35.82,4.2,8.6,6.94,25.71,91.25,162.48,16.48,236.53,23-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Jul-2020 - 00:00,79.11,161.65,8.87,7.05,14.62,5.13,12.01,0.77,38.42,5.31,30.79,6.02,11.98,11.12,28.65,73.03,483.7,19.18,235.55,24-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Jul-2020 - 00:00,60.14,156.75,7.95,7.17,13.78,4.01,1.77,0.45,33.61,3.03,17.23,1.88,4.46,2.94,29.75,77.44,426.16,7.09,109.71,25-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Jul-2020 - 00:00,42.94,128.11,6.45,7.19,12.15,3.34,2.41,0.51,32.08,2.14,13.52,1.07,2.68,1.52,29.58,81.76,360.54,5.67,90.73,26-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Jul-2020 - 00:00,50.59,140.17,8.69,7.38,14.74,4.78,2.2,0.46,69.91,2.74,16.69,1.68,3.62,2.22,31.68,71.06,481.95,8.06,146.4,27-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Jul-2020 - 00:00,71.06,182.02,8.95,7.08,14.72,6.95,2.01,1.18,90.39,3.87,20.3,3.69,6.93,5.92,32.13,63.32,476.79,24.25,267.1,28-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Jul-2020 - 00:00,92.36,185.5,12.99,7.72,19.66,12.1,4.29,0.88,52.27,3.37,19.68,3.72,7.07,7.77,33.36,61.76,469.82,23.91,263.14,29-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Jul-2020 - 00:00,59.05,135.2,15.05,7.43,21.74,9.67,2.54,0.54,47.93,2.95,14.41,3.37,6.3,5.27,29.28,76.71,301.82,10.65,174.54,30-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Jul-2020 - 00:00,63.73,144.08,9.64,7.23,15.67,5.71,2.46,0.44,45.66,3.26,6.12,3.14,6.84,5.53,29.16,76.23,351.18,10.55,176.14,31-Jul-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Jul-2020 - 00:00,73.24,148.66,6.12,7.21,11.82,2.99,2.18,0.96,50.55,3.56,6.66,3.45,7.52,7.34,29.72,82.09,255.4,7.8,131.16,01-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Aug-2020 - 00:00,45.66,135.19,6.17,7.34,11.95,3.02,2.41,0.87,71.67,3.48,7.63,2.77,6.23,5.18,28.99,85.89,236.84,10.76,160.25,02-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Aug-2020 - 00:00,78.97,162.84,6.7,7.22,12.45,3.25,2.28,1.13,88.42,5.28,8.67,5.63,12.3,9.39,31.43,73.59,381.14,22.33,269.95,03-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Aug-2020 - 00:00,58.47,150.85,6.37,7.21,12.08,3.01,1.96,0.74,84.75,3.94,6.15,4.26,9.93,6.88,31.93,69.28,318.15,21.63,250.12,04-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Aug-2020 - 00:00,63.62,140.38,5.69,7.16,11.3,2.52,2.28,0.74,77.39,3.67,6.03,3.09,6.47,5.43,32.93,62.57,436.94,14.76,236.77,05-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Aug-2020 - 00:00,59.56,148.97,5.62,7.38,11.39,2.33,2.22,0.96,66.02,5.45,9.7,5.57,11.76,11.56,30.36,80.07,214.05,7.83,129.22,06-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
