from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
10-Feb-2020 - 00:00,8.23,35.74,7.18,27.35,10.24,0.53,38.59,28.45,70.07,0.2,6.29,25.54,267.16,59.09,723.55,11-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,8.19,40.59,7.71,35.92,17.62,0.48,36.43,30.88,75.78,0.95,9.44,24.98,267.66,59.08,724.04,12-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,8.23,36.16,8.08,31.83,15.49,0.63,34.99,29.07,68.98,1.6,12.39,24.88,262.21,58.06,725.48,13-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,8.11,51.12,8.46,46.41,23.63,0.84,25.25,34.93,88.32,2.38,3.37,23.64,249.97,53.39,724.89,14-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,8.53,63.06,11.91,57.3,29.24,1.05,34.25,47.57,119.06,2.96,1.38,24.14,227.82,51.89,723.29,15-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,8.36,67.13,12.9,52.6,20.78,0.91,51.46,45.97,122.71,2.7,0.14,23.59,247.36,38.83,723.07,16-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,9.09,53.17,12.18,40.28,14.76,0.7,51.79,29.01,91.32,1.91,0.88,22.85,258.25,32.57,723.97,17-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,9.01,57.72,12.94,62.39,38.98,1.06,33.3,33.45,102.95,2.45,2.21,23.82,247.7,37.68,724.39,18-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,8.48,58.4,11.6,44.71,16.79,0.88,40.33,27.23,96.94,1.37,0.11,23.51,253.31,34.94,723.54,19-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,8.2,61.88,15.58,50.37,21.48,0.78,41.57,43.58,94.89,0.98,0.13,24.72,266.91,53.33,723.76,20-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,8.04,72.95,18.62,63.8,30.75,0.79,42.18,49.38,101.56,1.09,22.4,24.77,253.52,51.32,723.22,21-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,15.33,50.67,12.06,41.79,18.28,0.62,49.91,20.2,65.4,1.3,0.12,27.33,266.4,30.3,723.0,23-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,10.61,53.33,12.53,38.34,12.24,0.83,67.46,29.67,76.78,1.64,3.18,22.97,240.39,39.94,721.89,25-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,12.83,40.39,11.9,28.48,8.58,0.67,101.35,39.2,85.0,1.62,0.15,18.2,172.6,42.4,722.4,26-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,15.18,54.17,13.55,43.17,17.68,0.99,,34.0,93.0,1.6,0.2,20.7,240.75,33.75,721.0,28-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,,,,,,,,,,,,,,,,05-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,11.96,22.28,12.78,13.42,1.93,0.4,86.07,34.95,73.39,0.81,8.19,21.87,113.86,45.27,720.25,06-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,15.33,26.07,12.82,16.25,2.93,0.55,55.23,35.91,66.56,1.23,11.27,23.0,113.85,60.32,720.88,07-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,11.39,25.19,12.61,15.52,2.61,0.55,48.27,38.73,67.7,1.24,0.59,24.36,161.92,59.95,722.06,08-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,8.71,20.0,10.65,12.3,2.03,0.72,51.0,33.72,60.93,0.93,1.38,23.95,211.39,58.18,721.85,09-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,10.5,25.7,9.72,16.41,3.37,0.55,58.13,36.88,69.67,1.28,0.86,24.39,203.97,59.06,720.86,10-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,10.66,21.38,9.82,12.96,1.93,0.51,66.26,37.89,71.36,1.16,6.74,24.72,195.99,51.84,720.83,11-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,12.24,22.39,7.27,13.73,2.24,0.63,69.78,30.41,67.54,1.24,3.91,23.79,182.66,46.37,721.59,12-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,9.25,30.3,7.83,19.77,4.49,0.55,64.68,30.71,76.37,1.66,3.42,23.77,174.13,44.74,722.34,13-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,13.58,26.86,7.61,18.62,5.33,0.55,59.07,29.5,69.81,1.43,5.89,23.18,241.18,43.24,722.86,14-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,8.7,25.13,7.57,18.69,6.55,0.7,58.32,27.41,70.03,1.33,20.59,23.06,233.86,47.68,721.84,15-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,9.32,26.28,8.59,19.34,6.6,0.53,65.38,34.76,77.8,1.41,21.4,23.07,254.21,48.11,721.23,16-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,9.47,17.59,8.75,13.07,4.57,0.42,51.0,22.2,55.32,1.07,19.53,23.52,245.05,53.48,722.62,17-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,8.72,19.05,8.63,16.03,7.25,0.71,37.27,22.49,56.55,1.22,20.83,23.53,265.18,49.9,723.67,18-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,10.11,22.98,10.73,16.44,5.19,0.85,50.7,22.2,59.0,1.27,22.41,24.64,262.07,41.33,723.2,19-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
