from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
27-Feb-2020 - 00:00,23.03,748.83,138.0,86.0,0.0,67.92,162.67,30.07,234.08,1.35,0.37,2.21,1.46,1.37,35.73,3.08,43.88,25.88,,20.12,28-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Feb-2020 - 00:00,23.63,747.4,96.94,69.06,0.0,68.75,162.95,28.05,285.0,2.16,0.34,2.02,1.4,0.62,39.48,1.04,25.02,14.07,,22.61,29-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Feb-2020 - 00:00,23.23,747.5,90.0,62.5,0.0,66.62,184.5,27.56,251.62,2.21,0.38,2.58,1.49,0.95,33.67,1.11,28.38,16.01,,16.12,01-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Mar-2020 - 00:00,28.14,744.43,46.5,27.75,0.0,48.71,176.71,29.91,98.14,1.56,0.3,2.01,1.47,0.3,31.18,,28.06,7.32,,15.82,03-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Mar-2020 - 00:00,27.88,743.83,145.6,102.0,0.0,44.25,240.5,29.32,104.08,2.04,0.53,1.94,1.4,1.64,32.88,2.05,29.47,15.69,,29.21,04-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Mar-2020 - 00:00,27.83,743.91,228.72,179.11,0.0,46.5,214.18,28.85,243.18,1.49,0.45,2.81,2.2,1.35,39.37,2.47,28.52,15.51,,28.3,05-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Mar-2020 - 00:00,24.88,743.6,76.38,45.62,0.0,54.05,140.8,28.9,256.2,2.5,0.32,2.18,1.59,0.36,31.08,1.79,27.35,14.29,,11.71,06-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Mar-2020 - 00:00,19.18,743.09,53.43,42.5,0.09,77.59,85.73,30.8,234.27,2.95,0.28,1.91,1.29,1.22,29.47,1.52,22.32,12.54,,9.49,07-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Mar-2020 - 00:00,20.63,747.44,57.71,41.64,0.17,73.78,42.94,28.08,187.0,1.16,0.31,2.31,1.57,1.15,26.74,1.58,30.97,17.75,,14.44,08-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Mar-2020 - 00:00,24.53,744.69,82.93,46.93,0.0,54.5,242.44,28.21,81.5,2.84,0.32,1.89,1.39,0.79,27.9,1.41,28.45,16.29,,14.76,10-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Mar-2020 - 00:00,25.09,743.28,83.0,57.62,0.0,60.72,166.06,28.29,280.28,2.33,0.33,1.77,1.14,3.43,35.42,1.15,23.13,11.18,,29.61,12-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Mar-2020 - 00:00,28.0,743.7,111.67,50.33,0.0,62.4,147.1,29.4,275.0,2.67,0.19,1.98,1.55,3.92,33.32,0.6,26.45,10.79,,33.26,13-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Mar-2020 - 00:00,24.23,748.0,,,0.0,62.5,208.12,28.99,284.38,4.92,0.12,1.0,0.7,1.09,23.23,,14.2,2.65,,9.08,14-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Mar-2020 - 00:00,25.39,747.67,45.56,21.67,0.0,54.33,290.17,28.88,262.67,2.14,0.22,1.87,1.09,0.19,43.14,1.14,16.64,9.51,,9.09,15-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Mar-2020 - 00:00,26.74,748.0,78.0,42.0,0.0,50.5,212.1,30.18,75.4,2.04,0.39,2.44,1.61,1.08,27.07,0.8,23.67,12.15,,19.54,17-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Mar-2020 - 00:00,26.88,748.0,112.4,70.0,0.0,51.08,244.75,32.04,88.0,2.47,0.41,1.9,1.16,0.24,29.67,1.22,23.38,12.68,,19.13,18-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Mar-2020 - 00:00,26.61,746.27,124.06,68.73,0.0,51.86,146.14,29.41,85.23,2.46,0.47,2.62,1.88,0.54,30.8,1.26,35.18,19.58,,18.06,19-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Mar-2020 - 00:00,25.9,746.0,181.67,140.0,0.0,65.5,257.83,29.08,99.33,1.57,0.53,1.53,0.82,1.51,35.95,1.67,29.83,17.23,,26.48,20-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Mar-2020 - 00:00,29.59,745.5,110.0,74.12,0.0,47.0,312.12,29.92,243.88,1.4,0.39,3.38,1.94,0.0,28.31,0.42,17.19,9.25,,24.45,21-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Mar-2020 - 00:00,29.45,745.0,77.2,47.67,0.0,44.43,249.5,31.55,138.5,1.41,0.36,2.33,1.36,0.2,36.69,0.88,23.76,11.95,,17.98,22-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
