from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
01-Jan-2020 - 00:00,142.4,52.42,36.96,57.9,14.53,12.34,60.08,2.28,-0.36,207.12,736.0,70.11,0.0,8.46,14.81,14.55,02-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Jan-2020 - 00:00,129.71,44.48,5.52,28.12,14.67,15.11,58.34,2.89,-0.49,204.39,736.0,87.67,0.0,5.96,10.16,18.85,03-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Jan-2020 - 00:00,115.69,30.63,3.54,18.9,14.05,14.23,70.28,2.8,-0.53,202.71,736.0,49.31,0.0,3.86,6.98,13.93,04-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Jan-2020 - 00:00,57.71,40.09,14.61,33.21,16.37,12.88,67.46,1.65,-0.24,190.32,736.0,75.59,0.0,4.77,9.82,10.55,05-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Jan-2020 - 00:00,83.74,43.88,10.15,31.6,17.13,13.01,64.0,2.39,-0.12,195.96,736.0,93.35,0.0,3.48,8.08,14.69,06-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Jan-2020 - 00:00,86.44,42.49,9.4,30.25,16.09,13.74,59.38,2.2,-0.19,197.08,736.0,145.85,0.0,3.68,8.73,14.92,07-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Jan-2020 - 00:00,147.48,47.51,4.62,29.02,19.77,15.55,63.87,2.43,-0.18,206.22,736.0,77.48,0.0,5.31,9.38,15.8,08-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Jan-2020 - 00:00,125.68,34.07,3.3,20.81,16.71,13.73,71.9,4.21,-0.13,180.1,736.0,11.01,0.11,4.3,7.04,11.93,09-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Jan-2020 - 00:00,74.86,33.26,11.21,26.8,19.39,14.16,69.01,2.01,-0.19,199.19,736.0,40.07,0.0,3.99,9.69,11.66,10-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Jan-2020 - 00:00,73.26,31.59,17.43,30.98,19.68,12.73,67.7,2.53,-0.18,210.69,736.0,114.36,0.0,4.22,11.1,11.89,11-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Jan-2020 - 00:00,127.77,44.03,22.12,41.41,23.25,12.88,67.9,1.01,-0.18,201.56,736.0,76.93,0.0,5.4,11.03,13.45,12-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Jan-2020 - 00:00,177.56,49.94,43.44,61.88,22.15,13.77,65.79,1.03,-0.19,200.85,736.0,94.2,0.0,7.76,15.5,14.27,13-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Jan-2020 - 00:00,137.35,29.76,10.28,24.18,15.52,12.08,72.52,2.56,-0.15,189.8,736.0,48.85,0.0,6.24,10.09,7.23,14-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Jan-2020 - 00:00,132.0,49.69,12.43,36.54,20.27,14.99,64.03,1.61,-0.17,186.76,736.0,101.78,0.0,5.76,10.27,15.09,15-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Jan-2020 - 00:00,153.31,57.3,20.04,46.78,20.47,15.11,71.03,1.19,-0.17,207.84,736.0,19.69,0.0,8.16,17.14,5.51,16-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Jan-2020 - 00:00,36.45,19.04,2.77,12.38,11.67,14.57,73.0,3.2,-0.15,190.84,736.0,6.21,0.21,2.69,5.81,15.7,17-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Jan-2020 - 00:00,59.46,26.36,11.08,23.04,18.34,15.03,72.99,2.35,-0.16,169.44,736.0,13.45,0.01,3.04,8.6,15.81,18-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Jan-2020 - 00:00,56.07,32.66,11.18,26.47,17.21,14.35,72.9,0.82,-0.2,198.17,736.0,15.64,0.0,4.74,14.02,8.85,19-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Jan-2020 - 00:00,53.76,36.82,14.93,31.72,17.24,14.25,70.28,2.31,-0.19,200.44,736.0,47.69,0.0,3.54,9.62,10.89,20-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Jan-2020 - 00:00,82.11,34.97,10.72,26.5,16.57,13.75,79.05,1.84,-0.17,217.38,734.14,110.48,0.0,4.59,12.22,13.27,21-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Jan-2020 - 00:00,107.72,51.01,46.05,64.57,23.91,13.56,93.05,1.18,-0.4,151.68,732.0,98.34,0.0,6.42,14.13,4.24,22-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Jan-2020 - 00:00,112.91,57.69,41.09,64.09,22.97,14.23,83.59,1.52,-0.19,215.0,732.0,113.77,0.0,7.32,16.07,6.04,23-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Jan-2020 - 00:00,56.67,45.62,24.63,44.29,21.18,14.55,75.65,3.94,-0.82,216.69,732.0,135.13,0.0,3.29,7.98,16.41,24-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Jan-2020 - 00:00,64.82,51.68,18.61,42.62,21.75,14.53,75.97,3.63,-2.76,207.82,732.0,129.96,0.0,3.01,7.01,29.25,25-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Jan-2020 - 00:00,127.57,75.6,11.92,49.91,20.43,15.05,83.49,1.88,-3.25,176.21,732.0,104.87,0.0,4.63,9.55,35.88,26-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Jan-2020 - 00:00,155.78,76.68,24.9,61.04,21.2,14.71,86.19,1.37,-2.96,202.07,732.0,79.1,0.0,5.54,11.91,26.78,27-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Jan-2020 - 00:00,119.61,93.75,43.45,85.18,21.24,16.2,75.8,1.3,-2.97,162.83,732.0,117.19,0.0,5.87,13.66,34.23,28-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Jan-2020 - 00:00,132.48,55.56,4.04,32.44,17.23,15.92,83.45,4.92,-4.58,194.28,732.0,93.13,0.0,4.36,6.54,48.28,29-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Jan-2020 - 00:00,95.23,46.34,3.75,27.7,18.06,15.97,87.97,3.7,-3.36,193.13,738.5,86.15,0.01,3.5,4.66,42.15,30-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Jan-2020 - 00:00,34.19,62.33,25.49,53.88,18.6,16.04,75.12,3.12,-1.72,215.84,746.0,158.19,0.0,2.64,6.54,30.14,31-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Jan-2020 - 00:00,56.13,68.81,29.45,60.48,21.79,15.96,70.5,2.74,-1.75,217.45,746.0,141.71,0.0,3.64,10.39,31.32,01-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Feb-2020 - 00:00,65.36,72.0,8.75,45.41,19.32,16.7,68.93,2.17,-1.8,221.12,746.0,126.49,0.0,3.4,9.17,32.58,02-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Feb-2020 - 00:00,76.8,63.11,23.68,52.58,19.27,16.18,73.23,2.65,-1.77,209.49,746.0,154.67,0.0,2.94,6.65,33.61,03-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Feb-2020 - 00:00,116.06,86.28,24.4,65.73,21.27,16.63,71.79,1.86,-1.86,210.57,746.0,131.18,0.0,4.15,10.31,29.85,04-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Feb-2020 - 00:00,109.56,78.59,76.84,103.3,24.99,16.75,73.86,1.4,-2.08,202.52,746.0,120.88,0.0,6.35,15.72,32.24,05-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Feb-2020 - 00:00,58.61,46.9,10.92,33.79,15.03,17.06,67.32,2.81,-1.76,222.02,746.0,131.76,0.0,3.32,7.66,37.18,06-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Feb-2020 - 00:00,52.01,42.89,14.37,34.49,17.06,16.94,68.15,1.87,-1.89,221.9,746.0,127.57,0.0,3.19,7.7,35.47,07-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Feb-2020 - 00:00,54.46,44.93,3.65,26.86,15.83,18.32,58.7,2.22,-1.86,218.06,746.0,155.76,0.0,3.29,7.66,49.01,08-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Feb-2020 - 00:00,71.21,54.9,24.62,49.23,19.13,16.73,67.5,1.76,-1.85,213.36,746.0,104.72,0.0,3.91,8.64,30.3,09-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Feb-2020 - 00:00,82.15,51.73,17.47,41.71,16.54,17.29,70.72,1.35,-1.96,206.63,746.0,88.09,0.0,4.58,9.54,35.72,10-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Feb-2020 - 00:00,72.21,55.61,12.35,39.63,17.17,17.66,67.01,1.94,-1.85,214.43,746.0,119.66,0.0,3.73,7.18,41.72,11-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Feb-2020 - 00:00,72.49,59.76,19.95,48.01,19.21,17.43,65.53,1.63,-1.86,210.18,746.0,116.34,0.0,4.02,9.65,36.98,12-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Feb-2020 - 00:00,80.28,58.71,20.71,48.07,17.23,17.51,71.53,2.21,-1.79,208.01,746.0,106.17,0.0,3.7,7.52,39.43,13-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Feb-2020 - 00:00,60.5,63.02,28.21,56.45,15.57,19.18,69.81,3.37,-1.54,211.53,746.0,140.57,0.0,3.33,6.56,26.86,14-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Feb-2020 - 00:00,36.31,46.48,14.15,36.23,10.9,19.16,68.03,4.17,-1.28,217.05,746.0,140.47,0.0,2.08,3.49,32.7,15-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Feb-2020 - 00:00,37.09,59.6,28.3,54.73,16.25,18.5,62.84,2.73,-1.51,208.54,746.0,134.07,0.0,2.93,6.63,27.2,16-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Feb-2020 - 00:00,63.62,62.32,20.72,49.98,14.7,19.49,68.0,1.2,-1.7,205.74,746.0,141.71,0.0,3.93,7.87,41.15,17-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Feb-2020 - 00:00,101.25,55.8,16.19,42.83,10.78,19.19,74.47,2.45,-1.64,219.82,746.0,123.93,0.0,3.88,7.48,40.46,18-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Feb-2020 - 00:00,64.02,53.65,15.9,41.48,14.17,18.97,62.06,2.91,-1.48,202.35,746.0,169.55,0.0,2.82,5.58,51.72,19-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Feb-2020 - 00:00,96.19,54.29,19.76,44.93,17.27,18.88,62.79,2.26,-2.11,166.11,746.0,130.51,0.0,3.27,6.82,51.44,20-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Feb-2020 - 00:00,56.74,24.0,1.72,14.15,11.81,18.77,68.64,5.32,-3.48,184.29,746.0,130.96,0.0,2.09,2.4,72.44,21-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Feb-2020 - 00:00,56.73,16.05,1.59,9.79,10.87,17.2,81.76,6.66,-4.12,191.3,746.0,62.49,0.01,1.74,1.75,66.26,22-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Feb-2020 - 00:00,32.22,20.51,2.94,13.32,11.3,17.28,82.67,3.51,-2.57,201.31,746.0,148.05,0.0,1.24,2.15,44.02,23-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Feb-2020 - 00:00,62.0,26.98,1.76,15.78,14.66,20.88,73.57,2.47,-2.19,190.93,746.0,123.0,0.0,1.76,2.42,137.44,25-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Feb-2020 - 00:00,23.35,21.28,2.24,13.13,8.73,17.85,79.63,2.29,-0.82,207.39,748.87,145.28,0.0,2.17,5.89,92.28,26-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Feb-2020 - 00:00,30.75,23.74,3.26,15.28,10.8,17.84,80.75,2.42,-0.93,194.29,749.0,170.99,0.0,1.85,4.16,79.57,27-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Feb-2020 - 00:00,34.59,24.05,5.38,17.16,12.73,18.01,81.44,3.02,-1.1,168.98,749.0,134.79,0.0,1.66,2.94,76.1,28-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Feb-2020 - 00:00,50.69,35.43,3.33,21.52,13.88,17.56,81.63,3.26,-1.25,184.59,749.0,134.87,0.0,2.19,4.27,79.07,29-Feb-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Feb-2020 - 00:00,58.35,34.46,4.16,21.71,12.46,18.69,74.85,3.22,-1.14,185.24,749.0,140.82,0.0,2.01,3.22,72.27,01-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Mar-2020 - 00:00,47.41,26.59,3.68,17.13,10.97,19.43,74.23,2.05,-0.58,195.12,749.0,163.01,0.0,1.95,3.53,66.6,02-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Mar-2020 - 00:00,54.74,47.11,10.21,33.35,14.08,19.83,72.89,1.12,-0.42,217.9,749.0,129.46,0.0,2.75,6.47,49.85,03-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Mar-2020 - 00:00,47.24,41.66,3.8,24.55,15.44,20.2,65.86,1.62,-1.02,220.0,749.0,160.21,0.0,2.43,5.06,54.4,04-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Mar-2020 - 00:00,49.23,41.32,9.09,29.27,18.5,19.32,66.0,2.29,-1.98,197.25,749.0,135.55,0.0,2.52,4.39,54.67,05-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Mar-2020 - 00:00,44.65,25.54,3.48,15.0,10.06,17.95,77.97,3.35,-2.55,202.28,749.0,109.9,0.0,2.13,4.4,49.15,06-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Mar-2020 - 00:00,31.68,17.63,3.16,10.2,9.53,17.29,81.62,4.1,-3.09,196.9,749.0,108.5,0.0,1.44,2.89,47.57,07-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Mar-2020 - 00:00,19.61,15.99,4.5,10.52,11.62,17.25,86.17,3.22,-2.82,173.43,749.0,160.42,0.0,1.24,2.98,51.23,08-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Mar-2020 - 00:00,28.38,30.77,7.29,21.27,13.26,17.89,77.86,1.55,-1.64,215.91,749.0,179.64,0.0,1.52,3.97,38.87,09-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Mar-2020 - 00:00,33.79,33.39,10.66,25.25,11.21,17.94,67.91,2.21,-1.51,212.78,749.0,214.65,0.0,1.74,3.99,49.03,10-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Mar-2020 - 00:00,64.24,26.31,7.32,17.55,14.35,17.2,69.91,0.69,-1.78,175.05,749.0,93.42,0.0,2.52,5.43,57.69,11-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Mar-2020 - 00:00,45.81,21.33,5.64,12.7,19.53,17.94,73.39,2.7,-2.58,189.68,749.0,87.82,0.0,1.61,3.44,63.68,12-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Mar-2020 - 00:00,51.72,19.89,3.53,12.49,15.11,21.61,76.61,2.39,-2.68,180.66,749.0,175.5,0.0,1.3,1.79,61.46,13-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Mar-2020 - 00:00,36.78,18.71,3.13,12.29,9.85,20.12,90.88,2.75,-2.66,195.92,749.0,30.34,0.0,1.39,2.6,43.22,14-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Mar-2020 - 00:00,25.77,17.5,4.64,12.83,12.41,20.61,85.29,1.33,-2.12,162.42,749.0,165.27,0.0,1.35,3.04,42.71,15-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Mar-2020 - 00:00,30.93,17.17,6.38,13.94,16.37,20.94,84.2,1.25,-2.17,195.68,749.0,173.83,0.0,1.38,2.69,45.95,16-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Mar-2020 - 00:00,38.4,31.25,7.02,22.0,13.69,21.12,71.76,0.82,-1.75,211.03,749.0,169.75,0.0,2.08,5.35,46.01,17-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Mar-2020 - 00:00,43.45,40.12,25.99,42.38,20.27,21.72,66.58,1.14,-1.7,212.67,749.0,145.52,0.0,2.42,6.28,47.61,18-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Mar-2020 - 00:00,48.36,41.2,13.83,33.11,14.92,22.45,64.33,1.39,-1.61,207.38,749.0,228.15,0.0,2.38,6.34,51.44,19-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Mar-2020 - 00:00,52.46,40.31,8.71,28.43,12.5,23.22,64.77,0.93,-1.69,205.31,749.0,182.53,0.0,2.45,6.64,53.06,20-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Mar-2020 - 00:00,70.95,46.23,16.45,38.0,19.47,24.05,65.46,1.0,-2.03,178.91,749.0,183.65,0.0,3.14,7.81,59.58,21-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Mar-2020 - 00:00,52.08,24.25,5.38,17.09,8.22,23.48,62.56,1.94,-2.13,153.4,749.0,222.52,0.0,2.12,5.66,51.68,22-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Mar-2020 - 00:00,30.5,16.05,4.0,11.75,9.3,24.75,57.0,2.8,-1.55,223.0,749.0,6.0,0.0,0.9,1.45,48.5,26-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Mar-2020 - 00:00,23.72,6.56,1.5,4.66,13.11,25.63,55.76,2.67,-1.52,224.15,749.0,206.85,0.0,0.77,1.09,55.28,27-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Mar-2020 - 00:00,28.04,7.84,5.92,8.57,16.89,22.09,77.0,1.44,-1.67,210.32,749.04,47.68,0.0,1.16,1.91,35.55,28-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Mar-2020 - 00:00,21.58,8.56,1.9,6.12,8.31,25.14,65.31,2.46,-0.03,216.36,749.56,175.0,0.0,0.75,1.17,53.95,29-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Mar-2020 - 00:00,19.62,5.98,1.14,4.1,8.14,25.34,63.43,3.01,0.86,223.19,749.0,224.71,0.0,0.69,0.93,55.96,30-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Mar-2020 - 00:00,21.78,7.03,2.06,5.35,10.5,26.54,50.06,2.4,0.76,227.47,749.0,93.42,0.0,0.29,0.49,72.51,31-Mar-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Mar-2020 - 00:00,23.91,9.74,1.71,6.57,11.37,26.93,50.96,1.26,0.71,218.26,749.0,251.3,0.0,0.11,0.3,58.12,01-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Apr-2020 - 00:00,33.0,9.88,1.21,6.09,11.15,29.21,49.43,0.68,0.61,227.93,749.0,189.71,0.0,0.13,0.31,54.39,02-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Apr-2020 - 00:00,25.32,7.24,1.24,4.82,11.1,28.54,52.17,1.6,0.67,224.15,748.02,218.68,0.0,0.41,0.52,53.86,03-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Apr-2020 - 00:00,21.11,8.21,1.32,5.29,10.63,27.88,46.83,1.44,0.54,221.94,749.09,182.51,0.0,1.01,1.45,57.63,04-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Apr-2020 - 00:00,22.24,8.5,1.24,5.5,10.74,29.34,45.32,1.29,-0.39,217.9,750.0,224.36,0.0,0.73,1.03,47.23,05-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Apr-2020 - 00:00,36.22,9.44,1.65,6.3,11.72,30.22,46.23,0.95,-0.39,221.7,750.0,238.49,0.0,0.7,1.21,42.67,06-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Apr-2020 - 00:00,32.65,8.29,1.29,5.31,11.82,30.1,40.84,1.68,-0.06,224.28,750.0,229.07,0.0,0.97,1.35,45.36,07-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Apr-2020 - 00:00,36.26,8.43,1.13,5.37,11.77,29.87,37.54,1.61,-0.08,218.0,749.89,224.17,0.0,0.97,1.3,42.54,08-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Apr-2020 - 00:00,27.84,13.51,1.55,8.45,11.15,30.15,37.47,0.78,-0.23,207.69,749.05,150.51,0.0,0.72,1.03,40.87,09-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Apr-2020 - 00:00,31.59,9.55,1.42,6.23,11.31,29.96,36.87,0.89,-0.17,228.85,749.54,271.72,0.0,39.55,1.31,46.44,10-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Apr-2020 - 00:00,43.19,11.69,1.67,7.4,13.13,30.69,36.38,0.68,-0.24,220.89,749.25,257.03,0.0,0.82,1.12,51.39,11-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Apr-2020 - 00:00,38.87,18.97,2.1,11.79,14.92,31.19,38.71,0.76,-0.22,210.73,749.55,212.41,0.0,0.9,1.21,33.5,12-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Apr-2020 - 00:00,33.81,13.76,1.57,8.58,10.81,31.46,37.53,0.97,-0.17,208.84,750.0,229.59,0.0,0.95,1.38,35.41,13-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Apr-2020 - 00:00,34.02,15.04,1.25,9.01,14.84,31.66,37.8,0.69,-0.26,210.28,750.0,225.18,0.0,1.2,1.68,36.7,14-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Apr-2020 - 00:00,33.64,15.55,1.13,9.16,15.24,31.33,44.76,1.44,-0.95,190.74,749.08,236.9,0.0,0.53,0.84,41.0,15-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Apr-2020 - 00:00,38.83,14.41,5.52,8.58,12.75,30.93,46.59,1.89,-1.04,158.32,749.0,165.34,0.0,0.47,0.86,37.69,16-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Apr-2020 - 00:00,33.74,17.13,1.27,14.11,12.86,30.52,52.44,2.0,-1.25,199.15,749.86,205.3,0.0,0.65,1.0,45.36,17-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Apr-2020 - 00:00,39.33,20.36,7.87,22.0,13.55,31.51,46.55,0.51,-0.37,169.15,749.0,166.68,0.0,0.4,0.64,47.06,18-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Apr-2020 - 00:00,51.93,12.7,2.0,8.4,10.76,31.31,42.77,0.98,-0.5,189.62,749.0,199.43,0.0,0.51,0.85,46.65,19-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Apr-2020 - 00:00,57.93,12.7,2.0,8.4,15.53,31.24,44.0,0.67,-0.45,189.65,749.0,172.3,0.0,0.82,1.16,46.65,20-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Apr-2020 - 00:00,55.43,17.34,1.64,10.23,10.33,29.84,45.59,1.27,-0.52,199.52,749.1,180.44,0.0,0.67,1.02,40.25,21-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Apr-2020 - 00:00,40.65,19.98,1.5,11.76,9.72,28.34,50.67,1.29,-0.63,202.05,749.8,222.44,0.0,0.56,0.93,44.41,22-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Apr-2020 - 00:00,57.86,19.77,1.25,11.5,10.66,29.1,50.35,1.88,-0.95,187.74,749.0,231.54,0.0,0.58,0.95,46.28,23-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Apr-2020 - 00:00,42.08,24.45,1.41,14.13,16.55,28.18,51.76,0.96,-0.64,172.78,749.15,78.98,0.0,0.87,1.24,41.52,24-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Apr-2020 - 00:00,47.29,18.37,1.21,10.75,11.36,29.56,48.28,1.31,-0.83,189.11,749.0,191.97,0.0,1.57,2.23,50.72,25-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Apr-2020 - 00:00,56.04,17.58,1.08,10.2,12.01,28.76,57.94,2.09,-1.32,195.12,749.01,164.84,0.0,2.54,3.49,45.36,26-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Apr-2020 - 00:00,31.93,12.97,1.16,7.84,9.06,26.77,67.02,3.16,-1.64,183.13,749.01,193.44,0.15,1.5,2.15,41.8,27-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Apr-2020 - 00:00,26.61,14.73,1.17,8.74,10.67,26.72,66.3,1.72,-1.24,194.01,749.0,195.94,0.0,3.18,4.47,43.0,28-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Apr-2020 - 00:00,38.62,17.55,1.46,10.52,11.99,28.49,58.93,0.87,-0.71,209.31,748.93,209.95,0.0,3.78,5.17,41.23,29-Apr-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
