from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
28-Aug-2020 - 00:00,16.63,11.44,2.29,7.93,8.15,29.39,74.68,0.94,-0.59,211.68,749.0,157.6,0.02,,,35.94,29-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Aug-2020 - 00:00,16.79,7.17,1.93,5.29,8.16,29.19,74.19,2.99,-1.37,191.64,749.0,125.67,0.0,,,40.99,30-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Aug-2020 - 00:00,11.57,8.55,2.18,6.28,8.44,29.15,71.23,2.07,-1.06,168.13,749.0,153.31,0.0,,,34.59,31-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Aug-2020 - 00:00,23.46,17.23,3.84,12.29,8.92,31.73,64.35,0.3,-0.06,171.83,749.0,234.05,0.0,,,33.76,01-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Sep-2020 - 00:00,15.87,22.2,7.43,17.85,10.79,32.43,64.56,0.24,-0.07,191.4,749.0,160.72,0.0,,,36.37,02-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Sep-2020 - 00:00,21.91,14.55,5.96,12.61,12.85,31.04,74.28,0.33,-0.4,206.72,749.0,61.23,0.13,,,35.92,03-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Sep-2020 - 00:00,26.2,12.08,6.5,11.71,12.99,30.4,74.8,1.52,-1.1,184.53,749.0,173.01,0.0,,,42.6,04-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Sep-2020 - 00:00,32.51,10.72,3.0,8.13,10.83,30.91,69.66,0.57,-0.72,171.73,749.0,182.66,0.0,,,41.56,05-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Sep-2020 - 00:00,28.04,10.2,2.14,7.17,13.57,30.89,70.65,0.2,-0.22,145.3,749.0,129.01,0.16,,,41.92,06-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Sep-2020 - 00:00,17.94,7.69,2.33,5.99,13.71,31.42,68.23,0.23,-0.12,190.0,749.0,199.65,0.0,,,40.33,07-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Sep-2020 - 00:00,20.55,12.08,3.82,9.37,14.73,31.76,67.41,0.22,-0.21,163.43,749.0,174.04,0.0,,,40.69,08-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Sep-2020 - 00:00,29.72,17.37,5.41,13.36,12.05,31.56,67.3,0.37,-0.27,163.31,749.0,138.29,0.02,,,41.8,09-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Sep-2020 - 00:00,31.92,17.74,6.26,14.09,12.16,30.73,73.54,0.26,-0.3,152.45,749.0,76.94,0.0,,,33.62,10-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Sep-2020 - 00:00,39.77,14.71,5.13,11.8,9.9,31.1,71.4,0.21,-0.29,175.95,749.0,142.13,0.0,,,44.83,11-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Sep-2020 - 00:00,47.82,11.65,3.19,8.6,10.75,31.17,71.41,0.56,-0.66,164.0,749.0,118.23,0.0,,,51.15,12-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Sep-2020 - 00:00,40.33,10.79,2.7,7.81,9.34,31.22,71.85,0.4,-0.69,179.92,749.0,155.27,0.0,,,47.14,13-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Sep-2020 - 00:00,38.86,14.36,3.44,10.37,9.95,31.65,70.14,0.4,-0.58,170.62,749.0,147.97,0.0,,,42.14,14-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Sep-2020 - 00:00,42.12,11.93,2.56,8.33,10.59,31.44,71.95,0.27,-0.42,189.59,749.0,116.46,0.0,,,45.05,15-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Sep-2020 - 00:00,47.85,13.53,2.78,9.35,11.07,31.28,71.89,0.23,-0.33,178.25,749.0,140.52,0.0,,,48.14,16-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Sep-2020 - 00:00,44.34,16.11,3.12,11.1,10.25,30.92,71.93,0.31,-0.44,181.36,749.0,127.37,0.0,,,41.9,17-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Sep-2020 - 00:00,49.56,27.12,5.17,18.47,11.67,31.87,66.4,0.24,-0.13,161.29,749.0,149.14,0.0,,,40.87,18-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Sep-2020 - 00:00,50.27,13.14,2.94,9.28,10.29,31.98,66.14,0.73,-0.47,188.88,749.0,168.87,0.0,,,51.51,19-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
