from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
05-Feb-2020 - 00:00,736.74,53.21,79.92,123.25,11.39,2.72,139.77,1.21,2.68,0.92,0.87,0.91,4.0,0.0,10.75,20.37,21.71,11.03,36.91,06-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Feb-2020 - 00:00,736.82,65.93,81.93,123.32,10.51,2.66,126.02,1.71,2.69,0.92,0.86,0.91,3.97,0.53,10.49,20.02,21.46,12.35,30.42,07-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Feb-2020 - 00:00,737.03,52.53,81.91,137.78,11.3,2.73,133.36,1.58,2.68,0.92,0.86,0.91,4.0,0.65,10.83,20.58,21.98,10.63,37.78,08-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Feb-2020 - 00:00,736.78,57.64,79.84,126.35,11.41,2.69,135.21,1.35,2.7,0.92,0.86,0.91,3.98,0.28,10.64,20.04,21.25,11.23,35.98,09-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Feb-2020 - 00:00,736.71,35.62,80.02,123.53,11.92,2.72,170.32,1.84,2.69,0.93,0.86,0.91,4.01,0.06,10.77,20.48,21.88,16.57,41.28,10-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Feb-2020 - 00:00,736.51,47.29,74.28,133.86,12.52,2.71,161.14,1.44,2.67,0.92,0.86,0.91,3.96,0.34,10.94,20.77,22.16,13.2,44.57,11-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Feb-2020 - 00:00,736.85,37.54,80.68,130.59,12.66,2.69,134.89,1.31,2.67,0.92,0.86,0.92,3.98,1.11,11.7,21.85,23.03,10.54,39.37,12-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Feb-2020 - 00:00,736.97,56.16,81.09,135.26,14.02,2.61,153.2,1.08,2.67,0.92,0.86,0.91,3.99,1.85,11.63,22.14,23.7,10.04,36.52,13-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Feb-2020 - 00:00,737.85,37.15,83.65,183.41,15.6,2.52,132.98,0.98,2.7,0.92,0.86,0.91,3.96,0.38,11.95,22.65,24.14,10.81,32.59,14-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Feb-2020 - 00:00,737.1,41.29,81.47,146.06,15.23,2.5,182.64,0.81,2.69,0.92,0.87,0.91,3.96,0.13,12.17,23.21,24.87,7.35,46.73,15-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Feb-2020 - 00:00,737.14,42.79,81.78,142.79,15.16,2.49,148.32,1.11,2.7,0.92,0.86,0.9,3.99,0.07,11.89,22.74,24.43,6.99,46.63,16-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Feb-2020 - 00:00,737.04,44.88,73.53,160.81,14.87,2.51,130.04,1.67,2.69,0.92,0.87,0.92,3.97,0.01,11.89,22.6,24.15,13.04,42.74,17-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Feb-2020 - 00:00,736.73,29.33,66.59,165.72,14.87,2.64,143.62,1.12,2.66,0.92,0.86,0.9,3.97,0.73,11.96,22.51,23.88,10.5,46.65,18-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Feb-2020 - 00:00,736.61,44.57,68.18,162.66,14.85,2.68,119.09,1.59,2.69,0.92,0.86,0.91,4.0,2.45,11.62,21.89,23.23,12.17,45.93,19-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Feb-2020 - 00:00,736.81,41.35,68.79,181.82,15.56,2.56,139.34,2.71,2.69,0.92,0.86,0.9,4.01,1.05,12.23,23.26,24.87,11.19,61.08,20-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Feb-2020 - 00:00,735.62,49.21,59.92,121.48,17.8,2.44,154.38,2.66,2.69,0.92,0.86,0.91,3.99,0.35,12.56,23.77,25.34,10.68,64.42,21-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Feb-2020 - 00:00,736.84,20.64,79.03,135.71,14.58,2.16,122.62,1.93,2.67,0.92,0.86,0.92,3.98,0.26,12.22,22.96,24.34,9.4,40.21,22-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Feb-2020 - 00:00,738.29,22.63,79.77,236.24,15.59,2.66,155.47,1.62,2.68,0.92,0.86,0.9,3.98,0.2,11.83,22.51,24.08,9.6,28.96,23-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Feb-2020 - 00:00,736.97,20.77,75.76,154.99,15.54,2.1,134.03,1.9,2.69,0.92,0.86,0.91,3.98,0.09,12.12,23.02,24.59,10.24,36.71,24-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Feb-2020 - 00:00,736.46,16.7,65.41,152.85,16.17,2.52,166.31,1.3,2.68,0.92,0.86,0.91,3.97,0.25,12.24,23.11,24.59,9.9,37.59,25-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Feb-2020 - 00:00,736.64,22.54,72.89,150.06,15.79,2.66,171.42,1.75,2.69,0.92,0.86,0.91,3.96,0.71,26.34,22.92,23.68,9.93,36.62,26-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Feb-2020 - 00:00,736.79,23.93,82.68,124.15,15.64,2.68,134.18,1.76,2.68,0.92,0.85,0.9,4.0,1.11,12.13,19.3,17.62,14.36,37.74,27-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Feb-2020 - 00:00,737.16,48.79,89.46,119.7,16.06,2.69,132.21,1.74,2.69,0.92,0.87,0.91,3.98,0.41,12.13,19.51,17.99,9.52,34.52,28-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Feb-2020 - 00:00,736.74,41.87,83.37,116.56,16.73,2.63,159.0,2.05,2.69,0.92,0.86,0.92,3.99,0.13,12.38,19.91,18.41,10.26,48.34,29-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Feb-2020 - 00:00,736.78,20.43,85.04,111.14,15.61,2.4,116.84,2.44,2.68,0.92,0.86,0.92,3.98,0.19,12.0,19.16,17.55,5.83,36.56,01-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Mar-2020 - 00:00,736.72,14.7,68.18,165.4,16.57,2.15,110.35,1.67,2.67,0.92,0.85,0.9,3.98,0.15,11.95,19.11,17.51,10.15,34.59,02-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Mar-2020 - 00:00,737.06,24.53,64.97,202.98,17.18,2.41,120.17,1.92,2.7,0.92,0.87,0.92,3.96,0.06,11.99,19.31,17.85,14.17,36.19,03-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Mar-2020 - 00:00,737.12,30.16,73.15,181.03,17.15,2.58,161.28,1.44,2.68,0.92,0.86,0.91,3.99,0.38,12.3,19.78,18.28,12.36,35.28,04-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Mar-2020 - 00:00,737.42,28.98,70.3,205.83,17.17,2.68,127.16,2.0,2.68,0.92,0.85,0.91,3.98,1.29,12.0,19.09,17.42,15.86,43.65,05-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Mar-2020 - 00:00,737.25,14.06,64.33,225.38,17.33,2.8,162.08,2.14,2.69,0.92,0.85,0.91,3.95,0.7,12.26,19.75,18.25,8.51,49.22,06-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Mar-2020 - 00:00,737.45,10.82,86.42,145.7,13.5,2.62,146.4,2.4,2.68,0.92,0.86,0.91,3.99,0.62,11.71,18.77,17.25,9.7,42.4,07-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Mar-2020 - 00:00,739.64,12.83,95.0,260.22,11.66,2.02,139.88,1.36,2.67,0.92,0.87,0.91,3.98,0.71,10.87,17.05,15.3,4.71,21.96,08-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Mar-2020 - 00:00,738.65,19.61,80.21,257.54,15.24,2.01,154.69,1.34,2.67,0.92,0.85,0.91,3.98,0.3,11.38,17.96,16.25,10.2,32.16,09-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Mar-2020 - 00:00,739.03,23.4,76.48,271.17,15.45,2.17,162.17,1.06,2.67,0.92,0.86,0.91,3.99,0.2,11.4,17.97,16.22,7.72,26.21,10-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Mar-2020 - 00:00,737.8,25.31,76.76,204.53,15.5,2.51,142.64,1.74,2.67,0.92,0.86,0.9,3.97,0.08,11.66,18.65,17.12,14.9,30.13,11-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Mar-2020 - 00:00,736.75,19.33,79.87,132.16,15.65,2.73,142.53,1.81,2.68,0.92,0.86,0.91,3.98,0.41,11.91,19.1,17.55,8.66,29.48,12-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Mar-2020 - 00:00,736.81,12.79,79.23,133.12,16.52,2.19,155.43,2.1,2.68,0.92,0.86,0.91,4.01,1.31,12.13,19.59,18.15,9.71,37.35,13-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Mar-2020 - 00:00,738.24,15.1,78.94,233.21,15.12,2.32,124.11,2.3,2.67,0.92,0.86,0.91,3.99,1.13,11.75,18.79,17.23,8.94,41.39,14-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Mar-2020 - 00:00,737.47,14.16,88.66,143.84,13.17,2.12,109.17,2.05,2.65,0.92,0.86,0.92,4.0,1.1,11.45,17.99,16.19,6.86,44.9,15-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Mar-2020 - 00:00,737.42,14.75,79.79,173.6,14.62,2.24,155.45,1.33,2.67,0.92,0.86,0.91,4.0,0.97,11.46,18.13,16.46,14.63,39.86,16-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Mar-2020 - 00:00,738.67,24.49,78.43,250.77,16.0,2.41,156.21,1.24,2.68,0.92,0.86,0.9,3.95,0.53,11.58,18.17,16.33,11.74,32.0,17-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Mar-2020 - 00:00,739.25,31.87,79.08,280.0,17.1,2.64,150.77,1.27,2.68,0.93,0.86,0.91,3.98,0.24,12.08,19.42,17.91,13.07,36.33,18-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Mar-2020 - 00:00,738.62,37.7,79.43,252.43,17.7,2.79,165.04,1.35,2.67,0.92,0.87,0.91,3.97,0.09,12.43,20.17,18.8,9.9,38.41,19-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Mar-2020 - 00:00,737.75,35.24,72.81,229.38,18.4,2.87,144.77,1.54,2.66,0.92,0.86,0.91,4.0,0.49,12.54,20.15,18.61,13.75,43.47,20-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Mar-2020 - 00:00,737.0,30.95,62.53,202.59,18.98,2.74,126.4,2.02,2.68,0.92,0.86,0.9,3.97,1.33,12.16,19.57,18.08,10.33,43.97,21-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Mar-2020 - 00:00,736.73,23.59,64.37,182.6,18.36,2.58,145.82,1.76,2.68,0.92,0.86,0.91,3.97,1.47,12.05,19.16,17.47,13.81,41.63,22-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Mar-2020 - 00:00,737.86,13.68,64.01,228.79,19.04,2.9,155.71,1.42,2.68,0.92,0.86,0.91,3.99,1.33,11.72,18.75,17.22,7.95,40.84,23-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Mar-2020 - 00:00,738.53,16.12,70.25,292.3,19.07,2.71,146.63,1.89,2.68,0.92,0.86,0.91,3.97,1.09,11.97,19.34,17.95,7.84,39.0,24-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Mar-2020 - 00:00,736.67,14.17,67.32,165.04,19.34,2.65,125.72,1.78,2.69,0.92,0.86,0.91,3.97,1.1,12.2,19.66,18.2,8.17,37.55,25-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Mar-2020 - 00:00,736.8,8.69,70.06,169.41,20.27,2.53,170.96,1.11,2.69,0.92,0.86,0.91,3.97,0.97,11.84,18.74,17.03,5.96,31.88,26-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Mar-2020 - 00:00,736.99,13.55,76.87,152.33,19.38,2.22,166.32,1.22,2.67,0.92,0.86,0.92,3.99,1.61,12.08,19.3,17.69,6.46,27.45,27-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Mar-2020 - 00:00,736.94,9.07,86.32,113.72,17.63,2.69,159.15,1.79,2.68,0.92,0.86,0.91,3.98,1.42,12.05,19.31,17.73,5.99,25.84,28-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Mar-2020 - 00:00,737.22,7.39,75.61,177.89,18.51,2.53,160.64,1.16,2.7,0.92,0.85,0.91,3.98,0.85,11.75,18.83,17.3,7.55,39.44,29-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Mar-2020 - 00:00,736.99,10.59,69.39,175.73,19.06,2.62,173.72,0.81,2.68,0.92,0.86,0.92,3.98,0.88,11.69,18.76,17.27,5.06,55.41,30-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Mar-2020 - 00:00,736.79,8.27,69.74,169.19,18.72,2.11,153.37,1.08,2.69,0.92,0.86,0.91,3.99,0.71,11.82,18.84,17.24,5.12,93.3,31-Mar-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
31-Mar-2020 - 00:00,736.41,15.78,73.83,123.08,18.27,2.22,131.73,1.85,2.67,0.92,0.86,0.91,3.99,0.34,11.7,18.6,16.95,7.52,44.26,01-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Apr-2020 - 00:00,736.24,15.84,56.62,171.38,21.02,1.94,152.31,1.41,2.68,0.92,0.85,0.9,3.96,0.25,12.17,19.51,17.97,8.4,19.56,02-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Apr-2020 - 00:00,736.62,13.97,60.55,191.71,19.49,2.18,147.85,1.16,2.68,0.92,0.86,0.91,3.98,0.32,11.77,18.68,17.01,8.28,32.91,03-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Apr-2020 - 00:00,737.22,11.52,52.38,253.9,19.07,2.39,177.94,1.13,2.67,0.92,0.85,0.91,4.02,0.19,11.5,18.26,16.64,7.57,32.44,04-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Apr-2020 - 00:00,737.72,10.44,54.71,282.7,19.81,3.63,153.05,1.27,2.68,0.92,0.86,0.91,3.98,0.15,11.6,18.26,16.44,8.87,28.96,05-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Apr-2020 - 00:00,737.14,11.02,52.36,251.18,20.66,2.01,132.29,1.82,2.68,0.92,0.86,0.91,3.97,0.16,11.77,18.83,17.28,8.63,28.3,06-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Apr-2020 - 00:00,736.47,11.53,50.86,213.95,22.05,1.98,148.05,1.64,2.67,0.92,0.86,0.92,3.96,0.1,12.13,19.6,18.19,7.64,28.33,07-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Apr-2020 - 00:00,736.86,10.84,54.65,215.66,20.34,2.07,130.64,1.6,2.68,0.92,0.86,0.91,3.98,0.12,11.9,18.99,17.39,8.35,25.83,08-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Apr-2020 - 00:00,736.02,19.39,49.66,171.38,21.0,1.91,184.44,1.52,2.68,0.92,0.87,0.91,3.98,0.08,12.7,20.42,18.87,16.38,28.83,09-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Apr-2020 - 00:00,736.0,20.53,50.61,170.17,21.24,2.23,172.35,1.18,2.67,0.91,0.85,0.92,3.99,0.09,12.16,19.58,18.11,9.05,29.23,10-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Apr-2020 - 00:00,735.98,28.32,50.44,170.79,22.37,2.01,149.4,1.44,2.7,0.92,0.86,0.92,4.0,0.05,12.47,20.06,18.51,11.3,28.38,11-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Apr-2020 - 00:00,735.99,21.17,48.02,183.71,23.62,1.89,149.8,1.28,2.69,0.92,0.86,0.9,3.98,0.03,13.44,22.06,20.8,15.62,29.02,12-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Apr-2020 - 00:00,736.12,23.2,54.87,167.4,23.25,1.83,175.82,1.37,2.67,0.92,0.86,0.92,3.99,0.51,13.11,21.01,19.35,12.66,29.96,13-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Apr-2020 - 00:00,736.08,27.78,53.53,168.94,24.25,1.93,152.52,1.3,2.68,0.92,0.86,0.91,3.97,2.01,12.97,20.96,19.5,18.43,29.01,14-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Apr-2020 - 00:00,735.91,26.02,49.48,172.2,25.7,1.92,109.53,1.97,2.67,0.93,0.86,0.91,3.99,1.3,13.13,21.2,19.69,13.75,30.99,15-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Apr-2020 - 00:00,735.73,35.19,44.89,172.53,26.75,1.83,128.6,1.89,2.7,0.92,0.86,0.91,3.99,0.86,13.76,22.61,21.34,16.12,30.7,16-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Apr-2020 - 00:00,735.79,49.56,46.15,170.05,25.36,1.88,155.29,1.34,2.68,0.92,0.86,0.92,3.97,0.56,13.87,22.43,20.85,14.08,29.72,17-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Apr-2020 - 00:00,735.56,26.26,51.11,139.86,23.6,1.93,118.67,1.62,2.69,0.92,0.85,0.91,3.99,0.61,13.06,21.37,20.1,10.49,29.71,18-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Apr-2020 - 00:00,737.66,15.76,57.65,266.12,22.51,1.89,143.26,3.02,2.68,0.91,0.87,0.91,3.99,0.67,12.57,20.44,19.09,11.65,30.7,19-Apr-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
