from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
06-Aug-2020 - 00:00,11.17,21.97,13.78,7.45,21.25,5.36,4.93,0.54,15.98,,,,,,27.16,96.78,0.38,95.36,0.0,996.25,72.57,07-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Aug-2020 - 00:00,15.76,35.65,12.64,6.16,18.76,7.11,5.69,0.5,17.91,,,,,,28.73,91.1,0.5,101.78,-0.01,998.45,101.35,08-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Aug-2020 - 00:00,17.39,36.51,7.96,4.92,12.88,6.63,5.56,0.44,26.69,,,,,,29.43,89.54,0.42,98.59,0.0,996.57,110.33,09-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Aug-2020 - 00:00,11.48,26.2,7.19,5.12,12.3,6.8,5.29,0.43,19.94,,,,,,29.0,86.98,0.62,96.94,-0.02,996.41,162.37,10-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Aug-2020 - 00:00,9.76,24.62,10.12,6.05,16.18,6.1,5.21,0.44,13.13,,,,,,29.85,84.3,0.65,97.48,-0.03,997.16,157.24,11-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Aug-2020 - 00:00,11.76,34.31,10.65,4.16,14.8,9.04,5.36,0.44,24.61,,,,,,30.17,83.84,0.68,109.87,-0.02,996.77,131.7,12-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Aug-2020 - 00:00,13.07,31.82,10.98,5.17,16.16,5.8,5.6,0.48,26.33,,,,,,30.26,82.77,0.57,107.27,-0.02,996.55,96.53,13-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Aug-2020 - 00:00,7.33,23.77,8.28,5.06,13.4,7.8,5.11,0.44,18.12,,,,,,29.97,82.35,0.72,93.58,-0.05,995.31,172.11,14-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Aug-2020 - 00:00,9.09,19.26,8.79,5.67,14.46,6.27,5.1,0.44,15.81,,,,,,29.36,87.68,0.43,77.03,-0.03,992.92,171.3,15-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Aug-2020 - 00:00,9.32,17.47,8.34,4.74,13.08,6.15,5.33,0.49,19.07,,,,,,28.3,93.76,0.56,79.66,-0.04,991.14,100.79,16-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Aug-2020 - 00:00,10.07,24.91,7.95,5.24,13.19,5.95,5.68,0.49,17.98,,,,,,28.86,89.68,0.69,101.11,-0.03,993.58,137.8,17-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Aug-2020 - 00:00,11.0,28.59,13.36,7.44,20.79,5.06,5.31,0.56,11.51,,,,,,27.45,95.53,0.52,99.98,-0.0,995.28,62.64,18-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Aug-2020 - 00:00,8.34,23.79,13.98,8.44,22.42,7.13,5.38,0.54,12.7,,,,,,27.53,94.37,0.42,98.15,0.0,995.59,73.43,19-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Aug-2020 - 00:00,6.73,19.13,8.57,5.43,14.01,6.21,4.24,0.45,13.23,,,,,,27.19,94.88,0.48,77.85,-0.03,993.0,109.31,20-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Aug-2020 - 00:00,7.02,14.71,3.86,4.4,8.27,6.44,4.28,0.42,17.24,,,,,,26.55,98.26,0.69,89.33,-0.04,995.44,57.96,21-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Aug-2020 - 00:00,9.42,19.43,11.79,4.85,16.63,6.73,4.44,0.44,13.69,,,,,,26.26,98.55,0.71,103.26,-0.02,999.27,42.02,22-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Aug-2020 - 00:00,14.63,33.6,21.14,12.93,34.07,3.94,4.32,0.68,13.48,,,,,,27.4,94.26,0.29,130.64,0.01,999.78,98.93,23-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Aug-2020 - 00:00,19.58,40.59,14.62,9.83,24.45,4.93,4.2,0.56,14.53,,,,,,27.95,93.18,0.29,180.27,0.01,999.07,91.53,24-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Aug-2020 - 00:00,18.09,43.49,25.1,7.46,32.56,7.72,5.34,0.65,18.16,,,,,,27.63,91.97,0.37,246.41,0.01,998.74,100.5,25-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Aug-2020 - 00:00,22.67,47.47,18.17,5.51,23.47,6.91,5.55,0.55,21.69,,,,,,29.39,84.49,0.44,255.41,-0.02,997.8,179.04,26-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Aug-2020 - 00:00,6.34,19.05,11.38,5.26,16.64,8.16,4.59,0.45,18.24,,,,,,27.41,93.97,0.66,138.42,-0.05,996.1,83.47,27-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Aug-2020 - 00:00,9.2,22.17,8.25,4.36,12.6,11.19,4.77,0.41,19.0,,,,,,26.58,96.35,0.79,104.25,-0.03,998.7,66.53,28-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Aug-2020 - 00:00,14.58,36.09,7.52,4.89,12.43,8.25,5.44,0.4,23.67,,,,,,28.58,88.65,0.75,123.24,-0.02,999.01,145.7,29-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-Aug-2020 - 00:00,19.77,46.35,6.57,4.26,10.83,7.55,5.03,0.42,33.07,,,,,,30.09,83.04,0.56,114.12,-0.01,999.45,166.99,30-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-Aug-2020 - 00:00,17.6,41.81,6.86,4.32,11.18,6.92,4.96,0.45,31.97,,,,,,30.91,81.21,0.41,170.42,0.01,999.3,179.56,31-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
31-Aug-2020 - 00:00,23.39,53.13,9.88,4.37,14.25,8.62,4.64,0.51,30.52,,,,,,31.01,83.08,0.38,188.41,0.01,999.44,120.54,01-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Sep-2020 - 00:00,21.75,45.81,19.44,11.49,30.93,5.39,4.34,0.58,12.82,,,,,,26.74,95.99,0.36,157.86,0.01,,40.52,02-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Sep-2020 - 00:00,14.62,33.97,19.16,12.95,32.11,4.59,4.35,0.52,10.0,,,,,,26.63,95.17,0.22,128.97,0.01,,104.79,03-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
