from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
20-Feb-2020 - 00:00,11.02,985.98,57.46,101.59,127.98,2.17,181.74,98.59,2.54,4.86,18.05,1.77,8.0,12.32,17.05,111.49,0.77,21-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Feb-2020 - 00:00,9.59,989.59,72.6,17.8,71.87,1.68,76.94,51.96,1.8,9.53,17.64,4.87,14.03,18.91,12.98,57.41,0.7,22-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Feb-2020 - 00:00,10.36,993.14,67.58,115.52,120.2,0.93,90.4,52.57,2.19,9.19,16.37,13.6,23.26,23.44,15.99,48.91,0.91,23-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Feb-2020 - 00:00,11.78,990.75,57.45,147.22,195.22,1.03,134.76,75.59,2.89,14.52,19.65,10.45,23.36,27.89,14.21,68.72,0.85,24-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Feb-2020 - 00:00,10.89,987.72,61.8,142.61,296.53,1.14,129.48,61.93,2.72,15.28,20.57,31.62,56.64,58.01,18.94,43.33,1.08,25-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Feb-2020 - 00:00,11.01,986.52,63.64,150.63,280.59,1.43,217.9,126.96,3.79,16.62,31.76,42.05,77.39,81.02,27.17,41.47,1.58,26-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Feb-2020 - 00:00,11.15,987.19,63.16,151.65,218.88,1.06,213.23,121.11,4.11,20.96,28.0,23.95,57.63,71.63,21.78,53.38,1.31,27-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Feb-2020 - 00:00,11.08,987.61,68.0,126.16,119.81,1.21,169.5,98.43,3.04,9.82,26.97,5.69,26.39,40.9,23.74,63.59,0.84,28-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Feb-2020 - 00:00,11.2,986.44,66.64,142.87,123.31,2.0,132.55,83.85,2.25,4.25,24.34,2.2,13.66,22.32,19.01,77.24,0.71,29-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Feb-2020 - 00:00,10.94,985.56,68.59,129.62,123.94,1.9,98.05,59.01,1.83,8.88,20.18,2.39,14.42,23.43,19.76,61.5,0.67,01-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Mar-2020 - 00:00,11.03,986.16,66.66,160.44,121.14,1.02,65.93,34.14,1.4,14.09,17.58,12.68,29.08,35.23,15.16,70.83,0.75,02-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Mar-2020 - 00:00,11.36,985.72,68.35,124.6,197.09,0.57,162.78,84.4,4.15,51.61,25.59,51.58,84.91,80.59,19.89,57.46,1.68,03-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Mar-2020 - 00:00,11.64,984.22,60.02,166.78,248.84,1.06,156.74,71.02,4.08,59.23,23.9,53.96,81.6,70.67,19.37,44.81,1.33,04-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Mar-2020 - 00:00,11.36,983.53,59.63,153.81,123.7,1.37,184.77,85.66,2.92,40.3,23.11,23.37,42.93,44.88,30.95,66.84,0.83,05-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Mar-2020 - 00:00,10.72,983.7,67.02,158.41,127.69,1.76,50.96,29.14,1.2,12.76,16.63,3.93,17.05,26.03,13.01,62.87,0.43,06-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Mar-2020 - 00:00,9.53,982.67,75.97,108.29,124.71,1.89,26.05,17.58,0.79,9.33,14.02,3.04,13.94,21.53,9.51,60.95,0.41,07-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Mar-2020 - 00:00,9.77,987.06,73.87,113.65,126.47,1.28,85.44,42.51,1.56,16.75,13.6,10.34,23.03,27.46,11.41,57.27,0.7,08-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
