from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
24-Aug-2020 - 00:00,1.21,93.3,7.78,34.93,42.71,9.62,32.36,49.23,26.7,1.44,5.87,144.41,27.21,166.63,0.34,0.71,0.39,0.0,0.41,0.2,25-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
25-Aug-2020 - 00:00,1.3,85.49,3.97,23.79,27.75,15.72,41.99,44.92,23.48,0.64,2.85,239.28,28.98,64.46,0.63,0.71,0.39,0.0,0.41,0.2,26-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
26-Aug-2020 - 00:00,1.13,94.72,3.48,17.52,20.99,17.13,35.9,16.63,9.51,0.7,1.88,128.97,27.16,85.36,0.97,0.71,0.39,0.0,0.41,0.2,27-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
27-Aug-2020 - 00:00,1.01,96.72,2.51,8.22,10.73,14.46,38.32,18.62,8.84,1.66,1.57,91.96,26.4,148.48,1.0,0.71,0.39,0.0,0.41,0.2,28-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
28-Aug-2020 - 00:00,1.14,89.92,3.6,17.18,20.78,10.72,37.72,37.01,18.49,1.68,6.26,172.19,28.11,195.01,0.98,0.71,0.39,0.0,0.41,0.2,29-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
29-Aug-2020 - 00:00,1.09,83.39,3.17,15.88,19.04,10.16,48.41,46.3,20.08,0.4,5.01,229.44,29.64,210.76,1.08,0.7,0.39,0.0,0.41,0.2,30-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
30-Aug-2020 - 00:00,1.2,81.94,3.12,17.5,20.62,8.5,49.38,49.2,21.31,,9.14,192.78,30.38,228.52,0.78,0.71,0.39,0.0,0.41,0.2,31-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
31-Aug-2020 - 00:00,1.25,84.13,2.8,12.72,15.51,7.64,48.91,50.68,25.16,,4.88,163.02,30.68,208.44,0.46,0.71,0.39,0.0,0.41,0.2,01-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
01-Sep-2020 - 00:00,1.28,96.42,14.41,31.64,46.03,6.64,25.05,45.82,25.34,0.46,4.64,61.07,26.4,188.54,0.42,0.71,0.39,0.0,0.41,0.2,02-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
02-Sep-2020 - 00:00,1.13,94.2,11.38,27.7,39.06,8.21,20.51,32.99,15.93,1.03,4.47,148.29,26.49,161.06,0.38,0.71,0.39,0.0,0.41,0.2,03-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
03-Sep-2020 - 00:00,1.13,85.65,4.36,22.3,26.65,9.56,23.5,26.48,12.56,0.4,4.27,198.49,28.48,160.48,0.57,0.71,0.39,0.0,0.41,0.2,04-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
04-Sep-2020 - 00:00,1.26,86.31,6.91,28.19,35.09,3.29,22.79,35.16,14.95,0.5,7.3,140.46,28.93,197.21,0.42,0.71,0.39,0.0,0.41,0.2,05-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
05-Sep-2020 - 00:00,1.11,81.08,2.66,16.83,19.46,5.45,26.85,36.77,13.8,,11.87,195.35,29.73,215.77,0.94,0.71,0.39,0.0,0.41,0.2,06-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
06-Sep-2020 - 00:00,1.07,82.1,2.08,12.77,14.79,6.27,27.95,26.25,11.71,,10.7,237.45,29.87,205.43,1.11,0.71,0.39,0.0,0.41,0.2,07-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
07-Sep-2020 - 00:00,1.11,82.31,0.55,9.79,10.15,7.65,30.73,20.37,8.46,,11.78,182.8,29.65,213.3,1.02,0.71,0.39,0.0,0.41,0.2,08-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
08-Sep-2020 - 00:00,1.26,87.79,4.05,25.29,29.32,4.12,28.78,28.48,10.25,7.52,5.11,157.4,28.76,201.62,0.77,0.71,0.39,0.0,0.41,0.2,09-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
09-Sep-2020 - 00:00,1.27,84.77,3.92,28.06,31.98,13.79,34.44,52.95,21.76,0.2,8.05,195.75,29.2,204.79,0.6,0.69,0.38,0.0,0.4,0.2,10-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
10-Sep-2020 - 00:00,1.33,88.89,3.97,18.03,21.99,13.45,35.34,32.08,17.14,0.3,8.32,150.09,28.8,211.44,0.76,0.71,0.39,0.0,0.41,0.2,11-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
11-Sep-2020 - 00:00,1.09,81.36,2.69,6.67,9.36,15.94,35.07,16.86,9.82,,8.57,205.08,29.39,189.04,0.82,0.71,0.39,0.0,0.41,0.2,12-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
12-Sep-2020 - 00:00,1.12,80.95,3.8,10.96,14.78,15.34,23.33,18.28,8.57,,4.53,161.51,29.53,182.45,0.7,0.71,0.39,0.0,0.41,0.2,13-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
13-Sep-2020 - 00:00,1.2,82.4,4.3,10.44,14.74,14.88,21.67,17.74,6.27,0.67,4.02,188.39,29.48,166.69,0.63,0.71,0.39,0.0,0.41,0.2,14-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
14-Sep-2020 - 00:00,1.19,81.35,5.1,13.27,18.38,15.99,21.13,27.21,7.22,0.4,4.09,188.2,29.64,151.59,0.7,0.68,0.38,0.0,0.39,0.19,15-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
15-Sep-2020 - 00:00,1.24,85.44,5.53,17.77,23.31,12.95,25.5,24.53,7.55,0.3,5.62,119.88,28.85,190.23,0.67,,,,,,16-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
16-Sep-2020 - 00:00,1.31,80.85,4.16,12.98,17.13,14.46,31.98,22.72,9.75,,5.81,242.13,29.96,186.99,0.92,,,,,,17-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
17-Sep-2020 - 00:00,1.3,80.18,2.47,9.42,11.88,15.73,45.96,24.7,10.98,,8.97,231.14,30.27,208.07,0.96,,,,,,18-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
18-Sep-2020 - 00:00,1.37,80.25,3.19,18.03,21.22,14.79,37.67,27.17,14.02,,5.75,233.34,30.05,175.5,0.53,,,,,,19-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
19-Sep-2020 - 00:00,1.39,80.18,4.88,26.06,30.93,12.22,41.59,48.63,21.55,,7.16,181.34,30.42,84.75,0.24,,,,,,20-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
20-Sep-2020 - 00:00,1.37,85.74,2.87,19.17,22.03,14.81,39.28,40.12,20.47,0.34,7.04,105.75,28.8,90.35,0.38,,,,,,21-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
21-Sep-2020 - 00:00,1.19,90.28,3.71,12.09,15.77,18.87,27.36,18.7,8.9,1.0,4.11,112.54,27.89,95.19,0.67,,,,,,22-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
22-Sep-2020 - 00:00,1.4,90.89,4.09,17.24,21.34,15.3,30.94,25.23,10.35,0.2,5.11,111.8,28.18,155.63,0.87,,,,,,23-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
23-Sep-2020 - 00:00,1.21,94.82,5.56,18.61,24.17,14.84,21.95,22.6,9.16,1.14,3.98,93.66,27.16,176.03,0.8,,,,,,24-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
24-Sep-2020 - 00:00,1.36,91.04,4.03,15.98,20.01,13.3,32.36,32.81,12.04,1.6,5.78,124.54,28.39,201.54,0.97,,,,,,25-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
25-Sep-2020 - 00:00,1.28,93.28,4.21,19.58,23.79,12.69,29.68,42.7,14.8,1.28,6.49,81.25,27.67,211.66,0.82,,,,,,26-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
26-Sep-2020 - 00:00,1.35,93.41,3.71,24.8,28.52,11.83,32.84,49.01,20.46,0.6,6.28,93.34,27.93,179.15,0.75,,,,,,27-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
27-Sep-2020 - 00:00,1.3,80.0,3.34,19.04,22.39,15.06,61.02,53.42,25.48,0.3,7.98,229.77,29.08,207.06,0.44,,,,,,28-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
28-Sep-2020 - 00:00,1.42,89.88,19.16,36.2,55.31,10.41,46.39,109.97,50.89,3.0,5.83,131.24,28.78,191.45,0.29,,,,,,29-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
