from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
08-Jun-2020 - 00:00,14.58,21.71,6.39,12.63,14.65,0.69,23.09,18.82,50.07,0.15,24.1,144.04,47.72,710.98,4.21,09-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jun-2020 - 00:00,13.81,21.98,6.43,12.24,15.28,0.7,22.15,18.07,50.83,0.1,24.32,138.66,48.6,710.6,3.54,10-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jun-2020 - 00:00,13.49,22.14,6.34,12.01,19.19,0.69,19.2,13.65,44.15,0.11,25.37,135.45,55.52,709.56,4.22,11-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jun-2020 - 00:00,13.26,22.22,6.48,11.99,17.39,0.7,19.0,13.59,28.19,0.11,26.09,140.67,64.33,708.7,4.91,12-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jun-2020 - 00:00,12.24,22.31,7.14,11.99,13.24,0.76,25.47,21.17,44.67,0.1,25.69,130.95,56.46,707.95,4.1,13-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jun-2020 - 00:00,12.55,22.23,7.11,12.14,12.02,0.76,25.02,20.9,52.23,0.11,25.48,115.69,57.25,708.45,4.26,14-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jun-2020 - 00:00,11.93,22.44,7.12,11.82,13.06,0.76,22.1,20.86,53.38,0.1,24.16,119.73,57.01,709.66,3.14,15-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jun-2020 - 00:00,12.25,22.32,7.18,12.03,11.81,0.77,21.94,19.84,55.02,0.1,23.87,120.32,54.7,709.76,3.22,16-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jun-2020 - 00:00,12.6,22.26,7.18,12.23,11.62,0.77,21.74,23.98,64.46,0.1,23.84,116.61,55.12,708.92,3.46,17-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jun-2020 - 00:00,12.98,22.17,7.2,12.44,13.04,0.77,19.69,24.71,71.52,0.1,24.66,116.74,58.43,709.71,3.57,18-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jun-2020 - 00:00,13.75,22.01,7.38,12.99,12.87,0.78,19.26,25.17,69.74,0.1,26.14,118.57,58.93,711.24,4.58,19-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jun-2020 - 00:00,14.43,21.98,7.53,13.48,14.6,0.8,19.29,25.34,75.64,0.12,24.29,129.12,55.67,711.57,3.75,20-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jun-2020 - 00:00,14.62,21.94,7.63,13.66,16.86,0.81,18.81,25.24,62.18,0.11,24.27,128.42,54.26,711.44,3.36,21-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jun-2020 - 00:00,12.96,22.38,7.36,12.56,14.03,0.78,18.23,25.04,55.54,0.1,25.33,130.48,57.5,710.57,3.66,22-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jun-2020 - 00:00,18.46,21.0,8.03,16.04,12.94,0.85,18.98,24.38,57.84,0.13,25.46,129.03,57.93,709.39,12.48,23-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jun-2020 - 00:00,28.11,18.46,8.82,21.8,16.41,0.91,22.16,27.66,70.32,0.13,25.7,132.85,52.11,710.43,31.67,24-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Jun-2020 - 00:00,28.51,18.62,8.64,21.87,17.33,0.9,20.36,34.82,72.61,0.2,23.46,163.3,61.71,710.6,28.6,25-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jun-2020 - 00:00,27.78,19.01,8.73,21.55,16.27,0.91,25.23,22.58,39.38,0.15,24.89,164.12,63.93,709.44,32.47,26-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jun-2020 - 00:00,30.42,18.44,6.42,21.08,18.06,0.69,21.88,24.52,48.33,0.28,24.21,153.49,61.95,709.03,44.28,27-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jun-2020 - 00:00,32.14,17.88,6.4,21.98,17.09,0.69,20.67,24.56,61.81,0.17,24.3,132.34,60.71,709.61,43.18,28-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Jun-2020 - 00:00,30.56,18.47,6.38,21.12,11.36,0.69,20.46,28.6,57.82,0.19,23.68,145.17,59.11,709.61,40.03,29-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jun-2020 - 00:00,31.61,18.31,6.38,21.68,11.99,0.69,18.2,28.85,54.95,0.21,24.69,157.92,62.97,708.99,49.33,30-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jun-2020 - 00:00,29.0,18.85,6.39,20.3,15.6,0.69,18.06,19.85,45.05,0.22,24.85,133.58,62.39,708.95,40.25,01-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Jul-2020 - 00:00,28.7,18.57,6.43,20.16,14.4,0.69,18.78,23.55,50.67,0.15,25.9,127.39,55.55,709.62,43.26,02-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jul-2020 - 00:00,28.9,18.83,6.4,20.25,15.23,0.69,15.54,18.08,37.36,0.12,26.12,125.41,65.38,709.32,43.29,03-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jul-2020 - 00:00,26.84,19.31,6.49,19.23,18.36,0.7,18.28,19.06,39.48,0.15,25.17,135.69,59.08,709.01,37.94,04-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jul-2020 - 00:00,24.33,19.59,6.39,17.82,14.72,0.69,16.51,22.45,49.12,0.15,26.08,128.8,57.98,708.56,41.94,05-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jul-2020 - 00:00,28.67,18.64,6.33,20.06,13.47,0.69,16.15,22.19,43.9,0.1,27.02,120.97,60.23,708.35,37.56,06-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jul-2020 - 00:00,31.0,18.4,6.48,21.43,10.47,0.7,15.36,23.96,56.99,0.15,25.6,124.88,62.99,708.83,37.37,07-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jul-2020 - 00:00,28.7,19.01,6.38,20.14,13.58,0.69,14.26,20.98,44.24,0.12,27.04,124.27,63.22,710.45,36.45,08-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jul-2020 - 00:00,29.61,18.64,6.32,20.56,18.58,0.69,14.62,20.53,50.68,0.14,25.6,126.95,64.14,711.41,37.8,09-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jul-2020 - 00:00,31.12,18.44,6.33,21.39,16.83,0.69,13.78,16.52,32.81,0.16,25.92,132.01,65.28,710.52,40.55,10-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jul-2020 - 00:00,20.13,19.91,6.39,15.28,15.84,0.69,16.54,20.01,48.77,9.14,25.64,132.57,54.73,710.34,32.8,11-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jul-2020 - 00:00,27.53,17.63,6.38,19.5,15.44,0.69,16.57,20.96,51.65,0.18,25.1,135.4,56.68,710.62,47.07,12-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jul-2020 - 00:00,28.59,17.44,6.28,19.99,17.76,0.68,17.78,18.38,31.55,0.1,24.43,137.57,61.76,710.36,38.15,13-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jul-2020 - 00:00,31.32,16.9,6.41,21.55,17.76,0.7,17.05,24.96,50.54,0.18,24.2,143.16,58.03,709.65,44.47,14-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jul-2020 - 00:00,28.68,17.71,6.4,20.14,23.49,0.69,14.38,19.62,46.52,0.14,22.74,136.11,63.32,709.46,32.42,15-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jul-2020 - 00:00,25.33,18.93,6.44,18.37,22.41,0.7,14.52,17.84,36.03,0.13,22.64,125.62,66.23,708.9,29.65,16-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jul-2020 - 00:00,27.59,18.33,6.39,19.54,14.72,0.69,11.91,15.83,30.17,0.13,24.88,121.43,69.49,707.98,35.3,17-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jul-2020 - 00:00,25.0,18.94,6.35,18.14,10.27,0.69,14.22,19.38,45.95,0.12,25.47,119.66,63.43,708.78,36.68,18-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
