from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
22-Jan-2020 - 00:00,95.24,168.15,50.3,78.89,28.53,20.96,5.82,1.4,6.05,3.2,0.04,1.04,1.81,1.13,14.52,82.44,0.32,186.93,758.91,149.63,,23-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
23-Jan-2020 - 00:00,85.77,171.44,64.67,102.26,37.48,21.36,5.97,1.18,4.92,1.91,0.03,0.85,1.36,0.81,16.19,68.71,0.67,238.1,757.03,162.31,,24-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
24-Jan-2020 - 00:00,62.05,139.58,53.41,74.53,21.03,22.12,6.18,0.87,5.21,1.0,0.01,0.35,0.61,0.35,14.98,62.82,0.71,208.17,756.95,175.94,,25-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
25-Jan-2020 - 00:00,102.32,186.31,60.5,96.68,36.23,24.87,6.02,1.29,6.3,3.14,0.04,0.97,1.59,1.05,15.1,75.52,0.28,224.41,756.92,145.83,,26-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
26-Jan-2020 - 00:00,123.67,246.31,55.05,101.42,46.39,26.07,5.95,1.55,5.09,4.47,0.04,1.38,2.4,1.41,14.55,83.36,0.43,231.3,755.64,90.91,,27-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
27-Jan-2020 - 00:00,97.31,203.82,50.33,77.42,26.99,29.69,5.91,1.32,5.57,3.32,0.03,1.25,1.86,1.04,15.68,81.74,0.48,215.86,754.71,125.66,,28-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
28-Jan-2020 - 00:00,88.76,225.71,72.35,99.81,31.2,36.3,7.07,0.88,9.79,3.86,0.04,1.39,2.23,1.17,17.52,77.46,0.34,107.14,754.5,93.09,,29-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
29-Jan-2020 - 00:00,73.35,208.31,40.77,49.74,8.94,33.45,6.38,0.29,11.06,3.15,0.11,1.09,1.62,0.89,18.51,80.75,0.36,80.16,755.85,126.57,,30-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
30-Jan-2020 - 00:00,87.26,207.93,46.5,64.65,18.04,34.88,5.7,1.37,5.26,3.57,0.03,1.29,1.97,1.06,17.16,89.39,0.65,236.63,755.83,51.34,,31-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
31-Jan-2020 - 00:00,37.72,110.75,47.07,76.33,29.47,34.3,6.05,0.84,8.73,1.75,0.17,1.04,1.76,0.79,16.37,67.39,0.78,240.88,755.99,180.58,,01-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
01-Feb-2020 - 00:00,58.35,166.67,57.25,95.22,37.87,34.95,6.22,1.03,6.15,3.35,0.09,1.4,4.16,1.99,16.29,61.19,0.58,236.73,757.59,177.9,,02-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
02-Feb-2020 - 00:00,38.85,152.1,40.38,51.12,10.66,30.88,6.23,0.69,7.42,4.7,0.12,0.91,6.32,3.4,16.74,55.69,1.02,287.67,758.58,183.25,,03-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
03-Feb-2020 - 00:00,50.08,162.46,55.23,95.24,42.53,25.42,6.36,1.1,8.12,5.96,0.12,0.9,6.72,3.55,16.21,59.65,0.59,235.14,757.82,176.82,,04-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
04-Feb-2020 - 00:00,88.57,219.21,76.93,168.52,91.44,15.71,6.35,1.61,7.37,13.14,0.22,2.01,16.03,7.84,16.41,66.03,0.23,177.69,755.36,157.56,,05-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
05-Feb-2020 - 00:00,75.97,168.61,59.33,85.09,25.43,24.33,6.63,0.97,10.03,7.55,0.16,1.31,9.58,4.81,17.52,62.18,0.7,239.9,754.11,162.94,,06-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
06-Feb-2020 - 00:00,74.9,215.05,63.11,130.81,67.69,23.37,6.35,1.39,5.74,7.28,0.15,1.25,9.14,4.47,16.99,62.08,0.49,240.23,755.11,166.38,,07-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
07-Feb-2020 - 00:00,94.19,237.0,72.28,158.69,86.32,21.8,6.53,1.49,5.35,10.96,0.2,1.91,15.1,6.81,16.81,66.32,0.32,180.81,756.1,153.09,,08-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
08-Feb-2020 - 00:00,79.31,187.26,58.7,93.26,34.46,26.38,6.93,0.86,7.33,7.43,0.2,1.32,9.75,4.7,17.87,54.09,0.57,267.78,757.27,147.17,,09-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
09-Feb-2020 - 00:00,80.77,207.75,68.75,106.54,37.72,22.3,6.9,1.02,6.12,6.36,0.14,1.05,7.4,3.83,16.74,54.71,0.58,227.98,757.91,163.02,,10-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
10-Feb-2020 - 00:00,72.81,197.88,59.69,78.28,19.1,27.41,6.88,0.9,8.03,5.85,1.06,1.05,7.52,3.75,17.68,56.5,0.66,271.84,756.62,162.17,,11-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
11-Feb-2020 - 00:00,83.23,189.99,62.64,88.92,26.18,25.98,7.52,1.02,7.75,6.79,0.36,1.07,7.53,3.93,17.7,58.99,0.6,230.12,756.86,174.92,,12-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
12-Feb-2020 - 00:00,83.85,189.08,65.72,81.89,16.05,26.59,7.13,1.04,9.26,6.46,9.16,0.98,6.86,3.56,17.88,57.38,0.69,238.79,756.15,173.95,,13-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
13-Feb-2020 - 00:00,91.03,234.35,76.65,114.66,37.88,23.67,7.06,1.34,9.54,7.8,9.69,1.16,8.21,4.18,18.48,67.13,0.62,232.53,753.28,133.68,,14-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
14-Feb-2020 - 00:00,86.67,220.48,65.96,99.05,32.99,25.75,6.79,1.2,7.75,8.91,17.97,1.44,9.76,5.15,19.87,74.99,0.64,252.18,750.34,149.72,,15-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
15-Feb-2020 - 00:00,55.81,176.66,57.17,77.36,20.14,30.17,6.87,0.88,8.93,6.38,5.07,1.2,7.97,4.14,19.76,61.22,0.75,254.74,752.39,164.08,,16-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
16-Feb-2020 - 00:00,60.22,200.75,69.05,108.78,39.62,28.54,6.74,1.04,7.72,6.58,0.98,1.28,8.8,4.54,19.45,60.76,0.5,224.86,754.54,166.47,,17-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
17-Feb-2020 - 00:00,74.25,221.68,80.35,122.58,42.07,30.64,6.66,1.23,15.8,9.2,1.03,1.58,12.62,5.39,20.39,62.76,0.57,257.99,754.67,155.35,,18-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
18-Feb-2020 - 00:00,68.49,215.79,78.19,109.46,31.07,33.87,7.1,1.28,6.07,8.12,0.42,1.57,12.14,5.34,20.36,59.73,0.69,241.24,753.53,168.34,,19-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
19-Feb-2020 - 00:00,72.72,203.69,73.78,109.83,36.04,38.97,7.16,1.14,8.17,9.67,0.42,1.39,10.42,4.78,20.07,58.1,0.37,208.11,754.41,154.73,,20-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
20-Feb-2020 - 00:00,80.98,209.51,67.83,104.53,36.62,39.99,8.28,1.13,9.61,10.3,0.37,1.37,9.24,5.03,20.99,61.67,0.28,95.31,754.71,136.52,,21-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
21-Feb-2020 - 00:00,78.34,194.77,37.43,61.96,25.8,31.3,6.87,0.97,12.87,7.02,0.2,0.79,5.73,3.13,21.68,76.76,0.52,66.02,756.27,108.73,,22-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
22-Feb-2020 - 00:00,46.55,125.17,58.99,78.27,19.18,33.63,6.52,1.0,9.21,6.14,0.2,1.13,7.66,4.03,21.98,71.24,0.34,144.37,757.06,102.89,,23-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
23-Feb-2020 - 00:00,53.1,146.26,56.3,78.94,22.88,29.61,6.98,0.97,11.77,0.73,0.03,0.12,0.87,0.46,22.43,71.5,0.29,111.96,755.05,122.1,,24-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
24-Feb-2020 - 00:00,36.56,124.59,57.56,79.76,23.03,29.92,6.71,0.83,13.09,2.47,0.27,0.4,3.16,1.79,22.78,65.55,0.44,125.08,753.38,173.65,,25-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
25-Feb-2020 - 00:00,33.22,85.03,31.83,42.46,10.48,32.14,6.28,0.76,8.08,3.95,0.14,0.42,4.34,2.15,18.43,81.52,0.66,114.43,754.32,53.9,,26-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
26-Feb-2020 - 00:00,28.6,72.3,37.93,56.55,18.99,26.56,6.16,0.66,5.93,4.11,0.13,0.51,5.15,2.86,18.61,83.5,0.46,124.61,755.79,116.25,,27-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
27-Feb-2020 - 00:00,35.28,94.34,46.91,71.54,24.64,29.48,5.85,0.87,8.12,3.55,0.11,0.52,4.4,2.53,18.5,85.76,0.31,204.67,756.39,94.1,,28-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
28-Feb-2020 - 00:00,68.9,178.58,58.5,112.74,54.16,31.24,6.22,1.27,5.58,1.0,0.73,0.14,1.06,0.63,20.18,78.87,0.28,165.8,755.81,170.21,,29-Feb-2020 - 00:00,"Muradpur, Patna - BSPCB"
29-Feb-2020 - 00:00,76.31,151.3,47.25,83.35,37.84,37.72,6.38,1.05,8.62,3.18,0.13,0.57,3.52,1.94,21.0,77.85,0.2,161.99,754.48,141.3,,01-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
01-Mar-2020 - 00:00,63.95,137.32,51.81,76.96,25.45,33.56,5.95,0.97,6.45,1.76,0.06,0.26,1.63,0.82,22.2,70.04,0.36,232.07,754.5,180.91,,02-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
02-Mar-2020 - 00:00,61.02,156.81,52.96,80.84,27.85,38.63,6.17,1.11,10.14,2.14,1.24,0.44,3.63,1.74,22.84,74.16,0.31,200.91,753.64,139.08,,03-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
03-Mar-2020 - 00:00,70.37,202.89,55.22,90.37,37.71,39.07,6.37,0.98,8.25,4.03,1.02,0.65,4.66,2.67,22.8,74.57,0.41,212.91,752.84,160.45,,04-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
04-Mar-2020 - 00:00,75.82,206.55,53.18,102.11,48.87,28.87,6.27,1.08,4.24,4.38,0.27,0.55,4.69,2.7,21.87,78.78,0.21,164.36,753.1,101.19,,05-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
05-Mar-2020 - 00:00,96.69,191.42,37.92,38.68,7.73,35.18,7.9,0.67,,2.9,0.12,0.3,2.76,1.52,25.93,62.12,0.47,83.37,752.07,136.68,,06-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
06-Mar-2020 - 00:00,32.38,121.15,30.85,40.51,9.99,39.25,7.3,0.55,1.78,3.59,0.12,0.34,3.59,2.14,22.93,68.65,0.98,92.31,753.51,177.12,,07-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
07-Mar-2020 - 00:00,34.4,88.83,29.56,42.77,13.18,30.89,6.53,0.61,10.78,2.55,0.08,0.25,3.09,1.85,21.88,78.85,0.61,107.03,754.64,136.29,,08-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
08-Mar-2020 - 00:00,36.52,97.52,27.96,42.1,14.1,33.79,6.09,0.58,11.13,1.85,0.05,0.14,1.78,1.14,22.43,71.79,0.92,285.81,754.58,182.12,,09-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
09-Mar-2020 - 00:00,35.58,103.33,36.07,41.46,5.34,34.46,6.27,0.65,12.43,1.7,0.06,0.23,2.34,1.35,21.56,59.3,1.01,238.1,753.79,201.55,,10-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
10-Mar-2020 - 00:00,84.77,137.83,29.11,38.5,9.34,32.92,6.66,0.97,17.13,6.78,0.16,0.59,5.27,3.08,21.27,58.86,0.68,257.47,754.02,134.81,,11-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
11-Mar-2020 - 00:00,52.73,124.01,34.06,45.97,11.87,26.36,6.38,0.79,16.59,4.6,0.13,0.46,4.83,2.87,21.7,63.36,0.42,227.41,753.68,104.08,,12-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
12-Mar-2020 - 00:00,48.46,115.14,46.37,73.95,27.9,25.62,6.44,0.99,11.4,5.3,0.29,0.87,6.72,3.51,24.69,68.02,0.38,167.06,754.42,189.77,,13-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
13-Mar-2020 - 00:00,50.49,92.93,39.23,57.08,27.75,24.34,6.06,0.71,10.5,5.73,0.21,0.85,6.93,3.74,22.12,85.08,0.46,92.23,755.96,53.88,,14-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
14-Mar-2020 - 00:00,28.51,44.76,32.66,41.63,8.94,,5.8,0.59,7.15,3.58,3.19,0.44,5.11,2.88,19.21,94.04,0.47,118.64,756.13,33.73,,15-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
15-Mar-2020 - 00:00,34.35,67.43,31.11,39.37,8.26,,6.23,0.64,6.23,3.55,0.55,0.4,5.05,3.05,21.75,82.07,0.44,229.44,755.55,187.74,,16-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
16-Mar-2020 - 00:00,43.89,118.99,37.96,45.6,8.33,,6.53,0.63,7.75,3.97,0.18,0.5,5.11,3.07,23.47,64.66,0.79,261.96,755.62,193.21,,17-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
17-Mar-2020 - 00:00,39.84,130.48,42.15,48.31,6.11,,6.67,0.67,13.42,3.79,0.14,0.44,4.05,2.66,22.95,60.43,0.73,280.16,756.08,203.55,,18-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
18-Mar-2020 - 00:00,46.78,139.19,51.49,61.55,9.97,,6.91,0.71,14.95,4.17,0.13,0.51,4.68,2.68,23.78,56.5,0.97,253.22,754.69,203.82,,19-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
19-Mar-2020 - 00:00,47.01,147.91,51.29,63.69,12.32,,7.7,0.69,17.29,4.79,0.51,0.39,3.65,2.18,24.33,54.96,0.93,248.15,753.22,166.09,,20-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
20-Mar-2020 - 00:00,35.25,132.34,54.84,77.62,22.91,,7.64,0.92,16.48,4.07,0.16,0.54,4.86,2.83,24.76,54.14,0.62,248.3,752.82,204.5,,21-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
21-Mar-2020 - 00:00,89.15,224.85,45.92,59.06,13.56,,8.62,0.97,16.97,7.41,0.18,0.79,5.74,3.44,24.03,63.72,0.58,166.24,753.11,119.87,,22-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
22-Mar-2020 - 00:00,62.89,109.83,29.48,42.97,13.53,,4.56,0.67,17.39,4.54,0.12,0.3,3.51,2.61,24.34,62.98,0.52,171.14,754.16,201.11,,23-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
23-Mar-2020 - 00:00,42.66,105.22,26.99,36.19,9.74,,4.71,0.62,19.81,3.13,0.1,0.32,3.15,2.31,24.77,66.02,0.64,121.5,753.67,214.09,,24-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
24-Mar-2020 - 00:00,61.13,109.87,28.27,38.62,10.64,,4.43,0.71,22.84,4.34,0.13,0.29,3.65,2.52,25.96,62.63,0.3,150.39,752.53,194.13,,25-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
25-Mar-2020 - 00:00,63.74,118.03,21.35,25.86,4.48,,4.53,0.69,25.37,4.67,0.15,0.33,3.25,2.54,27.4,58.84,0.53,210.7,751.45,193.84,,26-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
26-Mar-2020 - 00:00,45.53,126.97,17.77,21.51,3.72,,4.84,0.57,22.07,3.28,0.1,0.31,2.89,2.21,28.17,47.96,1.05,262.63,751.78,229.78,,27-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
27-Mar-2020 - 00:00,47.75,142.82,17.31,20.94,3.62,,4.62,0.55,16.48,3.31,0.1,0.28,2.69,1.95,28.38,46.72,1.17,281.08,752.79,216.88,,28-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
28-Mar-2020 - 00:00,25.28,100.26,14.18,17.28,3.1,,4.09,0.42,12.55,1.77,0.05,0.24,1.7,1.3,27.05,53.5,1.72,268.68,752.19,236.15,,29-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
29-Mar-2020 - 00:00,23.03,90.6,16.45,19.08,2.62,,4.13,0.4,11.39,1.74,0.06,0.2,1.8,1.26,27.49,39.35,1.71,270.78,751.18,241.3,,30-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
30-Mar-2020 - 00:00,26.46,109.05,19.0,21.5,2.49,,4.47,0.45,16.42,1.83,0.06,0.15,1.76,1.24,27.55,31.6,1.43,273.02,751.79,241.93,,31-Mar-2020 - 00:00,"Muradpur, Patna - BSPCB"
31-Mar-2020 - 00:00,39.96,107.9,23.94,27.3,3.33,,4.78,0.6,15.76,2.99,0.08,0.21,2.78,1.74,27.14,37.83,0.88,235.89,752.04,242.61,,01-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
01-Apr-2020 - 00:00,49.49,113.66,24.09,31.9,8.38,,4.79,0.68,21.6,2.94,0.09,0.23,2.22,1.33,28.95,35.61,0.59,223.56,750.85,228.31,,02-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
02-Apr-2020 - 00:00,47.07,123.37,20.1,22.94,2.81,,4.89,0.62,17.58,0.0,0.0,0.0,0.0,0.0,30.03,36.04,0.7,242.85,749.97,220.99,,03-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
03-Apr-2020 - 00:00,30.03,113.2,15.81,18.16,2.34,,4.71,0.48,16.78,0.0,0.0,0.0,0.0,0.0,29.06,27.51,1.23,301.84,751.7,244.71,,04-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
04-Apr-2020 - 00:00,36.31,98.07,22.21,26.7,4.6,,5.09,0.57,15.74,0.0,0.0,0.0,0.0,0.0,28.11,26.05,0.76,234.17,752.57,243.36,,05-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
05-Apr-2020 - 00:00,48.97,104.84,20.02,22.55,2.5,,5.16,0.59,18.37,0.0,0.0,0.0,0.0,0.0,28.96,25.01,0.72,237.69,752.79,233.86,,06-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
06-Apr-2020 - 00:00,46.07,200.95,18.35,20.86,2.49,,5.29,0.5,16.66,0.0,0.0,0.0,0.0,0.0,30.16,25.49,1.14,258.01,751.22,220.6,,07-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
07-Apr-2020 - 00:00,38.44,128.3,18.96,21.4,2.36,,5.03,0.51,16.32,0.0,0.0,0.0,0.0,0.0,31.15,23.61,1.1,254.18,749.65,232.66,,08-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
08-Apr-2020 - 00:00,49.32,167.54,20.98,23.48,2.48,,5.26,0.63,16.36,0.0,0.0,0.0,0.0,0.0,29.99,29.07,0.86,234.45,750.51,190.87,,09-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
09-Apr-2020 - 00:00,49.72,139.7,22.51,24.42,2.41,,7.57,0.61,22.95,0.95,0.04,0.05,0.61,0.63,30.04,32.67,0.73,225.96,751.16,192.45,,10-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
10-Apr-2020 - 00:00,53.28,132.23,22.32,24.66,2.31,,5.02,0.66,31.56,2.54,0.09,0.12,1.75,1.17,30.67,29.62,0.44,176.19,752.39,215.16,,11-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
11-Apr-2020 - 00:00,69.44,191.84,21.07,23.51,2.43,,5.02,0.76,28.69,2.81,0.1,0.29,2.34,1.56,29.34,50.48,0.49,124.33,752.8,188.56,,12-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
12-Apr-2020 - 00:00,56.02,177.82,16.67,18.92,2.24,,5.72,0.62,33.97,3.62,0.12,0.46,2.66,1.89,29.64,49.73,0.71,111.55,751.45,188.87,,13-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
13-Apr-2020 - 00:00,44.22,128.69,13.92,16.2,2.27,,5.01,0.58,27.95,2.94,0.09,0.43,2.22,1.64,29.83,57.87,0.73,96.12,750.7,187.28,,14-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
14-Apr-2020 - 00:00,54.86,142.25,17.47,22.57,5.12,,5.08,0.65,37.67,2.0,0.05,0.26,1.25,0.91,31.41,55.4,0.68,72.61,751.18,181.24,,15-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
15-Apr-2020 - 00:00,29.06,93.62,14.66,17.94,3.29,,4.43,0.45,19.88,0.0,0.0,0.0,0.0,0.0,27.76,58.44,0.8,87.76,751.76,172.58,,16-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
16-Apr-2020 - 00:00,39.46,85.83,21.56,30.94,10.11,,5.11,0.56,21.76,1.68,0.05,0.29,1.2,1.08,27.84,66.19,0.81,75.67,749.65,187.64,,17-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
17-Apr-2020 - 00:00,41.57,96.03,12.16,14.44,2.28,,5.32,0.6,32.93,2.87,0.07,0.45,2.26,1.66,28.9,68.88,0.84,78.41,749.13,174.46,,18-Apr-2020 - 00:00,"Muradpur, Patna - BSPCB"
