from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM10,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
22-Apr-2020 - 00:00,,223.76,742.75,156.72,,14.18,11.08,4.57,0.91,0.0,,11.52,33.97,0.43,,27.89,9.21,15.89,23-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Apr-2020 - 00:00,,201.6,742.6,84.24,,14.18,10.79,4.19,1.0,0.0,,11.49,32.51,0.52,,28.14,8.97,12.47,24-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Apr-2020 - 00:00,,155.48,741.32,147.87,,14.53,11.59,4.98,1.05,-0.01,,11.86,39.94,0.48,,28.26,8.66,18.37,25-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Apr-2020 - 00:00,,187.39,741.28,129.53,,12.45,9.92,4.25,1.04,-0.02,,11.37,33.71,0.56,,29.39,9.58,10.9,26-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Apr-2020 - 00:00,,127.8,742.56,85.47,,12.02,9.68,4.24,0.61,0.01,,11.02,52.78,0.85,,25.24,9.67,18.08,27-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Apr-2020 - 00:00,,117.73,743.85,154.93,,11.83,9.63,4.29,0.87,0.01,,11.35,60.85,1.15,,24.88,9.98,11.43,28-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Apr-2020 - 00:00,,115.25,743.73,136.53,,22.89,15.68,4.62,0.95,-0.0,,14.27,52.12,0.93,,27.2,18.9,11.07,29-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Apr-2020 - 00:00,282.25,158.78,742.48,132.03,344.65,24.25,17.72,6.27,1.02,0.0,,25.21,49.46,0.76,600.03,29.19,20.06,13.87,30-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Apr-2020 - 00:00,353.79,160.76,742.17,142.97,366.5,27.73,18.49,4.96,1.66,0.0,,45.1,45.47,0.55,737.75,30.33,24.34,9.3,01-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-May-2020 - 00:00,349.59,113.0,741.37,139.51,335.12,27.37,18.39,5.08,2.02,0.01,,56.31,53.54,0.73,707.82,30.0,24.41,9.63,02-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-May-2020 - 00:00,261.26,121.77,741.36,143.83,300.19,23.59,15.97,4.54,1.24,0.0,,33.28,52.08,1.67,560.89,29.13,27.68,9.57,03-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-May-2020 - 00:00,321.93,134.38,741.92,88.22,317.94,24.82,16.97,4.97,0.3,0.04,,30.34,59.9,1.57,691.44,27.33,23.08,10.29,04-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-May-2020 - 00:00,239.87,102.09,743.21,142.61,342.82,23.87,16.48,4.98,0.75,0.03,,29.81,55.59,1.06,582.74,27.04,23.92,10.05,05-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-May-2020 - 00:00,297.03,171.46,742.17,151.54,402.62,28.82,19.85,5.95,0.8,0.04,,68.28,44.51,1.01,645.48,29.8,22.9,9.34,06-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-May-2020 - 00:00,410.16,123.53,742.1,105.39,364.24,29.98,19.49,4.74,0.91,0.03,,70.83,44.23,0.84,813.43,28.74,22.65,8.6,07-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-May-2020 - 00:00,355.06,132.53,742.7,163.35,326.28,21.15,14.65,4.47,0.59,0.0,,43.66,38.32,0.77,735.93,28.39,18.2,6.93,08-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-May-2020 - 00:00,176.79,162.15,741.37,151.8,336.0,25.96,17.05,4.33,0.58,0.0,,48.83,40.4,0.69,569.93,31.11,20.38,6.47,09-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-May-2020 - 00:00,0.0,143.65,741.99,144.87,270.87,25.07,16.71,4.48,0.68,-0.01,,50.86,40.53,0.93,0.0,32.43,20.99,2.07,10-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-May-2020 - 00:00,,120.63,742.98,65.2,,26.62,17.58,4.56,0.36,0.04,,47.47,53.67,1.04,,26.91,21.0,3.9,11-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-May-2020 - 00:00,,132.96,743.41,128.92,,30.61,19.92,4.87,0.78,0.0,,40.41,54.84,0.69,,27.29,20.17,4.7,12-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-May-2020 - 00:00,,93.99,743.45,115.31,315.83,26.96,17.97,4.81,0.57,0.0,,48.27,49.25,0.91,,29.23,19.24,4.25,13-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-May-2020 - 00:00,,165.44,742.42,89.91,383.31,33.79,23.24,6.94,0.21,0.01,,64.81,52.13,0.78,,29.25,33.81,3.31,14-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-May-2020 - 00:00,,181.42,741.71,147.66,434.29,39.35,29.93,11.98,0.45,0.02,,67.63,49.69,0.97,900.0,30.51,26.19,11.02,15-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-May-2020 - 00:00,,314.09,745.56,141.23,346.58,43.58,27.9,6.35,0.86,0.09,,47.67,38.17,1.8,900.0,32.53,22.89,8.14,16-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-May-2020 - 00:00,,305.31,744.15,160.62,381.54,46.07,28.03,4.88,0.57,0.08,,62.94,29.28,1.66,,33.77,16.11,0.93,17-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-May-2020 - 00:00,,269.67,741.59,138.26,434.09,49.37,29.76,4.88,1.09,0.01,,82.56,26.15,1.28,,34.64,14.88,2.88,18-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-May-2020 - 00:00,,277.75,740.26,147.76,454.61,57.08,34.0,5.15,0.91,0.02,,98.31,24.05,1.07,,36.61,9.16,7.76,19-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-May-2020 - 00:00,,177.78,740.14,143.93,474.11,55.45,33.56,5.66,1.39,0.0,,99.29,23.55,0.52,,34.87,13.11,6.1,20-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-May-2020 - 00:00,,320.14,740.13,157.6,373.85,47.11,28.39,4.66,0.68,0.08,,66.16,16.99,1.8,,36.2,20.02,4.35,21-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-May-2020 - 00:00,,306.03,739.62,160.76,418.15,58.76,34.56,4.74,0.88,0.11,,63.97,17.85,1.89,,39.14,17.87,6.9,22-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-May-2020 - 00:00,,215.27,739.1,148.1,546.21,69.75,42.27,7.19,1.42,-0.0,,93.61,23.18,0.77,,37.61,15.74,14.25,23-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-May-2020 - 00:00,157.91,243.89,739.27,135.11,359.45,67.77,47.46,14.97,1.26,0.01,,83.75,24.06,0.65,349.99,38.41,22.86,6.49,24-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-May-2020 - 00:00,130.69,256.13,739.49,148.38,207.54,42.22,26.44,5.42,0.94,0.06,,87.75,22.7,0.74,344.7,39.38,23.35,17.53,25-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-May-2020 - 00:00,196.98,277.02,739.07,152.09,226.99,41.26,25.14,4.43,0.91,0.04,,55.95,19.6,0.78,440.58,40.39,23.74,10.17,26-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-May-2020 - 00:00,207.32,231.92,738.42,151.41,244.48,49.18,30.72,6.21,0.76,0.02,,53.08,20.28,0.72,383.91,41.95,21.41,6.44,27-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-May-2020 - 00:00,232.23,135.9,737.81,140.63,174.51,36.09,22.58,4.61,0.74,-0.02,,55.98,22.09,0.81,474.85,36.73,20.89,12.65,28-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-May-2020 - 00:00,78.28,127.83,738.83,133.58,72.65,25.58,17.07,4.59,0.18,0.04,,55.85,44.48,2.16,150.02,33.37,23.58,9.26,29-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-May-2020 - 00:00,203.09,120.0,741.97,126.28,83.41,30.78,20.28,5.22,0.1,0.0,,25.48,56.29,1.68,296.26,29.06,20.21,13.16,30-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-May-2020 - 00:00,245.65,156.52,743.48,147.15,77.69,26.92,18.09,5.0,0.1,0.0,,22.43,58.32,1.49,330.25,27.47,20.42,10.89,31-May-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-May-2020 - 00:00,153.56,142.25,745.29,138.02,85.05,27.47,18.29,4.88,0.1,0.08,,18.82,73.62,1.2,281.73,24.47,24.47,9.75,01-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Jun-2020 - 00:00,324.59,71.67,745.37,152.43,160.63,34.91,22.88,5.75,0.25,0.01,,42.04,67.85,0.55,597.85,27.06,15.28,12.18,02-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jun-2020 - 00:00,318.54,148.98,744.77,138.83,176.6,35.27,23.76,6.61,0.27,0.04,,43.33,59.6,1.85,513.8,30.06,13.38,10.84,03-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jun-2020 - 00:00,429.0,138.71,742.73,145.09,266.07,44.08,28.33,6.56,0.79,-0.01,,66.98,52.34,1.82,704.49,31.3,14.76,10.2,04-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jun-2020 - 00:00,489.88,123.61,743.11,88.09,358.56,50.47,33.2,8.47,0.89,-0.01,,76.5,56.54,1.39,845.31,29.78,17.02,9.84,05-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jun-2020 - 00:00,464.92,133.5,741.65,114.92,272.54,34.86,21.72,4.33,0.63,0.01,,44.67,60.18,0.91,828.02,28.61,21.3,7.07,06-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jun-2020 - 00:00,450.26,131.52,740.96,136.94,274.94,26.54,17.12,4.03,0.47,0.01,,34.45,57.77,0.86,760.52,29.18,18.8,7.62,07-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jun-2020 - 00:00,441.04,121.26,740.66,110.93,269.56,25.81,16.53,3.77,0.43,0.04,,39.45,56.05,0.71,796.78,29.15,18.96,7.95,08-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jun-2020 - 00:00,,177.02,740.42,145.0,289.68,23.46,15.59,4.15,0.63,0.05,,69.62,52.85,0.53,866.77,31.56,15.47,10.34,09-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jun-2020 - 00:00,,201.47,740.17,139.99,384.19,24.7,16.74,4.76,0.68,0.04,,60.9,48.49,0.58,920.56,35.29,13.99,9.03,10-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jun-2020 - 00:00,464.17,186.15,739.95,137.69,412.02,22.43,15.81,5.08,0.74,0.02,,77.28,50.24,0.6,854.01,40.69,13.21,5.4,11-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jun-2020 - 00:00,456.55,155.54,740.17,145.29,315.6,14.61,11.01,4.21,0.59,0.03,,68.86,49.95,0.42,813.92,39.29,14.36,8.11,12-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jun-2020 - 00:00,200.0,152.23,739.22,131.64,261.46,21.08,13.87,3.54,0.67,0.0,,66.99,49.85,0.67,826.62,38.41,26.82,3.41,13-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jun-2020 - 00:00,,151.47,739.23,89.55,246.87,27.01,17.51,4.21,0.66,0.01,,66.76,57.35,0.96,,34.09,31.01,2.05,14-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jun-2020 - 00:00,,73.63,739.85,125.51,245.44,29.46,20.69,6.59,0.89,0.02,,97.09,56.86,0.47,967.1,35.74,25.22,10.43,15-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jun-2020 - 00:00,,201.46,738.67,145.15,227.88,22.11,15.57,4.99,0.68,0.02,,46.0,44.83,0.64,,40.48,25.06,6.88,16-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jun-2020 - 00:00,,129.66,737.14,142.69,199.35,19.59,13.64,4.24,0.46,0.01,,39.98,44.89,1.01,988.62,35.89,25.6,7.64,17-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jun-2020 - 00:00,271.4,124.18,737.65,148.63,173.73,15.94,11.31,3.7,0.56,0.01,,40.34,53.7,1.49,523.3,35.28,26.55,4.39,18-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jun-2020 - 00:00,,155.23,737.73,147.29,190.04,18.94,13.12,4.0,0.46,-0.0,,31.58,49.84,1.4,,35.26,25.37,6.23,19-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jun-2020 - 00:00,,110.02,738.21,122.97,187.57,18.88,13.02,3.91,0.55,0.01,,59.42,55.52,1.77,,32.45,25.3,6.89,20-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jun-2020 - 00:00,,158.44,739.69,97.83,214.03,21.3,14.76,4.51,0.39,0.02,,46.24,57.0,0.89,,32.13,24.27,5.73,21-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jun-2020 - 00:00,,138.92,739.67,89.23,231.01,22.05,16.28,5.92,0.57,0.01,,46.66,62.12,0.73,,34.37,23.79,10.58,22-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jun-2020 - 00:00,,158.37,740.08,142.84,160.82,20.99,14.32,4.15,0.74,-0.17,,42.52,64.87,0.54,829.7,34.29,26.34,6.21,23-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jun-2020 - 00:00,,116.25,740.74,119.31,114.04,15.97,11.55,3.99,0.76,-0.41,,31.61,66.45,0.87,,34.82,31.97,4.75,24-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jun-2020 - 00:00,,116.78,741.08,97.85,185.57,19.04,13.24,4.09,0.88,-0.18,,28.46,74.04,1.4,,33.47,29.98,6.41,25-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jun-2020 - 00:00,,175.82,740.07,134.47,251.63,20.65,14.64,4.78,0.83,-0.06,,49.04,70.67,1.39,,34.53,31.29,5.58,26-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jun-2020 - 00:00,,261.64,739.28,153.91,222.66,20.65,14.12,4.34,0.71,0.02,,55.93,58.58,1.23,,36.77,29.67,2.52,27-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jun-2020 - 00:00,,257.57,738.66,126.32,247.51,22.4,15.92,5.24,0.52,0.01,,72.9,51.93,1.81,,36.94,29.16,5.31,28-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jun-2020 - 00:00,,229.84,738.15,136.35,263.74,19.48,15.16,6.2,0.58,-0.02,,125.3,48.68,1.51,937.4,37.83,27.81,5.24,29-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jun-2020 - 00:00,,141.74,739.43,131.33,233.77,22.73,16.25,5.44,0.75,0.25,,81.8,57.7,0.98,,35.74,25.58,1.92,30-Jun-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jun-2020 - 00:00,,124.22,740.05,112.98,160.35,16.88,12.07,4.05,0.7,0.29,,49.76,68.29,0.98,,33.7,28.95,1.74,01-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Jul-2020 - 00:00,,121.66,739.41,114.38,183.06,18.11,12.79,4.13,0.78,0.05,,114.81,61.38,0.74,,35.2,28.83,0.51,02-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jul-2020 - 00:00,,122.75,738.42,123.97,235.48,17.76,12.8,4.38,0.81,0.06,,84.47,56.72,0.56,,36.76,30.28,1.72,03-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jul-2020 - 00:00,,127.59,738.33,112.14,228.28,15.71,11.94,4.65,0.81,0.02,,96.62,57.81,0.89,,36.76,31.45,0.6,04-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jul-2020 - 00:00,,129.42,738.52,126.33,157.28,16.72,11.99,4.05,0.68,0.01,,97.0,66.02,1.35,,34.19,29.67,3.78,05-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jul-2020 - 00:00,,86.04,739.16,111.21,151.79,13.94,10.25,3.68,0.74,0.08,,93.91,76.57,0.71,,30.05,29.95,5.21,06-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jul-2020 - 00:00,,103.99,739.66,119.79,172.8,17.09,12.27,4.15,0.81,-0.03,,104.06,74.26,0.54,,32.2,29.75,2.38,07-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jul-2020 - 00:00,0.0,113.95,741.98,113.4,153.05,13.95,10.71,4.27,0.67,-0.07,,44.83,77.95,1.39,852.39,30.64,30.01,7.33,08-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jul-2020 - 00:00,,139.5,742.62,85.51,258.78,13.3,10.05,3.86,0.65,-0.06,,96.39,79.34,1.28,963.6,31.31,31.31,8.14,09-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jul-2020 - 00:00,,221.99,740.73,129.88,315.95,27.69,19.7,6.51,0.94,0.05,,108.93,66.93,0.96,,32.87,32.08,1.26,10-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jul-2020 - 00:00,,251.86,738.55,122.24,223.71,33.54,22.43,6.09,1.08,0.17,,34.27,59.12,0.96,968.59,32.72,34.73,6.56,11-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jul-2020 - 00:00,200.0,177.16,738.97,105.51,303.68,23.22,15.64,4.37,0.97,0.14,,25.74,71.5,0.93,500.0,29.21,38.31,10.25,12-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jul-2020 - 00:00,,193.71,740.46,98.45,310.54,25.84,17.22,4.61,0.65,0.13,,32.49,68.6,1.01,,28.46,37.35,6.3,13-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jul-2020 - 00:00,,222.08,740.39,144.37,353.47,29.14,20.22,6.2,0.77,0.06,,93.27,62.97,0.72,,30.38,36.94,9.95,14-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jul-2020 - 00:00,213.71,161.12,740.88,138.14,297.26,27.95,19.39,5.93,0.9,0.0,,76.91,60.14,0.77,533.69,32.54,39.14,7.79,15-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jul-2020 - 00:00,,107.85,740.9,123.47,255.6,23.31,15.57,4.2,0.99,-0.03,,50.86,67.16,1.12,,30.8,39.49,7.11,16-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jul-2020 - 00:00,,105.12,740.36,104.42,277.22,25.66,17.24,4.75,0.93,0.01,84.73,31.72,69.79,0.79,904.2,30.4,34.54,9.74,17-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jul-2020 - 00:00,,122.53,740.5,111.73,275.74,24.66,16.67,4.7,0.93,0.05,93.7,28.8,70.23,0.93,945.59,30.79,24.91,6.35,18-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jul-2020 - 00:00,,104.23,740.97,95.68,283.32,24.12,16.58,4.94,0.74,0.07,84.87,24.04,73.38,0.85,971.95,30.01,25.15,6.94,19-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jul-2020 - 00:00,208.11,211.55,740.33,86.27,307.68,26.91,18.28,5.24,1.16,0.11,65.42,20.25,79.91,0.68,517.39,28.79,24.06,3.96,20-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jul-2020 - 00:00,175.44,268.22,742.87,75.21,223.84,28.57,18.59,4.54,0.76,-0.1,54.23,19.14,71.37,0.77,364.7,28.67,25.71,5.22,21-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jul-2020 - 00:00,,151.13,745.09,81.98,226.76,34.58,22.28,5.22,0.72,0.16,53.53,19.87,84.52,1.15,953.93,32.56,23.75,9.91,22-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jul-2020 - 00:00,380.59,164.94,745.31,50.01,256.58,36.04,24.79,7.44,1.13,0.17,91.19,25.2,89.32,0.51,738.04,30.33,25.92,10.69,23-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jul-2020 - 00:00,200.0,247.48,742.29,136.23,267.88,36.75,25.36,7.65,0.95,0.07,87.22,24.8,75.16,0.51,500.0,34.15,21.23,11.35,24-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jul-2020 - 00:00,,123.2,743.27,129.12,192.55,31.24,20.49,5.16,0.69,0.31,117.33,28.07,71.08,0.95,928.72,39.94,24.44,9.91,25-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jul-2020 - 00:00,,111.24,744.08,100.81,160.2,22.49,14.67,4.12,0.67,-0.01,73.67,23.78,77.16,1.08,928.85,36.29,24.29,9.49,26-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jul-2020 - 00:00,,131.74,749.12,95.38,323.29,35.32,24.02,6.91,1.51,-0.25,102.8,33.36,77.86,0.5,,36.47,22.65,9.31,27-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jul-2020 - 00:00,,272.53,741.84,144.75,398.24,27.34,22.33,10.02,1.01,0.17,130.84,44.44,68.46,0.95,970.27,38.17,22.93,10.22,28-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jul-2020 - 00:00,,262.85,744.92,137.69,207.68,21.21,15.25,5.19,0.65,0.14,93.97,21.13,61.71,0.91,925.47,36.67,22.94,10.34,29-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jul-2020 - 00:00,,151.84,744.46,80.17,270.47,50.75,33.8,9.04,0.71,-0.04,90.39,21.35,74.35,0.86,916.28,33.83,19.79,10.26,30-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jul-2020 - 00:00,200.0,153.72,749.47,110.32,219.48,36.9,24.84,6.89,0.75,0.02,72.57,18.85,80.36,0.76,802.73,24.66,23.96,39.1,31-Jul-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jul-2020 - 00:00,,118.59,746.58,101.81,84.02,25.98,18.04,5.55,0.97,0.15,115.59,32.41,79.56,0.72,,24.78,34.05,3.5,01-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Aug-2020 - 00:00,,155.78,744.47,112.49,73.19,33.49,22.35,6.01,0.97,0.12,83.06,25.77,77.9,0.94,932.08,24.21,29.37,4.46,02-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Aug-2020 - 00:00,,270.18,744.0,141.92,100.78,21.0,15.85,6.08,1.01,0.16,75.79,20.99,68.05,0.96,872.59,26.53,31.13,4.41,03-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Aug-2020 - 00:00,,252.01,742.78,108.17,84.7,19.63,14.41,5.17,0.95,0.22,95.45,19.97,65.23,0.81,883.9,27.29,32.18,2.74,04-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Aug-2020 - 00:00,,147.64,737.05,123.83,148.87,21.73,15.45,5.09,0.9,0.26,86.32,22.78,68.98,0.63,965.9,27.59,29.32,5.61,05-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Aug-2020 - 00:00,,81.7,739.98,66.62,181.18,27.22,18.83,5.79,1.18,0.08,107.51,33.79,78.69,0.3,,28.16,26.14,7.23,06-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Aug-2020 - 00:00,230.0,102.12,747.29,130.52,188.57,22.63,16.14,5.37,0.86,-0.06,61.15,19.24,66.17,1.09,821.22,30.66,30.62,6.71,07-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Aug-2020 - 00:00,,118.59,741.53,118.76,463.42,20.91,14.56,4.52,0.79,0.02,52.93,18.77,70.23,0.84,,29.67,32.26,12.89,08-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Aug-2020 - 00:00,,115.55,741.83,101.41,585.43,30.02,23.4,9.61,1.03,-0.04,88.21,29.74,68.1,0.34,,31.6,31.16,9.41,09-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Aug-2020 - 00:00,100.0,186.08,743.32,74.44,480.29,16.03,11.79,4.27,1.25,0.04,64.5,22.38,82.3,0.62,600.0,29.08,34.08,4.79,10-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Aug-2020 - 00:00,,135.35,741.2,72.28,515.94,13.85,10.89,4.55,1.02,-0.02,76.6,23.88,79.73,0.74,,29.48,31.66,6.27,11-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Aug-2020 - 00:00,,165.43,734.91,99.27,517.75,18.8,13.56,4.65,0.98,-0.01,85.83,31.88,77.13,0.6,,31.08,33.78,5.86,12-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Aug-2020 - 00:00,,225.88,735.15,98.71,497.88,16.02,11.92,4.42,0.87,0.07,65.87,20.79,76.47,0.87,985.3,32.2,32.54,8.25,13-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
