from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
17-Jan-2020 - 00:00,740.07,98.28,172.96,0.0,88.83,54.2,212.42,1.24,1.07,2.21,1.99,0.88,19.33,4.43,0.94,39.41,38.14,47.15,85.29,55.49,18-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Jan-2020 - 00:00,741.06,135.21,248.86,0.0,92.35,50.44,240.41,0.85,1.48,4.86,3.91,1.84,13.49,5.34,1.29,42.36,44.53,49.59,94.12,48.67,19-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Jan-2020 - 00:00,740.7,101.85,185.76,0.0,87.76,82.03,291.26,1.53,0.74,0.64,0.84,0.33,23.76,5.81,0.78,44.1,21.16,43.03,64.19,39.38,20-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Jan-2020 - 00:00,739.6,80.71,156.8,0.0,89.76,64.02,221.93,0.9,0.83,1.54,1.41,0.77,18.04,3.35,0.89,39.48,30.47,47.44,77.91,32.81,21-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Jan-2020 - 00:00,739.4,125.24,241.63,0.0,84.07,83.37,122.68,0.56,1.51,1.49,1.51,1.06,28.58,1.12,1.46,33.44,15.98,31.47,47.45,23.72,22-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Jan-2020 - 00:00,739.98,135.24,274.54,0.0,84.83,80.53,263.18,1.12,2.02,3.86,3.43,1.97,23.54,5.98,1.52,47.33,73.07,72.4,145.46,31.83,23-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Jan-2020 - 00:00,739.05,84.79,201.69,0.0,55.47,95.48,299.46,1.95,0.75,0.95,1.0,0.41,28.05,8.71,0.65,39.63,42.14,64.94,107.08,45.11,24-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Jan-2020 - 00:00,739.23,70.22,172.64,0.0,41.05,93.28,283.1,1.88,0.57,0.34,0.65,0.25,30.77,4.0,0.52,55.87,52.45,73.97,122.6,50.43,25-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Jan-2020 - 00:00,739.13,108.32,231.41,0.0,50.1,89.95,198.4,0.76,1.46,7.57,4.64,1.87,28.53,4.67,0.92,65.38,64.36,82.8,144.32,44.91,26-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Jan-2020 - 00:00,737.33,129.66,268.51,0.0,60.43,87.57,190.9,0.79,1.27,9.75,5.96,2.62,28.08,5.3,1.02,56.54,50.76,70.67,121.43,38.89,27-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Jan-2020 - 00:00,734.48,114.52,213.12,0.0,61.8,69.1,103.72,0.62,0.82,1.22,1.34,0.7,24.85,1.23,0.98,39.45,25.15,56.67,81.81,38.78,28-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Jan-2020 - 00:00,732.47,91.01,184.04,0.0,78.8,69.62,126.46,0.85,0.97,0.86,0.95,0.55,21.99,2.45,1.06,49.45,33.81,59.54,91.92,26.21,29-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Jan-2020 - 00:00,738.47,76.64,143.7,0.14,72.64,100.26,278.16,1.2,1.16,1.01,1.13,0.54,26.92,3.83,0.63,66.82,61.83,79.78,138.0,65.48,30-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Jan-2020 - 00:00,740.4,98.53,185.21,0.19,74.36,106.46,286.2,1.35,1.22,1.26,1.43,0.66,30.63,7.89,0.71,60.52,62.34,90.9,150.59,56.97,31-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Jan-2020 - 00:00,738.29,95.14,188.35,0.0,76.19,66.85,192.37,0.98,1.24,0.74,1.05,0.45,20.73,1.75,0.69,44.84,34.77,71.91,101.65,39.36,01-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Feb-2020 - 00:00,740.69,123.19,230.1,0.0,64.89,96.08,156.06,0.99,2.25,3.32,3.45,1.84,31.55,5.14,1.06,52.83,41.38,63.63,102.35,48.5,02-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Feb-2020 - 00:00,742.46,115.31,186.07,0.0,70.7,106.48,272.79,1.15,1.24,1.0,1.31,0.6,36.61,7.17,0.72,43.01,22.1,52.22,74.14,35.17,03-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Feb-2020 - 00:00,741.02,122.86,213.22,0.3,58.41,106.07,198.74,0.84,1.7,3.24,2.66,1.45,39.2,4.12,0.81,43.62,22.39,55.65,76.5,46.36,04-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Feb-2020 - 00:00,739.2,153.67,283.84,0.0,55.61,92.57,126.52,0.73,2.31,8.45,5.2,3.31,35.2,1.97,1.06,38.97,19.85,46.2,63.43,28.97,05-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Feb-2020 - 00:00,739.74,185.17,313.73,0.0,63.17,96.46,269.71,1.26,2.51,7.83,4.95,2.37,26.87,8.44,1.22,42.27,35.94,70.93,106.46,52.56,06-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Feb-2020 - 00:00,738.94,104.84,186.6,0.0,63.57,102.22,201.23,0.85,1.12,1.29,1.43,0.64,28.65,0.91,0.66,34.26,23.48,63.78,82.45,25.96,07-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Feb-2020 - 00:00,741.12,158.41,282.64,0.0,60.85,92.54,202.77,0.96,1.91,6.15,4.25,1.95,29.32,1.98,1.18,46.26,43.27,91.53,125.9,57.17,08-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Feb-2020 - 00:00,743.23,122.03,201.08,0.0,63.26,96.84,247.41,1.19,1.17,2.36,2.16,0.96,27.51,2.74,0.82,57.77,43.77,90.68,113.74,48.49,09-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Feb-2020 - 00:00,743.67,121.76,204.08,0.0,61.98,100.84,240.84,0.89,1.28,3.53,2.55,0.91,29.28,2.68,0.87,47.99,25.9,56.05,70.23,42.92,10-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Feb-2020 - 00:00,741.78,148.38,242.39,0.0,61.67,97.06,186.25,0.91,1.43,2.95,2.46,1.16,33.14,2.02,0.95,39.16,18.96,41.58,48.41,42.15,11-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Feb-2020 - 00:00,740.2,190.72,332.24,0.0,58.95,94.96,194.67,0.81,2.03,11.65,7.62,3.32,30.56,2.63,1.35,39.44,17.35,38.34,54.46,70.77,12-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Feb-2020 - 00:00,738.58,157.21,257.01,0.0,61.44,95.52,270.62,1.39,1.5,2.27,2.16,0.86,30.43,4.75,0.99,44.91,29.28,50.9,68.88,41.13,13-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Feb-2020 - 00:00,735.85,88.9,182.61,0.0,51.07,102.46,286.35,1.89,1.53,0.7,0.99,0.38,31.72,2.79,0.84,51.38,51.61,71.5,88.86,53.09,14-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Feb-2020 - 00:00,733.08,108.32,229.35,0.0,54.28,107.07,299.52,2.2,1.05,1.33,1.19,0.54,30.49,3.51,0.67,34.9,14.57,30.28,44.83,43.8,15-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Feb-2020 - 00:00,736.12,73.86,175.62,0.0,40.14,110.02,281.54,1.56,1.45,1.09,1.18,0.5,30.69,3.44,0.64,39.4,24.28,33.65,57.87,53.29,16-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Feb-2020 - 00:00,741.02,101.07,190.53,0.0,41.17,108.96,250.01,0.98,1.22,3.34,2.64,1.08,34.85,3.05,0.85,41.81,20.79,32.16,52.77,39.08,17-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Feb-2020 - 00:00,742.0,115.29,216.38,0.0,61.14,60.46,197.03,0.55,1.65,2.25,2.42,1.16,32.79,2.74,1.04,33.82,20.04,33.17,53.19,49.63,18-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Feb-2020 - 00:00,,117.31,257.26,0.0,,,,,1.63,7.82,4.91,2.59,31.66,2.39,0.98,36.91,25.75,36.63,62.36,57.24,19-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Feb-2020 - 00:00,,117.9,260.54,0.0,,,,,1.32,4.92,3.01,1.83,25.25,0.56,0.87,45.0,45.02,63.54,78.01,33.76,20-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Feb-2020 - 00:00,,90.18,195.14,0.01,,,,,1.09,0.23,0.28,0.12,46.47,0.26,0.91,27.46,5.58,30.72,35.47,44.21,21-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Feb-2020 - 00:00,,81.03,132.92,0.0,,,,,2.03,0.46,0.6,0.32,19.31,0.61,0.71,29.52,6.5,27.95,33.67,32.74,22-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Feb-2020 - 00:00,,145.87,213.52,0.0,,,,,3.13,1.74,1.74,0.89,15.22,1.52,1.03,24.92,4.65,10.77,14.83,54.26,23-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Feb-2020 - 00:00,,189.31,252.78,0.0,,,,,1.94,2.91,2.84,1.44,8.84,2.67,1.14,49.28,46.34,73.69,70.07,78.96,24-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Feb-2020 - 00:00,,135.58,203.29,0.0,,,,,1.41,1.52,1.64,0.66,31.95,2.71,0.86,30.41,55.43,72.45,71.04,49.95,25-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Feb-2020 - 00:00,,125.52,216.69,0.0,,,,,0.27,0.27,0.29,0.08,36.65,0.73,0.92,33.06,34.52,52.29,84.17,45.17,26-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Feb-2020 - 00:00,,127.36,239.47,0.0,,,,,0.2,0.48,0.46,0.11,36.16,1.41,0.89,49.37,80.94,71.59,140.83,41.86,27-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Feb-2020 - 00:00,,94.73,178.95,0.0,,,,,0.18,0.05,0.04,0.01,20.19,0.44,0.98,39.1,58.36,73.89,108.04,28.51,28-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Feb-2020 - 00:00,,73.61,148.53,0.0,,,,,0.21,0.02,0.0,0.0,18.31,0.2,0.83,35.97,30.82,38.94,62.8,28.1,29-Feb-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Feb-2020 - 00:00,,78.71,141.72,0.0,,,,,0.49,0.06,0.03,0.01,18.6,1.17,0.82,51.34,33.01,46.94,68.17,48.79,01-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Mar-2020 - 00:00,,40.74,75.6,0.0,,,,,0.18,0.21,0.12,0.03,18.26,1.26,0.69,45.06,80.78,98.41,128.5,27.38,02-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Mar-2020 - 00:00,,132.99,225.42,0.0,,,,,0.65,2.53,1.88,0.52,13.67,2.45,0.96,63.73,74.26,99.65,102.65,26.56,03-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Mar-2020 - 00:00,,144.28,264.96,0.0,,,,,0.64,3.88,3.06,0.92,19.94,2.75,0.95,62.48,38.81,68.49,86.86,49.82,04-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Mar-2020 - 00:00,,81.8,171.11,0.0,,,,,0.34,0.86,0.63,0.18,36.94,0.67,0.78,70.38,36.84,61.85,88.71,45.25,05-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Mar-2020 - 00:00,,36.28,64.21,0.11,,,,,0.13,0.14,0.17,0.08,17.71,1.38,0.53,66.84,27.24,51.07,72.05,31.21,06-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Mar-2020 - 00:00,733.52,31.72,57.59,0.08,87.36,141.54,114.17,0.73,0.11,0.04,0.08,0.05,9.37,0.82,0.59,53.03,22.71,47.88,70.24,24.06,07-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Mar-2020 - 00:00,738.28,40.53,77.38,0.0,74.77,279.41,171.74,0.81,0.15,0.09,0.02,0.0,14.92,0.92,0.55,30.81,21.86,49.57,71.19,35.78,08-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Mar-2020 - 00:00,740.8,73.45,146.24,,66.33,430.3,246.48,1.05,0.4,0.92,0.61,0.21,19.24,1.58,0.75,28.82,26.48,51.82,73.82,50.19,09-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Mar-2020 - 00:00,738.47,85.65,158.58,,56.59,430.6,280.03,1.38,0.3,0.14,0.07,0.01,23.85,2.73,0.65,30.13,28.3,59.58,87.84,32.14,10-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Mar-2020 - 00:00,736.85,96.97,160.02,,52.89,430.58,160.94,0.65,0.46,0.02,0.02,0.0,16.28,0.71,0.74,27.11,5.39,25.75,31.08,49.0,11-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Mar-2020 - 00:00,734.14,48.36,108.4,,63.08,430.54,126.02,0.8,0.22,0.0,0.0,0.0,28.41,0.12,0.56,27.15,3.99,25.19,28.87,22.42,12-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Mar-2020 - 00:00,736.42,66.19,170.12,,48.86,431.2,162.55,0.88,0.22,0.08,0.09,0.07,23.49,0.42,0.48,26.52,9.87,51.37,60.81,31.59,13-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Mar-2020 - 00:00,738.47,97.37,228.67,,39.29,431.55,207.39,0.75,0.45,0.53,0.34,0.04,17.04,0.94,0.64,34.84,25.17,90.76,115.67,39.93,14-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Mar-2020 - 00:00,739.65,121.68,241.07,,61.18,431.57,231.75,0.97,0.66,0.48,0.38,0.1,21.91,1.84,0.71,45.87,26.96,85.71,112.61,58.39,15-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Mar-2020 - 00:00,741.44,106.4,194.05,,63.06,431.75,199.31,0.75,0.71,0.28,0.19,0.05,11.64,1.17,0.78,51.06,30.51,81.97,112.09,37.69,16-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Mar-2020 - 00:00,741.36,111.8,187.06,,58.61,431.68,262.09,0.97,0.69,0.91,0.61,0.13,21.81,3.44,0.8,58.82,27.33,82.07,109.17,51.56,17-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Mar-2020 - 00:00,741.22,150.68,250.39,,55.08,431.89,264.16,1.11,0.99,0.3,0.26,0.07,31.95,4.5,0.94,54.98,44.87,107.47,152.15,62.66,18-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Mar-2020 - 00:00,739.54,137.85,224.47,0.0,54.36,290.11,208.68,1.06,1.08,1.03,0.82,0.27,29.12,2.69,0.89,44.11,25.78,92.01,117.69,58.97,19-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Mar-2020 - 00:00,736.17,132.72,218.91,0.0,56.14,136.24,166.29,0.81,1.09,2.04,1.78,0.53,27.93,1.23,0.84,51.32,40.52,97.5,138.94,30.73,20-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Mar-2020 - 00:00,735.2,103.0,197.12,0.0,53.87,128.64,141.98,0.55,0.79,1.18,0.95,0.27,33.05,1.21,1.01,44.9,19.18,55.89,75.03,41.83,21-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Mar-2020 - 00:00,735.75,71.76,149.19,0.0,43.76,134.42,205.05,1.12,0.52,0.4,0.33,0.06,29.45,2.75,0.68,25.3,19.24,78.06,97.27,43.37,22-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Mar-2020 - 00:00,737.46,88.54,150.29,0.0,49.01,145.12,232.47,0.88,0.68,1.83,1.7,0.5,38.51,2.73,0.76,27.93,12.81,46.31,58.99,31.7,23-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Mar-2020 - 00:00,737.14,55.95,100.33,0.0,47.78,138.02,171.53,0.51,0.59,0.31,0.28,0.09,31.69,1.46,0.57,28.06,6.74,33.51,40.15,29.45,24-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Mar-2020 - 00:00,735.96,50.46,98.04,0.0,59.71,67.08,139.84,0.55,0.35,0.56,0.48,0.15,20.16,1.28,0.57,26.55,6.98,29.23,36.09,25.9,25-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Mar-2020 - 00:00,736.29,29.79,54.81,0.0,57.23,155.62,190.82,0.64,0.19,0.03,0.01,0.0,23.33,0.67,0.39,27.68,9.8,30.27,37.47,24.31,26-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Mar-2020 - 00:00,737.74,24.61,35.47,0.0,66.26,66.87,256.82,1.01,0.14,0.0,0.0,0.0,9.5,0.69,0.31,26.86,6.69,22.44,28.84,22.84,27-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Mar-2020 - 00:00,739.08,11.6,23.89,0.02,70.07,104.05,171.5,0.97,0.06,0.0,0.0,0.0,15.24,0.3,0.23,22.06,5.43,19.81,24.95,22.22,28-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Mar-2020 - 00:00,739.63,11.66,25.17,0.0,60.81,177.45,284.8,1.15,0.06,0.0,0.0,0.0,27.11,0.22,0.24,18.85,4.93,18.59,23.08,22.46,29-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Mar-2020 - 00:00,737.83,24.04,49.45,0.0,51.11,170.17,315.88,1.46,0.07,0.0,0.0,0.0,29.84,0.19,0.32,18.24,6.9,23.3,27.83,24.42,30-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Mar-2020 - 00:00,737.82,34.2,55.29,0.0,48.21,169.98,287.25,1.13,0.08,0.0,0.0,0.0,34.16,0.51,0.48,17.56,4.87,20.22,23.47,24.43,31-Mar-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Mar-2020 - 00:00,736.29,31.03,55.43,0.0,41.3,171.37,239.08,1.02,0.16,0.0,0.0,0.0,42.69,0.62,0.49,17.53,7.17,23.32,26.97,25.08,01-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Apr-2020 - 00:00,735.78,27.94,48.83,0.0,50.61,163.48,271.93,1.18,0.12,0.01,0.01,0.0,33.26,0.29,0.51,26.29,35.65,43.1,58.21,22.57,02-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Apr-2020 - 00:00,736.14,27.18,54.22,0.0,46.09,168.76,279.96,1.4,0.1,0.0,0.0,0.0,42.8,0.23,0.46,14.51,2.85,17.02,19.76,15.88,03-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Apr-2020 - 00:00,737.37,34.23,54.07,0.0,38.75,177.14,287.81,1.05,0.14,0.0,0.0,0.0,47.0,0.11,0.42,15.46,3.96,17.81,20.77,7.53,04-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Apr-2020 - 00:00,737.24,32.1,63.11,0.0,38.51,170.11,225.1,0.9,0.25,0.0,0.01,0.0,49.64,0.68,0.54,17.83,3.96,21.74,25.27,6.88,05-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Apr-2020 - 00:00,737.74,46.14,82.73,0.0,43.54,142.69,189.78,0.63,0.36,0.16,0.11,0.01,43.19,0.24,0.56,16.13,3.26,22.22,25.38,6.59,06-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Apr-2020 - 00:00,736.58,46.56,90.8,0.0,32.29,163.65,240.17,0.79,0.36,0.12,0.08,0.01,41.19,0.35,0.47,14.79,3.62,21.34,24.87,6.14,07-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Apr-2020 - 00:00,734.85,38.27,84.25,0.0,38.29,164.85,232.14,1.31,0.25,0.01,0.0,0.0,41.48,0.66,0.43,14.38,3.3,17.87,21.07,6.09,08-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Apr-2020 - 00:00,735.5,36.45,71.32,0.0,34.17,163.59,313.37,1.44,0.34,0.0,0.0,0.0,43.9,1.34,0.49,15.44,6.59,21.88,25.39,7.61,09-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Apr-2020 - 00:00,735.98,40.26,76.39,0.0,32.71,166.07,247.68,0.91,0.47,0.0,0.0,0.0,48.22,0.85,0.54,14.18,3.57,21.39,24.36,8.64,10-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Apr-2020 - 00:00,736.57,59.9,120.14,0.0,30.48,125.14,190.48,0.61,0.84,0.32,0.27,0.02,47.21,1.15,0.59,13.6,2.91,24.27,27.17,10.35,11-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Apr-2020 - 00:00,737.5,52.89,121.61,0.0,27.05,158.76,219.14,0.91,0.71,0.32,0.28,0.04,44.08,2.62,0.58,10.9,3.58,21.09,24.61,9.32,12-Apr-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
