from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
22-Feb-2020 - 00:00,171.62,70.39,992.37,134.36,27.45,53.49,20.99,18.62,626.67,1.84,21.63,4.7,20.4,11.75,23-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Feb-2020 - 00:00,272.4,66.4,990.17,139.71,27.94,56.57,11.35,20.57,571.25,1.94,35.24,5.78,16.35,11.48,24-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Feb-2020 - 00:00,279.15,62.01,986.96,163.38,,,,20.34,564.58,2.28,,,,,25-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Feb-2020 - 00:00,255.6,65.7,985.67,149.35,,,,20.93,590.42,2.26,,,,,26-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Feb-2020 - 00:00,182.15,65.04,986.38,150.75,27.85,64.06,40.64,21.41,592.5,2.03,23.14,6.94,31.86,8.29,27-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Feb-2020 - 00:00,99.2,69.89,986.88,136.98,30.2,57.89,32.23,21.02,506.67,2.13,19.28,6.11,32.92,9.25,28-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Feb-2020 - 00:00,87.76,70.14,985.72,129.85,27.73,42.02,36.37,20.9,541.25,3.83,15.14,6.29,22.52,7.33,29-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Feb-2020 - 00:00,93.83,72.28,984.94,125.98,27.92,40.44,32.75,19.96,612.38,4.04,15.85,5.61,24.22,7.67,01-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Mar-2020 - 00:00,119.62,67.67,985.5,166.86,31.9,59.92,36.56,20.7,501.67,1.79,23.43,7.27,39.94,8.0,02-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Mar-2020 - 00:00,254.64,65.6,984.99,139.14,30.82,58.85,38.46,22.48,437.92,1.26,24.37,7.65,54.9,7.91,03-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Mar-2020 - 00:00,270.39,57.53,983.52,176.0,29.24,57.09,33.34,22.71,573.33,1.98,24.59,6.62,41.72,7.03,04-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Mar-2020 - 00:00,148.0,58.32,982.91,149.85,28.08,51.99,38.92,21.72,491.67,2.79,22.87,7.31,34.52,5.72,05-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Mar-2020 - 00:00,109.45,67.66,983.09,146.42,27.43,44.59,32.3,19.67,567.5,3.73,18.07,5.64,25.37,6.17,06-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Mar-2020 - 00:00,94.99,78.86,981.9,128.3,25.16,46.76,27.4,16.89,495.79,4.1,17.33,5.8,26.82,7.01,07-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Mar-2020 - 00:00,119.5,83.25,983.85,1.6,27.88,48.56,26.81,14.75,212.0,4.3,17.43,6.07,34.87,6.91,08-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Mar-2020 - 00:00,,,,,35.13,65.09,25.94,,,,13.59,7.39,49.37,7.44,09-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Mar-2020 - 00:00,261.69,45.75,985.11,312.03,28.6,52.58,27.25,21.61,755.71,3.91,19.05,5.62,45.89,6.16,10-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Mar-2020 - 00:00,199.01,54.41,984.25,176.58,28.36,40.9,38.21,20.15,500.83,2.4,27.98,6.42,37.42,6.13,11-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Mar-2020 - 00:00,99.35,63.21,981.84,176.97,27.37,37.61,35.7,21.26,430.0,3.83,23.19,6.1,21.75,6.76,12-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
