from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
21-Jun-2020 - 00:00,11.29,26.15,18.09,3.32,2.09,1.75,0.97,1.03,0.69,179.88,3.2,0.0,13.38,0.64,13.12,36.23,85.89,22-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jun-2020 - 00:00,11.54,25.71,18.13,3.9,2.0,1.51,0.96,2.06,1.24,180.4,3.3,0.0,12.97,0.63,15.26,27.03,58.23,23-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jun-2020 - 00:00,10.91,27.55,21.45,4.02,2.93,1.75,1.09,2.31,1.47,180.04,3.16,0.0,13.38,0.74,15.08,28.63,59.51,24-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jun-2020 - 00:00,11.86,25.93,17.29,2.79,2.6,1.63,0.96,2.02,1.22,180.82,3.31,0.0,13.81,0.7,10.88,22.14,59.48,25-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jun-2020 - 00:00,11.13,25.9,18.35,3.14,2.27,1.36,0.82,1.7,0.94,182.21,3.57,0.0,13.54,0.7,12.79,18.39,59.73,26-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jun-2020 - 00:00,13.11,26.97,19.14,3.25,2.6,1.43,1.06,2.18,1.1,182.22,3.47,0.13,12.39,0.73,33.53,22.45,59.49,27-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jun-2020 - 00:00,11.94,27.34,18.98,3.07,2.61,1.61,1.1,2.34,1.28,180.49,3.1,0.0,12.67,0.66,33.94,56.66,177.25,28-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jun-2020 - 00:00,11.27,26.56,18.45,3.38,2.7,1.61,1.16,2.46,1.39,179.22,2.85,0.0,13.42,0.67,30.68,105.89,373.41,29-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jun-2020 - 00:00,10.68,25.84,17.96,3.52,2.35,1.66,1.08,2.24,1.25,179.48,2.99,0.0,12.97,0.63,47.15,74.27,220.31,30-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jun-2020 - 00:00,12.16,26.82,18.19,3.11,2.82,1.62,1.11,2.3,1.51,180.14,3.03,0.0,13.67,0.74,63.56,46.18,126.68,01-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Jul-2020 - 00:00,12.37,26.81,17.97,3.2,2.89,2.06,1.09,2.18,1.49,179.62,2.91,0.0,12.82,0.77,72.8,48.93,121.1,02-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jul-2020 - 00:00,13.11,27.33,18.32,2.98,4.4,2.07,1.21,1.12,0.66,178.95,2.73,0.0,12.52,0.74,63.31,64.39,167.3,03-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jul-2020 - 00:00,12.77,26.91,17.91,2.95,,,,0.0,0.0,178.31,2.62,0.0,13.36,0.73,64.47,58.12,144.36,04-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jul-2020 - 00:00,13.1,27.02,17.83,2.86,,,,0.0,0.0,179.59,2.93,0.2,12.88,0.73,74.38,43.85,118.53,05-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jul-2020 - 00:00,10.34,25.04,17.2,3.56,,,,0.0,0.0,188.82,4.63,0.0,14.11,0.66,71.72,107.76,894.21,06-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,07-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jul-2020 - 00:00,10.79,42.25,20.8,6.48,2.14,1.52,1.17,2.77,1.08,180.71,3.45,0.0,12.55,0.78,69.84,17.32,103.52,08-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jul-2020 - 00:00,7.43,26.03,20.33,4.45,1.84,1.12,1.42,3.85,1.3,183.07,3.89,0.0,15.56,0.58,59.01,9.23,30.0,09-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jul-2020 - 00:00,9.59,27.42,20.69,4.1,2.22,1.53,1.81,4.9,1.96,180.98,3.44,0.0,16.41,0.64,73.29,9.06,35.05,10-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jul-2020 - 00:00,10.02,26.61,19.33,4.08,2.16,1.92,1.73,4.5,1.91,179.89,3.3,0.07,15.87,0.66,74.22,22.32,120.5,11-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jul-2020 - 00:00,9.39,25.91,18.89,4.03,1.5,1.35,1.21,2.91,1.2,181.01,3.42,0.0,16.37,0.59,72.77,25.64,96.22,12-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jul-2020 - 00:00,9.29,25.48,18.42,4.13,1.34,0.89,0.94,2.2,0.95,184.53,4.02,0.39,16.19,0.59,67.51,11.54,38.73,13-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jul-2020 - 00:00,10.54,27.18,19.73,3.86,1.66,1.2,1.04,2.34,1.03,182.01,3.46,0.0,16.51,0.63,60.84,24.47,81.78,14-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jul-2020 - 00:00,15.14,34.11,25.59,2.79,2.41,1.83,1.51,3.68,1.82,180.31,3.06,0.0,16.02,0.7,67.42,36.24,137.81,15-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jul-2020 - 00:00,13.02,30.25,21.84,3.31,2.55,1.56,1.31,3.03,1.51,180.94,3.16,0.0,15.77,0.74,57.22,30.09,102.31,16-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jul-2020 - 00:00,11.77,28.14,20.06,4.37,2.31,1.42,0.96,2.23,1.05,181.14,3.2,0.0,15.9,0.68,34.01,19.69,65.83,17-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jul-2020 - 00:00,10.93,26.83,19.01,4.3,2.12,1.49,0.86,2.21,0.99,181.53,3.3,0.01,16.15,0.68,48.61,17.93,52.74,18-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jul-2020 - 00:00,11.38,25.88,18.78,8.75,2.02,1.6,0.8,1.49,0.8,180.62,3.26,0.0,15.68,0.71,84.48,21.77,60.07,19-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jul-2020 - 00:00,11.08,27.32,19.51,5.13,1.86,1.24,0.99,2.12,1.15,181.84,3.38,0.06,16.06,0.64,85.78,15.91,58.33,20-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jul-2020 - 00:00,11.35,27.14,19.12,4.83,1.35,0.99,0.79,1.69,0.83,183.04,3.54,0.45,15.84,0.58,87.07,10.15,31.61,21-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Jul-2020 - 00:00,12.54,27.89,19.26,4.32,1.13,0.66,0.7,1.52,0.7,187.4,4.41,0.14,16.51,0.55,89.3,6.15,17.71,22-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jul-2020 - 00:00,8.61,28.17,22.98,5.62,1.55,0.9,0.94,2.25,0.76,182.2,3.43,0.01,15.43,0.6,31.73,7.84,45.03,23-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jul-2020 - 00:00,8.69,28.06,21.98,4.22,2.1,1.01,1.37,4.27,1.31,181.67,3.27,0.0,16.01,0.62,61.46,13.11,41.3,24-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jul-2020 - 00:00,10.27,26.62,19.43,5.94,2.36,1.13,1.3,3.05,1.23,181.81,3.28,0.0,15.23,0.7,88.61,20.69,58.7,25-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jul-2020 - 00:00,11.56,27.94,19.96,4.5,2.12,1.14,1.29,3.2,1.33,181.86,3.32,0.0,15.77,0.64,76.67,17.23,46.01,26-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jul-2020 - 00:00,12.35,28.02,19.55,3.91,2.41,1.32,1.3,3.19,1.48,181.07,3.2,0.0,15.66,0.68,75.63,21.74,51.16,27-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jul-2020 - 00:00,8.89,26.64,20.59,5.02,1.61,1.24,0.87,1.73,0.84,179.0,2.9,0.0,14.87,0.79,88.93,19.12,71.44,28-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jul-2020 - 00:00,9.68,26.84,19.98,4.77,1.67,1.2,1.09,2.84,1.18,180.12,3.17,0.0,16.04,0.56,68.95,20.47,73.51,29-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jul-2020 - 00:00,10.71,26.89,19.3,3.99,1.98,1.33,1.18,4.37,1.42,180.77,3.31,0.0,16.14,0.59,69.54,24.53,90.37,30-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jul-2020 - 00:00,10.78,26.52,18.87,3.43,1.65,0.85,0.88,4.4,1.1,182.27,3.46,0.0,16.03,0.59,74.11,15.0,50.95,31-Jul-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-Jul-2020 - 00:00,11.3,26.65,18.54,2.85,1.83,1.13,0.88,5.3,1.01,180.74,3.15,0.0,16.0,0.6,66.11,16.9,49.68,01-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Aug-2020 - 00:00,12.84,27.85,19.24,2.4,1.86,1.07,0.98,4.61,1.01,181.1,3.25,0.0,16.13,0.59,43.41,20.83,68.4,02-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Aug-2020 - 00:00,14.17,28.8,19.31,1.83,1.78,1.1,1.04,2.35,1.06,180.51,3.14,0.0,16.03,0.63,6.44,13.41,52.58,03-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Aug-2020 - 00:00,14.65,28.99,19.23,1.72,1.82,1.29,1.08,2.47,1.24,179.86,3.0,0.0,16.09,0.62,7.27,17.63,62.57,04-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
