from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
01-Jan-2020 - 00:00,2.59,5.06,6.58,4.03,7.51,1.29,1.3,2.53,1.18,189.07,5.43,0.0,29.05,0.98,30.5,57.36,131.16,02-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jan-2020 - 00:00,2.61,5.21,6.73,3.88,5.01,1.87,1.45,2.71,1.39,185.29,4.69,0.0,36.88,0.71,38.75,54.54,127.05,04-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jan-2020 - 00:00,2.72,4.81,6.26,4.7,8.08,2.59,2.95,4.65,2.43,187.03,5.06,0.0,36.71,1.02,29.42,67.74,151.6,05-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jan-2020 - 00:00,2.63,4.95,6.41,4.07,,,,0.0,0.0,187.52,5.16,0.0,40.28,0.86,26.11,64.44,152.97,06-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jan-2020 - 00:00,2.71,5.0,6.42,4.05,3.66,1.53,1.1,1.29,0.52,188.0,5.32,0.05,41.03,0.66,12.57,44.98,100.76,07-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jan-2020 - 00:00,2.51,4.94,6.37,3.85,4.39,1.69,1.51,3.34,1.66,187.35,5.2,0.0,39.9,0.57,11.78,30.27,62.03,08-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jan-2020 - 00:00,2.63,4.96,6.42,4.07,4.09,7.4,3.57,5.09,3.57,188.2,5.43,0.0,29.1,0.52,19.89,27.36,64.07,09-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jan-2020 - 00:00,2.74,5.04,6.46,4.02,4.0,0.96,1.05,2.2,0.93,189.05,5.58,0.0,10.54,0.58,21.56,25.18,65.24,10-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jan-2020 - 00:00,2.7,5.02,6.45,4.04,4.51,0.93,1.33,3.09,1.53,188.09,5.38,0.0,12.07,0.63,25.64,37.09,90.21,11-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jan-2020 - 00:00,2.68,5.0,6.44,4.05,4.12,0.93,1.14,2.81,1.18,186.87,5.09,0.0,20.39,0.57,25.78,36.86,89.76,12-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jan-2020 - 00:00,2.68,4.94,6.36,4.07,5.74,1.14,1.72,3.88,1.56,186.36,4.95,0.0,30.16,0.74,21.63,47.65,122.14,13-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jan-2020 - 00:00,2.67,4.95,6.39,4.06,5.41,1.03,1.83,3.7,1.51,187.94,5.34,0.0,35.37,0.72,15.11,42.96,99.34,14-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jan-2020 - 00:00,2.69,5.0,6.43,4.04,3.99,1.0,1.25,3.41,0.94,189.01,5.55,0.0,38.65,0.59,18.34,20.89,48.32,15-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jan-2020 - 00:00,2.73,5.08,6.51,4.01,4.41,1.02,1.28,3.46,1.1,189.51,5.7,0.0,40.58,0.59,16.52,25.48,58.9,16-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jan-2020 - 00:00,2.74,5.08,6.5,4.01,4.53,0.99,1.35,4.05,1.23,189.8,5.76,0.0,42.3,0.63,11.09,33.43,76.33,17-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jan-2020 - 00:00,2.64,5.04,6.52,4.03,7.26,1.27,2.22,5.8,1.93,189.01,5.69,0.0,45.02,0.93,14.01,50.08,118.84,18-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jan-2020 - 00:00,2.73,5.03,6.45,4.02,8.33,1.38,2.33,5.56,1.79,189.37,5.78,0.0,47.84,0.93,9.01,43.24,106.8,19-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jan-2020 - 00:00,2.71,5.01,6.43,4.03,7.68,1.21,1.6,4.1,1.41,190.15,5.93,0.0,46.21,0.91,6.58,39.59,86.03,20-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jan-2020 - 00:00,2.74,5.09,6.52,4.0,10.08,1.34,2.38,5.23,2.06,188.58,5.61,0.0,41.65,1.14,5.34,49.5,120.39,21-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Jan-2020 - 00:00,2.7,5.04,6.48,4.03,11.58,1.54,2.89,7.81,2.67,187.83,5.33,0.0,40.15,1.29,9.52,64.14,134.99,22-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Jan-2020 - 00:00,2.7,4.98,6.41,4.04,5.98,1.01,1.3,4.79,1.29,187.46,5.2,0.0,31.87,0.69,12.91,33.0,79.73,23-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Jan-2020 - 00:00,2.74,5.05,6.46,4.02,3.92,0.79,0.9,1.97,0.72,187.55,5.23,0.0,33.79,0.47,22.52,29.57,81.11,24-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Jan-2020 - 00:00,2.76,5.07,6.47,4.0,4.63,0.85,1.16,2.39,0.91,187.57,5.28,0.0,37.48,0.52,26.11,32.33,89.99,25-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Jan-2020 - 00:00,2.69,4.98,6.41,4.05,6.43,1.14,1.65,3.46,1.3,187.09,5.25,0.0,37.97,0.73,12.24,53.94,130.51,26-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Jan-2020 - 00:00,2.74,5.04,6.45,4.02,7.51,1.34,2.08,4.36,1.67,186.87,5.12,0.0,39.86,0.88,11.98,55.46,128.55,27-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Jan-2020 - 00:00,2.73,4.98,6.39,4.05,5.24,1.14,1.51,3.41,1.19,187.74,5.29,0.0,44.5,0.67,8.61,38.99,92.49,28-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Jan-2020 - 00:00,2.7,4.98,6.41,4.04,3.79,0.96,1.21,2.58,1.05,187.45,5.25,0.0,44.03,0.49,11.73,21.97,53.36,29-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Jan-2020 - 00:00,2.7,5.03,6.47,4.03,3.99,0.93,1.09,2.81,0.8,187.57,5.29,0.0,36.62,0.48,10.99,21.43,54.76,30-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Jan-2020 - 00:00,2.62,5.04,6.53,4.04,4.41,3.99,4.1,5.51,3.82,187.94,5.39,0.0,30.84,0.56,12.36,27.0,61.46,31-Jan-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-Jan-2020 - 00:00,2.63,5.06,6.55,4.01,5.01,1.08,1.45,3.62,1.77,188.46,5.49,0.0,31.28,0.57,11.55,29.89,65.65,01-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Feb-2020 - 00:00,2.69,5.03,6.48,4.04,5.37,1.13,1.19,2.91,1.06,187.89,5.42,0.0,37.22,0.62,13.25,36.85,81.35,02-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Feb-2020 - 00:00,2.58,5.07,6.6,4.02,8.15,1.32,1.96,4.96,1.8,188.09,5.49,0.0,40.55,0.94,10.93,52.33,118.42,03-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Feb-2020 - 00:00,2.41,4.99,6.43,4.04,7.42,1.28,1.95,4.94,1.49,187.43,5.37,0.0,36.9,0.78,16.45,56.18,127.05,04-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Feb-2020 - 00:00,1.69,5.03,6.47,4.02,5.05,1.14,1.26,4.98,1.02,187.58,5.38,0.0,32.79,0.6,16.33,42.41,98.35,05-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Feb-2020 - 00:00,3.29,5.01,6.54,4.02,4.51,0.98,1.06,2.88,0.97,188.03,5.44,0.0,32.7,0.56,15.05,42.4,95.56,06-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Feb-2020 - 00:00,4.73,4.93,6.34,4.03,6.47,1.19,1.71,3.9,1.32,187.63,5.35,0.0,32.63,0.68,16.32,46.65,108.15,07-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Feb-2020 - 00:00,5.02,5.05,6.52,4.57,4.3,1.05,1.19,3.24,0.91,187.46,5.41,0.0,41.21,0.55,16.2,44.82,98.93,08-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Feb-2020 - 00:00,5.03,5.03,6.48,5.0,6.76,1.24,1.83,4.06,1.52,187.14,5.35,0.0,62.65,0.8,15.86,53.49,130.25,09-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Feb-2020 - 00:00,5.02,5.06,6.53,4.97,7.74,1.27,1.89,3.95,1.61,186.83,5.28,0.0,61.97,0.84,17.1,49.38,125.22,10-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Feb-2020 - 00:00,4.98,5.0,6.45,4.99,5.54,3.06,1.87,3.48,1.48,186.88,5.24,0.0,45.14,0.6,18.43,50.26,130.32,11-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Feb-2020 - 00:00,4.74,5.01,6.53,5.0,7.3,1.31,1.78,4.16,1.4,186.7,5.28,0.0,32.4,0.75,25.26,58.69,140.29,12-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Feb-2020 - 00:00,4.63,4.92,6.44,5.04,5.54,1.05,1.34,2.54,1.1,185.69,5.0,0.0,39.08,0.59,19.5,49.82,128.44,13-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Feb-2020 - 00:00,4.74,5.02,6.48,4.98,4.39,0.88,0.89,2.12,0.75,185.35,4.96,0.0,33.86,0.45,17.45,32.75,103.77,14-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Feb-2020 - 00:00,4.69,5.12,6.65,4.94,4.15,0.9,0.77,2.9,0.75,185.7,5.1,0.0,29.09,0.35,18.29,33.0,111.7,15-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Feb-2020 - 00:00,4.71,5.04,6.53,5.0,5.2,0.88,0.72,3.93,0.76,185.66,5.04,0.0,17.07,0.42,18.32,33.38,113.55,16-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Feb-2020 - 00:00,4.77,5.06,6.52,4.97,6.77,0.92,1.2,2.84,0.98,185.06,4.93,0.0,16.55,0.7,18.67,46.72,122.22,17-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Feb-2020 - 00:00,4.78,5.07,6.53,4.97,6.31,1.01,1.43,3.08,1.18,185.22,4.86,0.0,19.0,0.67,21.59,52.38,131.34,18-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Feb-2020 - 00:00,4.77,4.95,6.38,5.01,6.13,1.14,1.35,2.93,1.17,184.94,4.67,0.08,23.77,0.61,20.88,47.02,129.0,19-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Feb-2020 - 00:00,4.72,4.98,6.45,5.01,5.87,0.88,1.21,2.52,1.05,185.17,4.61,0.0,22.37,0.63,21.36,48.88,129.82,20-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Feb-2020 - 00:00,4.74,5.0,6.46,5.0,7.15,0.92,1.43,2.89,1.59,184.39,4.41,0.0,31.64,0.67,21.15,45.68,129.65,21-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Feb-2020 - 00:00,4.77,4.97,6.4,5.0,4.56,0.77,0.86,1.65,0.76,186.05,4.72,0.0,40.18,0.47,15.92,22.85,60.34,22-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Feb-2020 - 00:00,4.73,5.04,6.52,4.98,3.92,0.83,0.76,1.53,0.64,185.05,4.5,0.0,41.17,0.46,16.64,19.77,52.37,23-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Feb-2020 - 00:00,4.83,4.99,6.41,4.99,6.29,1.06,1.32,2.8,1.28,184.16,4.27,0.0,37.07,0.6,17.12,31.93,78.75,24-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Feb-2020 - 00:00,4.74,5.04,6.52,4.98,6.55,1.1,1.17,3.04,1.06,184.25,4.27,0.0,40.2,0.62,19.19,42.41,103.61,25-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Feb-2020 - 00:00,4.77,5.06,6.51,4.97,6.99,1.16,1.34,3.37,1.16,183.84,4.18,0.0,48.31,0.66,20.33,45.86,119.11,26-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Feb-2020 - 00:00,4.78,5.02,6.46,4.99,6.95,1.14,1.52,3.62,1.21,183.57,4.09,0.0,51.72,0.67,18.19,55.96,137.45,27-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Feb-2020 - 00:00,4.8,5.04,6.47,4.97,7.08,1.4,1.62,5.87,1.46,183.94,4.11,0.0,51.41,0.66,20.22,50.25,119.01,28-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Feb-2020 - 00:00,4.84,5.02,6.42,4.97,6.2,0.92,1.11,2.34,0.97,183.65,4.23,0.0,41.73,0.62,20.56,45.21,115.94,29-Feb-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Feb-2020 - 00:00,4.82,5.0,6.42,4.99,5.3,0.88,0.84,1.61,0.97,183.96,4.32,0.0,31.24,0.55,11.5,38.25,92.35,01-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Mar-2020 - 00:00,4.5,4.99,6.61,5.03,13.03,1.26,7.44,7.74,8.22,184.47,4.19,0.0,2.54,1.34,2.54,24.78,53.17,02-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Mar-2020 - 00:00,4.54,5.09,6.71,4.98,14.41,1.57,9.23,7.71,7.7,183.25,4.06,0.0,18.39,1.22,27.76,32.2,71.22,03-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Mar-2020 - 00:00,4.68,5.09,6.62,4.97,4.58,1.06,1.79,3.12,1.61,183.92,4.23,0.0,40.34,0.47,27.31,38.84,93.58,04-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Mar-2020 - 00:00,4.7,5.14,6.67,4.94,4.87,1.01,1.5,3.23,1.28,184.39,4.42,0.0,44.44,0.51,25.83,41.47,100.87,05-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Mar-2020 - 00:00,4.72,5.11,6.61,4.96,2.26,0.68,0.68,1.27,0.64,185.46,4.62,0.01,44.0,0.27,23.84,9.04,39.39,06-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Mar-2020 - 00:00,4.66,4.88,6.36,5.05,1.96,0.68,0.7,1.57,0.6,187.69,5.08,0.01,37.39,0.26,16.31,9.02,20.4,07-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Mar-2020 - 00:00,4.71,4.98,6.46,5.0,3.24,0.76,1.17,3.36,0.91,186.34,4.8,0.0,34.19,0.35,12.7,14.34,41.66,08-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Mar-2020 - 00:00,4.65,5.1,6.65,4.96,3.82,0.77,1.27,2.66,1.01,185.03,4.54,0.0,34.99,0.43,16.68,19.12,48.64,09-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Mar-2020 - 00:00,4.72,4.98,6.45,5.02,3.4,0.73,1.09,2.2,0.9,185.29,4.59,0.0,34.9,0.38,18.93,29.09,66.15,10-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Mar-2020 - 00:00,4.74,5.17,6.67,4.93,3.48,0.79,1.14,2.26,0.96,184.74,4.5,0.0,32.95,0.4,21.08,36.36,85.86,11-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Mar-2020 - 00:00,4.73,5.1,6.6,4.95,3.08,0.68,1.04,2.06,0.84,186.45,4.84,0.0,28.53,0.38,17.82,25.77,62.7,12-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Mar-2020 - 00:00,4.71,5.09,6.59,4.96,2.65,0.71,1.03,2.02,0.82,185.25,4.59,0.0,33.98,0.35,16.41,34.71,89.67,13-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Mar-2020 - 00:00,4.63,4.99,6.53,5.01,2.19,0.64,0.96,1.75,0.75,186.19,4.77,0.0,30.98,0.3,16.66,29.89,88.83,14-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Mar-2020 - 00:00,4.67,4.87,6.35,5.06,2.96,0.63,0.95,1.86,0.8,186.85,4.9,0.0,29.56,0.36,14.51,36.66,87.13,15-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Mar-2020 - 00:00,4.75,5.05,6.52,4.97,2.73,0.66,0.96,1.92,0.9,186.16,4.76,0.0,31.8,0.4,16.45,25.58,57.05,16-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Mar-2020 - 00:00,4.64,4.85,6.35,5.07,2.83,0.71,0.77,1.57,0.69,184.33,4.4,0.0,34.21,0.4,20.98,36.44,85.76,17-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Mar-2020 - 00:00,4.61,5.05,6.61,4.99,3.0,0.89,0.93,2.39,0.8,183.8,4.3,0.0,35.8,0.42,18.98,36.69,86.65,18-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Mar-2020 - 00:00,4.76,5.09,6.56,4.96,4.18,1.07,1.26,2.94,1.15,183.24,4.19,0.0,42.28,0.53,23.02,42.77,97.84,19-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Mar-2020 - 00:00,4.66,5.07,6.6,4.98,3.99,1.21,1.14,3.84,1.06,182.87,4.12,0.0,49.31,0.48,21.79,42.24,99.91,20-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Mar-2020 - 00:00,4.68,4.94,6.42,5.02,3.26,1.32,1.03,4.66,1.06,183.09,4.17,0.0,44.56,0.41,23.79,28.97,84.29,21-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Mar-2020 - 00:00,4.74,5.06,6.53,4.98,3.52,1.11,1.2,2.79,1.06,182.9,4.13,0.0,50.73,0.44,20.8,32.2,73.47,22-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Mar-2020 - 00:00,4.69,5.04,6.55,4.99,3.17,1.06,1.21,2.59,1.2,182.9,4.13,0.0,52.83,0.39,25.28,26.0,59.55,23-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Mar-2020 - 00:00,4.64,5.13,6.69,4.95,3.18,1.36,1.22,2.54,1.08,182.21,4.0,0.0,51.97,0.39,22.11,27.23,62.45,24-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Mar-2020 - 00:00,4.75,4.95,6.39,5.02,2.88,1.13,1.16,2.33,0.98,183.16,4.19,0.0,55.49,0.35,17.09,22.21,58.46,25-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Mar-2020 - 00:00,4.71,4.95,6.41,5.02,2.34,0.93,0.97,1.98,0.81,183.56,4.27,0.0,63.85,0.28,12.39,16.6,41.09,26-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Mar-2020 - 00:00,4.74,5.09,6.57,4.96,3.02,1.05,1.14,2.43,1.0,182.53,4.06,0.0,70.52,0.33,12.4,19.82,48.55,27-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Mar-2020 - 00:00,4.69,5.02,6.52,4.99,2.41,0.93,1.09,2.22,0.93,184.75,4.5,0.0,75.5,0.26,8.47,11.74,30.01,28-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Mar-2020 - 00:00,4.75,5.13,6.62,4.94,2.31,0.98,1.07,2.26,0.92,183.58,4.26,0.0,78.33,0.27,13.02,8.88,23.0,29-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Mar-2020 - 00:00,4.72,5.0,6.47,5.01,2.48,0.94,0.99,2.14,0.86,182.9,4.13,0.0,77.68,0.29,12.6,17.96,44.2,30-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Mar-2020 - 00:00,4.78,5.06,6.52,4.98,2.66,1.04,1.0,2.13,0.89,182.96,4.14,0.0,3.11,0.31,4.94,19.83,47.5,31-Mar-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-Mar-2020 - 00:00,4.75,5.18,6.68,4.92,2.77,0.99,0.99,2.12,0.88,183.92,4.33,0.0,4.13,0.31,16.38,21.17,47.06,01-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Apr-2020 - 00:00,4.74,5.07,6.55,4.96,1.82,0.84,0.76,1.64,0.7,183.56,4.26,0.0,8.29,0.24,14.14,13.9,33.19,02-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Apr-2020 - 00:00,4.72,4.93,6.38,5.03,2.57,0.94,0.9,1.96,0.82,182.92,4.13,0.0,12.01,0.29,20.37,23.35,50.32,03-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Apr-2020 - 00:00,4.72,5.06,6.55,4.97,2.46,1.03,0.94,2.01,0.85,182.95,4.14,0.0,8.62,0.32,28.15,19.04,48.96,04-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Apr-2020 - 00:00,4.78,5.04,6.49,4.99,2.79,1.3,1.04,2.18,0.92,182.21,3.99,0.0,6.5,0.37,31.77,22.34,52.2,05-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Apr-2020 - 00:00,4.77,5.02,6.46,4.98,2.32,1.45,0.96,2.02,0.89,181.01,3.76,0.0,8.37,0.28,21.6,25.54,62.57,06-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Apr-2020 - 00:00,4.7,4.99,6.47,5.0,3.07,1.43,1.11,1.02,0.43,181.61,3.87,0.0,11.55,0.35,22.23,28.75,72.6,07-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Apr-2020 - 00:00,4.75,5.0,6.46,4.99,,,,0.0,0.0,183.49,4.25,0.0,17.51,0.28,25.27,25.84,71.0,08-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Apr-2020 - 00:00,4.72,5.01,6.49,4.99,,,,0.0,0.0,182.84,4.12,0.0,16.96,0.27,28.9,20.02,53.47,09-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Apr-2020 - 00:00,4.75,5.03,6.49,4.98,,,,0.0,0.0,181.8,3.91,0.0,14.87,0.34,32.18,22.0,57.63,10-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Apr-2020 - 00:00,4.7,4.97,6.46,5.01,,,,0.0,0.0,180.85,3.72,0.0,15.06,0.34,30.76,24.76,62.02,11-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Apr-2020 - 00:00,4.79,5.05,6.5,4.97,,,,0.0,0.0,180.9,3.74,0.0,21.67,0.31,26.32,22.85,66.87,12-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Apr-2020 - 00:00,4.66,5.05,6.57,4.99,,,,0.0,0.0,180.22,3.61,0.0,25.62,0.34,25.14,28.1,83.24,13-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Apr-2020 - 00:00,4.74,5.03,6.51,4.98,,,,0.0,0.0,179.37,3.44,0.0,32.75,0.4,22.51,38.67,97.2,14-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Apr-2020 - 00:00,4.7,5.01,6.49,5.0,,,,0.0,0.0,179.04,3.37,0.0,36.8,0.35,17.07,47.31,155.48,15-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Apr-2020 - 00:00,4.72,5.0,6.48,4.99,2.67,3.29,1.01,0.45,0.29,178.93,3.34,0.0,22.36,0.33,21.39,69.77,180.24,16-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Apr-2020 - 00:00,4.7,5.04,6.54,4.98,2.51,2.07,0.89,1.99,1.06,180.08,3.57,0.0,27.96,0.3,30.86,33.09,108.3,17-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Apr-2020 - 00:00,4.72,5.04,6.52,4.98,1.92,2.21,0.86,1.81,0.95,180.51,3.66,0.0,28.46,0.25,23.05,32.98,109.54,18-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Apr-2020 - 00:00,4.83,5.05,6.47,4.97,1.72,1.52,0.73,1.55,0.77,182.01,3.94,0.0,39.86,0.23,21.04,24.8,90.91,19-Apr-2020 - 00:00,"F-Block, Sirsa - HSPCB"
