from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
24-Feb-2020 - 00:00,18.2,48.26,8.2,1.3,5.39,9.63,17.83,0.31,28.27,0.0,0.02,26.0,1.54,116.55,45.76,727.16,25-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
25-Feb-2020 - 00:00,28.01,70.7,18.91,4.96,14.09,9.92,23.86,0.59,26.42,0.03,0.06,26.49,1.07,159.98,42.17,725.84,26-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
26-Feb-2020 - 00:00,27.3,66.92,14.39,2.41,9.41,10.29,24.33,0.38,25.11,0.01,0.05,27.08,1.45,142.06,42.94,725.86,27-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
27-Feb-2020 - 00:00,21.98,60.42,11.32,1.36,7.01,9.66,20.92,0.31,28.83,0.01,0.05,27.22,1.49,122.65,42.28,726.34,28-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
28-Feb-2020 - 00:00,22.0,52.95,9.07,1.33,5.79,9.18,18.14,0.3,31.39,0.0,0.04,26.77,1.7,118.92,43.6,725.64,29-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
29-Feb-2020 - 00:00,25.46,71.66,13.6,3.56,9.71,9.98,19.25,0.44,32.93,0.01,0.07,27.06,1.59,137.33,42.12,725.35,01-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
01-Mar-2020 - 00:00,24.53,56.81,7.62,0.9,4.69,8.58,20.52,0.28,31.72,0.0,0.02,27.27,1.59,123.36,43.56,725.61,02-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
02-Mar-2020 - 00:00,29.3,58.0,10.66,0.86,6.3,8.55,19.11,0.27,26.07,0.02,0.03,26.19,1.2,185.55,52.02,726.55,03-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
03-Mar-2020 - 00:00,39.06,90.96,23.44,7.46,18.51,9.04,20.85,0.77,24.12,0.06,0.15,26.75,0.83,192.77,49.92,726.15,04-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
04-Mar-2020 - 00:00,27.62,74.78,22.18,4.61,15.55,10.05,20.18,0.57,22.15,0.04,0.09,28.09,1.13,241.62,43.47,725.61,05-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
05-Mar-2020 - 00:00,43.51,82.69,20.12,11.27,19.66,10.56,19.93,1.04,21.57,0.08,0.14,27.35,1.17,206.41,47.03,724.74,06-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
06-Mar-2020 - 00:00,27.3,55.36,16.44,4.46,12.31,12.86,18.01,0.57,20.71,0.05,0.13,27.13,0.98,216.35,52.73,725.26,07-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
