from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
10-Oct-2020 - 00:00,21.01,23.4,12.3,0.74,94.58,8.73,2.1,2.39,23.36,145.69,58.09,30.17,0.0,32.29,117.06,31.07,66.34,2.1,11-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Oct-2020 - 00:00,20.36,25.91,12.1,0.73,90.47,6.16,2.28,2.41,24.71,148.21,60.76,29.74,0.0,34.56,99.14,31.06,73.47,2.12,12-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Oct-2020 - 00:00,22.05,28.46,13.12,0.8,96.63,5.45,2.43,2.82,27.1,148.54,63.31,29.92,0.0,37.71,113.67,30.83,88.99,1.78,13-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Oct-2020 - 00:00,14.75,28.34,8.88,0.76,76.34,4.82,1.98,2.05,24.26,118.71,59.71,30.14,0.01,46.25,93.33,31.47,96.06,1.74,14-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Oct-2020 - 00:00,12.81,28.49,7.97,0.79,83.51,6.5,1.79,1.69,24.13,111.48,59.41,30.44,0.0,52.11,86.27,31.41,71.46,2.69,15-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Oct-2020 - 00:00,12.85,19.48,8.02,0.76,54.57,3.12,1.56,1.92,18.02,87.27,42.26,30.26,0.0,55.06,99.0,32.14,77.8,3.03,16-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Oct-2020 - 00:00,16.93,19.08,10.54,0.79,36.11,6.6,1.74,3.72,27.21,73.82,37.48,30.05,0.01,62.11,77.43,32.1,119.76,2.1,17-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Oct-2020 - 00:00,23.0,23.63,14.53,0.93,47.91,6.04,2.53,4.48,37.15,87.58,46.27,30.5,0.0,59.57,96.78,31.65,127.84,1.49,18-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Oct-2020 - 00:00,14.04,26.89,10.07,0.74,73.46,3.07,2.4,2.1,43.48,87.83,47.38,30.13,0.0,62.49,105.54,31.75,207.45,1.94,19-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Oct-2020 - 00:00,10.15,17.99,6.53,0.7,114.75,3.07,1.77,0.88,37.16,70.03,42.6,29.6,0.01,64.65,89.75,33.32,203.88,1.74,20-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Oct-2020 - 00:00,13.51,19.11,8.28,0.76,117.29,5.29,1.74,1.69,21.86,130.5,65.32,31.06,0.0,43.08,141.65,32.72,105.8,2.02,21-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Oct-2020 - 00:00,21.16,17.77,12.4,0.87,96.89,6.14,2.31,2.68,28.16,153.57,69.29,29.96,0.0,39.23,92.31,32.14,118.65,1.59,22-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Oct-2020 - 00:00,19.5,25.21,12.29,0.77,93.15,3.46,2.52,2.69,42.32,129.17,69.4,29.36,0.0,52.88,101.2,32.48,198.82,1.78,23-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Oct-2020 - 00:00,12.8,17.95,8.04,0.52,95.61,5.19,1.79,1.05,40.75,84.0,37.01,29.2,0.0,45.72,110.94,32.19,214.28,1.65,24-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Oct-2020 - 00:00,15.52,14.4,9.66,0.4,98.22,3.28,1.88,0.91,46.59,88.7,29.33,28.52,0.0,36.31,117.88,32.37,245.22,2.18,25-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Oct-2020 - 00:00,12.88,15.37,8.12,0.4,108.64,5.21,1.82,0.71,44.87,87.16,29.23,28.1,0.0,39.75,118.72,32.34,232.66,2.31,26-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Oct-2020 - 00:00,14.27,16.61,8.66,0.52,106.65,3.88,1.8,0.97,36.84,93.62,36.59,28.41,0.0,38.42,114.04,32.33,192.57,1.52,27-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Oct-2020 - 00:00,15.9,16.16,9.85,0.53,97.19,7.38,1.81,0.91,33.9,101.19,39.12,28.43,0.0,36.42,111.73,32.19,178.31,1.26,28-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Oct-2020 - 00:00,24.88,19.28,14.95,0.78,91.97,6.46,2.35,3.04,36.33,167.5,64.06,28.23,0.0,35.66,104.79,32.24,131.84,1.32,29-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Oct-2020 - 00:00,26.77,21.96,16.03,0.81,100.83,5.47,2.73,3.76,40.53,159.17,63.52,28.36,0.0,38.19,100.9,32.84,137.67,1.39,30-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Oct-2020 - 00:00,19.05,21.32,11.51,0.74,124.92,5.61,2.29,2.61,36.04,161.34,63.46,28.21,0.0,37.64,97.82,32.15,128.95,1.74,31-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Oct-2020 - 00:00,27.33,21.92,15.83,0.92,93.5,5.68,2.32,3.52,27.44,186.79,74.76,27.48,0.0,36.5,97.62,32.32,88.76,1.86,01-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Nov-2020 - 00:00,27.58,23.4,16.45,0.85,87.45,4.91,2.77,4.07,33.09,193.02,80.38,27.34,0.0,34.05,100.48,32.71,98.88,1.68,02-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Nov-2020 - 00:00,33.53,26.6,20.0,1.04,91.0,6.44,2.99,4.21,31.43,190.83,85.25,27.3,0.0,36.99,97.99,32.73,119.71,1.3,03-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Nov-2020 - 00:00,37.48,26.39,24.17,1.06,71.55,6.87,3.11,5.64,39.24,173.67,73.83,27.0,0.0,39.27,102.14,32.44,160.38,1.33,04-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Nov-2020 - 00:00,33.53,28.0,26.72,1.03,80.93,5.75,3.06,6.33,41.13,154.31,67.62,26.79,0.0,42.46,107.65,32.18,188.75,1.27,05-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Nov-2020 - 00:00,42.21,27.47,28.09,1.05,80.68,8.34,3.27,7.66,38.0,164.88,69.03,26.97,0.0,39.54,103.81,32.63,158.2,1.45,06-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Nov-2020 - 00:00,47.23,27.87,30.37,1.2,81.3,6.0,3.64,9.56,41.12,171.52,72.6,27.11,0.0,39.43,102.15,33.21,131.43,1.52,07-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Nov-2020 - 00:00,46.57,27.56,29.41,1.25,84.68,7.35,3.68,11.01,39.05,186.42,90.09,26.96,0.0,39.49,97.1,32.21,125.18,1.32,08-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Nov-2020 - 00:00,64.93,30.55,39.74,1.71,42.69,5.59,4.54,15.21,48.51,228.15,118.94,25.3,0.0,50.91,2.85,31.57,119.5,0.96,09-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Nov-2020 - 00:00,46.71,32.17,31.24,1.46,80.95,6.31,3.8,8.27,37.9,224.65,115.73,26.3,0.0,45.47,92.4,31.11,126.96,1.36,10-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Nov-2020 - 00:00,41.9,31.96,26.78,1.28,89.73,7.0,4.01,8.39,38.47,217.12,111.58,26.26,0.0,41.96,95.36,31.34,110.41,1.33,11-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Nov-2020 - 00:00,36.52,33.25,20.96,1.3,96.11,8.64,3.59,6.93,32.18,255.79,144.58,25.79,0.0,44.17,80.47,30.82,105.88,1.36,12-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Nov-2020 - 00:00,39.24,29.2,23.1,1.28,87.8,9.83,3.18,8.01,29.87,187.01,108.7,26.29,0.0,50.89,94.95,32.06,102.99,1.68,13-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Nov-2020 - 00:00,20.32,27.2,12.0,0.83,102.96,7.94,2.36,4.48,26.72,117.29,64.89,27.16,0.0,53.84,92.5,32.17,83.56,1.85,14-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Nov-2020 - 00:00,27.08,24.96,16.16,0.91,99.19,27.99,1.98,2.84,23.19,200.73,135.92,27.83,0.0,55.94,82.8,31.65,92.14,1.8,15-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Nov-2020 - 00:00,29.04,26.02,18.53,0.91,55.07,14.48,2.41,3.19,25.13,187.56,123.9,28.1,0.0,53.12,89.54,31.08,174.17,2.68,16-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Nov-2020 - 00:00,22.16,26.33,13.04,0.79,101.15,15.41,1.88,2.29,24.87,87.16,49.64,28.32,0.0,54.39,77.98,31.75,107.22,1.93,17-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Nov-2020 - 00:00,17.22,24.32,10.57,0.79,119.1,14.86,1.46,1.21,18.87,102.15,58.74,27.3,0.0,59.66,87.19,31.03,109.88,2.52,18-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Nov-2020 - 00:00,20.13,25.72,12.21,0.86,87.6,12.25,1.62,1.37,21.07,106.8,68.09,25.68,0.01,69.44,73.94,31.84,159.83,2.4,19-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Nov-2020 - 00:00,20.38,29.41,12.16,0.73,89.81,13.23,1.66,1.25,28.02,98.3,56.16,25.65,0.0,58.97,91.89,31.29,186.16,1.82,20-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Nov-2020 - 00:00,16.95,25.71,10.42,0.69,119.89,10.52,1.39,0.87,12.44,113.92,79.66,24.24,0.0,61.9,94.56,31.44,67.88,2.74,21-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Nov-2020 - 00:00,24.08,20.41,13.99,0.72,146.37,11.71,1.61,1.59,13.59,119.06,76.81,23.56,0.0,46.09,96.55,31.9,63.23,2.47,22-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Nov-2020 - 00:00,23.88,18.58,13.88,0.65,138.82,11.35,1.57,1.57,15.17,106.79,65.05,23.6,0.0,43.42,98.19,31.26,89.32,1.9,23-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Nov-2020 - 00:00,29.05,22.41,16.98,0.84,118.67,17.36,1.99,2.24,21.89,130.89,71.4,24.19,0.0,48.16,94.55,31.23,132.72,1.55,24-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Nov-2020 - 00:00,41.39,24.69,27.58,1.19,82.32,15.11,2.84,5.13,30.4,143.26,75.01,20.85,0.0,52.09,95.28,30.88,171.92,1.55,25-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Nov-2020 - 00:00,33.41,25.6,19.39,0.85,96.34,25.09,1.94,4.87,25.25,148.01,89.31,21.24,0.0,50.26,87.91,30.71,144.14,2.24,26-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Nov-2020 - 00:00,27.41,23.24,15.62,0.75,109.32,17.59,1.9,2.25,20.99,135.5,79.88,20.48,0.0,49.85,83.7,31.51,105.79,2.45,27-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Nov-2020 - 00:00,17.76,21.68,9.96,0.67,118.57,7.64,1.46,0.97,8.43,127.36,86.99,20.96,0.0,55.32,93.38,31.04,56.29,3.7,28-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Nov-2020 - 00:00,25.53,18.09,14.31,0.67,96.53,6.69,1.36,1.96,12.97,92.96,48.33,23.24,0.0,53.26,99.46,31.28,59.31,2.69,29-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Nov-2020 - 00:00,26.41,18.46,14.95,0.71,90.88,9.34,1.6,2.16,16.51,91.91,47.0,24.45,0.0,48.27,93.42,31.45,77.46,1.89,30-Nov-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Nov-2020 - 00:00,33.75,20.06,19.99,0.9,86.48,10.23,1.94,3.19,21.17,111.17,52.29,25.2,0.0,50.18,92.85,30.9,86.84,1.57,01-Dec-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Dec-2020 - 00:00,26.55,20.35,14.6,0.71,87.6,7.7,2.45,3.7,28.15,106.0,48.0,23.55,0.0,56.5,3.0,31.2,70.0,1.45,02-Dec-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
