from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
