from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
17-Feb-2020 - 00:00,69.19,769.0,30.11,136.82,59.36,0.0,0.22,178.83,157.14,0.88,13.0,17.41,120.03,102.68,2.67,21.61,71.6,18-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
18-Feb-2020 - 00:00,58.47,768.6,30.7,117.6,53.9,0.0,0.18,160.1,161.84,0.85,14.32,18.79,140.78,122.03,2.77,28.78,74.56,19-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
19-Feb-2020 - 00:00,65.64,768.11,29.87,117.72,61.06,0.0,0.12,111.65,162.81,0.85,14.92,20.57,147.19,126.62,2.97,34.14,76.05,20-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
20-Feb-2020 - 00:00,40.02,767.65,29.39,154.48,60.12,0.0,0.16,106.24,97.13,0.87,16.02,16.82,86.49,69.69,2.33,9.98,41.39,21-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
21-Feb-2020 - 00:00,24.55,769.56,28.3,132.43,66.23,0.0,0.13,129.93,71.78,0.87,14.16,11.68,68.34,56.66,1.93,1.54,41.31,22-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
22-Feb-2020 - 00:00,52.04,769.85,28.62,159.34,57.93,0.0,0.18,129.15,116.65,0.85,13.92,11.59,82.84,71.2,2.22,9.15,61.62,23-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
23-Feb-2020 - 00:00,47.42,769.05,28.32,100.05,59.19,0.0,0.13,178.61,131.66,0.89,14.87,13.71,107.86,94.17,2.75,18.14,73.7,24-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
24-Feb-2020 - 00:00,56.94,767.31,28.28,137.29,61.21,0.0,0.15,197.37,134.39,0.85,15.0,16.68,126.49,109.82,2.42,6.0,78.29,25-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
25-Feb-2020 - 00:00,39.56,766.84,29.41,147.39,43.25,0.0,0.34,155.49,108.67,0.89,14.48,24.07,148.24,124.21,2.68,1.62,51.99,26-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
26-Feb-2020 - 00:00,33.54,767.3,30.38,134.47,38.78,0.0,0.5,153.82,108.06,0.87,13.53,14.05,103.38,89.25,2.26,1.4,60.51,27-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
27-Feb-2020 - 00:00,38.97,767.36,30.09,138.77,40.45,0.0,0.21,147.96,109.96,0.86,13.94,17.15,147.52,130.77,2.47,0.75,73.69,28-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
28-Feb-2020 - 00:00,54.19,766.46,28.64,109.54,51.26,0.0,0.1,150.67,162.66,0.9,15.81,38.92,215.55,184.08,3.06,5.02,69.1,29-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
29-Feb-2020 - 00:00,45.43,766.02,28.39,115.49,62.31,0.0,0.13,83.98,129.67,0.88,15.5,24.55,148.79,124.23,2.68,12.91,31.17,01-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
01-Mar-2020 - 00:00,24.37,766.83,28.49,191.04,71.44,0.0,0.15,69.96,71.02,0.87,13.91,9.65,43.55,33.89,1.9,3.41,14.57,02-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
04-Mar-2020 - 00:00,23.21,767.96,28.63,233.98,66.86,0.0,0.17,142.83,74.33,0.91,15.12,15.61,27.52,45.03,1.57,5.2,17.92,05-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
05-Mar-2020 - 00:00,23.21,767.3,27.36,125.5,70.46,0.0,0.09,216.06,76.68,0.72,15.95,11.65,59.44,47.77,1.56,7.2,20.75,06-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
06-Mar-2020 - 00:00,18.73,767.0,28.04,122.78,64.23,0.0,0.09,252.35,63.5,0.68,14.92,7.8,39.54,31.76,1.4,4.09,29.3,07-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
07-Mar-2020 - 00:00,24.06,768.56,27.03,148.36,63.54,0.0,0.12,100.42,95.37,0.67,15.61,8.94,42.86,33.93,1.61,4.46,18.49,08-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
08-Mar-2020 - 00:00,21.54,768.35,25.72,95.81,64.59,0.0,0.1,151.0,85.4,0.73,16.56,14.74,75.55,60.73,1.88,7.99,26.75,09-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
09-Mar-2020 - 00:00,26.63,767.89,26.57,152.2,70.57,0.0,0.11,131.43,94.36,0.7,15.39,10.87,63.52,52.64,1.9,8.76,25.28,10-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
10-Mar-2020 - 00:00,21.51,767.71,27.67,131.25,69.8,0.0,0.08,141.0,68.45,0.59,16.08,8.69,52.48,43.78,2.06,9.5,26.41,11-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
11-Mar-2020 - 00:00,14.26,768.23,27.05,123.78,62.13,0.0,0.11,102.67,44.61,0.6,15.02,7.4,38.88,31.46,1.63,3.3,28.29,12-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
12-Mar-2020 - 00:00,19.56,769.29,26.4,130.26,61.77,0.0,0.14,103.96,55.72,0.69,14.52,10.52,51.43,40.9,1.67,4.03,19.57,13-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
