from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
30-Jan-2020 - 00:00,1.51,5.27,10.18,0.9,2.41,0.63,17.31,3.94,10.15,6.22,7.94,66.57,31.17,0.0,87.74,203.02,12.58,267.16,0.72,3.27,31-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
31-Jan-2020 - 00:00,1.52,5.28,10.18,0.9,2.43,0.67,18.52,5.09,11.53,6.45,6.76,77.79,39.62,0.0,94.35,144.09,10.38,252.9,0.56,3.09,01-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
01-Feb-2020 - 00:00,1.5,5.3,10.24,0.87,2.43,0.69,21.85,6.71,16.56,9.85,6.17,86.5,42.64,0.0,93.68,153.95,10.35,251.21,0.45,4.8,02-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
02-Feb-2020 - 00:00,1.52,5.3,10.38,0.9,2.49,2.37,19.04,4.23,12.35,8.12,8.86,76.86,40.35,0.0,90.67,162.64,12.17,267.37,0.62,11.9,03-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
03-Feb-2020 - 00:00,1.52,5.19,10.05,0.91,2.36,0.92,18.88,4.8,12.9,8.1,7.9,98.79,48.03,0.0,86.4,164.53,12.06,247.1,0.43,6.63,04-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
04-Feb-2020 - 00:00,1.51,5.29,10.26,0.89,2.4,0.85,19.98,5.79,14.12,8.34,9.44,125.02,65.09,0.0,85.07,160.24,12.9,204.81,0.47,11.25,05-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
05-Feb-2020 - 00:00,1.52,5.26,10.18,0.89,2.39,0.74,17.56,3.41,10.17,6.77,9.91,99.47,50.69,0.0,83.72,155.52,12.96,263.11,0.68,8.06,06-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
06-Feb-2020 - 00:00,1.51,5.29,10.25,0.88,2.4,0.73,18.56,4.7,12.07,7.37,9.07,87.99,43.74,0.0,80.61,160.93,12.45,238.13,0.57,6.1,07-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
07-Feb-2020 - 00:00,1.54,5.26,10.2,0.91,2.4,0.83,21.32,6.41,15.64,9.24,8.86,115.28,61.79,0.0,85.99,163.67,12.4,244.33,0.46,11.47,08-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
08-Feb-2020 - 00:00,1.49,5.24,10.13,0.86,2.38,0.73,18.46,3.68,11.41,7.81,8.86,86.51,44.33,0.0,84.31,161.9,13.01,263.44,0.55,6.93,09-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
09-Feb-2020 - 00:00,1.5,5.29,10.24,0.87,2.4,0.78,17.56,4.29,10.47,6.19,8.53,116.04,59.55,0.0,83.61,165.26,13.21,246.62,0.44,6.23,10-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
10-Feb-2020 - 00:00,1.53,5.27,10.16,0.88,2.39,0.81,18.34,4.19,11.56,7.37,9.4,128.03,63.97,0.0,82.26,163.68,14.0,255.25,0.46,6.74,11-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
11-Feb-2020 - 00:00,1.51,5.26,10.17,0.9,2.39,0.8,19.7,6.03,13.27,7.24,9.37,131.8,71.43,0.0,83.8,162.75,14.02,253.44,0.49,7.03,12-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
12-Feb-2020 - 00:00,1.5,5.29,10.24,0.87,2.4,0.73,16.28,3.26,8.39,5.13,9.41,102.73,51.19,0.0,82.95,170.56,16.02,259.12,0.88,7.21,13-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
13-Feb-2020 - 00:00,1.55,5.26,10.06,0.96,2.39,0.71,16.01,3.3,7.97,4.67,8.69,81.7,38.81,0.0,85.17,171.38,17.25,263.03,1.01,7.42,14-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
14-Feb-2020 - 00:00,1.51,5.3,10.25,0.88,2.4,0.66,15.64,3.29,7.62,4.34,12.62,85.48,38.94,0.0,78.73,168.62,16.5,261.89,1.07,7.23,15-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
15-Feb-2020 - 00:00,1.49,5.24,10.13,0.87,2.38,0.66,15.59,3.28,7.56,4.34,9.76,80.33,33.3,0.0,73.91,166.31,16.09,257.86,1.01,6.21,16-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
16-Feb-2020 - 00:00,1.51,5.29,10.24,0.88,2.4,0.75,16.11,3.54,8.92,5.39,9.56,92.1,45.35,0.0,73.2,168.0,17.5,261.33,0.6,7.07,17-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
17-Feb-2020 - 00:00,1.51,5.26,10.08,0.88,2.4,0.72,16.17,3.41,8.48,5.08,15.1,95.31,41.29,0.0,71.95,175.45,16.7,255.33,0.77,6.71,18-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
18-Feb-2020 - 00:00,1.49,5.25,10.14,0.85,2.38,0.74,16.43,3.33,9.15,5.82,14.83,96.61,48.6,0.0,72.07,176.36,16.85,253.48,0.73,9.41,19-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
19-Feb-2020 - 00:00,1.52,5.28,10.2,0.91,2.44,0.82,16.91,3.71,10.48,6.77,21.09,141.08,59.8,0.0,75.92,164.0,17.19,112.65,1.23,14.68,20-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
20-Feb-2020 - 00:00,1.45,5.07,9.82,0.85,2.3,0.72,15.83,2.91,7.32,4.61,24.84,120.79,44.64,0.03,69.18,153.86,19.62,108.93,1.46,10.29,21-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
21-Feb-2020 - 00:00,1.51,5.29,10.23,0.87,2.4,0.68,15.95,4.03,7.7,3.67,13.76,39.3,15.71,0.03,82.65,225.22,17.38,148.01,0.84,5.33,22-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
22-Feb-2020 - 00:00,1.5,5.29,10.23,0.87,2.4,0.71,17.37,4.28,10.01,5.73,8.23,65.94,29.03,0.0,79.32,189.69,18.43,223.72,0.45,5.11,23-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
23-Feb-2020 - 00:00,1.5,5.29,10.24,0.87,2.4,0.73,19.81,5.31,12.45,7.14,8.71,84.09,38.24,0.0,78.22,179.84,18.44,243.23,0.46,6.53,24-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
24-Feb-2020 - 00:00,1.51,5.27,10.17,0.89,2.39,0.7,19.21,4.49,10.22,7.24,13.46,65.19,24.86,0.0,80.0,192.05,17.99,228.44,0.49,7.41,25-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
25-Feb-2020 - 00:00,1.5,5.22,10.07,0.89,2.37,0.75,17.3,3.85,9.89,6.08,13.61,101.89,45.59,0.0,84.99,183.19,18.41,223.13,0.5,8.42,26-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
26-Feb-2020 - 00:00,1.5,5.29,10.24,0.87,2.4,0.83,17.8,4.25,11.36,7.11,13.49,104.44,46.53,0.0,88.14,184.75,18.27,154.16,0.51,9.08,27-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
27-Feb-2020 - 00:00,1.51,4.61,7.35,0.9,2.4,0.8,18.46,4.4,14.49,10.09,15.24,131.48,72.08,0.0,89.89,171.66,18.63,103.02,0.61,9.7,28-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
28-Feb-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.77,17.05,3.36,11.35,8.0,19.41,122.09,48.65,0.0,88.77,165.69,18.83,109.04,1.31,10.21,29-Feb-2020 - 00:00,"Model Town, Patiala - PPCB"
29-Feb-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.76,18.13,3.93,12.06,8.12,13.0,72.4,31.47,0.04,87.17,167.05,18.15,111.27,0.9,7.7,01-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
01-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.72,19.16,4.99,13.89,8.9,9.88,42.6,14.37,0.0,75.44,215.29,19.07,161.93,0.5,5.41,02-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
02-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.78,17.69,5.81,14.72,8.93,12.67,78.0,32.38,0.0,79.62,199.3,19.31,235.1,0.38,6.8,03-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
03-Mar-2020 - 00:00,1.36,2.88,1.3,0.8,2.26,0.8,16.99,7.39,16.82,9.84,14.07,96.3,39.44,0.0,78.66,191.98,19.44,254.65,0.5,6.89,04-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
04-Mar-2020 - 00:00,1.46,3.12,1.38,0.85,2.33,0.81,16.41,5.3,13.01,7.83,18.31,92.9,38.72,0.0,70.88,201.01,19.69,179.53,0.57,7.53,05-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
05-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.78,14.78,3.89,9.68,5.79,18.55,51.47,16.58,0.03,74.55,201.89,18.3,124.39,1.19,8.38,06-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
06-Mar-2020 - 00:00,1.26,2.82,1.19,0.73,2.01,0.59,16.23,3.78,10.38,7.61,17.73,27.95,13.79,0.24,92.01,133.46,13.96,102.18,1.34,4.43,07-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
07-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.79,15.37,3.98,11.04,7.05,9.9,22.43,11.14,0.1,95.31,122.33,13.77,106.74,0.77,3.97,08-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
08-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.81,15.89,4.52,12.08,7.56,7.61,43.63,17.97,0.0,85.03,192.16,16.27,227.35,0.52,4.64,09-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
09-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.78,15.41,3.95,10.8,6.87,13.2,54.18,21.2,0.0,74.36,216.13,16.37,264.07,0.89,5.38,10-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
10-Mar-2020 - 00:00,1.5,3.22,1.41,0.88,2.4,0.9,15.96,4.21,11.79,7.58,8.72,73.08,26.66,0.0,72.38,228.46,17.14,232.36,0.49,5.03,11-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
11-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.94,16.08,3.95,11.89,7.93,14.91,65.6,24.46,0.17,87.76,106.37,16.25,97.77,0.88,7.38,12-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
12-Mar-2020 - 00:00,1.51,3.22,1.42,0.87,2.4,0.94,15.04,4.16,9.91,5.75,20.23,43.0,19.77,0.0,86.21,206.34,18.1,109.06,1.1,7.74,13-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
13-Mar-2020 - 00:00,1.5,3.22,1.43,0.87,2.4,0.82,14.81,3.84,9.36,5.53,16.15,55.75,19.44,0.11,77.08,207.2,17.03,143.7,0.93,4.9,14-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
14-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.91,14.88,3.95,10.07,6.13,7.56,26.9,10.89,0.2,95.26,107.39,12.79,173.17,0.57,3.45,15-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
15-Mar-2020 - 00:00,1.51,3.22,1.42,0.87,2.4,0.89,15.1,4.05,10.74,6.69,9.34,47.27,20.14,0.0,79.66,220.33,15.51,194.34,0.56,5.45,16-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
16-Mar-2020 - 00:00,1.49,3.19,1.4,0.87,2.38,0.94,14.93,3.71,10.64,7.0,14.23,73.33,31.38,0.0,81.43,232.17,17.75,268.37,0.67,6.35,17-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
17-Mar-2020 - 00:00,1.56,3.22,1.44,0.9,2.42,1.01,14.29,3.68,9.88,6.19,15.39,83.29,30.28,0.0,79.68,227.12,18.95,261.76,0.75,6.14,18-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
18-Mar-2020 - 00:00,1.52,3.23,1.46,0.9,2.4,0.98,14.42,3.83,10.37,6.54,13.77,84.03,33.44,0.0,78.16,225.13,19.9,261.61,0.77,6.26,19-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
19-Mar-2020 - 00:00,1.47,3.15,1.38,0.85,2.35,0.98,13.99,4.41,11.44,7.18,12.97,94.24,38.05,0.0,80.4,220.74,20.52,261.5,0.46,5.78,20-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
20-Mar-2020 - 00:00,1.49,3.19,1.4,0.86,2.38,0.65,13.8,4.72,11.79,7.12,12.22,111.28,49.84,0.0,77.37,197.56,20.72,212.34,0.34,7.31,21-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
21-Mar-2020 - 00:00,1.5,3.19,1.47,0.87,2.38,0.61,13.47,4.14,8.92,4.78,11.37,85.59,38.5,0.03,79.36,198.78,20.12,183.88,0.5,7.92,22-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
22-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.56,13.41,4.02,7.86,3.84,9.47,62.42,25.92,0.0,74.0,225.18,20.32,244.34,0.52,4.73,23-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
23-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.41,0.53,13.08,3.85,7.67,3.82,10.65,45.19,19.39,0.0,73.01,238.57,21.26,240.02,0.39,4.43,24-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
24-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.53,13.34,3.92,7.81,3.89,9.53,46.68,19.32,0.0,77.46,185.26,21.1,206.2,0.48,4.77,25-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
25-Mar-2020 - 00:00,1.49,3.19,1.41,0.86,2.39,0.49,13.44,3.9,7.51,3.65,9.54,33.22,11.73,0.0,77.44,226.98,21.85,253.14,0.44,4.57,26-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
26-Mar-2020 - 00:00,1.5,3.23,1.42,0.87,2.46,0.48,13.46,3.91,7.52,3.6,8.77,41.56,14.86,0.0,80.08,197.93,21.1,257.12,0.78,4.11,27-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
27-Mar-2020 - 00:00,1.45,3.12,1.38,0.85,2.33,0.44,13.81,3.9,7.33,3.55,8.85,38.13,14.52,0.03,91.57,136.78,18.94,169.73,0.76,4.2,28-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
28-Mar-2020 - 00:00,1.42,3.05,1.35,0.83,2.33,0.42,13.67,3.86,7.24,3.56,8.35,24.97,11.43,0.0,80.83,234.49,20.11,225.08,0.6,3.73,29-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
29-Mar-2020 - 00:00,1.49,3.19,1.41,0.87,2.41,0.44,13.51,3.8,7.34,3.57,9.97,21.05,9.65,0.0,71.95,260.39,20.83,274.27,0.79,3.7,30-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
30-Mar-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.42,13.44,3.82,7.55,3.72,10.44,17.18,10.86,0.0,69.57,239.68,20.55,263.73,0.71,3.53,31-Mar-2020 - 00:00,"Model Town, Patiala - PPCB"
31-Mar-2020 - 00:00,1.5,3.26,1.42,0.87,2.43,0.47,13.61,3.88,7.68,3.79,9.49,26.06,13.88,0.0,80.02,160.47,19.71,263.02,0.79,3.64,01-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
01-Apr-2020 - 00:00,1.5,3.22,1.42,0.87,2.43,0.45,13.6,3.89,7.41,3.52,10.45,24.58,10.52,0.0,69.84,249.19,21.66,247.22,0.67,3.59,02-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
02-Apr-2020 - 00:00,1.5,3.22,1.42,0.87,2.4,0.44,13.64,3.87,7.57,3.71,11.61,24.99,13.01,0.0,62.31,255.37,21.55,272.36,0.76,3.94,03-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
03-Apr-2020 - 00:00,1.5,3.22,1.42,0.87,2.44,0.42,13.63,3.86,7.77,3.93,12.84,20.24,11.11,0.0,48.83,258.46,20.97,269.75,0.71,3.72,04-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
04-Apr-2020 - 00:00,1.5,3.23,1.42,0.87,2.44,0.45,13.79,3.83,7.88,4.05,13.58,27.5,14.49,0.0,54.01,256.06,22.14,261.69,0.57,3.94,05-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
05-Apr-2020 - 00:00,1.5,3.22,1.42,0.88,2.4,0.49,13.74,3.88,8.42,4.56,14.92,26.63,19.38,0.0,58.0,233.94,22.9,194.25,0.37,5.23,06-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
06-Apr-2020 - 00:00,1.5,3.22,1.42,0.88,2.45,0.45,13.91,3.86,7.86,4.01,14.87,29.85,18.71,0.0,50.22,250.22,24.46,242.77,0.66,4.28,07-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
07-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.4,0.43,13.78,3.83,7.73,3.9,13.47,48.05,15.21,0.0,57.46,157.24,21.38,281.21,0.73,3.84,08-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
08-Apr-2020 - 00:00,1.49,3.19,1.41,0.87,2.42,0.4,13.12,3.61,6.33,2.77,14.55,39.09,14.98,0.0,47.96,260.47,22.3,274.82,0.65,3.41,09-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
09-Apr-2020 - 00:00,1.5,3.22,1.42,0.88,2.41,0.43,11.81,3.07,3.83,0.77,14.49,42.5,17.8,0.0,51.16,246.34,23.12,272.03,0.46,4.25,10-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
10-Apr-2020 - 00:00,1.5,3.22,1.43,0.87,2.46,0.42,11.78,3.11,3.86,0.76,16.69,47.06,18.62,0.0,45.66,232.54,25.12,264.64,0.51,4.36,11-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
11-Apr-2020 - 00:00,1.5,3.22,1.42,0.88,2.4,0.41,11.89,3.26,4.04,0.83,17.49,45.21,17.23,0.0,43.03,258.66,26.12,263.16,0.56,4.82,12-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
12-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.4,0.42,11.69,2.97,3.71,0.74,18.98,38.26,14.96,0.0,42.5,239.58,25.95,269.52,0.58,5.12,13-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
13-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.4,0.42,11.76,3.17,3.88,0.76,21.71,50.21,18.67,0.0,41.34,243.57,27.51,275.3,0.52,5.75,14-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
14-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.44,0.45,11.7,2.98,3.69,0.72,25.16,78.97,25.24,0.0,41.07,244.76,28.92,142.72,0.52,8.64,15-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
15-Apr-2020 - 00:00,1.5,3.22,1.43,0.87,2.46,0.4,11.74,3.0,3.72,0.73,25.44,94.2,32.21,0.0,32.59,231.09,29.59,150.74,0.55,7.62,16-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
16-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.41,0.4,11.78,3.05,3.78,0.73,21.87,87.36,26.97,0.0,35.83,234.98,28.2,258.17,0.59,6.92,17-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
17-Apr-2020 - 00:00,1.5,3.22,1.43,0.88,2.49,0.4,30.47,3.03,7.49,4.47,18.72,58.88,19.97,0.01,42.33,215.67,26.21,168.25,0.69,5.19,18-Apr-2020 - 00:00,"Model Town, Patiala - PPCB"
