from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-Feb-2020 - 00:00,11.06,994.32,352.12,191.62,66.17,132.81,79.21,126.09,1.04,1.46,5.03,64.2,77.09,53.79,90.64,43.24,15.58,08-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
08-Feb-2020 - 00:00,11.23,996.26,300.25,197.08,67.92,138.61,28.72,85.65,1.57,1.24,3.8,63.73,68.51,48.64,81.79,47.46,27.0,09-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
09-Feb-2020 - 00:00,11.49,996.68,301.53,206.32,65.87,141.58,24.66,82.0,1.08,1.57,3.54,60.53,71.38,51.89,85.88,49.62,28.67,10-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
10-Feb-2020 - 00:00,11.46,994.7,354.28,216.5,65.67,139.08,59.97,102.65,1.03,1.52,4.91,61.06,87.17,58.96,102.41,48.82,22.67,11-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
11-Feb-2020 - 00:00,11.74,994.97,407.57,256.82,65.25,135.37,73.62,91.26,1.01,1.55,4.88,66.96,90.91,66.68,109.61,50.26,25.01,12-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
12-Feb-2020 - 00:00,12.57,994.38,390.04,211.09,64.22,158.88,49.03,77.87,2.13,1.13,3.73,67.18,86.39,56.63,100.61,55.8,27.59,13-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
13-Feb-2020 - 00:00,13.44,991.84,233.98,113.88,60.23,192.14,36.78,85.13,2.29,0.96,2.42,65.87,56.9,50.72,73.36,51.37,19.44,14-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
14-Feb-2020 - 00:00,13.39,988.79,234.41,89.27,57.51,181.28,20.56,109.78,3.44,0.66,1.88,57.74,41.73,42.7,56.75,61.72,10.91,15-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
15-Feb-2020 - 00:00,13.37,988.89,225.32,94.34,51.22,182.99,31.98,94.87,2.62,0.78,2.6,58.6,41.36,47.38,58.94,63.35,14.28,16-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
16-Feb-2020 - 00:00,12.83,991.92,294.59,179.09,58.82,193.73,36.67,92.55,1.22,1.19,3.27,63.29,66.78,55.19,83.8,49.85,50.07,17-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
17-Feb-2020 - 00:00,13.21,992.94,398.46,226.98,58.78,184.89,63.59,71.03,1.49,1.29,4.5,63.89,91.98,60.43,107.15,41.46,49.41,18-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
18-Feb-2020 - 00:00,13.13,990.17,344.58,201.52,55.17,176.76,55.19,61.21,1.39,,4.0,60.69,78.4,60.02,95.87,43.45,61.58,19-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
19-Feb-2020 - 00:00,14.08,988.6,267.91,166.45,54.02,132.43,76.88,287.31,1.88,1.12,5.82,54.94,114.77,57.7,124.18,50.05,28.27,20-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
20-Feb-2020 - 00:00,14.79,988.07,256.82,99.67,53.87,143.55,27.95,287.62,2.64,1.1,3.05,55.76,13.93,47.06,36.05,65.73,7.6,21-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
21-Feb-2020 - 00:00,12.32,992.17,103.19,70.23,73.54,39.03,29.67,209.24,1.52,1.35,1.98,43.66,11.27,29.71,24.53,48.17,11.54,22-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
22-Feb-2020 - 00:00,13.31,994.98,187.39,98.82,69.18,93.53,73.96,134.95,0.71,6.1,3.27,50.39,9.78,29.84,23.86,31.84,18.2,23-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
23-Feb-2020 - 00:00,13.88,993.43,186.21,123.23,67.6,148.07,29.17,122.18,1.05,,1.89,63.66,12.68,23.73,22.96,25.06,14.9,24-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
24-Feb-2020 - 00:00,13.58,990.24,194.93,105.59,67.23,139.02,28.27,100.01,1.11,0.57,2.17,63.25,17.24,25.49,27.61,32.32,25.63,25-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
25-Feb-2020 - 00:00,13.75,989.03,328.4,205.27,68.7,150.82,40.09,84.95,1.27,1.28,3.31,62.69,26.45,27.55,36.19,40.26,51.74,26-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
26-Feb-2020 - 00:00,14.31,989.69,352.33,182.54,64.87,146.85,47.65,104.63,1.07,1.32,3.68,53.87,29.35,29.82,39.79,46.2,25.8,27-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
27-Feb-2020 - 00:00,15.2,989.93,233.27,110.23,61.34,137.16,46.83,260.7,1.23,1.19,4.61,53.92,13.37,26.8,25.15,55.01,9.73,28-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
28-Feb-2020 - 00:00,15.09,988.62,183.11,84.7,61.82,130.61,18.69,304.26,2.41,0.82,2.36,51.96,5.34,27.29,18.87,52.43,10.0,29-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
29-Feb-2020 - 00:00,14.62,987.86,115.67,57.02,64.08,124.87,23.77,282.94,2.12,0.85,2.89,59.28,11.72,55.28,38.96,49.53,7.05,01-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
01-Mar-2020 - 00:00,14.86,988.71,98.45,46.88,62.87,180.69,27.87,199.82,1.0,1.37,2.67,54.62,15.5,51.3,39.93,44.06,11.93,02-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
02-Mar-2020 - 00:00,14.87,987.99,240.44,116.47,66.55,165.69,59.06,96.21,0.87,1.45,3.37,69.1,57.81,49.55,71.84,32.98,17.81,03-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
03-Mar-2020 - 00:00,19.14,985.81,242.47,56.27,44.7,373.92,25.41,93.65,1.49,0.4,1.47,47.26,4.82,30.85,18.68,17.9,14.0,04-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
04-Mar-2020 - 00:00,27.22,984.15,215.75,66.33,48.83,243.9,34.15,323.9,1.93,0.57,1.91,43.17,3.96,34.45,21.18,23.96,13.32,05-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
05-Mar-2020 - 00:00,26.07,984.5,114.4,33.4,51.67,287.91,25.98,296.88,2.67,0.57,1.58,36.09,5.21,41.21,26.08,25.8,10.63,06-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
06-Mar-2020 - 00:00,20.79,984.96,48.05,23.82,74.94,99.84,32.55,273.33,2.44,0.79,1.79,32.16,11.97,42.73,32.5,30.41,10.09,07-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
07-Mar-2020 - 00:00,21.71,989.58,104.98,53.23,71.06,123.88,34.12,239.44,1.23,0.73,1.6,33.1,11.98,33.41,27.54,42.83,11.55,08-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
08-Mar-2020 - 00:00,22.0,991.63,153.86,94.41,69.17,201.25,38.89,107.6,1.48,0.97,2.55,39.13,39.1,31.96,48.89,50.15,15.29,09-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
09-Mar-2020 - 00:00,22.08,988.86,167.94,81.48,63.29,222.8,22.81,103.47,2.41,0.63,1.36,31.77,14.96,27.81,26.99,53.18,14.64,10-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
10-Mar-2020 - 00:00,23.19,987.35,171.02,98.79,58.3,208.39,18.14,147.88,0.88,0.62,1.49,32.04,9.06,30.38,23.54,74.68,13.31,11-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
11-Mar-2020 - 00:00,24.12,984.76,120.81,57.52,61.01,186.66,12.4,273.28,2.16,0.69,1.47,36.54,7.84,36.8,25.96,60.15,11.11,12-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
12-Mar-2020 - 00:00,24.47,987.11,201.04,61.56,56.81,184.62,29.32,233.34,1.49,0.9,2.35,33.7,24.42,46.85,44.84,45.5,11.85,13-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
13-Mar-2020 - 00:00,23.97,989.11,306.65,91.75,53.52,194.19,29.71,117.74,1.08,0.65,1.74,30.01,29.69,45.43,48.26,52.17,18.4,14-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
14-Mar-2020 - 00:00,22.46,990.29,105.42,45.08,68.54,113.59,26.51,221.7,1.29,0.6,1.55,32.46,13.43,38.68,31.52,32.67,13.08,15-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
15-Mar-2020 - 00:00,21.94,992.18,186.48,108.04,67.37,161.92,32.08,136.16,1.11,0.76,2.17,40.46,23.09,38.73,39.42,60.68,20.51,16-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
16-Mar-2020 - 00:00,23.05,991.92,208.98,101.12,64.69,180.38,21.66,106.88,1.71,0.66,1.4,36.98,9.51,32.7,25.16,56.99,29.03,17-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
17-Mar-2020 - 00:00,23.73,991.83,221.88,110.52,62.52,208.68,25.84,108.91,1.93,0.73,1.52,37.58,8.29,33.18,24.41,58.82,32.32,18-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
18-Mar-2020 - 00:00,24.29,989.9,236.27,113.67,61.02,192.87,33.74,106.44,1.88,0.89,1.92,38.99,7.97,32.19,23.59,60.44,37.31,19-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
19-Mar-2020 - 00:00,25.22,986.77,294.53,138.3,61.24,183.1,44.58,82.69,0.92,1.05,2.13,44.67,48.97,44.12,63.39,49.91,30.13,20-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
20-Mar-2020 - 00:00,26.09,985.61,231.0,93.34,56.68,160.34,48.85,195.05,0.76,1.11,2.91,35.99,23.26,57.91,49.72,68.61,19.19,21-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
21-Mar-2020 - 00:00,25.8,986.14,277.24,116.18,57.23,149.29,38.57,106.99,1.11,0.86,2.96,51.06,24.22,41.91,42.09,51.32,38.53,22-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
22-Mar-2020 - 00:00,25.81,987.94,145.5,87.82,56.72,192.95,17.75,129.67,1.16,0.7,2.11,38.64,9.0,30.04,23.35,54.86,21.55,23-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
23-Mar-2020 - 00:00,26.34,987.44,105.78,61.5,53.62,193.98,16.93,77.33,0.78,0.57,1.51,35.78,6.98,25.03,19.0,58.21,19.22,24-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
24-Mar-2020 - 00:00,25.91,986.04,96.83,50.94,57.54,131.83,12.25,223.62,1.09,0.62,1.67,32.74,6.47,25.45,18.82,46.07,16.29,25-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
25-Mar-2020 - 00:00,26.2,986.49,83.33,51.15,61.68,219.43,13.25,106.71,0.95,0.58,1.24,46.29,9.85,17.87,17.53,13.66,10.27,26-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
26-Mar-2020 - 00:00,25.24,987.94,103.38,76.01,64.38,121.58,6.74,98.58,2.03,0.55,1.4,44.43,5.88,12.51,11.45,20.0,15.5,27-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
27-Mar-2020 - 00:00,23.87,989.5,44.1,28.65,69.03,106.38,4.96,208.34,1.55,0.48,0.76,27.52,5.81,13.12,11.79,26.02,11.09,28-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
28-Mar-2020 - 00:00,23.97,990.04,42.42,28.62,68.15,235.44,9.29,113.21,1.73,0.8,1.24,27.78,7.75,11.79,12.59,12.89,9.73,29-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
29-Mar-2020 - 00:00,24.86,988.04,76.92,46.69,60.42,243.97,4.49,107.83,2.55,0.5,0.81,29.46,6.04,11.27,10.92,35.67,10.99,30-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
30-Mar-2020 - 00:00,24.82,988.09,92.52,65.58,58.59,239.74,6.05,97.02,1.92,0.53,0.91,28.68,5.85,13.55,11.98,42.25,14.42,31-Mar-2020 - 00:00,"Mundka, Delhi - DPCC"
31-Mar-2020 - 00:00,25.6,986.76,78.62,52.75,55.96,204.27,4.98,108.46,1.55,0.48,0.93,24.49,5.83,13.8,12.09,43.71,16.34,01-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
01-Apr-2020 - 00:00,26.38,985.94,84.1,51.4,55.17,227.21,7.39,105.71,1.57,0.54,1.1,26.19,6.4,14.4,12.89,38.34,16.93,02-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
