from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
01-Feb-2020 - 00:00,0.62,28.1,3.48,30.97,19.09,8.1,45.83,24.96,25.03,,,,61.73,1.05,142.39,131.03,718.33,0.8,02-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,0.67,25.18,1.58,24.24,13.89,7.52,41.98,24.46,24.83,,,,65.79,1.04,130.94,97.51,722.17,0.78,03-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,0.6,23.42,2.4,27.55,16.55,7.71,49.58,24.45,25.4,,,,65.18,0.95,132.89,126.67,722.25,0.77,04-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Feb-2020 - 00:00,0.57,27.82,3.03,28.48,17.57,9.16,32.4,25.71,25.55,,,,54.85,0.89,153.1,157.16,719.56,0.77,05-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,0.69,27.22,3.29,34.45,20.96,8.29,38.75,25.59,25.2,,,,57.61,0.79,122.78,129.81,719.1,0.79,06-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,0.64,28.35,6.1,34.32,23.22,9.74,40.31,26.05,24.82,,,,53.62,0.94,173.81,149.3,718.01,0.8,07-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,0.55,31.03,7.89,18.64,16.34,8.77,36.77,25.62,25.3,0.0,0.0,104.01,58.48,1.35,189.47,142.61,718.69,0.79,08-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,0.55,22.83,8.42,18.73,16.8,8.64,45.73,24.57,24.63,,,,68.05,1.18,142.79,93.16,719.81,0.66,09-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,0.66,20.61,7.84,13.93,13.78,8.91,45.31,21.07,26.34,,,,78.81,1.64,108.47,34.48,723.08,0.77,10-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,0.69,27.05,7.96,18.78,16.47,8.07,46.67,22.91,26.19,,,,72.79,1.08,119.93,109.28,723.01,0.77,11-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,0.62,34.73,7.82,21.17,17.61,7.44,49.38,24.01,25.83,0.0,0.0,0.0,69.21,1.04,119.61,130.18,723.64,0.75,12-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Feb-2020 - 00:00,0.78,33.62,8.38,25.03,20.12,8.96,61.46,24.0,25.93,5.53,31.31,0.87,68.36,1.03,113.8,123.99,725.49,0.77,13-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Feb-2020 - 00:00,0.67,44.49,10.29,32.74,25.78,15.84,65.0,24.66,25.6,6.36,34.98,1.5,53.69,1.36,110.12,177.44,723.75,0.8,14-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Feb-2020 - 00:00,1.2,33.09,41.53,64.12,67.86,42.13,113.65,25.32,25.45,13.8,137.64,5.36,45.22,0.98,111.03,175.14,719.61,0.8,15-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Feb-2020 - 00:00,1.07,38.31,37.25,60.47,62.45,23.65,99.79,26.06,25.27,14.45,115.68,4.78,46.26,0.75,129.07,170.19,719.02,0.79,16-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,0.9,40.89,21.89,47.58,43.1,20.46,84.9,26.2,25.01,7.27,64.12,2.65,48.96,0.83,141.81,173.27,721.39,0.8,17-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,0.76,38.15,12.71,38.66,30.91,16.76,64.79,26.14,25.17,6.11,40.81,1.04,49.88,0.9,119.99,172.39,722.74,0.8,18-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,0.71,37.88,9.33,40.6,29.18,20.22,47.71,25.95,25.4,5.37,38.27,1.01,41.73,1.15,109.76,186.76,721.69,0.8,19-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,0.78,36.13,18.57,41.67,37.27,16.46,64.69,25.67,25.39,5.66,31.4,1.44,49.03,0.85,130.66,172.32,720.74,0.79,20-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Feb-2020 - 00:00,0.58,32.07,7.91,21.56,17.89,11.19,55.21,25.45,25.18,4.66,17.08,0.43,59.36,0.95,128.15,175.71,720.69,0.8,21-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,0.52,37.07,7.31,15.18,14.01,12.03,41.04,24.99,25.25,3.65,15.14,0.29,54.85,1.02,140.28,181.55,723.82,0.8,22-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,0.57,35.09,7.45,17.53,15.38,12.61,34.06,25.36,25.57,3.37,16.41,0.25,51.89,0.91,133.74,183.89,724.94,0.79,23-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,0.66,35.08,7.63,17.47,15.51,11.26,33.85,25.77,25.28,3.03,14.12,0.29,50.69,0.93,143.84,185.76,723.07,0.8,24-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,0.83,40.26,8.7,27.49,21.7,8.95,38.96,26.7,25.53,3.14,14.38,0.45,49.23,0.91,184.95,173.68,717.96,0.79,25-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,0.59,43.76,7.62,18.14,15.85,6.62,45.21,26.6,25.54,2.21,17.48,0.4,52.46,1.4,157.77,147.82,716.22,0.8,26-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,0.64,47.29,7.47,22.78,18.19,6.16,58.85,25.85,25.52,2.86,44.25,0.3,51.38,1.36,116.39,167.22,718.96,0.8,27-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,0.59,46.23,7.7,27.61,20.94,5.99,44.9,25.76,25.64,2.71,37.71,0.01,41.74,1.18,127.8,175.19,719.79,0.79,28-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,0.67,41.3,8.06,26.12,20.44,7.43,48.44,25.7,25.65,2.59,36.23,0.0,52.69,1.02,127.45,175.38,717.57,0.79,29-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,0.69,40.79,7.16,19.74,16.33,7.15,47.08,26.12,25.31,2.25,11.44,0.01,57.96,0.99,138.41,163.01,716.56,0.79,01-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,0.75,36.19,12.0,23.42,22.22,6.72,47.29,25.79,25.63,3.04,12.2,0.01,61.44,0.94,134.83,161.49,716.79,0.68,02-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,0.8,37.69,10.2,32.99,25.84,6.71,59.27,27.02,25.54,2.96,15.0,0.0,55.49,0.8,157.62,173.2,717.47,0.78,03-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Mar-2020 - 00:00,0.68,36.54,8.55,25.68,20.6,7.51,53.44,27.39,25.91,2.33,12.14,0.0,54.66,1.02,171.84,155.05,715.85,0.78,04-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,0.68,36.04,9.69,30.42,24.07,7.85,51.56,27.93,25.98,3.06,15.41,0.01,50.34,1.27,179.48,164.18,714.53,0.78,05-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,0.8,45.07,9.45,33.41,25.45,7.09,71.04,26.99,25.87,5.28,31.96,0.0,49.93,1.1,123.62,160.96,712.95,0.79,06-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,0.63,27.21,8.91,19.56,17.66,6.75,36.77,27.13,26.59,1.96,6.03,0.0,58.12,1.56,212.79,156.98,713.83,0.77,07-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,0.6,30.14,7.89,17.69,15.83,5.79,40.0,26.97,26.27,2.6,7.79,0.0,63.35,1.09,174.18,141.23,717.38,0.76,08-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,0.68,28.55,7.28,12.76,12.7,6.99,36.15,26.88,26.5,2.11,6.96,0.0,64.5,1.05,133.17,148.12,717.55,0.76,09-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,0.63,22.06,8.92,20.22,18.01,7.8,32.6,26.26,26.53,4.03,19.15,0.0,61.68,0.91,124.68,103.09,715.44,0.75,10-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,0.64,25.89,9.61,19.39,18.13,7.11,28.96,27.63,26.28,3.19,13.17,0.0,56.01,0.94,168.69,168.14,714.73,0.76,11-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Mar-2020 - 00:00,0.62,28.87,7.97,18.83,16.5,7.34,30.42,27.58,26.58,2.63,11.34,0.0,58.56,0.99,155.52,123.1,715.58,0.76,12-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,0.62,27.7,8.49,16.87,15.87,6.82,20.0,27.11,26.62,2.97,22.31,0.0,63.35,1.0,128.98,146.09,717.71,0.76,13-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,0.61,25.3,9.37,17.02,16.68,7.23,27.23,27.89,25.82,2.41,15.43,0.01,57.4,1.13,149.83,188.76,718.15,0.78,14-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,0.59,26.02,9.78,20.3,18.75,7.1,42.08,27.57,26.69,1.97,12.12,0.0,57.72,1.07,145.78,131.79,716.75,0.76,15-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,0.57,30.39,7.81,13.6,13.59,6.93,34.06,27.14,26.73,2.51,13.74,0.0,54.76,1.04,127.09,192.27,717.54,0.76,16-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,0.53,26.06,8.42,13.91,14.25,6.84,32.08,27.5,26.8,1.71,10.56,0.0,55.8,1.04,126.7,189.98,719.51,0.75,17-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,0.57,25.58,9.53,18.37,17.52,6.82,29.9,28.69,26.46,1.95,10.88,0.0,48.28,0.98,132.93,193.56,720.86,0.76,18-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,0.71,29.61,9.96,25.5,21.65,6.82,36.56,29.08,26.78,2.16,8.17,0.0,45.81,0.89,163.71,190.51,719.69,0.75,19-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,0.71,32.41,9.22,28.7,22.77,8.25,45.94,27.57,26.87,2.31,21.81,0.01,56.96,1.1,146.81,125.04,717.3,0.72,20-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Mar-2020 - 00:00,0.58,37.86,7.85,22.77,18.48,7.92,2.73,27.82,26.7,1.49,8.77,0.0,54.07,0.97,179.74,165.41,716.19,0.75,21-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,0.58,40.58,8.81,19.23,17.39,9.42,0.0,28.1,26.43,2.27,12.47,0.01,53.82,0.96,130.91,190.07,716.21,0.76,22-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,0.45,37.73,6.93,9.43,9.07,12.89,,28.36,25.57,1.38,12.31,0.02,56.1,1.03,119.24,199.12,716.97,0.78,23-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,0.51,31.7,7.27,5.59,8.87,12.0,,28.3,25.75,1.58,8.25,0.02,58.4,1.0,130.9,185.36,716.48,0.78,24-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Mar-2020 - 00:00,0.4,34.37,6.75,3.19,6.96,14.5,,28.55,26.01,1.07,6.08,0.01,54.14,0.92,125.18,188.09,714.55,0.77,25-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,0.49,35.54,6.67,3.49,6.3,14.01,,28.91,25.74,1.27,5.27,0.02,50.54,0.91,133.47,194.26,714.27,0.78,26-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,0.44,38.22,6.51,1.49,5.15,12.86,,28.54,26.05,1.0,3.11,0.02,48.34,1.13,139.39,194.72,716.59,0.77,27-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,0.45,44.46,6.55,2.42,5.69,13.32,,29.74,25.93,0.97,2.73,0.02,43.88,1.03,174.16,198.07,718.51,0.78,28-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,0.4,54.5,6.4,3.23,5.42,15.53,,30.45,26.21,0.98,2.26,0.02,37.34,0.95,194.06,219.85,717.12,0.77,29-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,0.47,53.25,6.26,1.97,5.34,15.87,,30.12,25.56,1.09,2.7,0.03,42.68,0.85,109.36,8.46,713.82,0.79,30-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,0.44,45.26,6.47,3.22,6.74,14.55,,29.53,25.77,0.98,10.52,0.02,45.28,1.27,139.38,192.19,717.03,0.79,31-Mar-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,0.52,45.65,19.61,7.78,19.75,18.86,,30.22,25.73,1.42,5.52,0.01,45.25,1.07,140.88,181.9,717.64,0.78,01-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,0.58,48.64,6.57,7.21,8.19,17.42,,30.69,25.92,1.34,6.24,0.02,44.05,0.95,147.3,136.91,716.33,0.77,02-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,0.54,44.24,6.51,5.59,7.77,15.84,,31.05,25.85,1.74,10.02,0.01,43.8,0.91,186.77,151.06,713.51,0.77,03-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,0.47,41.55,6.63,3.96,6.73,18.7,,29.73,25.57,1.11,4.96,0.02,46.34,1.03,135.72,118.11,715.17,0.79,04-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,0.55,33.92,7.01,8.55,9.29,18.57,,27.67,26.18,1.32,13.78,0.02,50.47,0.71,120.29,45.56,716.5,0.76,05-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,0.48,36.09,6.67,2.76,6.47,20.52,,29.52,25.69,1.18,5.87,0.02,49.61,0.84,141.33,163.69,717.3,0.78,06-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,0.45,31.65,7.21,5.7,8.59,18.02,,29.18,25.7,1.3,8.74,0.02,49.96,1.12,152.45,118.14,717.49,0.79,07-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Apr-2020 - 00:00,0.51,47.19,6.67,5.51,8.13,20.31,,30.34,26.1,1.45,8.12,0.01,45.21,1.18,194.0,206.55,714.54,0.77,08-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Apr-2020 - 00:00,0.41,61.38,6.49,3.21,6.36,16.49,,31.63,25.5,0.78,2.56,0.04,41.48,1.39,159.32,268.61,716.13,0.79,09-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Apr-2020 - 00:00,0.52,38.03,6.56,7.04,9.07,15.46,,28.1,26.09,1.68,11.18,0.02,49.34,1.05,138.6,195.06,716.32,0.77,10-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Apr-2020 - 00:00,0.47,54.59,6.5,5.26,8.05,8.55,24.58,31.2,26.06,0.68,2.42,0.0,42.53,1.1,164.11,285.25,717.62,0.77,11-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Apr-2020 - 00:00,0.57,37.73,12.72,9.58,15.06,4.39,27.95,29.83,26.69,0.79,8.57,0.03,46.78,0.79,143.94,191.91,718.66,0.75,12-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Apr-2020 - 00:00,0.35,41.62,8.63,12.84,13.33,0.44,53.05,30.67,27.01,1.96,14.82,0.11,44.0,0.83,168.97,182.02,716.14,0.74,13-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Apr-2020 - 00:00,0.49,57.75,6.35,5.64,8.09,0.43,38.62,31.33,28.92,0.64,2.07,0.02,38.18,0.92,206.74,131.11,713.62,0.7,14-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Apr-2020 - 00:00,0.33,57.62,6.36,6.52,8.19,0.43,38.36,31.46,28.14,0.98,4.87,0.0,34.89,0.91,172.08,171.76,714.23,0.72,15-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Apr-2020 - 00:00,0.39,51.29,6.47,6.49,8.42,0.42,38.32,31.37,24.95,1.34,7.26,0.02,36.25,0.9,195.23,172.24,715.25,0.81,16-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Apr-2020 - 00:00,0.46,50.21,6.58,7.53,9.33,0.41,40.16,31.64,26.02,1.12,4.42,0.02,39.64,0.87,182.43,166.22,712.34,0.77,17-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Apr-2020 - 00:00,0.45,46.8,6.79,7.26,9.37,0.4,39.78,31.52,26.05,0.91,4.93,0.02,42.93,1.07,205.42,159.49,711.36,0.77,18-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Apr-2020 - 00:00,0.5,38.8,6.8,7.72,9.64,0.4,37.3,30.71,26.12,1.08,6.42,0.02,49.93,0.91,165.58,166.95,712.2,0.76,19-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Apr-2020 - 00:00,0.35,40.93,6.33,4.06,7.3,0.4,31.48,30.18,26.09,0.6,6.08,0.02,49.33,1.34,126.38,168.57,713.59,0.78,20-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Apr-2020 - 00:00,0.4,39.95,7.04,9.5,10.77,0.4,28.25,30.39,26.02,0.93,6.4,0.02,47.12,1.12,172.38,160.83,712.42,0.77,21-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Apr-2020 - 00:00,0.37,39.74,6.84,8.22,9.93,0.4,28.25,31.29,26.14,1.49,11.87,0.02,44.8,1.12,220.56,178.24,711.65,0.77,22-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Apr-2020 - 00:00,0.4,41.78,6.4,6.49,8.64,0.4,28.45,31.8,25.94,0.69,5.02,0.02,44.09,1.05,191.0,178.0,710.47,0.77,23-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Apr-2020 - 00:00,0.34,44.21,6.48,4.53,7.68,0.4,30.19,32.1,25.81,0.59,3.5,0.03,46.84,1.17,154.57,178.88,709.47,0.78,24-Apr-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
