from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
31-Jan-2020 - 00:00,13.55,12.66,6.7,19.54,10.82,1.47,19.02,150.38,67.73,0.62,1.59,12.35,0.39,70.22,235.89,741.0,41.02,,01-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Feb-2020 - 00:00,16.23,13.91,6.5,19.92,8.94,1.6,19.03,172.68,93.35,0.13,0.56,11.18,0.42,72.21,247.43,741.0,42.64,,02-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Feb-2020 - 00:00,13.85,12.76,6.64,20.01,15.3,1.47,19.02,167.64,87.94,0.12,0.47,13.06,0.52,69.45,226.5,741.11,48.52,,03-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Feb-2020 - 00:00,21.75,17.03,6.71,21.42,13.26,1.73,19.03,211.0,107.56,0.64,1.34,13.99,0.41,63.16,239.67,741.03,51.71,,04-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Feb-2020 - 00:00,21.52,16.82,6.7,24.33,19.56,1.74,19.04,265.36,126.11,0.66,2.06,14.96,0.42,60.8,184.3,741.0,53.61,,05-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Feb-2020 - 00:00,14.55,13.04,6.53,22.52,13.71,1.48,19.04,159.48,97.42,0.19,1.49,15.58,0.75,58.41,240.73,741.0,54.7,,06-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Feb-2020 - 00:00,12.66,12.03,6.5,19.07,16.9,1.38,19.04,152.86,72.86,0.17,1.13,14.66,0.38,57.39,224.69,741.0,55.74,,07-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Feb-2020 - 00:00,17.41,14.62,6.75,20.93,22.55,1.56,19.07,211.93,101.43,0.22,1.29,14.84,0.45,58.5,254.79,741.14,53.19,,08-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Feb-2020 - 00:00,14.22,13.08,6.72,20.99,17.7,1.51,19.04,205.78,96.12,0.2,1.36,15.58,0.54,61.7,245.39,741.48,53.8,,09-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Feb-2020 - 00:00,17.75,14.97,6.76,21.82,24.66,1.58,19.02,219.42,108.13,0.23,1.61,16.3,0.35,59.58,239.87,741.54,57.47,,10-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Feb-2020 - 00:00,17.35,14.45,6.4,22.2,31.27,1.51,20.39,185.5,97.0,0.17,2.9,23.9,0.64,46.5,245.38,741.25,123.88,,11-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Feb-2020 - 00:00,19.09,15.57,6.65,25.11,21.54,0.95,19.39,152.21,63.88,0.17,0.77,22.84,0.79,54.79,212.32,741.0,29.82,,13-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Feb-2020 - 00:00,11.2,11.21,6.49,23.53,13.51,1.04,19.06,141.85,66.11,0.14,0.62,21.5,1.07,59.23,215.46,741.0,58.43,,14-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Feb-2020 - 00:00,10.51,11.05,6.73,20.26,16.44,1.3,19.01,148.92,61.55,0.13,0.51,20.67,1.54,55.96,209.62,740.91,64.39,,15-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Feb-2020 - 00:00,16.28,14.14,6.67,20.1,20.72,1.36,19.04,154.0,69.64,0.17,0.63,19.51,0.66,54.8,200.39,740.81,62.22,,16-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Feb-2020 - 00:00,28.0,20.17,6.5,23.86,21.95,1.8,19.01,258.58,133.23,0.27,1.02,21.05,0.52,56.93,223.33,741.0,54.7,,17-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Feb-2020 - 00:00,22.41,17.28,6.6,24.93,18.65,1.57,19.02,213.84,111.94,0.22,0.81,20.84,0.74,56.04,202.7,741.0,61.66,,18-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Feb-2020 - 00:00,21.33,16.61,6.45,22.78,19.02,1.49,19.02,179.36,84.53,0.21,0.86,20.83,0.73,53.45,198.07,741.0,62.45,,19-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Feb-2020 - 00:00,19.04,15.4,6.61,27.69,25.8,1.61,19.03,300.53,160.31,0.29,0.59,21.12,0.86,54.41,57.98,741.0,52.44,,20-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Feb-2020 - 00:00,9.56,10.45,6.61,25.09,15.71,1.34,19.02,189.27,96.26,0.17,0.29,23.76,1.18,55.3,56.68,741.0,53.95,,21-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Feb-2020 - 00:00,9.87,10.72,6.61,20.06,14.59,1.04,19.0,57.94,40.23,0.11,0.3,17.04,1.44,71.84,230.48,741.15,14.0,2.88,22-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Feb-2020 - 00:00,22.64,17.49,6.78,19.11,14.66,1.73,19.02,125.78,61.15,0.29,1.71,22.03,0.44,59.39,266.82,741.49,52.06,,23-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Feb-2020 - 00:00,16.33,14.16,6.74,23.5,13.03,1.41,19.04,155.24,87.38,0.26,1.15,22.28,0.74,60.78,239.82,741.11,56.83,,24-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Feb-2020 - 00:00,16.16,13.73,6.31,20.34,22.18,1.32,19.09,117.33,53.61,0.16,1.13,25.88,0.81,52.36,228.54,741.0,52.94,,25-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Feb-2020 - 00:00,14.03,12.98,6.64,20.88,15.22,1.48,18.95,176.01,101.41,0.19,0.81,21.9,0.72,63.8,130.62,741.0,57.78,,26-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Feb-2020 - 00:00,11.82,11.78,6.65,21.12,17.67,1.31,18.56,173.85,105.57,0.2,0.41,21.59,0.56,64.59,87.18,741.0,55.93,,27-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Feb-2020 - 00:00,17.64,14.74,6.65,20.77,19.06,1.43,18.58,198.39,109.68,0.2,0.47,21.57,0.46,66.16,101.44,741.0,47.05,,28-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Feb-2020 - 00:00,10.48,10.94,6.71,20.49,14.1,1.27,18.64,165.95,97.94,0.16,0.29,22.19,0.85,65.75,43.8,741.0,53.86,,29-Feb-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Feb-2020 - 00:00,11.99,11.65,6.57,19.57,12.08,1.16,18.62,105.69,63.54,0.13,0.45,20.72,1.13,66.43,110.15,741.0,31.49,1.0,01-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Mar-2020 - 00:00,15.84,13.67,6.5,15.59,17.92,1.31,18.63,85.16,37.88,0.14,0.88,23.38,0.47,58.78,209.59,741.0,72.88,,02-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Mar-2020 - 00:00,22.19,17.09,6.48,20.34,24.16,1.53,18.61,191.53,95.19,0.22,1.12,25.58,0.45,55.98,230.22,741.0,70.88,,03-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Mar-2020 - 00:00,17.47,14.3,6.61,23.35,20.76,1.5,18.59,205.26,97.55,0.22,0.79,25.54,0.64,54.77,233.08,740.67,74.66,,04-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Mar-2020 - 00:00,12.12,11.28,6.62,21.64,20.39,1.24,18.57,184.78,85.65,0.19,0.48,25.25,0.73,51.98,182.97,740.45,70.24,1.0,05-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Mar-2020 - 00:00,6.24,8.35,6.56,19.27,12.27,1.01,18.52,76.64,41.15,0.1,0.24,23.31,1.52,57.29,209.16,740.58,6.42,,06-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Mar-2020 - 00:00,5.91,8.17,6.56,15.89,11.72,0.93,18.57,41.29,23.02,0.06,0.2,17.78,2.12,68.68,216.02,740.57,6.44,1.25,07-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Mar-2020 - 00:00,10.59,11.13,6.71,14.48,17.13,1.14,18.6,61.72,31.36,0.11,0.45,17.96,0.77,68.65,171.98,741.0,6.41,,08-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Mar-2020 - 00:00,13.07,12.03,6.65,16.2,11.81,1.25,18.62,112.58,58.46,0.19,0.94,21.13,0.84,62.4,86.88,741.0,6.16,,09-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Mar-2020 - 00:00,8.05,9.49,6.59,15.82,10.39,1.14,18.57,107.33,47.8,0.11,0.47,21.61,1.57,56.34,67.99,740.84,6.06,,10-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Mar-2020 - 00:00,7.32,8.62,6.61,17.28,17.35,1.19,18.67,138.7,70.44,0.11,0.28,22.73,0.57,52.41,159.48,740.78,6.2,,11-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Mar-2020 - 00:00,5.88,8.54,6.6,20.17,6.68,1.17,18.61,114.85,67.53,0.12,0.25,23.51,1.51,59.19,240.62,740.48,6.44,5.83,12-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Mar-2020 - 00:00,10.64,9.88,6.6,18.36,23.76,1.08,18.58,112.96,52.11,0.1,0.32,24.69,1.34,61.99,247.03,740.94,6.34,5.33,13-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Mar-2020 - 00:00,12.59,11.99,6.51,18.95,17.27,1.19,18.63,85.44,45.45,0.12,0.48,22.22,1.03,64.11,208.1,741.0,6.38,1.5,14-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Mar-2020 - 00:00,10.01,10.29,6.59,15.12,19.0,0.94,18.59,66.85,26.78,0.08,0.31,19.13,1.06,62.44,190.17,741.0,6.38,8.5,15-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Mar-2020 - 00:00,10.34,10.56,6.61,14.73,24.64,1.14,18.63,111.35,54.51,0.13,0.48,21.13,0.52,58.09,141.52,741.0,6.08,,16-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Mar-2020 - 00:00,9.88,10.76,6.72,15.86,22.72,1.23,18.6,125.79,57.39,0.12,0.58,23.35,0.73,57.23,76.11,741.0,6.01,,17-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Mar-2020 - 00:00,10.0,10.71,6.55,16.63,24.68,1.23,18.61,137.48,63.89,0.13,0.55,24.93,0.82,56.21,69.04,741.0,6.11,,18-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Mar-2020 - 00:00,10.76,11.07,6.52,17.46,20.68,1.29,18.61,144.06,66.65,0.14,0.55,26.04,1.03,55.26,68.28,741.0,6.39,,19-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Mar-2020 - 00:00,13.11,12.41,6.71,19.12,24.44,1.37,18.57,179.26,84.12,0.15,0.79,27.54,0.6,54.2,84.4,740.75,6.2,,20-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Mar-2020 - 00:00,14.98,13.33,6.54,18.92,30.8,1.45,18.61,204.16,100.18,0.18,0.56,29.02,0.35,50.5,171.55,740.42,6.11,,21-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Mar-2020 - 00:00,14.91,12.66,6.63,18.84,26.97,1.39,18.62,212.19,105.82,0.21,0.64,28.41,0.62,52.03,203.4,740.49,6.04,,22-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Mar-2020 - 00:00,5.26,6.68,6.55,16.06,20.22,1.02,18.57,77.29,37.74,0.09,0.73,28.18,0.55,49.67,131.89,741.0,6.02,,23-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Mar-2020 - 00:00,7.45,8.69,6.59,17.42,24.3,1.24,18.66,129.73,60.82,0.13,0.82,29.31,0.52,50.65,121.44,740.91,6.05,,24-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Mar-2020 - 00:00,5.24,8.14,6.61,19.74,28.41,1.22,18.53,144.65,65.21,0.14,0.96,30.93,0.51,50.23,180.65,740.52,6.05,,25-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Mar-2020 - 00:00,2.18,5.12,6.56,18.67,15.88,1.02,18.63,73.44,33.28,0.08,0.62,30.55,1.08,50.89,117.95,740.6,6.34,,26-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Mar-2020 - 00:00,2.07,5.1,6.57,17.65,14.28,0.92,18.5,81.58,33.24,0.07,0.45,29.38,1.19,53.55,72.74,740.81,6.08,,27-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Mar-2020 - 00:00,2.53,4.96,6.63,16.45,15.25,,18.58,51.52,36.18,0.07,0.6,25.12,0.86,62.99,154.0,741.0,6.42,1.67,28-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Mar-2020 - 00:00,1.28,4.32,6.59,16.58,10.25,0.95,18.59,32.85,17.58,0.05,0.48,26.04,1.21,60.61,97.55,741.0,6.24,,29-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Mar-2020 - 00:00,4.58,4.33,6.63,16.43,11.88,0.82,18.63,56.77,22.1,0.05,0.32,27.58,1.88,52.8,76.34,740.79,6.0,,30-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Mar-2020 - 00:00,2.4,4.43,6.56,17.03,11.98,0.87,18.57,54.19,23.11,0.06,0.36,27.39,1.78,51.9,76.9,741.0,6.57,,31-Mar-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Apr-2020 - 00:00,3.33,4.91,6.53,17.14,17.4,0.72,19.12,75.08,22.48,0.05,0.33,32.39,2.13,39.88,114.69,740.53,6.0,,03-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Apr-2020 - 00:00,2.55,5.5,6.59,15.75,13.53,0.89,18.64,71.42,28.25,0.08,0.45,28.31,1.07,42.5,94.91,740.76,6.0,,04-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Apr-2020 - 00:00,5.71,7.68,7.43,16.25,12.91,0.94,18.55,85.41,36.84,0.09,0.5,29.83,1.02,42.93,104.02,740.79,6.0,,05-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Apr-2020 - 00:00,7.74,11.41,9.07,16.53,17.26,1.13,18.62,115.26,55.85,0.14,0.7,31.05,0.67,43.78,122.97,741.0,6.0,,06-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Apr-2020 - 00:00,6.98,10.97,9.06,17.91,13.76,1.11,18.64,127.66,54.82,0.15,0.64,33.41,1.19,42.81,116.3,740.7,6.01,,07-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Apr-2020 - 00:00,4.56,9.74,9.09,15.12,9.55,0.91,18.6,96.56,29.34,0.08,0.47,31.32,1.86,44.09,140.14,740.12,6.0,,08-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Apr-2020 - 00:00,4.98,10.06,9.08,13.28,15.41,0.94,18.63,94.36,32.51,0.07,0.48,31.24,1.38,40.58,125.77,740.38,6.0,,09-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Apr-2020 - 00:00,6.91,11.09,9.14,15.83,19.95,1.1,18.65,116.68,49.03,0.12,0.66,31.54,0.65,41.0,91.6,740.39,6.0,,10-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Apr-2020 - 00:00,8.26,11.71,9.07,18.74,22.88,1.21,18.6,134.14,59.21,0.16,0.76,34.89,0.67,39.35,150.7,740.69,6.03,,11-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Apr-2020 - 00:00,7.5,11.37,9.13,19.16,26.83,1.18,18.64,139.85,57.28,0.16,0.76,35.86,0.84,39.76,149.12,740.89,6.0,,12-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Apr-2020 - 00:00,5.64,10.34,9.03,18.14,20.11,1.06,18.62,107.68,40.46,0.1,0.55,35.28,1.0,40.33,140.93,740.32,6.0,,13-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Apr-2020 - 00:00,7.73,11.46,9.07,19.03,24.88,1.12,18.65,120.97,47.59,0.13,0.69,37.17,0.74,37.91,113.12,740.0,6.04,,14-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Apr-2020 - 00:00,7.88,11.51,9.07,21.87,21.76,1.25,18.65,168.59,68.82,0.17,0.82,37.68,0.59,41.45,199.22,740.1,6.0,,15-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Apr-2020 - 00:00,8.32,11.67,9.02,21.55,18.91,1.24,18.55,204.07,71.54,0.15,0.84,38.15,0.51,41.47,217.98,740.2,6.0,,16-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Apr-2020 - 00:00,9.03,12.12,9.05,19.83,27.43,1.3,18.66,213.44,79.48,0.18,0.88,38.43,0.59,39.24,157.07,740.0,6.02,,17-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Apr-2020 - 00:00,5.18,10.2,9.13,16.79,20.97,0.93,18.65,146.76,36.09,0.07,0.65,35.77,1.21,39.75,155.32,740.0,6.17,2.5,18-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Apr-2020 - 00:00,4.4,9.69,9.06,15.29,15.14,0.81,18.57,59.06,18.31,0.03,0.7,33.91,1.38,43.61,170.26,740.17,6.35,,19-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Apr-2020 - 00:00,6.93,10.9,8.93,14.76,17.88,1.07,18.62,77.39,20.87,0.09,0.72,33.89,0.73,42.52,99.12,740.0,6.14,,20-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Apr-2020 - 00:00,7.11,11.17,9.07,17.56,14.33,1.05,18.58,124.71,37.0,0.12,0.72,32.15,0.79,44.71,201.68,740.17,6.01,,21-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Apr-2020 - 00:00,6.59,10.82,9.09,15.63,25.18,1.06,18.65,117.14,44.67,0.1,0.65,33.09,0.65,43.0,146.91,740.18,6.25,,22-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Apr-2020 - 00:00,9.26,12.27,9.1,17.48,28.16,1.18,18.66,126.24,60.47,0.14,0.48,34.49,0.56,40.31,159.42,740.0,6.02,,23-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Apr-2020 - 00:00,11.5,13.53,9.11,19.65,11.31,1.22,18.61,190.73,77.56,0.16,0.25,34.23,0.62,42.33,176.5,740.0,6.0,,24-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
