from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
07-Feb-2020 - 00:00,61.79,120.46,51.77,3.72,30.56,33.93,14.66,0.65,67.09,18.84,0.9,99.91,57.53,728.52,287.91,0.0,08-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
08-Feb-2020 - 00:00,82.73,154.16,63.47,5.53,38.26,36.8,8.22,0.83,62.09,18.4,0.59,117.43,54.99,731.21,297.59,0.0,09-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
09-Feb-2020 - 00:00,94.72,173.81,65.05,12.46,44.74,37.05,6.49,0.93,49.97,17.54,0.45,156.55,55.69,732.25,305.03,0.0,10-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
10-Feb-2020 - 00:00,86.09,172.26,65.31,17.22,48.74,36.22,5.8,1.08,42.28,18.22,0.43,160.84,53.49,730.6,294.96,0.0,11-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
11-Feb-2020 - 00:00,86.62,182.69,70.91,15.36,50.21,37.84,6.41,0.99,46.6,19.13,0.41,163.38,54.67,730.65,303.57,0.0,12-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
12-Feb-2020 - 00:00,110.75,254.64,78.59,26.69,63.49,41.54,19.83,1.35,40.79,19.92,0.42,220.17,54.23,730.89,300.61,0.0,13-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
13-Feb-2020 - 00:00,89.38,239.34,68.69,23.77,55.86,37.16,64.47,1.07,40.9,21.72,0.78,271.31,53.27,728.15,296.81,0.0,14-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
14-Feb-2020 - 00:00,68.99,194.58,59.83,8.96,39.11,39.19,26.44,0.96,51.24,22.59,0.76,264.14,50.04,725.51,298.07,0.0,15-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
15-Feb-2020 - 00:00,86.06,241.89,65.95,19.91,51.28,39.43,40.22,1.15,38.02,22.03,0.57,249.2,50.73,726.21,299.44,0.0,16-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
16-Feb-2020 - 00:00,62.28,209.06,64.55,26.45,55.84,33.29,23.33,1.04,36.57,22.16,0.5,241.31,45.05,728.25,303.51,0.0,17-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
17-Feb-2020 - 00:00,72.11,210.75,68.65,32.74,63.14,32.37,39.15,1.17,37.8,21.55,0.47,220.6,43.04,729.27,302.86,0.0,18-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
18-Feb-2020 - 00:00,98.81,276.96,73.0,33.23,65.84,32.17,56.39,1.42,37.9,21.83,0.56,250.51,44.01,727.51,298.91,0.0,19-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
19-Feb-2020 - 00:00,57.85,163.72,58.35,15.25,43.43,38.27,18.2,0.9,40.41,22.96,0.44,184.82,45.43,726.51,297.72,0.0,20-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
20-Feb-2020 - 00:00,46.96,138.55,50.47,5.85,31.6,38.36,12.52,0.81,55.79,24.62,0.55,157.76,48.18,725.65,285.0,0.0,21-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
21-Feb-2020 - 00:00,59.71,148.88,43.0,3.4,25.63,44.58,14.8,0.67,51.36,24.48,0.93,174.8,62.28,726.99,254.06,0.23,22-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
22-Feb-2020 - 00:00,76.29,111.86,32.2,2.89,19.48,43.94,5.9,0.61,53.06,23.83,0.59,143.82,72.85,729.14,280.96,0.0,23-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
23-Feb-2020 - 00:00,102.92,154.59,32.8,2.85,19.76,42.59,5.93,0.52,54.12,23.82,0.48,164.78,72.52,727.73,256.32,0.0,24-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
24-Feb-2020 - 00:00,89.6,157.62,39.48,3.13,23.55,37.74,5.2,0.67,60.96,23.43,0.44,176.89,66.84,725.27,279.97,0.0,25-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
25-Feb-2020 - 00:00,61.42,131.56,45.02,5.63,28.52,42.73,2.45,0.51,53.64,22.79,0.51,233.2,59.84,725.02,288.9,0.0,26-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
