from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
12-Nov-2020 - 00:00,27.57,16.01,19.16,7.34,4.67,0.86,28.21,29.9,74.81,0.41,100.78,68.76,710.95,2.91,28.63,13-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Nov-2020 - 00:00,25.5,15.14,17.93,5.93,4.14,0.46,27.49,15.29,36.71,0.23,105.07,79.08,705.08,1.61,28.84,14-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Nov-2020 - 00:00,27.47,16.55,17.4,4.73,5.55,0.54,29.77,29.26,59.72,0.27,111.98,72.41,704.01,1.96,28.27,15-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Nov-2020 - 00:00,22.82,14.88,14.2,4.29,7.48,0.7,36.29,36.91,60.09,0.28,98.16,82.22,703.4,1.87,28.15,16-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Nov-2020 - 00:00,23.74,15.18,17.0,7.27,4.69,0.63,30.82,17.43,29.08,0.23,110.17,85.7,704.2,1.67,28.32,17-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Nov-2020 - 00:00,52.31,11.13,10.51,5.1,5.19,0.74,34.75,24.51,58.26,0.28,111.47,78.62,703.62,2.18,28.54,18-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Nov-2020 - 00:00,9.38,8.47,7.43,4.04,6.68,0.73,32.34,25.33,58.12,0.28,113.38,74.72,704.2,2.1,28.46,19-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Nov-2020 - 00:00,8.89,8.28,7.11,3.73,8.44,0.67,40.35,30.04,59.29,0.24,114.77,72.51,704.35,1.8,28.18,20-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Nov-2020 - 00:00,8.9,8.27,7.11,3.72,6.61,0.65,37.31,29.73,57.35,0.25,111.6,64.51,704.83,1.81,28.16,21-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Nov-2020 - 00:00,12.33,7.92,8.46,3.74,6.1,0.73,43.6,33.93,72.64,0.35,103.06,52.55,705.27,2.53,28.04,22-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
