from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
02-Feb-2020 - 00:00,37.61,56.22,25.83,18.92,5.86,0.77,110.54,174.99,3.56,0.0,0.58,3.66,24.55,16.52,0.01,157.82,80.1,0.0,231.4,0.34,999.06,03-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Feb-2020 - 00:00,54.38,118.23,27.81,65.46,5.49,1.14,134.26,248.37,4.89,0.0,1.4,7.78,22.64,17.1,0.0,153.76,78.39,0.0,183.08,0.45,999.29,04-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Feb-2020 - 00:00,46.04,99.99,23.87,53.97,4.79,0.85,139.17,195.36,4.75,0.0,1.41,5.85,24.14,17.5,0.01,159.64,78.68,0.0,211.51,0.35,998.53,05-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Feb-2020 - 00:00,44.47,88.58,28.58,44.12,5.03,0.75,127.08,200.78,3.94,0.01,0.91,4.17,26.45,17.72,0.01,166.43,75.11,0.0,211.35,0.39,997.22,06-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Feb-2020 - 00:00,61.46,128.07,30.73,66.6,5.5,1.15,135.34,245.43,5.24,0.0,1.8,6.75,23.26,17.31,0.01,154.3,77.4,0.0,163.48,0.52,998.33,07-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Feb-2020 - 00:00,74.76,167.93,29.59,92.51,4.84,0.93,183.27,288.23,5.36,0.0,1.95,6.88,17.52,16.93,0.0,162.58,78.52,0.0,206.98,0.36,999.59,08-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Feb-2020 - 00:00,60.05,116.67,27.69,56.62,5.45,0.82,125.39,229.46,4.52,0.0,1.52,5.53,26.18,18.31,0.01,178.19,67.88,0.0,231.25,0.35,999.83,09-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Feb-2020 - 00:00,39.82,67.77,25.95,27.97,5.21,0.49,95.62,152.68,2.98,0.0,0.84,3.78,27.55,18.42,0.01,178.63,66.49,0.0,231.19,0.44,999.37,10-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Feb-2020 - 00:00,50.07,94.46,29.45,44.39,6.11,0.85,106.9,177.52,4.13,0.0,1.38,4.17,23.77,17.92,0.0,185.6,72.14,0.0,206.15,0.42,999.29,11-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Feb-2020 - 00:00,47.72,105.71,29.23,57.99,5.76,0.82,120.97,195.66,4.37,0.0,1.18,5.19,25.89,18.57,0.01,185.69,70.56,0.0,230.32,0.36,999.46,12-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
