from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,WS,WD,to date,station
11-Jan-2020 - 00:00,56.0,136.04,87.94,96.08,8.81,9.49,10.62,1.54,11.98,1.24,0.46,61.88,12-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Jan-2020 - 00:00,71.74,168.45,110.96,133.18,22.22,3.47,16.35,1.7,16.04,1.6,0.44,98.99,13-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Jan-2020 - 00:00,100.08,186.63,179.29,198.65,19.24,28.26,22.07,2.1,16.34,2.42,0.56,231.68,14-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Jan-2020 - 00:00,46.43,87.04,14.26,22.92,8.66,32.84,24.03,1.77,24.45,1.48,0.44,260.23,15-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Jan-2020 - 00:00,47.34,99.57,9.63,28.16,20.95,30.76,37.98,1.37,14.96,1.72,0.46,229.08,16-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Jan-2020 - 00:00,57.41,128.46,11.67,26.23,14.22,32.67,38.04,1.41,24.09,1.85,0.44,285.15,17-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Jan-2020 - 00:00,98.68,213.56,8.82,49.44,51.33,23.32,18.99,1.26,14.89,2.24,0.38,214.44,18-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Jan-2020 - 00:00,78.48,186.67,14.99,39.96,26.58,32.12,17.77,1.26,15.35,2.04,0.35,174.83,19-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Jan-2020 - 00:00,62.97,137.27,8.37,17.21,8.84,31.42,21.82,1.31,12.53,1.66,0.45,123.3,20-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Jan-2020 - 00:00,65.92,153.95,4.25,18.6,15.9,26.52,13.07,1.79,15.02,1.67,0.4,102.68,21-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Jan-2020 - 00:00,73.95,180.16,4.69,23.81,25.05,27.81,26.08,3.18,10.51,2.18,0.35,229.77,22-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Jan-2020 - 00:00,78.26,197.52,49.11,85.04,38.91,22.54,33.37,1.71,10.68,2.58,0.35,154.51,23-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Jan-2020 - 00:00,63.85,151.97,60.33,68.46,8.26,22.73,15.81,1.66,10.15,1.81,0.45,55.6,24-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Jan-2020 - 00:00,59.92,154.28,76.28,97.97,25.28,21.46,18.94,2.98,12.58,2.39,0.39,128.45,25-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Jan-2020 - 00:00,92.97,257.45,75.25,156.12,84.7,22.13,26.26,1.56,10.63,2.9,0.32,139.49,26-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Jan-2020 - 00:00,177.6,385.79,59.77,216.36,166.54,25.41,25.34,2.98,15.09,3.4,0.33,142.04,27-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Jan-2020 - 00:00,148.49,278.32,78.36,186.73,123.51,15.86,55.56,2.32,16.16,2.39,0.4,231.57,28-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Jan-2020 - 00:00,73.95,184.2,92.61,111.85,19.24,9.75,61.84,0.99,11.63,2.68,0.54,250.46,29-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Jan-2020 - 00:00,76.81,195.86,67.34,125.3,58.6,4.37,46.97,1.5,19.92,2.53,0.36,245.43,30-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Jan-2020 - 00:00,109.69,267.53,64.11,177.34,109.74,18.56,17.9,1.79,26.46,2.54,0.34,145.77,31-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Jan-2020 - 00:00,87.39,216.56,80.66,119.41,39.45,15.85,10.79,1.45,17.94,2.56,0.35,136.5,01-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Feb-2020 - 00:00,63.28,169.1,66.39,77.81,10.23,9.17,21.24,1.04,22.97,2.54,0.41,169.67,02-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Feb-2020 - 00:00,46.17,122.17,55.73,62.94,7.2,16.3,11.12,0.77,14.96,2.54,0.48,80.03,03-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Feb-2020 - 00:00,59.88,182.87,8.07,26.19,19.72,17.23,16.64,0.76,24.84,2.55,0.41,172.93,04-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Feb-2020 - 00:00,88.1,195.02,6.34,45.48,57.67,15.87,39.77,0.75,21.31,2.54,0.32,211.88,05-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Feb-2020 - 00:00,69.58,185.84,2.35,32.33,39.72,14.14,16.46,0.89,23.03,2.19,0.37,161.31,06-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Feb-2020 - 00:00,69.69,150.76,2.29,12.92,12.32,17.86,27.97,0.93,21.77,1.94,0.44,253.18,07-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Feb-2020 - 00:00,60.73,162.7,1.64,28.39,39.95,16.32,23.02,0.81,23.71,2.3,0.42,174.52,08-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Feb-2020 - 00:00,79.78,167.53,2.43,10.6,8.65,20.06,18.46,0.81,26.31,2.41,0.5,84.89,09-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Feb-2020 - 00:00,56.08,132.24,1.67,8.93,7.38,18.44,15.65,0.8,5.6,2.4,0.48,62.23,10-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Feb-2020 - 00:00,59.67,149.1,1.12,10.2,10.1,17.78,17.88,0.82,21.52,2.4,0.42,108.37,11-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Feb-2020 - 00:00,76.19,147.43,1.28,13.04,14.72,20.42,15.93,0.81,20.23,2.0,0.35,105.93,12-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Feb-2020 - 00:00,79.34,215.03,1.26,34.69,54.26,20.49,12.65,0.72,21.04,2.1,0.43,113.93,13-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Feb-2020 - 00:00,112.43,245.01,0.91,39.1,61.69,21.82,14.52,0.63,20.85,2.41,0.4,186.12,14-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Feb-2020 - 00:00,88.25,173.51,0.87,16.72,22.57,24.72,41.6,0.63,22.07,2.39,0.41,269.3,15-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Feb-2020 - 00:00,98.89,232.74,0.75,44.23,74.79,19.21,26.24,0.63,23.62,2.4,0.31,159.73,16-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Feb-2020 - 00:00,66.53,165.8,0.79,16.49,22.03,19.44,22.49,0.63,24.67,2.39,0.42,97.8,17-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Feb-2020 - 00:00,82.12,182.72,0.86,47.8,84.64,19.52,29.34,0.74,24.97,2.41,0.43,100.56,18-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Feb-2020 - 00:00,96.81,223.87,0.78,59.83,105.38,18.89,17.49,0.83,24.93,2.4,0.39,124.62,19-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Feb-2020 - 00:00,107.05,214.65,115.08,129.32,13.81,26.2,50.62,0.93,24.31,2.4,0.46,174.56,20-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Feb-2020 - 00:00,91.97,167.44,96.09,164.15,68.18,11.63,52.33,1.52,26.09,2.41,0.45,191.59,21-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Feb-2020 - 00:00,97.49,189.57,63.59,84.71,21.13,15.33,44.23,1.48,26.06,2.39,0.44,177.43,22-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Feb-2020 - 00:00,69.96,196.74,63.24,83.31,20.95,14.03,25.33,1.7,26.44,2.4,0.42,130.05,23-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Feb-2020 - 00:00,72.28,182.11,70.15,83.51,13.36,15.22,20.83,1.59,23.84,2.41,0.43,117.94,24-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Feb-2020 - 00:00,88.87,191.07,59.14,112.29,53.19,14.41,12.9,2.18,27.6,2.4,0.43,134.28,25-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Feb-2020 - 00:00,135.02,295.42,63.08,144.96,83.78,11.16,16.45,2.61,26.96,2.39,0.37,109.31,26-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Feb-2020 - 00:00,136.61,356.99,67.9,178.85,103.86,8.46,20.35,2.89,24.43,2.41,0.48,152.67,27-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Feb-2020 - 00:00,150.18,320.79,70.19,211.53,122.88,10.74,37.2,2.95,27.2,2.8,0.38,148.29,28-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Feb-2020 - 00:00,104.84,224.09,57.97,123.95,70.46,10.19,29.18,1.28,25.6,3.11,0.32,139.21,29-Feb-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Feb-2020 - 00:00,90.23,219.76,57.37,118.45,63.54,9.96,74.53,1.21,23.49,3.12,0.42,199.26,01-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Mar-2020 - 00:00,85.52,205.73,50.82,82.05,32.68,16.62,83.77,0.79,31.93,3.13,0.48,181.21,02-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Mar-2020 - 00:00,71.54,195.44,68.12,112.94,44.77,12.74,83.63,0.77,31.78,3.11,0.63,169.19,03-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Mar-2020 - 00:00,82.74,187.21,46.8,78.44,31.67,17.21,57.47,0.77,27.57,2.71,0.62,162.95,04-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Mar-2020 - 00:00,65.17,151.93,50.74,66.6,15.87,19.91,57.93,0.58,23.32,2.41,0.62,232.51,05-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Mar-2020 - 00:00,61.92,126.41,38.07,53.64,15.57,24.77,27.09,0.45,22.98,2.4,0.69,211.53,06-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Mar-2020 - 00:00,64.62,147.37,44.6,62.57,17.93,20.73,34.42,0.55,23.83,2.4,0.67,229.63,07-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Mar-2020 - 00:00,82.32,183.93,29.19,93.76,64.76,12.3,18.16,1.16,24.51,2.4,0.4,104.27,08-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Mar-2020 - 00:00,68.04,149.02,41.35,80.07,40.79,15.7,14.72,0.8,30.4,2.4,0.42,85.39,09-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Mar-2020 - 00:00,41.0,95.13,37.3,42.55,5.25,23.24,34.64,0.48,26.91,2.39,0.76,111.64,10-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Mar-2020 - 00:00,54.02,110.68,32.43,38.09,5.66,28.97,36.46,0.45,21.4,2.4,0.9,197.82,11-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Mar-2020 - 00:00,43.67,96.46,38.36,48.57,10.21,22.75,71.66,0.39,19.86,2.39,0.77,215.37,12-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Mar-2020 - 00:00,55.45,126.64,49.25,61.71,12.44,15.23,,0.48,24.25,2.39,0.73,219.32,13-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Mar-2020 - 00:00,47.32,124.37,46.96,72.08,25.47,14.6,73.43,0.56,23.14,2.4,0.39,239.23,14-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Mar-2020 - 00:00,49.47,122.73,41.64,53.04,11.48,15.97,25.48,0.55,16.2,2.4,0.42,161.97,15-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Mar-2020 - 00:00,45.16,125.35,35.53,46.48,10.95,16.15,20.57,0.54,22.97,2.41,0.52,59.47,16-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Mar-2020 - 00:00,35.22,160.52,40.53,53.23,12.5,16.71,21.7,0.61,26.74,2.4,0.49,74.97,17-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Mar-2020 - 00:00,61.59,169.47,37.86,79.48,41.83,17.14,16.13,1.0,23.65,2.4,0.49,97.49,18-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Mar-2020 - 00:00,65.81,158.39,52.97,96.78,44.33,14.04,22.04,1.04,26.74,2.4,0.38,140.38,19-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Mar-2020 - 00:00,65.48,184.31,77.15,139.09,62.02,33.0,82.64,1.34,24.25,2.41,0.55,155.45,20-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Mar-2020 - 00:00,49.05,110.3,53.44,63.91,10.23,31.4,129.59,0.61,21.59,2.4,0.74,216.2,21-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Mar-2020 - 00:00,61.14,115.99,48.01,61.14,13.13,27.68,117.23,0.73,22.53,2.41,0.59,202.37,22-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Mar-2020 - 00:00,43.15,124.37,36.53,45.82,9.14,37.73,16.56,0.56,21.71,2.4,0.41,220.72,23-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Mar-2020 - 00:00,35.21,108.17,32.8,41.8,8.68,37.63,17.04,0.52,24.0,2.4,0.42,200.76,24-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Mar-2020 - 00:00,36.37,78.79,22.47,27.17,4.7,31.73,17.36,0.37,26.45,2.4,0.38,289.13,25-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Mar-2020 - 00:00,29.83,77.18,22.11,26.83,4.72,34.03,8.66,0.43,17.82,2.4,0.42,192.07,26-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Mar-2020 - 00:00,27.47,81.21,17.82,22.26,4.45,27.89,8.99,0.41,17.64,2.55,0.49,165.67,27-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Mar-2020 - 00:00,19.07,34.32,15.21,20.11,4.89,25.96,5.22,0.36,16.57,2.77,0.42,138.79,28-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Mar-2020 - 00:00,34.96,65.2,17.23,23.59,6.37,22.72,4.2,0.42,24.31,2.49,0.34,189.04,29-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Mar-2020 - 00:00,19.04,53.03,13.92,18.34,4.43,22.35,5.05,0.37,20.09,2.55,0.39,181.77,30-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Mar-2020 - 00:00,32.4,77.91,23.93,27.59,2.79,27.94,1.21,0.61,13.08,2.56,0.44,194.05,31-Mar-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Mar-2020 - 00:00,22.52,57.65,17.21,18.93,1.74,20.28,1.43,0.33,25.18,2.65,0.51,221.36,01-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Apr-2020 - 00:00,18.34,45.33,10.18,13.95,4.08,8.42,2.25,0.25,21.43,2.58,0.36,262.71,02-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Apr-2020 - 00:00,22.11,53.56,11.9,16.34,4.8,9.32,3.78,0.59,35.22,2.56,0.43,203.88,03-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Apr-2020 - 00:00,25.46,63.44,17.69,24.37,7.21,13.05,7.1,1.02,37.38,2.57,0.53,111.08,04-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Apr-2020 - 00:00,34.76,81.71,29.44,37.66,8.73,15.41,8.2,1.0,9.02,2.2,0.33,155.76,05-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Apr-2020 - 00:00,29.77,83.02,21.97,26.8,4.93,9.91,5.83,0.82,15.64,1.58,0.37,145.34,06-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Apr-2020 - 00:00,30.67,77.91,18.86,23.24,4.45,12.15,5.91,0.94,20.43,1.7,0.35,201.44,07-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Apr-2020 - 00:00,26.25,62.36,13.17,17.4,4.23,13.66,4.68,0.72,18.17,1.89,0.56,213.41,08-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Apr-2020 - 00:00,33.64,69.57,19.2,23.82,4.61,13.79,5.06,0.78,14.95,2.05,0.59,222.03,09-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Apr-2020 - 00:00,23.2,55.32,19.85,24.91,5.06,13.77,5.3,0.91,15.52,1.98,0.42,229.89,10-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Apr-2020 - 00:00,27.22,60.18,19.56,24.03,4.58,13.01,13.07,0.84,14.02,1.92,0.46,210.67,11-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Apr-2020 - 00:00,34.38,82.8,28.9,33.97,5.07,13.43,4.41,0.75,18.91,1.49,0.31,230.61,12-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Apr-2020 - 00:00,30.17,64.65,21.48,26.56,5.08,10.62,5.0,0.7,16.02,1.25,0.39,186.58,13-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Apr-2020 - 00:00,21.0,44.95,20.52,25.64,5.11,13.35,5.94,0.55,14.62,1.48,0.39,248.39,14-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Apr-2020 - 00:00,29.59,58.63,70.45,104.89,36.16,17.73,13.9,0.82,4.22,1.63,0.52,209.38,15-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Apr-2020 - 00:00,26.22,56.35,23.3,32.01,9.25,27.27,2.47,0.64,17.26,1.53,,,21-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Apr-2020 - 00:00,32.89,70.81,25.11,34.75,10.06,32.67,3.15,0.73,15.31,1.62,,,22-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Apr-2020 - 00:00,36.4,78.32,25.45,37.84,13.88,30.09,11.14,1.19,12.18,2.23,0.98,152.83,23-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Apr-2020 - 00:00,36.94,78.76,13.75,26.26,12.58,23.72,8.09,1.13,17.03,2.78,1.35,92.81,24-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Apr-2020 - 00:00,31.63,67.53,8.98,17.14,8.2,12.92,11.65,0.84,18.81,2.69,2.13,140.95,25-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Apr-2020 - 00:00,29.74,63.63,12.85,24.5,11.67,9.13,15.78,0.96,16.85,2.21,1.78,111.51,26-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Apr-2020 - 00:00,32.65,69.83,12.45,23.76,11.33,9.32,7.43,0.92,18.26,1.76,1.45,85.95,27-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Apr-2020 - 00:00,26.93,58.24,12.96,24.85,11.83,12.84,10.06,0.65,18.01,1.85,1.9,220.09,28-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Apr-2020 - 00:00,33.7,73.02,10.06,19.41,9.2,11.66,10.46,0.83,16.21,1.73,1.59,125.08,29-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Apr-2020 - 00:00,31.08,67.47,9.56,18.29,8.67,12.19,4.9,0.8,15.88,1.62,1.56,89.29,30-Apr-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Apr-2020 - 00:00,44.16,95.75,11.35,21.74,10.32,12.18,7.86,0.87,16.19,1.96,1.55,72.86,01-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-May-2020 - 00:00,35.89,77.76,12.18,23.21,11.12,10.15,8.49,0.98,17.46,1.94,1.51,183.22,02-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-May-2020 - 00:00,29.8,62.38,11.04,20.98,9.9,9.42,4.99,0.67,17.86,1.66,1.58,90.33,03-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-May-2020 - 00:00,39.65,82.58,8.97,21.26,12.13,12.85,6.05,0.77,14.77,1.27,1.52,110.13,04-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-May-2020 - 00:00,33.14,71.52,7.13,21.5,14.33,14.23,8.97,0.77,17.15,1.2,1.67,207.31,05-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-May-2020 - 00:00,31.12,67.18,6.3,18.83,12.61,16.08,7.04,0.73,15.54,1.0,1.78,97.45,06-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-May-2020 - 00:00,25.16,54.29,5.4,16.28,10.83,11.5,6.18,0.7,16.44,0.9,1.79,116.63,07-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-May-2020 - 00:00,33.16,73.39,4.57,15.82,11.31,7.36,5.93,0.79,18.58,0.92,1.56,212.09,08-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-May-2020 - 00:00,34.07,75.99,3.48,15.03,11.56,2.9,3.53,0.78,19.02,0.63,1.37,265.33,09-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-May-2020 - 00:00,30.0,64.31,3.97,9.63,5.61,2.99,4.13,0.69,19.11,0.43,1.23,253.75,10-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-May-2020 - 00:00,25.68,53.4,5.51,9.21,3.69,1.93,3.28,0.51,15.51,0.27,1.17,235.96,11-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-May-2020 - 00:00,25.55,52.73,5.27,8.79,3.47,1.56,2.59,0.39,17.91,0.36,1.56,252.88,12-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-May-2020 - 00:00,25.94,53.45,6.4,10.73,4.27,2.12,2.82,0.46,17.55,0.48,1.5,243.6,13-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-May-2020 - 00:00,24.91,50.83,6.86,11.45,4.61,3.81,3.88,0.42,13.84,0.53,1.52,231.99,14-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-May-2020 - 00:00,29.43,56.04,8.22,13.77,5.58,5.39,4.03,0.4,15.02,0.59,1.22,174.85,15-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-May-2020 - 00:00,35.71,66.12,7.88,13.26,5.38,4.81,4.13,0.38,16.84,0.58,1.28,178.3,16-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-May-2020 - 00:00,41.51,77.18,8.5,14.25,5.76,4.69,4.12,0.45,16.64,0.62,1.33,165.21,17-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-May-2020 - 00:00,34.85,72.79,10.38,17.31,7.03,4.6,4.8,0.58,16.62,0.7,1.47,180.84,18-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-May-2020 - 00:00,28.33,63.76,10.89,18.32,7.4,4.39,6.06,0.64,13.48,0.7,1.15,225.29,19-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-May-2020 - 00:00,38.75,88.07,9.47,20.69,11.16,8.67,9.84,0.72,20.14,0.81,1.48,244.67,20-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
