from date,PM2.5,PM10,NOx,NH3,NO,NO2,CO,SO2,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,Xylene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
13-Apr-2020 - 00:00,28.35,47.72,8.32,7.98,1.14,7.17,0.37,6.07,45.92,1.32,1.12,1.41,11.61,0.49,29.37,79.83,0.97,181.62,0.0,,159.67,0.0,14-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Apr-2020 - 00:00,29.79,53.63,7.14,6.99,1.14,5.99,0.37,4.63,43.5,1.57,1.15,1.45,11.94,0.51,29.91,79.92,0.98,186.58,-0.0,,163.88,0.0,15-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Apr-2020 - 00:00,28.7,57.57,11.95,6.33,1.38,10.56,0.36,6.67,44.76,2.09,1.29,1.5,12.21,0.58,28.17,82.38,0.86,155.9,-0.0,,137.1,0.04,16-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Apr-2020 - 00:00,31.51,60.24,16.14,6.67,1.79,14.34,0.41,5.74,42.81,3.57,1.78,1.83,13.65,0.81,27.48,79.7,0.81,168.3,-0.0,,149.14,0.0,17-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Apr-2020 - 00:00,25.31,42.85,9.32,7.55,1.18,8.13,0.33,7.57,36.72,1.31,1.15,1.4,11.68,0.49,29.56,75.54,1.48,193.43,-0.0,,159.96,0.0,18-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Apr-2020 - 00:00,19.17,35.81,10.78,6.76,1.18,9.59,0.33,8.23,38.13,1.2,1.17,1.42,11.71,0.5,28.37,78.42,1.15,196.45,-0.0,,133.94,0.0,19-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Apr-2020 - 00:00,16.69,30.07,9.09,6.22,1.12,7.97,0.32,6.28,52.9,1.23,1.17,1.45,11.92,0.5,28.54,71.19,1.5,184.54,-0.0,,175.19,0.0,20-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Apr-2020 - 00:00,16.89,31.2,8.78,5.84,1.26,7.52,0.33,6.48,38.71,1.25,1.12,1.33,11.39,0.48,28.32,82.55,1.23,181.4,-0.0,,140.68,0.16,21-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Apr-2020 - 00:00,14.54,24.77,16.95,5.79,1.33,15.61,0.34,3.95,43.48,2.08,1.58,1.58,13.29,0.69,23.51,76.78,0.85,189.6,-0.0,,102.77,0.07,22-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Apr-2020 - 00:00,16.28,27.01,13.48,6.36,1.35,12.12,0.32,8.42,44.38,1.82,1.34,1.36,11.41,0.58,26.28,79.45,0.66,162.27,-0.0,,149.8,0.0,23-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Apr-2020 - 00:00,14.71,25.38,11.34,6.97,1.44,9.89,0.34,6.27,21.92,1.4,1.27,1.38,11.48,0.55,26.5,85.0,0.76,171.68,0.01,,129.27,0.03,24-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Apr-2020 - 00:00,13.55,24.37,9.81,6.52,1.18,8.62,0.34,5.74,44.11,1.32,1.16,1.27,10.9,0.5,25.84,82.98,1.01,176.72,0.0,,144.28,0.0,25-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Apr-2020 - 00:00,17.12,28.6,10.4,6.25,1.18,9.22,0.32,7.13,52.91,1.49,1.14,1.32,11.2,0.49,27.51,77.06,0.71,188.0,0.01,,140.18,0.0,26-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Apr-2020 - 00:00,16.06,27.48,9.77,6.08,1.21,8.55,0.35,5.49,57.18,1.86,1.16,1.37,11.47,0.49,27.26,77.45,0.78,168.94,-0.0,,140.49,0.0,27-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Apr-2020 - 00:00,12.23,18.1,10.73,5.79,1.39,9.34,0.32,3.98,37.81,2.01,1.46,1.58,12.46,0.64,25.54,86.35,0.64,144.95,-0.0,,122.23,0.06,28-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-Apr-2020 - 00:00,8.99,16.7,13.04,6.06,1.47,11.57,0.32,3.72,36.21,2.12,1.65,1.62,13.08,0.71,24.76,89.91,0.6,144.52,0.0,,115.94,0.01,29-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-Apr-2020 - 00:00,18.86,34.26,13.1,6.37,1.77,11.31,0.35,5.0,42.7,2.74,1.8,1.82,14.34,0.8,26.7,79.83,0.53,169.55,-0.0,,165.95,0.0,30-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
30-Apr-2020 - 00:00,16.48,36.74,12.37,6.23,1.49,10.87,0.29,7.89,43.88,1.68,1.33,1.51,11.88,0.57,27.87,78.61,0.65,215.48,-0.0,,164.03,0.0,01-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-May-2020 - 00:00,12.27,37.08,9.82,6.07,1.21,8.61,0.28,4.92,24.29,1.46,1.23,1.33,11.17,0.53,25.07,86.13,0.78,169.77,0.0,,142.33,0.28,02-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-May-2020 - 00:00,20.0,38.21,13.36,5.57,1.73,11.62,0.38,4.01,16.6,2.99,1.72,1.72,14.03,0.77,25.44,85.67,0.42,169.65,0.0,,173.0,0.03,03-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-May-2020 - 00:00,21.74,39.42,11.69,5.75,1.35,10.34,0.36,4.56,15.99,2.34,1.68,1.79,13.83,0.74,27.14,80.08,0.37,179.21,0.0,,167.91,0.0,04-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-May-2020 - 00:00,23.65,50.24,12.87,5.91,1.45,11.41,0.36,4.79,31.45,2.36,1.72,1.71,13.21,0.73,28.15,83.94,0.49,206.16,0.0,,165.66,0.01,05-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-May-2020 - 00:00,19.17,44.25,10.67,6.24,1.3,9.37,0.31,6.05,35.2,2.53,1.42,1.44,11.68,0.58,28.59,81.72,0.76,193.74,0.0,,164.51,0.0,06-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-May-2020 - 00:00,16.63,35.58,14.96,5.62,1.4,13.54,0.35,7.81,43.65,2.09,1.5,1.59,12.06,0.65,26.28,85.58,0.54,183.07,0.0,,166.93,0.43,07-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-May-2020 - 00:00,19.84,42.22,11.44,5.09,1.31,10.13,0.3,5.68,45.08,1.83,1.51,1.53,11.99,0.63,27.69,78.75,0.69,175.98,0.0,,183.55,0.03,08-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-May-2020 - 00:00,18.87,40.32,9.63,4.97,1.17,8.45,0.32,6.55,51.09,1.44,1.16,1.32,10.52,0.48,28.24,77.66,0.9,190.18,0.0,,176.36,0.01,09-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-May-2020 - 00:00,20.84,47.54,10.33,4.71,1.37,8.96,0.33,6.29,50.24,1.45,1.26,1.42,11.88,0.54,30.85,70.22,0.57,213.58,0.0,,200.88,0.0,10-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-May-2020 - 00:00,19.63,42.66,9.25,4.48,1.21,8.04,0.3,6.82,45.67,1.67,0.99,1.3,9.85,0.46,29.5,78.13,0.75,170.22,0.0,,184.28,0.0,11-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-May-2020 - 00:00,21.53,49.04,15.44,4.48,1.31,14.12,0.37,4.93,52.97,3.03,1.82,2.04,14.9,0.84,27.81,73.65,0.44,147.69,0.0,,184.28,0.0,12-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-May-2020 - 00:00,30.84,65.05,22.24,4.36,2.79,19.43,0.39,9.74,56.45,3.15,2.07,2.33,14.98,0.91,29.87,70.74,0.5,177.81,0.0,,213.69,0.0,13-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-May-2020 - 00:00,23.89,52.71,10.48,5.0,1.2,9.27,0.31,8.47,37.18,1.49,0.99,1.28,9.29,0.46,30.25,69.58,1.16,195.77,0.0,,201.01,0.0,14-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-May-2020 - 00:00,16.2,43.38,8.65,4.76,1.24,7.4,0.29,6.85,25.61,1.23,1.08,1.37,10.25,0.47,30.17,77.5,1.27,190.22,0.0,,196.81,0.0,15-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-May-2020 - 00:00,12.95,33.84,8.36,4.73,1.29,7.07,0.28,7.18,23.47,1.06,1.08,1.32,9.88,0.44,30.45,75.68,1.37,193.07,0.0,999.44,193.23,0.01,16-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-May-2020 - 00:00,11.8,32.35,7.58,4.42,1.21,6.37,0.27,5.57,25.87,1.11,1.16,1.48,10.3,0.47,30.66,77.57,1.39,192.37,0.0,999.05,199.15,0.0,17-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-May-2020 - 00:00,10.59,33.18,8.14,4.29,1.27,6.87,0.27,5.29,26.91,1.31,1.07,1.24,9.14,0.44,30.92,74.11,1.11,199.09,-0.0,998.82,198.64,0.0,18-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-May-2020 - 00:00,9.83,29.92,9.95,4.32,1.64,8.3,0.26,4.48,18.16,1.25,1.21,1.38,10.1,0.49,30.81,70.41,1.04,184.21,0.0,998.39,190.48,0.0,19-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-May-2020 - 00:00,10.38,26.55,9.91,4.19,1.57,8.33,0.28,3.41,19.21,1.53,1.26,1.3,10.31,0.55,28.32,83.01,0.98,88.03,-0.0,997.47,94.68,0.04,20-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-May-2020 - 00:00,10.44,25.64,6.78,4.91,1.13,5.65,0.29,3.33,24.12,1.25,2.3,3.77,18.14,0.83,24.37,97.26,2.97,90.86,-0.01,981.08,84.12,0.11,21-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-May-2020 - 00:00,7.7,18.91,8.15,4.93,1.17,6.97,0.34,2.45,4.18,2.27,3.41,5.29,28.6,1.36,,,1.23,229.65,0.0,994.37,80.27,0.13,22-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-May-2020 - 00:00,19.94,43.96,9.9,4.39,1.28,8.62,0.32,3.0,4.89,2.26,3.72,5.52,30.43,1.5,,,1.03,197.86,0.0,999.22,165.36,0.25,23-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-May-2020 - 00:00,26.31,62.88,7.3,4.22,1.17,6.13,0.27,2.49,4.63,1.79,3.43,5.39,30.37,1.35,,,1.35,188.2,0.0,999.79,165.19,,24-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-May-2020 - 00:00,21.0,53.87,7.05,4.16,1.12,5.93,0.28,2.66,6.09,1.56,3.32,4.98,28.44,1.3,,,1.93,193.52,0.01,999.48,142.75,,25-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-May-2020 - 00:00,17.58,49.96,7.33,3.99,1.13,6.19,0.25,2.66,5.76,1.33,3.07,4.65,27.09,1.18,,,2.26,192.13,0.0,999.86,106.17,,26-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-May-2020 - 00:00,17.84,51.72,7.74,3.85,1.2,6.54,0.25,2.46,4.48,1.3,3.0,4.57,26.83,1.15,,,2.47,191.21,-0.0,999.45,109.37,,27-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-May-2020 - 00:00,17.11,42.58,7.92,3.82,1.19,6.72,0.26,2.2,4.15,1.48,3.24,4.99,28.47,1.25,,,1.95,181.82,0.0,998.87,139.49,,28-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-May-2020 - 00:00,17.14,35.54,13.07,3.56,1.84,11.23,0.37,2.64,4.72,3.05,4.28,5.83,30.82,1.74,,,0.79,193.87,0.0,999.04,63.79,,29-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-May-2020 - 00:00,18.9,44.38,10.41,3.68,1.22,9.18,0.33,2.48,5.28,2.88,3.91,5.66,30.37,1.58,,,1.0,167.07,0.0,999.92,166.41,,30-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
30-May-2020 - 00:00,16.19,39.86,8.6,3.7,1.16,7.43,0.3,2.54,5.56,2.39,3.65,5.62,30.28,1.43,,,1.23,166.32,0.0,,151.55,,31-May-2020 - 00:00,"Fort William, Kolkata - WBPCB"
31-May-2020 - 00:00,15.86,35.6,9.32,3.79,1.16,8.16,0.34,2.48,6.34,3.09,3.98,5.99,31.05,1.58,,,0.92,154.44,0.0,,142.38,,01-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-Jun-2020 - 00:00,15.02,40.99,10.5,3.67,1.39,9.1,0.3,2.53,4.06,2.14,3.71,5.55,29.56,1.47,,,1.13,203.88,-0.0,,130.63,,02-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Jun-2020 - 00:00,13.9,40.14,10.66,3.61,1.29,9.36,0.33,2.62,4.52,2.8,3.86,5.74,30.01,1.5,,,1.11,184.83,0.0,999.9,168.07,,03-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Jun-2020 - 00:00,17.08,43.26,11.78,4.38,2.15,9.63,0.32,4.19,11.1,2.62,3.35,4.81,25.54,1.3,,,1.12,196.8,-0.01,998.73,181.73,0.0,04-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Jun-2020 - 00:00,16.08,42.02,9.42,4.04,1.35,8.06,0.3,3.08,6.41,2.06,3.73,5.57,29.38,1.4,,,1.33,184.58,-0.0,999.42,168.29,,05-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Jun-2020 - 00:00,11.54,36.73,9.17,4.63,1.29,7.87,0.28,3.38,11.5,1.85,3.04,4.61,24.19,1.17,,,1.7,171.83,0.0,998.83,164.63,0.21,06-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Jun-2020 - 00:00,21.6,47.73,8.94,4.4,1.19,7.75,0.29,2.96,7.79,2.48,3.82,6.04,29.71,1.45,,,0.99,203.27,-0.0,998.86,133.97,0.0,07-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Jun-2020 - 00:00,25.56,53.38,11.52,4.12,1.43,10.08,0.37,3.27,7.76,3.38,4.34,6.42,31.35,1.7,,,0.58,188.81,0.0,998.96,109.5,0.69,08-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Jun-2020 - 00:00,24.79,52.92,16.82,3.51,2.23,14.58,0.42,2.75,6.12,6.78,5.5,6.99,35.15,2.27,,,0.49,197.22,0.0,998.56,159.78,0.05,09-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Jun-2020 - 00:00,22.34,53.1,14.04,3.38,3.13,10.9,0.34,3.29,5.46,4.11,4.63,6.58,32.57,1.87,,,0.71,154.11,-0.0,998.66,149.55,0.01,10-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Jun-2020 - 00:00,17.89,43.32,14.72,3.21,3.66,11.06,0.35,2.96,4.6,4.68,4.75,7.01,34.35,1.97,,,0.89,117.69,0.0,998.49,115.37,0.01,11-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-Jun-2020 - 00:00,9.61,26.89,11.9,3.39,1.72,10.25,0.32,3.01,4.33,6.42,4.83,6.81,36.63,1.96,,,0.92,91.59,-0.0,997.25,74.96,0.04,12-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Jun-2020 - 00:00,10.85,26.17,13.68,3.19,1.76,11.91,0.38,2.69,4.59,9.91,5.46,7.17,38.44,2.21,,,0.99,103.06,0.0,996.1,59.56,0.33,13-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-Jun-2020 - 00:00,11.76,32.03,11.78,3.16,1.46,10.31,0.37,3.19,4.84,7.9,5.44,6.99,35.22,2.18,,,0.87,118.67,0.0,996.69,76.42,0.08,14-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Jun-2020 - 00:00,12.6,30.81,9.76,3.21,1.34,8.41,0.33,2.65,5.11,4.52,4.69,6.53,31.64,1.9,,,0.73,143.79,0.0,997.96,65.84,0.1,15-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Jun-2020 - 00:00,16.63,35.97,11.46,3.05,1.4,10.06,0.35,2.74,5.31,3.63,4.42,6.25,30.39,1.75,,,0.86,157.16,0.0,997.39,95.21,0.03,16-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Jun-2020 - 00:00,11.64,30.92,15.24,4.01,1.57,13.67,0.34,3.89,8.45,4.61,3.98,4.76,24.52,1.65,,,0.73,153.29,0.0,995.97,100.96,0.09,17-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Jun-2020 - 00:00,15.04,43.35,11.67,3.42,1.47,10.19,0.33,1.75,4.47,3.55,4.42,6.12,29.77,1.78,,,0.88,193.88,0.0,995.36,102.36,0.05,18-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Jun-2020 - 00:00,16.65,44.17,10.79,2.97,1.36,9.43,0.31,2.47,5.31,3.18,4.15,5.99,29.36,1.64,,,0.98,188.57,0.0,996.58,113.42,0.01,19-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Jun-2020 - 00:00,19.5,48.83,11.94,2.62,1.53,10.4,0.33,1.92,5.16,3.55,4.31,6.18,29.29,1.69,,,1.0,177.98,0.0,997.78,115.68,0.04,20-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Jun-2020 - 00:00,13.68,39.64,9.39,2.51,1.47,7.91,0.28,2.69,4.36,2.84,4.11,6.11,29.29,1.6,,,0.98,145.04,0.0,997.62,132.68,0.14,21-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Jun-2020 - 00:00,12.36,32.68,8.17,2.52,1.23,6.94,0.31,2.63,5.53,3.86,4.33,6.31,30.62,1.71,,,0.77,123.95,0.0,995.78,83.33,0.07,22-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Jun-2020 - 00:00,18.5,45.34,9.5,2.23,1.3,8.17,0.3,2.1,5.46,2.64,4.17,6.06,28.73,1.63,,,1.17,147.8,0.0,997.07,139.7,0.1,23-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Jun-2020 - 00:00,20.32,49.51,9.83,2.08,1.42,8.4,0.3,2.26,4.83,3.05,4.2,6.05,28.87,1.67,,,0.94,160.23,0.0,999.24,121.24,0.03,24-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jun-2020 - 00:00,19.14,55.82,8.67,2.12,1.35,7.31,0.27,2.38,5.62,2.13,3.67,5.73,27.11,1.43,,,1.47,189.16,0.01,1000.0,200.7,0.02,25-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jun-2020 - 00:00,10.68,30.57,14.62,3.07,1.57,13.04,0.25,6.16,16.61,1.55,1.3,1.07,7.31,0.52,,,1.75,190.59,0.0,998.8,108.35,0.02,27-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jun-2020 - 00:00,8.95,30.65,15.54,3.6,1.66,13.87,0.26,3.7,18.82,1.51,1.11,1.0,6.63,0.45,,,1.31,197.0,0.0,998.73,124.23,0.35,28-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-Jun-2020 - 00:00,12.91,32.62,17.1,3.66,1.62,15.47,0.29,4.01,26.92,1.68,0.83,0.48,4.21,0.34,,,0.8,201.29,0.0,998.93,151.31,0.0,29-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-Jun-2020 - 00:00,16.6,36.12,26.49,2.9,2.5,23.96,0.38,4.3,28.25,3.28,1.35,0.52,4.08,0.55,,,0.53,178.22,0.0,999.18,117.83,0.06,30-Jun-2020 - 00:00,"Fort William, Kolkata - WBPCB"
30-Jun-2020 - 00:00,15.34,38.07,21.31,2.43,3.41,17.88,0.31,4.71,20.07,1.79,1.09,0.56,4.79,0.45,,,0.86,193.22,0.0,999.17,148.11,0.04,01-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-Jul-2020 - 00:00,12.42,35.17,12.57,3.28,1.66,10.9,0.25,6.9,21.65,1.05,0.83,0.69,5.15,0.33,,,1.3,193.09,0.0,998.14,164.21,0.16,02-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Jul-2020 - 00:00,10.81,34.94,11.37,3.45,1.62,9.74,0.24,8.0,24.36,1.01,0.79,0.72,5.24,0.31,,,1.39,189.01,0.0,997.09,177.42,0.01,03-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Jul-2020 - 00:00,13.9,31.3,17.48,2.12,3.32,14.15,0.29,3.0,19.43,1.54,0.83,0.52,4.0,0.38,,,0.94,170.22,0.0,997.5,101.74,0.0,04-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Jul-2020 - 00:00,10.38,18.93,17.84,1.94,3.13,14.7,0.32,3.19,16.99,5.25,1.5,0.86,8.17,0.62,,,0.68,129.13,-0.0,996.54,117.49,0.1,05-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Jul-2020 - 00:00,9.82,19.88,14.86,3.22,2.05,12.8,0.3,3.94,21.84,3.57,1.22,0.63,5.42,0.5,,,0.75,109.15,-0.0,993.91,78.41,0.11,06-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Jul-2020 - 00:00,7.74,17.17,20.07,3.9,2.8,17.26,0.32,4.5,22.94,4.28,1.38,0.69,6.13,0.59,,,0.77,129.69,0.0,994.26,101.01,0.09,07-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Jul-2020 - 00:00,14.3,24.99,19.56,2.49,2.17,17.37,0.33,5.98,26.56,3.16,1.25,0.69,5.46,0.53,,,0.84,154.24,-0.0,998.43,104.09,0.39,08-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Jul-2020 - 00:00,22.86,44.73,22.29,2.33,2.16,20.11,0.32,6.47,23.89,2.07,1.25,1.02,6.12,0.55,,,0.86,197.25,-0.0,999.15,111.22,0.08,09-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Jul-2020 - 00:00,18.3,32.99,15.87,2.84,1.74,14.11,0.27,5.82,24.11,1.59,1.22,1.13,7.42,0.66,,,1.24,191.34,0.0,998.13,125.55,0.15,10-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Jul-2020 - 00:00,12.22,21.97,10.33,3.12,1.29,9.03,0.21,7.3,23.7,0.84,0.98,1.05,6.89,0.37,,,1.79,191.34,0.0,998.07,140.27,0.0,11-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-Jul-2020 - 00:00,12.86,25.16,17.02,2.47,1.57,15.43,0.29,4.41,25.19,1.9,1.29,1.16,6.62,0.54,,,1.08,191.8,-0.0,997.8,92.95,0.05,12-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Jul-2020 - 00:00,20.05,38.28,14.35,2.2,1.39,12.95,0.29,10.24,37.92,1.39,0.69,0.56,4.11,0.29,,,0.88,195.48,0.0,997.94,112.18,0.64,13-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-Jul-2020 - 00:00,22.95,38.61,21.53,1.7,1.8,19.72,0.35,9.61,31.57,3.53,1.11,0.59,5.37,0.49,,,0.66,181.26,0.0,997.28,85.23,0.07,14-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Jul-2020 - 00:00,16.56,28.87,14.19,1.79,1.72,12.46,0.28,4.71,33.81,2.74,0.83,0.54,4.62,0.36,,,0.91,137.43,0.0,997.86,138.34,0.01,15-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Jul-2020 - 00:00,9.72,14.47,19.07,1.92,3.23,15.83,0.28,3.86,24.62,2.21,0.99,0.61,5.16,0.45,,,0.88,166.95,0.0,998.73,97.37,0.04,16-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Jul-2020 - 00:00,6.72,7.53,11.31,2.77,1.78,9.52,0.21,4.15,22.81,0.89,0.72,0.66,4.71,0.29,,,1.28,170.85,0.0,998.41,143.18,0.01,17-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Jul-2020 - 00:00,7.93,,11.04,2.9,1.88,9.15,0.22,3.61,21.52,0.81,0.7,0.67,4.72,0.28,,,1.36,173.21,0.0,998.76,137.94,0.01,18-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Jul-2020 - 00:00,11.32,,11.02,2.88,1.4,9.61,0.24,8.6,25.88,0.96,0.81,0.84,5.98,0.31,,,1.47,191.82,0.0,999.29,148.61,0.04,19-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Jul-2020 - 00:00,11.97,,11.59,2.75,1.85,9.73,0.23,5.67,21.69,0.86,0.8,0.83,5.55,0.31,,,1.52,194.23,-0.0,998.94,127.49,0.19,20-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Jul-2020 - 00:00,11.64,,16.4,2.34,2.12,14.27,0.26,6.1,19.06,1.52,1.16,0.82,5.95,0.46,,,1.23,199.06,0.0,998.94,104.9,0.14,21-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Jul-2020 - 00:00,15.19,,17.0,2.13,1.84,15.15,0.29,4.86,20.99,1.61,1.16,0.98,6.86,0.49,,,1.01,192.86,0.0,999.4,65.69,0.13,22-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Jul-2020 - 00:00,19.38,,26.76,1.59,3.02,23.72,0.32,11.33,22.87,2.3,1.12,0.62,5.35,0.47,,,0.64,184.95,0.0,998.82,77.6,0.11,23-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Jul-2020 - 00:00,12.88,,11.72,2.52,1.31,10.4,0.28,5.71,33.04,1.57,0.58,0.42,3.32,0.28,,,0.67,180.85,0.0,999.1,63.36,0.35,24-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jul-2020 - 00:00,18.79,,22.93,1.75,2.32,20.59,0.33,10.55,21.63,2.5,1.08,0.53,4.96,0.45,,,0.71,189.85,0.0,,92.27,0.01,25-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jul-2020 - 00:00,14.45,,13.21,2.4,1.75,11.46,0.25,10.65,26.47,1.27,0.68,0.5,3.66,0.27,,,0.81,206.11,0.0,,141.59,0.0,26-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jul-2020 - 00:00,16.63,,13.53,2.19,1.55,11.97,0.25,10.83,35.41,1.25,0.57,0.46,3.66,0.24,,,0.87,201.44,0.0,999.85,156.66,0.0,27-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jul-2020 - 00:00,19.44,,29.77,2.61,3.24,26.42,0.4,6.58,26.21,5.65,2.11,1.14,9.73,0.94,,,0.62,186.92,-0.0,999.04,101.48,0.09,28-Jul-2020 - 00:00,"Fort William, Kolkata - WBPCB"
