from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
20-Nov-2020 - 00:00,166.16,259.07,108.34,11.76,67.31,70.15,22.89,1.02,48.37,6.83,44.66,0.79,197.32,19.08,49.92,741.39,56.03,,21-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Nov-2020 - 00:00,104.35,193.61,88.75,27.55,69.71,53.64,18.54,1.0,49.31,5.72,35.78,1.15,217.98,18.21,42.68,741.36,57.02,,22-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Nov-2020 - 00:00,158.98,252.06,119.47,55.64,108.88,58.1,27.62,1.57,43.98,7.25,39.84,0.63,188.76,17.29,44.44,741.35,53.88,,23-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Nov-2020 - 00:00,255.12,403.66,206.79,185.36,235.09,77.0,26.42,3.05,74.15,15.25,73.86,0.36,209.14,16.88,55.07,741.23,50.0,,24-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Nov-2020 - 00:00,328.25,480.05,203.93,157.06,222.5,90.19,19.92,3.61,40.31,14.77,82.4,0.35,126.12,17.18,58.0,741.29,45.3,,25-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Nov-2020 - 00:00,318.92,448.73,126.28,34.15,95.04,94.89,24.26,1.83,29.58,11.78,42.95,0.5,138.12,18.31,60.71,741.53,31.04,,26-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Nov-2020 - 00:00,111.39,175.97,67.49,15.52,48.62,64.36,32.84,0.87,31.08,6.07,29.78,0.72,176.25,19.74,60.34,741.78,47.93,,27-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Nov-2020 - 00:00,80.22,142.09,80.41,18.55,57.95,54.6,37.78,0.83,33.93,6.29,34.59,0.84,230.18,19.92,52.24,742.03,53.71,,28-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Nov-2020 - 00:00,116.05,198.11,112.02,31.32,85.15,60.56,13.83,1.29,30.71,6.98,37.15,0.77,234.32,19.15,49.78,741.67,52.18,,29-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Nov-2020 - 00:00,186.44,327.73,179.28,90.54,136.59,81.46,16.91,2.95,45.56,10.83,51.63,0.39,200.56,17.47,55.26,741.54,51.67,1.0,30-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Nov-2020 - 00:00,249.43,426.79,233.51,127.42,193.26,96.61,17.13,2.29,69.01,14.57,80.04,0.37,250.85,17.62,61.51,741.35,47.96,,01-Dec-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Dec-2020 - 00:00,526.0,738.0,328.55,,,115.8,12.0,9.05,58.16,28.2,142.3,0.3,323.5,14.5,84.0,741.0,12.0,,02-Dec-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
