from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
04-Feb-2020 - 00:00,78.5,248.5,245.06,47.9,18.47,0.25,29.37,134.01,388.43,4.62,7.58,0.67,0.26,1.79,80.79,336.86,0.0,0.37,209.83,05-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Feb-2020 - 00:00,79.9,238.02,232.62,43.46,15.28,0.21,20.57,84.32,237.69,2.44,4.86,0.45,0.15,1.03,81.01,408.44,0.0,0.88,283.37,06-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Feb-2020 - 00:00,82.14,218.83,221.67,51.71,24.14,0.62,28.18,71.87,233.29,3.7,15.07,1.91,1.03,3.18,82.72,417.12,0.0,0.61,253.78,07-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Feb-2020 - 00:00,86.28,234.38,266.19,46.5,9.45,0.42,25.61,115.5,321.41,4.75,14.65,0.69,0.22,1.88,80.95,362.43,0.0,0.48,277.03,08-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Feb-2020 - 00:00,97.36,283.41,278.14,25.19,17.68,0.25,29.01,83.48,258.55,2.7,6.67,0.79,0.58,0.9,84.35,407.28,0.0,0.8,288.92,09-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Feb-2020 - 00:00,100.87,282.58,279.3,27.49,24.71,0.32,31.61,86.07,266.15,4.94,7.55,1.04,1.71,2.07,79.77,407.52,0.0,0.58,253.87,10-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Feb-2020 - 00:00,98.0,280.23,278.27,31.07,20.35,0.44,26.83,112.54,343.1,4.68,9.51,2.06,0.8,3.16,79.44,386.53,0.0,0.55,260.41,11-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Feb-2020 - 00:00,108.36,352.87,342.22,41.95,16.57,0.41,24.26,126.64,326.23,5.81,15.45,0.73,0.49,1.77,81.02,378.24,0.0,0.51,279.68,12-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Feb-2020 - 00:00,90.2,300.86,288.39,38.82,34.98,0.35,23.3,92.57,281.75,4.15,4.2,1.02,1.35,1.14,78.93,420.25,0.0,1.41,263.12,13-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Feb-2020 - 00:00,73.01,251.06,239.48,38.06,48.97,0.3,12.82,62.34,198.18,3.36,3.78,0.46,1.12,0.79,74.96,425.25,0.0,1.85,272.84,14-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Feb-2020 - 00:00,78.1,263.92,252.45,34.08,39.67,0.19,11.58,53.17,169.49,2.0,10.92,0.24,0.26,0.69,68.17,641.0,0.0,2.02,289.65,15-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Feb-2020 - 00:00,85.29,245.47,241.42,39.0,57.78,0.21,12.52,59.51,186.67,3.26,36.93,1.13,3.31,1.2,61.29,801.1,0.0,1.44,241.86,16-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Feb-2020 - 00:00,112.92,319.29,315.05,11.79,22.92,0.32,11.8,87.14,257.41,3.35,55.45,1.3,1.91,1.42,75.71,793.31,0.0,0.75,269.95,17-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Feb-2020 - 00:00,90.69,285.37,276.29,40.69,20.72,0.29,29.6,77.23,223.46,3.42,29.98,0.97,8.03,2.0,72.39,465.79,0.0,1.06,244.27,18-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Feb-2020 - 00:00,79.34,236.69,231.26,47.39,33.23,0.28,33.5,75.89,240.47,3.68,2.51,0.66,0.67,1.7,63.59,468.94,0.0,1.08,233.88,19-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Feb-2020 - 00:00,75.35,289.97,273.67,34.59,34.78,0.45,48.74,128.15,378.12,5.88,0.34,0.72,0.97,3.24,67.83,374.02,0.0,0.48,102.97,20-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Feb-2020 - 00:00,76.67,306.31,285.7,25.94,23.57,0.37,64.04,103.83,313.9,3.76,0.15,0.48,0.72,1.8,75.28,223.24,0.1,0.7,89.7,21-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Feb-2020 - 00:00,84.29,310.27,297.18,31.44,8.52,0.1,47.39,28.75,73.16,1.25,0.12,0.44,0.65,1.27,97.42,87.14,0.32,0.81,94.04,22-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Feb-2020 - 00:00,94.64,336.07,318.94,20.77,16.4,0.24,29.05,50.36,149.83,2.06,0.14,0.41,0.71,2.62,82.97,329.88,0.0,0.27,157.28,23-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Feb-2020 - 00:00,98.66,352.79,334.46,16.85,25.52,0.28,36.42,64.6,195.57,2.52,0.31,0.53,0.74,3.02,87.28,328.9,0.0,0.5,265.59,24-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Feb-2020 - 00:00,80.37,285.92,271.38,31.47,17.1,0.25,26.04,51.69,148.53,1.88,0.15,0.33,0.73,2.13,81.96,440.58,0.0,0.49,278.58,25-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Feb-2020 - 00:00,83.95,300.45,284.8,23.97,25.6,0.55,34.06,87.76,255.43,4.48,3.61,2.6,3.86,6.2,84.94,390.83,0.0,0.52,239.37,26-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Feb-2020 - 00:00,80.39,379.42,348.15,13.14,19.22,0.87,34.89,107.67,357.15,7.16,0.26,1.11,5.43,7.5,94.74,310.06,0.0,0.36,176.53,27-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Feb-2020 - 00:00,68.42,318.93,291.5,16.26,16.23,0.73,39.79,112.25,331.49,6.11,0.11,0.85,4.51,6.37,92.09,301.35,0.0,0.36,83.7,28-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Feb-2020 - 00:00,62.53,168.71,167.16,97.93,27.62,0.59,40.77,99.01,303.27,4.67,0.07,0.36,1.64,2.33,90.28,283.32,0.0,0.54,86.53,29-Feb-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Feb-2020 - 00:00,57.55,4.09,31.17,121.67,16.81,0.45,37.4,65.1,197.93,3.42,0.06,0.32,1.47,2.41,94.57,120.96,0.07,0.61,96.2,01-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Mar-2020 - 00:00,77.5,57.69,82.91,70.81,24.0,0.44,37.18,36.47,111.09,2.34,0.11,0.52,4.87,5.75,81.71,444.71,0.0,0.28,126.18,02-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Mar-2020 - 00:00,122.21,89.59,132.48,25.58,29.24,0.51,35.05,72.98,214.35,4.83,1.01,0.68,1.28,4.23,78.53,432.66,0.0,0.4,251.68,03-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Mar-2020 - 00:00,109.28,69.46,117.38,30.81,19.68,0.54,27.47,66.96,198.96,3.67,0.23,0.4,1.33,3.16,80.07,471.13,0.0,0.66,265.42,04-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Mar-2020 - 00:00,93.34,100.3,141.44,67.26,28.39,0.59,39.17,94.8,266.43,4.38,0.16,0.5,2.43,4.31,76.48,291.66,0.07,0.59,169.02,05-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
