from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
11-Aug-2020 - 00:00,0.8,15.17,8.75,12.3,6.18,0.51,26.37,41.02,112.0,4.86,7.47,1.88,1.75,3.72,98.08,121.8,0.0,0.48,172.5,12-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Aug-2020 - 00:00,0.72,16.87,9.81,7.59,6.74,0.1,23.04,28.38,83.7,4.89,7.47,1.88,1.85,3.92,96.21,165.07,0.11,0.67,211.48,13-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Aug-2020 - 00:00,1.14,17.81,10.51,18.08,5.08,0.34,18.94,18.12,58.73,4.9,7.49,1.88,1.7,3.63,99.11,27.8,0.28,0.5,134.59,14-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Aug-2020 - 00:00,0.59,13.43,7.03,9.46,6.18,0.13,24.09,22.77,58.03,4.86,7.48,1.89,1.86,3.91,97.41,233.28,0.0,0.64,73.03,15-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Aug-2020 - 00:00,0.69,13.45,7.11,9.39,11.04,0.18,26.64,28.59,95.79,4.87,7.48,1.88,1.85,3.92,94.63,230.58,0.0,0.38,83.25,16-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Aug-2020 - 00:00,0.88,12.83,6.72,9.6,15.59,0.13,22.54,23.96,95.09,4.89,7.5,1.88,1.85,3.92,97.35,173.85,0.0,0.45,93.16,17-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Aug-2020 - 00:00,0.76,12.84,6.67,9.61,19.88,0.17,18.25,22.11,79.44,4.88,7.52,1.89,1.85,3.93,99.13,84.94,0.19,0.3,98.24,18-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Aug-2020 - 00:00,0.61,18.06,10.64,7.74,22.52,0.39,21.07,24.32,102.41,4.89,7.46,1.89,1.86,3.94,97.27,181.37,0.09,0.57,132.07,19-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Aug-2020 - 00:00,1.02,21.15,13.28,8.25,8.81,0.46,19.51,16.21,70.1,4.87,7.48,1.89,1.71,3.62,99.13,20.65,0.25,0.39,147.52,20-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Aug-2020 - 00:00,0.56,13.46,7.03,9.43,8.21,0.13,24.91,13.95,52.0,4.86,7.49,1.88,1.85,3.94,97.52,139.81,0.01,0.51,85.2,21-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Aug-2020 - 00:00,0.93,14.41,7.96,9.0,16.0,0.25,16.21,13.37,53.8,4.9,7.48,1.88,1.85,3.92,98.55,210.1,0.0,0.4,52.79,22-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Aug-2020 - 00:00,0.99,10.88,5.2,10.48,16.43,0.11,17.89,24.32,56.91,4.88,7.52,1.89,1.85,3.93,91.17,243.45,0.0,0.59,68.27,23-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Aug-2020 - 00:00,0.82,10.02,4.44,10.97,20.69,0.17,18.07,18.14,66.11,4.88,7.5,1.89,1.85,3.92,92.6,244.45,0.0,0.75,70.92,24-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Aug-2020 - 00:00,0.97,10.27,4.75,10.69,14.42,0.11,17.48,23.15,59.95,4.88,7.49,1.88,1.84,3.88,92.64,183.4,0.0,0.6,84.93,25-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Aug-2020 - 00:00,0.73,9.63,4.08,11.15,12.23,0.15,12.85,19.05,76.35,4.89,7.51,1.89,1.85,3.93,92.69,205.51,0.0,0.45,104.85,26-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Aug-2020 - 00:00,1.17,19.96,12.54,7.42,13.08,0.15,7.77,16.21,72.73,4.89,7.47,1.89,1.85,3.94,92.97,243.53,0.0,0.87,218.09,27-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Aug-2020 - 00:00,1.28,21.96,14.2,7.24,9.37,0.18,7.83,22.87,82.91,4.88,7.46,1.88,1.86,3.91,82.28,228.04,0.0,0.45,239.23,28-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Aug-2020 - 00:00,1.32,23.12,15.13,8.3,7.55,0.23,11.3,23.96,93.22,4.9,7.48,1.89,1.85,3.94,95.93,177.04,0.01,0.4,144.95,29-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Aug-2020 - 00:00,1.23,15.31,8.89,9.09,11.66,0.21,20.1,23.79,89.68,4.88,7.47,1.88,1.86,3.93,89.03,215.68,0.0,0.36,126.56,30-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Aug-2020 - 00:00,0.99,14.88,8.44,9.37,12.73,0.12,21.79,20.39,75.45,4.9,7.48,1.88,1.81,3.84,95.71,27.99,0.04,0.76,72.7,31-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
31-Aug-2020 - 00:00,0.9,11.07,5.32,10.37,15.88,0.23,25.07,15.53,48.02,4.88,7.49,1.89,1.85,3.92,85.32,185.79,0.0,0.61,119.15,01-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Sep-2020 - 00:00,0.62,10.62,4.81,10.5,11.82,0.18,36.72,33.32,91.83,4.89,7.46,1.89,1.85,3.93,83.58,198.85,0.0,0.49,141.86,02-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Sep-2020 - 00:00,0.8,16.78,9.79,7.98,8.07,0.18,22.65,28.16,86.98,4.89,7.47,1.89,1.85,3.92,92.98,137.17,0.0,0.43,158.6,03-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Sep-2020 - 00:00,0.68,10.04,4.38,10.88,10.87,0.26,25.4,33.47,115.87,4.88,7.5,1.88,1.85,3.93,84.99,213.4,0.0,0.4,76.83,04-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Sep-2020 - 00:00,0.94,15.98,9.25,11.04,14.8,0.49,24.7,30.66,122.64,4.88,7.47,1.88,1.85,3.92,90.33,196.37,0.0,0.36,103.02,05-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Sep-2020 - 00:00,0.95,17.58,10.82,10.37,9.55,0.32,25.87,34.34,153.03,4.87,7.47,1.88,1.82,3.86,92.88,154.71,0.21,0.5,176.31,06-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Sep-2020 - 00:00,0.88,13.37,7.13,9.05,5.11,0.15,26.56,14.43,69.31,4.89,7.48,1.89,1.85,3.93,93.59,219.19,0.0,0.47,239.66,07-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Sep-2020 - 00:00,1.31,29.8,20.47,6.32,8.7,0.32,22.84,23.05,98.53,4.89,7.49,1.89,1.85,3.94,92.48,212.22,0.0,0.55,246.55,08-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Sep-2020 - 00:00,1.26,25.65,17.11,10.7,9.3,0.42,27.75,19.24,131.3,4.88,7.49,1.88,1.83,3.89,92.18,265.15,0.0,0.74,264.72,09-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Sep-2020 - 00:00,0.99,25.97,17.16,6.64,10.41,0.28,32.22,29.34,113.46,4.88,7.51,1.88,1.84,3.92,89.91,273.42,0.0,0.65,278.72,10-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Sep-2020 - 00:00,0.61,22.4,14.02,6.09,4.97,0.35,36.26,46.11,127.96,4.89,7.46,1.88,1.86,3.92,89.39,265.56,0.0,0.83,265.41,11-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Sep-2020 - 00:00,0.5,22.79,14.25,6.44,6.35,0.36,40.61,42.97,142.25,4.89,7.47,1.89,1.85,3.93,83.88,266.13,0.0,0.45,264.93,12-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Sep-2020 - 00:00,0.69,39.85,28.46,9.32,9.63,0.41,41.12,43.72,153.42,4.87,7.47,1.88,1.85,3.92,83.02,255.17,0.0,0.42,273.98,13-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Sep-2020 - 00:00,0.53,13.73,6.61,13.9,11.71,0.37,37.42,36.98,154.05,4.91,7.5,1.88,1.79,3.81,99.13,10.06,0.0,0.42,268.9,14-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Sep-2020 - 00:00,46.57,16.34,30.23,8.61,11.99,0.33,39.25,36.41,163.07,4.88,7.47,1.88,1.85,3.91,78.14,163.6,0.0,0.49,279.8,15-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Sep-2020 - 00:00,67.36,20.07,47.27,8.79,6.15,0.21,41.19,39.11,181.63,4.89,7.47,1.89,1.85,3.94,89.54,220.17,0.0,0.62,246.12,16-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Sep-2020 - 00:00,64.53,17.22,43.52,9.35,3.55,0.12,38.24,41.21,197.55,4.89,7.52,1.89,1.86,3.93,90.02,240.02,0.0,0.8,249.72,17-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Sep-2020 - 00:00,61.47,26.71,49.52,10.52,10.36,0.11,34.37,33.37,179.88,4.87,7.49,1.89,1.86,3.92,83.87,261.17,0.0,0.91,261.74,18-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Sep-2020 - 00:00,55.84,22.11,42.24,13.44,8.33,0.15,33.21,27.08,130.86,4.88,7.52,1.89,1.82,3.84,91.84,196.18,0.0,0.9,269.42,19-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Sep-2020 - 00:00,54.26,27.54,45.4,19.19,9.82,0.25,40.11,34.68,151.85,4.89,7.48,1.88,1.75,3.72,84.72,271.65,0.0,0.63,257.73,20-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Sep-2020 - 00:00,53.65,23.07,42.52,11.74,5.61,0.12,39.73,44.52,190.31,4.88,7.5,1.89,1.85,3.93,88.77,233.36,0.0,0.67,279.53,21-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Sep-2020 - 00:00,42.28,16.27,31.12,10.94,3.42,0.34,45.76,56.45,173.59,4.87,7.46,1.89,1.85,3.93,85.53,249.29,0.0,0.54,293.13,22-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Sep-2020 - 00:00,36.44,16.48,28.19,17.38,13.22,0.37,31.5,60.9,150.54,4.88,7.52,1.88,1.7,3.61,87.81,188.47,0.0,0.3,116.86,23-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Sep-2020 - 00:00,22.92,13.88,19.11,15.95,6.89,0.23,28.25,32.86,115.91,4.89,7.48,1.88,1.83,3.88,94.15,112.48,0.0,0.26,116.57,24-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Sep-2020 - 00:00,17.55,12.68,15.33,15.92,4.55,0.34,40.65,31.64,117.31,4.88,7.48,1.88,1.83,3.88,87.59,217.55,0.0,0.5,194.6,25-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Sep-2020 - 00:00,18.08,20.8,22.12,11.52,0.89,0.58,49.52,38.73,211.56,4.88,7.5,1.89,1.83,3.88,83.54,230.07,0.0,0.79,240.46,26-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Sep-2020 - 00:00,8.32,27.22,22.15,12.49,7.12,0.27,38.87,38.51,205.85,4.9,7.48,1.89,1.77,3.75,76.84,201.55,0.0,0.82,219.25,27-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Sep-2020 - 00:00,2.1,27.56,19.12,12.64,4.61,0.16,32.7,23.82,124.71,4.87,7.47,1.88,1.81,3.85,74.28,250.42,0.0,0.73,271.06,28-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Sep-2020 - 00:00,0.74,26.02,17.08,12.99,6.81,0.28,43.15,39.53,209.27,4.87,7.47,1.89,1.78,3.77,82.82,242.96,0.0,0.86,257.38,29-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Sep-2020 - 00:00,1.02,33.17,22.73,22.42,10.25,0.41,46.19,38.09,214.93,4.88,7.51,1.89,1.69,3.44,76.95,247.22,0.0,0.82,260.78,30-Sep-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Sep-2020 - 00:00,1.33,38.79,27.38,11.13,5.5,0.3,47.15,53.37,179.47,4.87,7.5,1.88,1.86,3.93,73.43,248.21,0.0,0.87,260.3,01-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Oct-2020 - 00:00,1.76,43.22,31.32,11.5,6.16,0.29,45.67,68.25,180.44,4.89,7.5,1.89,1.86,3.93,76.87,245.73,0.0,0.78,276.64,02-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Oct-2020 - 00:00,1.49,35.96,25.32,13.28,2.66,0.32,55.72,65.91,218.34,4.88,7.49,1.89,1.83,3.89,79.26,231.78,0.0,0.67,265.15,03-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Oct-2020 - 00:00,1.26,32.42,22.49,12.47,7.24,0.37,55.44,47.34,223.83,4.89,7.48,1.88,1.7,3.6,67.17,245.9,0.0,0.65,258.22,04-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Oct-2020 - 00:00,1.85,49.94,36.85,14.27,3.33,0.42,54.71,44.97,225.56,4.87,7.46,1.89,1.85,3.94,69.18,236.66,0.0,0.69,250.13,05-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Oct-2020 - 00:00,1.19,26.07,18.09,13.5,5.69,0.43,60.16,43.75,214.54,4.88,7.49,1.89,1.81,3.84,66.71,231.71,0.0,0.8,271.61,06-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Oct-2020 - 00:00,1.56,41.09,30.55,29.07,4.44,0.7,52.69,53.09,235.42,4.88,7.44,1.87,1.67,3.56,66.17,32.09,0.0,0.63,245.82,07-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Oct-2020 - 00:00,2.49,56.75,44.17,22.42,3.68,1.05,33.82,63.92,350.5,4.87,7.45,1.87,1.72,3.69,83.73,142.23,0.0,0.45,203.18,08-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Oct-2020 - 00:00,2.0,54.45,42.03,11.95,7.27,0.4,55.66,47.24,184.4,4.9,7.45,1.89,1.81,3.83,64.08,211.05,0.0,0.53,267.13,09-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Oct-2020 - 00:00,2.29,64.9,50.46,16.7,7.19,0.51,56.11,46.31,262.01,4.87,7.51,1.89,1.83,3.87,61.33,211.15,0.0,0.5,245.8,10-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Oct-2020 - 00:00,2.1,72.63,55.49,23.64,4.49,0.65,40.37,99.21,290.84,4.87,7.46,1.88,1.69,3.57,67.76,128.23,0.0,0.5,261.61,11-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Oct-2020 - 00:00,0.71,46.86,34.9,15.5,4.36,0.33,58.53,121.74,342.11,4.9,7.48,1.89,1.73,3.69,66.1,194.49,0.0,0.5,268.44,12-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Oct-2020 - 00:00,18.58,62.57,56.47,13.65,24.2,0.78,56.78,109.75,363.54,4.88,7.47,1.88,1.81,3.85,63.47,182.7,0.0,0.38,194.26,13-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Oct-2020 - 00:00,18.53,2.29,6.13,14.55,13.51,0.94,25.5,96.4,456.14,5.67,6.23,1.65,1.52,2.98,89.31,67.51,0.0,0.22,59.25,14-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Oct-2020 - 00:00,18.95,12.93,15.49,8.09,23.81,0.83,53.81,60.42,355.35,6.4,4.76,0.99,0.93,1.97,67.43,157.32,0.0,0.38,237.49,15-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Oct-2020 - 00:00,20.01,13.76,19.79,7.52,39.21,0.71,49.31,59.43,479.11,5.59,3.45,0.66,0.7,1.46,47.2,204.42,0.0,0.53,295.28,16-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Oct-2020 - 00:00,45.47,24.2,39.39,8.29,25.78,0.42,45.57,64.77,290.7,6.05,25.16,5.97,4.91,6.82,38.66,186.97,0.0,0.49,247.05,17-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Oct-2020 - 00:00,65.46,59.69,78.26,15.57,40.78,0.88,8.22,122.5,371.16,10.54,11.38,3.85,2.36,4.41,49.26,185.36,0.0,0.49,218.05,18-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Oct-2020 - 00:00,61.52,19.84,44.24,11.69,20.89,0.58,10.37,130.3,302.95,9.3,9.66,4.19,1.64,3.75,41.29,199.07,0.0,0.67,258.3,19-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Oct-2020 - 00:00,53.85,16.35,37.38,12.81,25.92,0.65,12.32,109.16,322.56,7.77,9.53,5.01,1.34,3.09,43.88,200.51,0.0,0.63,259.69,20-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Oct-2020 - 00:00,69.24,31.43,55.57,17.1,25.7,0.72,12.46,123.8,282.86,9.31,11.94,2.55,1.65,4.16,43.91,117.42,0.0,0.38,214.55,21-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Oct-2020 - 00:00,57.51,65.92,79.1,15.53,55.78,1.02,10.29,170.32,364.38,10.58,14.47,2.83,2.3,4.89,37.58,267.44,0.0,0.45,223.76,22-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Oct-2020 - 00:00,69.08,49.38,70.39,20.78,40.89,1.17,15.58,153.11,430.63,12.23,25.84,4.26,3.36,7.13,47.7,255.61,0.0,0.23,185.86,23-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Oct-2020 - 00:00,64.55,98.44,107.94,21.04,49.03,0.88,17.79,106.53,337.12,10.63,29.71,3.95,4.17,6.25,44.55,185.75,0.0,0.25,213.81,24-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Oct-2020 - 00:00,46.61,48.04,59.05,15.53,62.05,0.99,17.88,81.93,349.19,9.81,18.02,5.52,1.96,3.81,48.06,152.59,0.0,0.41,260.26,25-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Oct-2020 - 00:00,40.47,75.68,78.02,16.85,80.69,1.18,17.74,77.87,380.7,10.43,19.54,5.32,3.82,7.39,46.43,161.44,0.0,0.38,214.71,26-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Oct-2020 - 00:00,76.57,29.56,60.76,21.91,45.87,0.87,43.61,116.17,364.06,8.98,11.69,11.52,1.81,4.01,38.96,161.04,0.0,0.42,217.65,27-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Oct-2020 - 00:00,119.53,47.71,96.67,14.79,37.83,0.59,58.12,129.23,296.51,9.31,10.86,5.68,3.45,5.74,42.55,187.38,0.0,0.63,252.31,28-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Oct-2020 - 00:00,147.8,100.04,148.32,23.18,20.58,0.9,69.7,96.61,341.77,9.67,17.26,4.04,5.2,8.54,33.66,182.66,0.0,0.4,238.78,29-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Oct-2020 - 00:00,167.04,144.56,180.12,29.34,29.42,1.07,60.35,119.3,385.15,10.68,42.0,4.7,5.11,9.41,32.08,145.09,0.0,0.2,177.06,30-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Oct-2020 - 00:00,150.49,86.28,143.71,24.54,18.93,1.12,62.84,111.28,382.67,7.7,17.35,1.56,1.56,3.74,46.6,166.81,0.0,0.4,281.03,31-Oct-2020 - 00:00,"Sector-18, Panipat - HSPCB"
31-Oct-2020 - 00:00,138.38,67.99,122.78,20.15,48.02,1.15,77.48,116.27,406.86,10.12,15.3,2.34,1.95,4.75,43.67,175.36,0.0,0.68,275.6,01-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Nov-2020 - 00:00,140.63,92.74,143.13,21.14,25.23,1.31,75.99,114.73,429.15,10.86,12.78,3.83,1.82,4.76,40.76,151.37,0.0,0.59,241.31,02-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Nov-2020 - 00:00,163.61,131.6,176.66,31.01,33.69,1.63,56.82,119.16,468.75,13.35,22.24,5.28,3.06,7.03,40.28,84.13,0.0,0.53,211.8,03-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Nov-2020 - 00:00,161.29,162.44,199.47,63.02,35.1,1.24,52.42,82.79,404.74,13.67,29.49,6.85,9.58,14.76,38.94,135.97,0.0,0.36,212.79,04-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Nov-2020 - 00:00,147.09,95.88,149.28,69.43,69.73,1.34,73.77,111.38,483.71,11.73,15.72,5.84,2.85,6.92,45.2,130.39,0.0,0.59,219.13,05-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Nov-2020 - 00:00,151.98,95.75,152.15,60.58,56.98,1.53,76.12,144.07,469.21,12.72,15.82,3.84,2.44,5.91,41.45,153.31,0.0,0.53,240.63,06-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Nov-2020 - 00:00,155.03,100.38,157.25,55.73,46.26,1.62,66.56,107.63,427.81,11.21,13.98,2.45,2.13,4.95,37.02,164.08,0.0,0.62,244.8,07-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Nov-2020 - 00:00,167.79,96.47,160.98,37.22,58.02,1.37,68.94,160.43,462.7,11.87,15.06,2.07,2.15,4.97,40.33,155.31,0.0,0.68,241.65,08-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Nov-2020 - 00:00,193.34,141.61,199.22,25.89,22.14,1.71,76.13,202.88,542.96,21.23,34.18,10.66,5.17,9.33,50.47,94.3,0.0,0.29,229.81,09-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Nov-2020 - 00:00,174.38,158.73,202.56,30.72,30.17,0.82,61.36,150.2,453.41,19.69,34.2,5.08,7.16,10.59,56.77,131.24,0.0,0.21,215.54,10-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Nov-2020 - 00:00,142.54,118.93,165.45,39.46,20.64,1.14,58.04,156.09,320.36,19.44,28.59,12.01,27.31,29.88,61.07,142.13,0.0,0.2,145.76,11-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Nov-2020 - 00:00,84.63,18.03,54.64,51.43,40.27,1.0,41.89,69.34,255.54,15.5,22.68,9.59,22.01,23.86,63.56,147.27,0.0,0.26,76.54,12-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Nov-2020 - 00:00,179.81,95.12,167.54,31.31,41.29,0.98,42.4,74.26,321.32,15.71,24.2,15.2,33.76,35.68,59.94,136.25,0.0,0.24,174.03,13-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Nov-2020 - 00:00,172.06,134.5,193.75,19.97,33.77,0.99,36.46,134.18,338.84,13.03,22.49,3.44,2.47,5.76,48.31,125.8,0.0,0.41,238.17,14-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Nov-2020 - 00:00,144.89,88.65,142.33,36.84,46.82,1.47,57.7,245.91,518.6,17.23,26.13,5.99,6.06,11.44,54.9,104.6,0.0,0.22,181.03,15-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Nov-2020 - 00:00,59.8,1.85,29.04,61.26,36.28,0.55,34.49,176.95,401.15,11.48,7.51,1.07,1.2,2.53,58.31,121.1,0.04,0.44,98.31,16-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Nov-2020 - 00:00,39.5,6.61,21.67,66.89,17.72,0.32,16.07,30.06,91.6,9.83,3.31,0.84,1.44,2.44,64.99,113.87,0.26,0.55,72.04,17-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Nov-2020 - 00:00,83.49,47.06,77.35,38.06,24.86,0.32,8.41,27.09,116.79,9.91,9.64,1.65,0.76,1.47,81.62,183.27,0.0,0.5,284.41,18-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Nov-2020 - 00:00,105.65,66.73,104.73,31.14,51.93,0.43,10.6,29.3,137.57,10.75,11.51,2.45,0.83,2.08,69.55,183.6,0.0,0.4,263.83,19-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Nov-2020 - 00:00,99.81,112.5,138.01,20.81,74.88,0.62,9.15,54.38,223.73,11.53,10.52,2.09,1.2,2.81,65.19,164.38,0.0,0.3,244.36,20-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Nov-2020 - 00:00,86.39,65.83,93.86,20.15,123.19,0.41,10.23,47.33,212.21,10.32,10.2,1.02,0.77,1.51,57.06,182.82,0.0,0.73,282.45,21-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Nov-2020 - 00:00,56.37,71.5,81.38,20.81,67.88,0.93,7.53,38.21,153.51,4.91,7.58,1.92,0.51,1.04,45.66,58.9,0.0,0.94,278.04,22-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Nov-2020 - 00:00,23.45,94.17,83.09,16.26,3.58,1.73,5.78,39.49,218.85,4.9,7.56,1.92,1.57,3.24,60.59,15.32,0.0,0.52,243.03,23-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Nov-2020 - 00:00,8.86,120.67,132.0,18.78,46.46,1.73,7.15,59.23,276.59,4.9,7.56,1.92,1.72,3.55,46.69,111.03,0.0,0.25,145.49,24-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Nov-2020 - 00:00,10.63,129.66,135.69,56.88,84.86,1.73,5.78,128.45,427.42,4.89,7.58,1.92,1.7,3.5,77.75,73.44,0.0,0.17,133.57,25-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Nov-2020 - 00:00,11.73,23.9,21.16,47.49,118.19,1.72,5.12,171.76,356.1,4.88,7.57,1.92,1.71,3.54,93.38,46.59,0.0,0.25,86.51,26-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Nov-2020 - 00:00,4.68,22.41,20.54,30.78,156.12,1.73,7.37,45.85,108.97,4.89,7.56,1.92,1.71,3.53,73.11,139.7,0.0,0.47,271.39,27-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Nov-2020 - 00:00,5.84,24.38,18.7,27.41,104.37,1.73,7.27,40.02,120.52,4.88,7.6,1.92,1.61,3.33,69.79,144.9,0.0,0.75,285.53,28-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Nov-2020 - 00:00,1.29,33.35,22.83,23.23,72.19,1.72,7.07,42.18,175.0,4.88,7.52,1.92,1.72,3.55,58.6,183.18,0.0,0.81,232.42,29-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Nov-2020 - 00:00,3.26,124.08,94.85,13.32,34.12,1.73,4.37,75.53,312.21,4.89,7.56,1.92,1.59,3.26,66.41,53.51,0.0,0.41,216.02,30-Nov-2020 - 00:00,"Sector-18, Panipat - HSPCB"
