from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
18-May-2020 - 00:00,154.15,0.0,,259.91,25.08,971.33,148.41,4.77,28.02,18.78,22.31,83.59,1.08,34.38,1.23,29.95,0.03,0.34,15.43,19-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
19-May-2020 - 00:00,206.6,0.0,0.05,229.67,22.65,971.26,146.51,6.82,35.9,24.66,23.07,85.6,1.21,34.4,0.92,21.31,0.05,0.45,15.64,20-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
20-May-2020 - 00:00,119.09,0.0,,267.34,17.27,971.1,152.61,1.65,21.21,12.39,36.42,52.28,0.87,35.46,1.78,26.94,0.13,0.75,29.77,21-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
21-May-2020 - 00:00,79.31,0.0,,266.75,16.42,971.07,155.09,1.14,27.57,15.49,32.48,39.18,0.97,36.92,2.02,36.4,0.02,0.16,21.41,22-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
22-May-2020 - 00:00,120.75,0.0,,258.04,21.08,971.21,143.63,3.15,22.73,14.36,29.91,74.73,1.2,36.8,1.02,23.02,0.04,0.14,10.02,23-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
23-May-2020 - 00:00,102.38,0.0,0.0,243.18,26.59,971.38,180.19,6.02,25.42,18.42,19.62,67.64,1.24,36.61,1.12,,0.03,0.1,10.11,24-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
24-May-2020 - 00:00,99.76,0.19,0.0,250.42,16.7,971.08,150.22,7.44,32.05,23.12,39.96,43.15,1.05,40.77,1.45,,0.08,1.58,17.11,25-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
25-May-2020 - 00:00,95.43,0.29,,241.23,19.14,971.16,188.63,8.06,37.39,26.46,33.75,54.58,1.05,39.85,1.83,6.44,0.45,0.94,40.4,26-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
26-May-2020 - 00:00,119.77,0.0,,241.69,10.87,970.91,155.26,3.04,17.72,11.75,7.11,28.0,0.65,41.16,1.83,27.0,0.25,2.77,14.02,27-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
27-May-2020 - 00:00,85.14,0.0,,206.03,20.45,971.19,145.68,1.9,21.89,13.19,4.85,30.1,0.55,37.24,1.34,24.03,0.06,0.64,11.39,28-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
28-May-2020 - 00:00,113.65,0.0,,138.84,39.96,971.77,133.92,1.89,26.11,15.42,10.95,22.3,0.55,32.44,2.96,45.86,0.84,3.58,31.24,29-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
29-May-2020 - 00:00,104.68,0.0,0.0,120.87,56.4,972.26,108.57,6.76,31.43,22.22,2.9,10.9,0.49,25.55,2.74,6.24,1.5,9.89,15.23,30-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
30-May-2020 - 00:00,41.18,0.0,0.07,117.02,50.02,990.67,117.29,1.2,19.57,11.39,9.68,18.88,0.44,30.12,2.37,18.26,2.41,24.2,12.31,31-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
31-May-2020 - 00:00,29.61,1.09,0.1,179.54,70.0,991.26,113.96,5.51,27.24,18.68,4.67,14.78,0.48,24.35,1.62,28.13,2.68,30.25,14.79,01-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
01-Jun-2020 - 00:00,56.88,1.82,0.01,227.41,60.75,991.0,160.02,6.14,26.15,18.24,6.72,32.31,0.52,27.11,0.81,35.99,9.74,59.6,16.39,02-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Jun-2020 - 00:00,51.71,3.06,0.03,232.55,54.8,990.82,153.32,8.5,22.16,18.72,6.86,33.09,0.5,29.3,1.31,38.31,6.82,68.34,11.82,03-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Jun-2020 - 00:00,66.29,0.94,0.02,219.01,50.92,990.7,143.13,2.92,19.19,12.59,7.01,49.73,0.51,29.89,0.91,48.9,7.34,64.64,10.45,04-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Jun-2020 - 00:00,94.38,3.36,0.0,203.22,54.94,990.82,104.15,7.54,20.66,17.15,4.25,64.96,0.59,28.15,1.14,33.26,11.45,99.0,10.43,05-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Jun-2020 - 00:00,62.0,2.43,0.1,164.36,54.07,990.8,120.76,6.08,22.73,17.05,5.75,39.86,0.53,28.24,1.31,29.44,8.48,64.24,10.98,06-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Jun-2020 - 00:00,73.48,0.62,,138.52,53.39,990.77,152.78,3.07,19.49,12.87,6.76,28.63,0.45,29.72,1.61,19.81,5.14,25.82,9.5,07-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Jun-2020 - 00:00,102.48,3.1,,216.34,57.76,990.9,118.49,7.46,24.16,18.9,3.89,35.34,0.48,28.53,1.07,42.54,8.49,57.36,15.69,08-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Jun-2020 - 00:00,67.05,1.57,,244.78,52.28,990.74,157.94,4.08,16.29,11.99,7.69,47.06,0.54,30.57,1.19,43.1,8.37,48.56,34.12,09-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Jun-2020 - 00:00,81.6,4.33,,245.32,46.62,990.57,154.05,4.55,17.48,13.01,8.24,62.99,0.51,33.36,1.09,21.74,8.42,76.89,34.17,10-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Jun-2020 - 00:00,78.46,4.88,,205.01,42.53,990.45,182.87,3.69,16.78,11.94,9.21,62.54,0.53,35.04,1.22,34.06,7.9,78.79,34.71,11-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Jun-2020 - 00:00,87.2,3.77,0.18,239.31,36.9,990.29,180.19,1.36,14.74,8.94,14.04,59.58,0.68,37.39,1.14,22.95,6.28,78.6,14.31,12-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Jun-2020 - 00:00,88.17,2.49,0.0,155.36,46.32,990.57,152.5,1.73,15.26,9.43,8.19,58.15,0.59,35.02,1.36,32.84,10.2,46.67,9.2,13-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Jun-2020 - 00:00,74.28,2.24,,180.73,52.98,990.76,109.96,1.65,14.78,9.2,6.73,45.29,0.54,31.63,1.62,17.91,8.98,45.96,8.57,14-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Jun-2020 - 00:00,87.6,3.57,,222.86,49.76,990.67,150.7,2.67,13.64,9.43,7.76,64.22,0.56,33.84,1.04,17.11,9.81,67.6,8.47,15-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Jun-2020 - 00:00,72.09,2.54,2.7,200.72,40.3,990.39,151.06,1.1,13.3,7.98,10.26,42.74,0.44,35.75,1.26,29.3,8.07,50.15,7.66,16-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Jun-2020 - 00:00,66.01,2.04,0.3,159.83,39.81,990.37,148.0,5.28,15.2,12.36,9.53,25.92,0.56,35.84,1.68,16.62,7.78,48.78,7.1,17-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Jun-2020 - 00:00,60.76,0.8,,126.29,46.7,990.58,157.49,1.04,13.81,8.2,9.32,24.65,0.56,34.94,2.35,4.53,6.26,37.19,6.86,18-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Jun-2020 - 00:00,65.2,1.02,,139.35,45.3,990.54,156.74,1.29,13.68,8.33,10.51,35.76,0.45,35.73,1.87,35.28,6.52,36.13,6.79,19-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Jun-2020 - 00:00,113.39,1.26,,138.9,48.63,990.63,146.15,1.18,14.01,8.42,9.14,84.13,0.57,35.49,2.04,18.51,8.5,47.14,6.75,20-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Jun-2020 - 00:00,50.72,1.08,0.1,183.49,57.17,990.88,105.23,2.09,15.34,9.86,6.59,44.68,0.53,30.05,1.56,23.76,5.49,38.97,7.19,21-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
21-Jun-2020 - 00:00,53.56,3.01,,169.28,62.6,991.05,116.21,4.14,14.91,11.3,5.96,43.58,0.47,29.72,1.09,41.9,7.49,57.6,7.83,22-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
22-Jun-2020 - 00:00,60.88,2.72,0.1,205.79,57.59,990.9,112.51,1.44,12.44,7.71,8.53,40.94,0.57,31.07,1.17,24.59,6.65,66.71,21.83,23-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
23-Jun-2020 - 00:00,38.89,1.31,,128.53,60.22,990.98,136.86,2.53,12.34,8.6,5.53,26.31,0.46,31.31,1.87,16.08,5.41,47.02,18.12,24-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
24-Jun-2020 - 00:00,88.18,1.45,,118.53,67.97,991.21,127.25,2.59,12.96,9.0,4.33,31.29,0.5,29.55,1.8,12.62,5.77,41.84,14.35,25-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
25-Jun-2020 - 00:00,51.98,2.54,,238.19,65.68,991.14,140.19,3.35,12.88,9.58,5.33,29.58,0.51,30.19,0.99,16.09,6.71,51.72,12.7,26-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
26-Jun-2020 - 00:00,72.35,3.36,,225.63,62.6,991.05,148.96,3.65,12.2,9.45,5.36,50.27,0.51,30.89,1.43,34.31,10.83,85.99,11.76,27-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
27-Jun-2020 - 00:00,83.26,1.96,,228.19,44.23,990.51,149.18,3.12,12.13,9.0,5.15,46.81,0.36,35.25,2.14,10.4,4.69,45.7,10.28,28-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Jun-2020 - 00:00,158.75,7.42,,248.03,48.93,990.64,146.72,7.18,11.15,11.77,4.78,93.43,0.44,34.8,1.79,27.21,4.47,48.24,9.36,29-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
29-Jun-2020 - 00:00,93.77,4.02,,215.16,49.11,990.65,147.71,3.65,12.4,9.57,5.51,53.91,0.5,33.93,1.74,17.46,6.88,56.89,8.8,30-Jun-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
30-Jun-2020 - 00:00,63.63,1.92,,122.83,59.7,990.96,143.09,1.58,19.01,11.4,17.27,43.52,0.53,32.28,1.93,19.17,5.91,42.72,10.16,01-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
01-Jul-2020 - 00:00,75.67,2.37,0.6,122.89,54.88,990.82,140.95,0.9,26.12,14.63,30.47,49.93,0.64,33.65,1.61,15.25,7.55,49.05,13.14,02-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Jul-2020 - 00:00,94.88,3.08,0.33,170.1,51.61,990.73,138.11,1.07,25.98,14.68,34.72,58.94,0.65,35.19,1.12,30.21,9.16,46.77,14.47,03-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Jul-2020 - 00:00,99.68,2.53,0.37,140.04,52.98,990.77,127.75,1.0,28.44,15.93,34.93,58.36,0.91,35.06,1.54,19.99,10.35,46.3,14.63,04-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Jul-2020 - 00:00,65.85,0.95,0.15,119.3,58.2,990.92,145.49,0.92,21.81,12.35,26.96,38.8,0.39,32.84,2.35,14.89,5.45,28.87,14.82,05-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Jul-2020 - 00:00,45.0,1.74,0.01,204.81,69.35,991.25,121.83,0.79,21.91,12.27,29.07,24.84,0.52,28.13,1.5,22.08,6.54,43.58,13.31,06-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Jul-2020 - 00:00,60.23,2.74,0.04,162.5,69.31,991.24,116.43,1.83,26.21,15.45,17.6,41.92,0.44,29.77,1.31,17.46,7.61,50.46,13.66,07-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Jul-2020 - 00:00,23.03,1.15,0.06,134.88,71.28,991.31,119.35,2.31,20.89,13.0,10.44,14.51,0.39,28.33,2.08,25.23,3.96,39.2,11.63,08-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Jul-2020 - 00:00,31.33,0.86,0.07,151.35,73.06,991.36,98.66,2.67,22.35,14.05,12.05,24.87,0.49,28.66,1.81,22.23,3.43,30.82,12.21,09-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Jul-2020 - 00:00,42.22,1.86,,236.15,64.08,991.09,143.67,3.37,19.0,12.7,22.93,27.55,0.53,31.52,1.06,24.62,6.32,63.45,13.81,10-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Jul-2020 - 00:00,34.0,1.74,,242.47,59.1,990.95,147.78,1.56,18.44,11.01,27.85,22.82,0.35,32.58,1.58,14.38,3.79,38.96,12.68,11-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Jul-2020 - 00:00,26.64,1.77,,210.4,64.97,991.11,130.68,1.78,15.67,9.77,32.78,17.21,0.42,30.22,1.56,18.03,3.78,50.13,12.23,12-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Jul-2020 - 00:00,25.06,2.22,,237.52,63.81,991.09,124.29,1.34,14.98,9.07,30.48,14.65,0.37,28.92,1.53,39.47,5.22,83.17,11.82,13-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Jul-2020 - 00:00,50.22,1.57,,247.94,58.24,990.92,148.66,4.38,18.44,13.41,15.1,18.0,0.44,31.1,1.18,20.04,4.78,75.4,11.95,14-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Jul-2020 - 00:00,63.95,3.37,,210.75,55.94,990.85,143.34,1.03,17.32,10.05,29.15,39.26,0.33,33.24,1.11,23.94,5.54,71.07,14.79,15-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Jul-2020 - 00:00,50.41,1.51,,135.22,59.2,990.95,130.98,1.5,17.45,10.37,23.91,34.22,0.49,32.32,1.91,19.53,5.88,55.59,13.48,16-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Jul-2020 - 00:00,38.78,1.98,,128.64,62.29,991.04,114.61,3.14,18.07,12.17,15.18,27.0,0.46,31.51,1.81,19.62,5.38,63.68,14.75,17-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Jul-2020 - 00:00,49.45,4.88,,142.56,70.8,991.3,118.02,5.37,18.08,13.99,12.34,39.37,0.65,30.5,1.63,36.24,4.4,82.0,15.32,18-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Jul-2020 - 00:00,44.89,2.93,,129.79,68.84,991.23,119.2,3.91,18.15,12.84,14.4,32.04,0.52,30.97,1.46,33.04,8.17,88.28,14.61,19-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Jul-2020 - 00:00,33.86,7.0,,234.85,76.69,991.46,101.29,9.39,14.69,15.47,9.51,20.3,1.06,28.26,1.12,15.16,4.56,116.68,27.5,20-Jul-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
