from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,O Xylene,RH,BP,SR,VWS,WS,NO,CO,WD,NO2,to date,station
04-May-2020 - 00:00,9.64,15.31,54.03,4.21,44.78,11.75,1.41,67.55,999.38,32.57,0.13,0.82,1.13,1.1,149.95,16.87,05-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-May-2020 - 00:00,9.82,13.09,30.39,3.66,42.71,9.99,1.08,77.94,999.41,46.04,0.15,0.82,1.11,1.1,141.67,16.8,06-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-May-2020 - 00:00,9.84,17.06,26.87,3.78,48.25,12.67,1.76,65.77,999.17,43.3,0.15,0.43,1.16,1.1,99.69,16.75,07-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-May-2020 - 00:00,16.98,32.73,37.44,3.37,31.17,8.4,0.9,64.89,999.25,41.03,0.14,0.79,6.67,1.1,99.34,24.27,08-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-May-2020 - 00:00,23.3,34.12,76.81,3.03,43.22,13.08,1.85,56.98,998.31,31.61,0.13,0.64,10.72,1.11,102.72,28.91,09-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-May-2020 - 00:00,18.94,35.23,78.09,2.75,30.72,7.43,0.48,53.88,998.69,32.35,0.13,0.79,10.82,1.1,83.52,19.38,10-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-May-2020 - 00:00,14.2,30.62,98.1,2.85,55.62,8.37,0.24,65.74,999.46,34.84,0.14,0.85,10.65,1.1,93.82,14.07,11-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-May-2020 - 00:00,20.2,28.91,150.71,3.18,39.94,11.34,2.34,63.72,999.62,24.77,0.15,0.49,16.89,1.1,140.31,13.24,12-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-May-2020 - 00:00,16.02,31.78,109.67,2.55,72.29,16.72,2.34,62.0,998.9,13.3,0.14,0.57,17.34,1.09,180.36,12.19,13-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-May-2020 - 00:00,18.67,25.83,87.18,3.11,94.44,17.65,2.13,59.7,998.24,15.43,0.14,0.76,16.03,1.1,183.76,17.88,14-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-May-2020 - 00:00,20.73,6.34,75.86,3.21,101.57,23.2,2.66,51.37,997.73,26.43,0.13,0.71,15.85,1.1,273.95,15.14,15-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-May-2020 - 00:00,23.58,8.03,104.61,4.73,86.3,43.17,7.16,41.3,996.16,27.35,0.11,0.72,16.79,1.1,285.28,19.09,16-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-May-2020 - 00:00,29.96,8.59,61.89,3.68,71.1,24.38,2.86,33.2,995.52,25.51,0.12,0.67,15.68,1.1,287.94,32.98,17-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-May-2020 - 00:00,31.65,11.72,82.02,5.82,72.41,34.78,3.58,26.07,994.33,28.06,0.12,0.78,18.63,1.1,263.98,31.48,18-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-May-2020 - 00:00,27.66,12.45,83.59,7.62,55.37,32.64,4.97,26.99,992.91,24.52,0.11,0.62,22.82,1.1,268.56,22.35,19-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-May-2020 - 00:00,30.48,12.77,87.02,6.15,72.51,36.38,4.67,27.54,992.12,28.2,0.12,0.99,21.32,1.1,268.74,25.57,20-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-May-2020 - 00:00,20.79,9.9,94.09,3.5,75.71,23.34,3.51,46.34,991.01,26.57,0.13,0.58,18.07,1.1,140.59,11.99,21-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-May-2020 - 00:00,21.61,12.98,82.68,4.52,50.62,22.5,3.88,36.84,990.87,26.71,0.11,0.65,17.77,1.1,221.47,16.71,22-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-May-2020 - 00:00,16.24,9.26,119.24,5.96,78.43,33.75,4.12,37.4,992.1,24.77,0.11,0.43,15.19,1.1,116.46,9.27,23-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-May-2020 - 00:00,9.24,7.26,78.87,2.31,70.23,9.68,0.39,57.44,993.91,24.39,0.11,0.52,12.28,1.1,80.34,1.1,24-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-May-2020 - 00:00,11.6,5.41,108.45,3.44,63.39,10.67,0.86,44.67,992.98,22.48,0.1,0.51,14.97,1.1,192.98,16.26,25-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-May-2020 - 00:00,16.71,4.93,102.33,3.37,54.67,18.72,2.17,26.58,992.2,26.25,0.08,0.54,13.11,1.1,253.52,14.19,26-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-May-2020 - 00:00,18.14,15.76,109.65,5.26,59.44,25.84,2.72,23.14,991.09,22.09,0.09,0.5,14.45,1.1,243.23,13.73,27-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-May-2020 - 00:00,12.69,13.99,206.37,3.91,32.02,13.4,1.07,36.21,989.96,22.84,0.11,0.78,13.41,1.1,119.8,5.18,28-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-May-2020 - 00:00,7.43,8.82,43.13,2.38,12.5,0.62,0.54,54.35,993.86,26.27,0.12,1.19,9.0,1.1,75.44,1.71,29-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-May-2020 - 00:00,7.6,7.61,52.65,2.08,0.0,34.81,0.52,60.09,996.77,21.83,0.12,1.02,10.2,1.1,91.3,2.36,30-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-May-2020 - 00:00,8.39,8.23,47.07,2.02,0.01,0.0,0.86,75.59,997.26,14.0,0.14,1.1,13.32,1.1,175.55,3.78,31-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
31-May-2020 - 00:00,9.68,4.24,37.07,3.56,0.0,0.0,0.0,78.54,998.51,41.26,0.15,0.49,17.89,1.1,132.55,2.86,01-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Jun-2020 - 00:00,17.1,6.55,61.2,4.06,0.0,0.0,0.0,70.73,998.3,21.37,0.13,0.63,18.52,1.09,186.76,19.65,02-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Jun-2020 - 00:00,26.38,14.76,64.78,3.42,0.0,0.0,0.0,59.85,997.34,20.73,0.12,0.77,23.51,1.11,216.68,20.72,03-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Jun-2020 - 00:00,31.76,10.96,75.57,3.27,0.0,0.0,0.0,55.06,996.09,15.54,0.12,0.49,26.47,1.09,195.07,21.02,04-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Jun-2020 - 00:00,25.09,15.68,67.75,3.51,0.0,0.0,0.0,72.9,996.04,10.34,0.13,0.76,28.61,1.1,108.3,5.83,05-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Jun-2020 - 00:00,12.87,11.93,31.88,2.77,0.0,0.0,0.0,90.15,995.82,3.95,0.16,1.37,5.98,1.1,264.87,15.28,06-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Jun-2020 - 00:00,29.94,5.56,26.9,2.89,15.47,6.96,2.04,77.42,995.46,43.88,0.13,0.6,19.95,1.1,176.61,30.23,07-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Jun-2020 - 00:00,20.18,6.04,37.87,2.17,60.74,8.57,1.48,66.54,994.23,61.21,0.13,0.7,12.78,1.1,172.66,20.25,08-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Jun-2020 - 00:00,18.58,7.55,64.61,4.28,52.5,48.72,3.25,55.24,993.08,65.07,0.11,0.45,7.99,1.1,235.86,22.92,09-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Jun-2020 - 00:00,23.17,26.79,97.41,4.32,47.28,26.96,2.23,48.98,992.57,60.53,0.1,0.39,7.48,1.1,161.53,32.31,10-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Jun-2020 - 00:00,21.8,45.46,107.37,6.02,15.48,16.28,1.19,58.27,992.51,62.22,0.1,0.66,10.71,1.09,70.34,25.41,11-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Jun-2020 - 00:00,19.88,40.36,91.55,5.72,41.9,9.11,0.4,63.51,991.12,50.26,0.1,0.97,6.88,1.1,79.21,27.58,12-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Jun-2020 - 00:00,20.66,40.07,85.44,8.44,40.76,10.64,0.29,59.69,989.78,56.75,0.1,0.77,9.28,1.1,70.62,24.88,13-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Jun-2020 - 00:00,21.56,40.21,70.16,6.1,25.11,12.73,0.54,61.71,990.56,55.01,0.1,0.76,10.57,1.1,77.89,25.7,14-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Jun-2020 - 00:00,19.8,39.51,52.89,7.05,21.4,8.61,0.25,61.04,992.17,59.7,0.11,0.7,10.11,1.1,74.34,22.01,15-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Jun-2020 - 00:00,22.85,40.07,56.77,8.42,25.11,26.45,1.42,73.21,990.71,39.11,0.13,0.69,10.68,1.1,83.32,28.42,16-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Jun-2020 - 00:00,16.0,40.46,32.21,6.61,27.23,11.46,0.45,73.97,988.55,55.44,0.11,0.09,7.66,1.08,136.42,22.33,17-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Jun-2020 - 00:00,22.41,41.15,38.94,8.54,19.53,15.78,1.17,83.94,987.43,25.49,0.12,0.08,11.19,1.1,115.68,25.29,18-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Jun-2020 - 00:00,14.13,42.39,38.21,6.63,18.76,22.08,2.41,83.26,988.45,23.67,0.12,0.11,8.4,1.09,110.13,14.52,19-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Jun-2020 - 00:00,12.0,45.52,41.79,3.83,40.99,13.59,0.8,79.55,991.26,47.15,0.11,0.16,8.92,1.1,113.95,9.14,20-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Jun-2020 - 00:00,11.86,47.85,30.15,3.29,37.78,9.55,0.47,81.0,992.17,53.19,0.12,0.13,8.52,1.1,81.9,9.67,21-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Jun-2020 - 00:00,12.11,47.6,30.56,3.38,28.94,6.99,0.09,87.76,992.06,22.95,0.13,0.04,9.82,1.1,116.32,8.01,22-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Jun-2020 - 00:00,12.98,46.05,29.23,3.79,22.74,12.88,1.19,83.75,991.46,56.55,0.13,0.08,10.85,1.1,106.83,8.08,23-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Jun-2020 - 00:00,18.24,47.18,36.8,3.25,14.56,21.24,2.16,89.05,993.79,30.58,0.13,0.05,15.33,1.1,80.17,11.26,24-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Jun-2020 - 00:00,17.21,48.18,50.71,3.56,18.46,22.88,1.91,85.66,994.64,58.71,0.13,0.08,13.87,1.1,95.86,11.49,25-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Jun-2020 - 00:00,16.87,47.82,89.57,3.55,23.0,35.33,4.16,89.93,992.58,24.38,0.14,0.04,13.21,1.1,195.58,11.99,26-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Jun-2020 - 00:00,15.75,47.72,45.92,2.84,23.58,31.61,2.77,84.32,991.35,70.93,0.13,0.02,11.41,1.1,148.91,12.44,27-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Jun-2020 - 00:00,21.52,46.49,40.94,3.71,22.8,49.15,5.77,78.56,990.7,61.23,0.13,0.08,15.17,1.1,193.31,17.64,28-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Jun-2020 - 00:00,18.2,48.43,42.02,3.75,23.77,27.42,1.36,78.88,990.43,90.6,0.14,0.06,13.81,1.1,185.91,14.13,29-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Jun-2020 - 00:00,11.49,47.62,35.31,3.6,41.43,31.23,2.61,84.06,993.61,67.62,0.16,0.03,7.23,1.1,147.15,11.01,30-Jun-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Jun-2020 - 00:00,4.96,47.17,39.09,2.77,62.86,17.3,1.21,79.31,993.66,74.37,0.15,0.45,2.11,1.1,67.02,6.17,01-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Jul-2020 - 00:00,8.0,47.99,69.11,3.53,65.82,35.91,3.55,84.79,991.71,43.66,0.15,0.47,2.72,1.1,120.12,10.99,02-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Jul-2020 - 00:00,7.58,48.38,88.13,3.2,47.89,19.32,1.24,78.63,989.37,62.86,0.13,0.48,4.55,1.1,115.49,8.34,03-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Jul-2020 - 00:00,12.24,47.38,82.12,3.1,30.08,6.83,0.13,83.5,989.46,31.46,0.14,0.77,11.18,1.1,94.64,15.89,04-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Jul-2020 - 00:00,16.82,46.97,66.48,1.99,14.63,32.37,2.99,82.38,989.74,39.81,0.17,0.84,10.89,1.1,82.08,15.51,05-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Jul-2020 - 00:00,14.79,48.42,43.37,2.96,34.08,10.75,0.7,81.75,989.66,35.63,0.18,0.7,8.69,1.1,74.71,15.79,06-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Jul-2020 - 00:00,18.49,48.18,385.84,4.28,49.05,25.44,2.27,90.48,989.55,35.33,0.2,0.68,14.76,1.07,134.02,16.39,07-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Jul-2020 - 00:00,18.4,47.96,17.87,2.96,34.46,26.18,1.99,91.15,992.53,45.0,0.21,0.59,17.16,1.1,78.22,8.79,08-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Jul-2020 - 00:00,22.61,48.27,36.49,2.86,32.37,45.35,6.24,86.38,994.09,97.11,0.21,0.53,25.23,1.1,114.43,10.53,09-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Jul-2020 - 00:00,16.89,48.06,28.66,2.0,42.34,61.92,14.05,85.75,990.13,59.67,0.24,0.39,19.61,1.1,202.44,5.62,10-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Jul-2020 - 00:00,9.06,46.27,39.16,1.14,53.03,2.36,25.18,85.75,988.52,48.35,0.22,0.7,6.73,1.1,218.15,11.18,11-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Jul-2020 - 00:00,7.48,49.09,33.56,1.1,16.2,6.72,3.43,78.5,988.49,73.53,0.22,0.69,5.26,1.1,238.79,6.27,12-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Jul-2020 - 00:00,9.02,48.42,33.81,1.1,13.72,8.49,1.75,76.16,989.53,73.82,0.22,0.64,6.75,1.1,233.26,6.81,13-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Jul-2020 - 00:00,10.74,48.52,48.79,0.92,14.84,5.81,12.31,73.1,989.61,79.9,0.22,0.49,6.22,1.1,236.03,11.67,14-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Jul-2020 - 00:00,57.6,47.59,32.83,1.29,16.49,0.54,11.91,87.06,992.17,56.42,0.24,0.58,5.44,1.1,131.98,94.04,15-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Jul-2020 - 00:00,26.18,47.9,69.7,2.49,22.97,0.62,8.07,82.66,992.55,74.76,0.23,0.85,1.36,1.1,59.36,33.46,16-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Jul-2020 - 00:00,14.0,49.27,47.09,3.26,16.62,0.0,1.98,82.52,990.75,57.41,0.22,0.81,4.96,1.1,80.09,20.83,17-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Jul-2020 - 00:00,23.27,48.62,50.68,3.8,4.0,0.0,0.0,76.94,991.89,76.92,0.21,0.55,9.74,1.1,89.46,30.07,18-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Jul-2020 - 00:00,20.41,48.89,53.04,4.01,4.05,0.0,0.0,79.28,993.2,40.86,0.23,0.66,9.56,1.1,118.83,23.99,19-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Jul-2020 - 00:00,16.62,47.44,33.35,3.79,3.9,0.0,0.0,85.71,991.01,16.57,0.24,0.54,9.84,1.1,179.06,16.44,20-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Jul-2020 - 00:00,14.79,49.92,25.94,4.14,6.93,0.0,0.0,89.7,989.72,30.79,0.24,0.64,8.51,1.1,201.6,15.09,21-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Jul-2020 - 00:00,9.69,48.91,24.24,4.1,4.69,0.0,0.0,85.45,993.3,61.66,0.25,0.62,3.52,1.1,217.59,13.95,22-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Jul-2020 - 00:00,13.12,42.74,26.07,3.96,3.83,0.0,0.0,83.58,993.48,85.3,0.24,0.49,7.61,1.1,240.75,17.55,23-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Jul-2020 - 00:00,13.69,32.16,37.7,3.81,3.52,0.0,0.0,77.48,993.08,60.99,0.24,0.56,7.4,1.1,207.81,23.01,24-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Jul-2020 - 00:00,9.98,32.91,31.36,3.52,3.26,0.0,0.0,88.23,997.02,45.9,0.24,0.72,6.78,1.1,69.17,17.03,25-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Jul-2020 - 00:00,6.67,39.8,42.54,3.64,2.61,0.0,0.02,81.72,998.39,70.85,0.22,0.51,5.54,1.1,94.44,11.71,26-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Jul-2020 - 00:00,7.07,42.28,46.73,3.63,2.79,0.0,0.0,78.4,997.51,47.56,0.23,0.41,5.3,1.1,142.54,12.85,27-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Jul-2020 - 00:00,10.22,35.09,42.24,4.08,3.36,0.0,0.0,75.01,994.82,49.34,0.23,0.66,6.13,1.1,215.25,17.5,28-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Jul-2020 - 00:00,11.76,31.25,33.53,3.84,3.07,0.0,0.0,87.28,993.14,23.09,0.26,0.52,6.61,1.1,188.02,19.69,29-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Jul-2020 - 00:00,12.36,35.19,18.05,4.88,3.46,0.0,0.0,90.61,995.0,44.5,0.27,0.39,5.6,1.1,162.68,18.82,30-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Jul-2020 - 00:00,6.92,34.68,32.19,5.94,2.59,0.0,0.0,88.11,995.62,74.44,0.26,0.54,3.21,1.1,170.15,11.95,31-Jul-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
31-Jul-2020 - 00:00,7.4,34.52,35.78,6.54,2.64,0.0,0.0,90.16,994.64,55.69,0.26,0.37,4.16,1.1,147.32,11.41,01-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Aug-2020 - 00:00,7.61,37.6,30.79,5.36,2.59,0.0,0.0,87.87,993.74,58.29,0.26,0.41,3.85,1.1,170.65,12.26,02-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Aug-2020 - 00:00,6.76,38.24,29.63,6.12,2.82,0.0,0.0,81.63,991.0,66.03,0.25,0.57,3.33,1.1,247.42,11.46,03-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Aug-2020 - 00:00,7.15,39.49,35.58,7.32,2.76,0.0,0.0,88.82,986.52,46.82,0.25,0.45,3.58,1.1,218.74,11.82,04-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Aug-2020 - 00:00,7.11,37.97,36.29,5.69,2.78,0.0,0.03,84.37,983.33,57.78,0.25,0.43,3.52,1.1,209.48,11.83,05-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Aug-2020 - 00:00,9.4,39.03,23.18,11.35,1.55,0.0,0.21,81.14,984.92,69.68,0.25,0.88,4.31,1.1,62.74,14.95,06-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Aug-2020 - 00:00,8.07,38.98,14.98,4.46,0.71,0.0,0.39,80.41,988.62,42.85,0.23,1.45,4.42,1.1,68.05,10.51,07-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Aug-2020 - 00:00,6.11,43.25,30.37,4.33,1.45,0.0,0.91,79.79,992.61,76.27,0.23,0.55,3.63,1.1,101.04,6.14,08-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Aug-2020 - 00:00,6.07,35.59,72.83,4.78,0.96,0.0,0.55,83.83,990.14,46.39,0.25,0.45,3.61,1.1,170.27,6.18,09-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Aug-2020 - 00:00,5.78,31.53,58.84,5.87,0.84,0.0,0.44,86.12,989.42,35.35,0.24,0.58,4.02,1.1,100.49,4.81,10-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Aug-2020 - 00:00,6.78,35.4,61.21,5.36,1.28,0.0,0.92,81.89,990.73,40.21,0.23,0.58,7.46,1.98,83.41,4.12,11-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Aug-2020 - 00:00,7.9,41.36,46.51,5.71,0.76,0.0,0.42,82.52,990.15,51.28,0.24,0.65,6.13,0.75,108.45,6.39,12-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Aug-2020 - 00:00,20.7,46.05,29.22,4.8,0.38,0.0,0.18,90.76,990.09,41.81,0.27,0.44,19.57,0.75,199.82,22.91,13-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Aug-2020 - 00:00,9.83,42.26,14.42,6.81,0.0,0.0,0.0,91.09,989.26,42.45,0.27,0.41,5.82,0.74,151.84,13.49,14-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Aug-2020 - 00:00,10.95,40.32,30.4,8.06,0.0,0.0,0.0,91.15,988.15,48.64,0.27,0.43,6.64,0.69,139.74,14.37,15-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Aug-2020 - 00:00,13.12,45.36,26.73,9.22,0.0,0.0,0.0,86.65,988.51,94.71,0.25,0.66,6.49,0.54,123.14,18.67,16-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Aug-2020 - 00:00,8.96,46.16,16.86,6.95,0.0,0.0,0.0,81.17,989.65,83.61,0.24,0.83,5.44,0.54,71.05,12.42,17-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Aug-2020 - 00:00,9.77,46.85,19.27,6.99,0.71,1.0,0.33,81.2,989.52,61.5,0.24,0.9,5.77,0.54,65.03,13.46,18-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Aug-2020 - 00:00,11.8,47.44,29.91,7.36,0.69,1.12,0.0,80.37,989.94,66.28,0.23,0.7,6.5,0.54,79.16,16.14,19-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Aug-2020 - 00:00,25.42,44.83,26.23,5.58,0.0,0.0,0.0,88.91,990.75,33.85,0.27,1.0,9.04,0.54,188.93,36.98,20-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Aug-2020 - 00:00,23.32,41.69,21.7,6.19,0.05,0.11,0.0,77.66,992.24,84.71,0.26,1.13,18.92,0.54,77.29,27.04,21-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Aug-2020 - 00:00,35.33,45.73,15.94,5.83,1.06,1.58,0.0,83.05,993.48,50.26,0.26,1.9,29.88,0.54,54.73,21.7,22-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Aug-2020 - 00:00,14.39,44.7,25.03,5.97,1.1,0.59,0.0,90.04,993.76,39.67,0.24,1.13,8.94,0.54,69.82,15.81,23-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Aug-2020 - 00:00,16.74,32.39,21.59,5.14,1.11,0.6,0.0,85.72,994.23,52.22,0.25,0.56,11.18,0.54,138.0,15.86,24-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Aug-2020 - 00:00,24.85,41.86,24.69,5.68,1.11,0.59,0.0,83.38,994.77,60.28,0.25,0.61,20.96,0.54,169.33,16.32,25-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Aug-2020 - 00:00,29.78,33.16,33.32,5.02,1.1,0.6,0.0,77.15,996.58,61.2,0.25,0.46,23.3,0.64,220.18,23.64,26-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Aug-2020 - 00:00,21.41,38.78,22.71,4.41,1.11,0.59,0.0,81.43,996.52,37.22,0.25,0.75,11.64,0.79,224.62,26.09,27-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Aug-2020 - 00:00,10.22,40.73,34.51,3.02,1.1,0.59,0.0,86.79,995.11,35.34,0.26,1.15,2.96,0.55,242.95,18.73,28-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Aug-2020 - 00:00,14.7,48.51,41.5,2.78,1.1,0.6,0.0,85.47,992.53,47.21,0.25,1.28,8.22,0.58,58.91,14.29,29-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Aug-2020 - 00:00,12.34,46.31,45.75,2.71,1.1,0.59,0.0,83.37,991.85,28.07,0.25,1.21,8.18,0.54,75.33,9.29,30-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Aug-2020 - 00:00,9.28,47.04,33.66,2.9,1.1,0.59,0.0,76.02,995.04,40.47,0.25,0.72,2.88,0.54,150.33,9.2,31-Aug-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
31-Aug-2020 - 00:00,8.93,47.84,50.47,2.71,1.11,0.6,0.0,71.24,997.55,51.7,0.24,0.51,4.79,0.54,216.51,8.99,01-Sep-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Sep-2020 - 00:00,23.28,46.69,54.13,3.21,1.1,0.59,0.0,71.18,998.24,40.28,0.24,0.39,8.5,0.54,232.43,31.25,02-Sep-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Sep-2020 - 00:00,29.51,50.28,48.89,2.98,1.11,0.58,0.0,83.52,998.49,20.91,0.26,0.94,10.87,0.54,208.56,39.51,03-Sep-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Sep-2020 - 00:00,29.07,43.72,62.76,2.66,1.1,0.58,0.0,84.83,999.31,66.11,0.25,0.64,11.4,0.54,84.1,38.23,04-Sep-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
