from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
08-Feb-2020 - 00:00,62.8,13.34,44.25,38.73,9.37,1.04,1.72,60.94,171.19,1.66,4.53,16.78,0.59,306.2,60.21,742.0,67.48,0.0,09-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Feb-2020 - 00:00,76.87,16.01,53.9,36.15,8.01,1.02,1.78,55.73,170.09,1.62,3.66,17.76,0.32,314.64,59.17,742.11,69.78,0.0,10-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Feb-2020 - 00:00,64.89,12.99,45.08,39.88,8.26,1.07,1.74,69.16,182.51,1.63,2.83,17.61,0.36,300.24,57.96,742.0,72.49,0.0,11-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Feb-2020 - 00:00,63.67,12.02,43.64,38.21,8.1,1.08,1.78,65.02,166.49,1.84,4.17,18.16,0.34,286.61,56.92,742.0,73.15,0.0,12-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Feb-2020 - 00:00,61.94,12.14,42.83,42.78,8.37,1.01,1.79,64.32,157.69,1.6,6.42,19.79,0.86,333.92,59.35,742.0,69.38,0.0,13-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Feb-2020 - 00:00,51.27,7.01,32.97,38.92,8.24,0.86,1.77,40.97,102.15,0.85,4.41,22.9,1.4,332.93,56.71,741.68,77.1,0.0,14-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Feb-2020 - 00:00,49.32,7.92,32.67,36.15,6.19,0.75,1.79,28.79,71.91,0.68,1.48,21.56,2.13,325.56,54.69,741.1,80.51,0.0,15-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Feb-2020 - 00:00,59.5,8.08,38.21,39.68,7.23,0.83,1.76,38.41,90.14,0.95,3.26,20.97,1.09,335.31,50.96,741.39,80.41,0.0,16-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Feb-2020 - 00:00,75.54,27.59,62.61,38.54,9.83,1.09,1.76,56.94,122.92,1.86,7.99,21.89,0.54,313.67,54.21,741.69,77.62,0.0,17-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Feb-2020 - 00:00,71.77,21.76,55.87,39.96,8.24,1.03,1.78,64.43,118.51,1.6,6.64,21.94,0.67,327.01,54.05,742.0,79.31,0.0,18-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Feb-2020 - 00:00,64.96,10.11,42.77,36.71,8.29,0.95,1.82,54.78,110.52,1.23,6.88,22.4,0.78,334.18,48.08,741.49,80.96,0.0,19-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Feb-2020 - 00:00,65.11,37.71,65.29,43.67,7.01,1.16,1.73,74.58,149.09,2.97,6.97,22.12,0.64,286.19,52.72,741.45,60.72,0.0,20-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Feb-2020 - 00:00,52.47,6.42,33.13,46.42,8.31,1.02,1.79,55.77,107.48,1.61,1.31,24.3,1.67,313.28,56.08,741.31,71.43,0.05,21-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
21-Feb-2020 - 00:00,40.84,5.43,26.15,42.95,8.9,0.74,1.73,20.41,33.63,0.56,0.75,19.8,1.98,242.9,67.56,741.8,23.6,0.12,22-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
22-Feb-2020 - 00:00,60.9,16.09,45.47,41.87,8.01,0.87,1.79,22.35,39.7,0.79,2.28,23.19,0.32,249.76,59.69,742.06,67.55,0.0,23-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
23-Feb-2020 - 00:00,68.79,25.1,56.99,50.5,6.6,0.93,1.69,41.83,84.31,1.43,2.89,24.58,0.45,213.2,58.56,742.0,71.78,0.0,24-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
24-Feb-2020 - 00:00,50.39,12.47,36.95,45.11,5.83,0.81,1.77,31.16,62.27,0.84,1.21,23.4,0.31,231.77,58.29,741.54,83.62,0.0,25-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
