from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Mar-2020 - 00:00,186.85,189.75,13.28,1.99,11.22,15.43,3.51,0.42,1.57,0.0,0.0,0.0,0.0,0.0,24.81,61.75,0.24,328.66,752.34,11.22,0.0,04-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Mar-2020 - 00:00,174.23,231.21,10.88,10.84,21.72,15.43,3.84,1.01,6.55,0.0,0.0,0.0,0.0,0.0,24.84,61.7,0.38,154.57,753.28,204.98,0.0,05-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Mar-2020 - 00:00,155.79,172.73,7.6,4.7,12.29,15.43,4.76,0.98,6.49,0.0,0.0,0.0,0.0,0.0,23.99,70.75,0.61,105.59,753.27,202.89,0.0,06-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Mar-2020 - 00:00,97.68,119.81,11.24,4.9,16.14,15.43,8.62,0.71,12.6,0.0,0.0,0.0,0.0,0.0,22.98,68.24,0.94,118.87,754.03,219.84,0.0,07-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Mar-2020 - 00:00,66.83,692.51,10.7,6.2,16.89,15.43,8.57,0.58,3.25,0.0,0.0,0.0,0.0,0.0,22.08,76.48,0.75,138.64,755.1,168.42,0.0,08-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Mar-2020 - 00:00,116.74,702.93,12.31,7.47,19.78,15.43,8.78,0.57,1.92,0.0,0.0,0.0,0.0,0.0,22.83,68.79,0.39,273.56,754.95,190.68,0.0,09-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Mar-2020 - 00:00,170.85,713.08,18.99,5.63,24.62,15.43,8.42,0.71,2.31,0.0,0.0,0.0,0.0,0.0,21.93,58.39,0.19,202.24,754.2,247.44,0.0,10-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Mar-2020 - 00:00,237.77,727.41,17.45,5.29,22.74,15.43,8.35,1.33,2.41,0.0,0.0,0.0,0.0,0.0,21.36,58.95,0.23,225.69,754.46,196.06,0.0,11-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Mar-2020 - 00:00,134.35,378.34,16.62,4.92,21.26,15.21,7.94,0.73,4.66,0.0,0.0,0.0,0.0,0.0,22.08,61.51,0.23,213.17,754.14,130.81,0.0,12-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Mar-2020 - 00:00,120.12,300.6,21.42,8.97,30.38,15.43,25.71,1.13,14.81,0.0,0.0,0.0,0.0,0.0,24.85,65.06,0.27,193.08,754.87,240.67,0.0,13-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Mar-2020 - 00:00,58.5,79.23,10.72,5.51,15.75,15.43,4.09,0.99,7.13,0.0,0.0,0.0,0.0,0.0,22.2,84.6,0.54,105.61,756.37,65.11,0.0,14-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Mar-2020 - 00:00,32.57,37.85,10.14,10.49,20.4,15.43,5.57,0.62,0.03,0.0,0.0,0.0,0.0,0.0,19.33,93.05,0.43,122.27,756.59,35.89,0.0,15-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Mar-2020 - 00:00,33.14,47.18,12.6,9.95,22.55,15.43,6.06,0.63,1.68,0.0,0.0,0.0,0.0,0.0,21.95,79.87,0.3,201.88,755.94,243.9,0.0,16-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Mar-2020 - 00:00,44.05,96.31,18.7,12.97,31.67,15.43,6.69,0.82,4.39,0.0,0.0,0.0,0.0,0.0,23.84,64.32,0.21,242.77,756.03,252.89,0.0,17-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Mar-2020 - 00:00,49.99,142.17,28.62,10.06,38.69,14.37,6.29,0.91,7.03,0.0,0.0,0.0,0.0,0.0,23.12,61.22,0.18,222.96,756.5,231.17,0.0,18-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Mar-2020 - 00:00,70.21,180.34,27.59,20.27,25.92,22.31,6.96,0.89,27.21,0.0,0.0,0.0,0.0,0.0,23.54,59.64,0.19,212.02,755.12,253.11,0.0,19-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Mar-2020 - 00:00,71.31,163.74,8.76,7.26,7.69,10.64,10.52,0.83,12.92,3.98,3.48,3.11,7.45,8.66,24.22,57.06,0.18,207.48,753.65,225.37,0.0,20-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Mar-2020 - 00:00,50.43,137.55,9.01,7.36,15.22,12.49,10.2,0.68,15.74,6.45,0.93,7.54,17.36,22.32,24.55,54.23,0.28,188.24,753.27,250.67,0.0,21-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Mar-2020 - 00:00,106.45,190.75,9.0,6.46,14.45,13.41,14.09,0.98,1.69,9.0,1.17,11.05,23.69,32.77,24.32,61.22,0.44,191.01,753.5,148.76,0.0,22-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Mar-2020 - 00:00,77.28,143.4,8.99,7.19,15.18,13.42,14.06,0.77,1.5,0.0,0.0,0.0,0.0,0.0,24.41,61.66,0.38,145.32,754.59,239.0,0.0,23-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Mar-2020 - 00:00,51.15,102.63,8.99,7.95,16.09,13.4,14.38,0.72,1.39,0.0,0.0,0.0,0.0,0.0,24.94,64.17,0.59,115.61,754.09,253.92,0.0,24-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Mar-2020 - 00:00,73.56,147.78,9.16,16.79,24.95,13.46,14.15,0.56,1.82,0.0,0.0,0.0,0.0,0.0,26.57,58.22,0.34,154.14,752.97,244.67,0.0,25-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Mar-2020 - 00:00,78.75,166.53,8.99,7.29,15.28,13.42,15.59,0.65,1.65,0.0,0.0,0.0,0.0,0.0,27.69,56.47,0.22,189.66,751.89,221.15,0.0,26-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Mar-2020 - 00:00,58.27,153.42,9.0,7.28,15.13,13.42,15.64,0.61,1.78,0.0,0.0,0.0,0.0,0.0,28.24,49.56,0.27,233.83,752.18,269.26,0.0,27-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Mar-2020 - 00:00,58.46,167.15,9.0,7.18,15.18,13.42,12.98,0.53,2.7,0.0,0.0,0.0,0.0,0.0,28.64,47.35,0.44,271.19,753.19,258.16,0.0,28-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Mar-2020 - 00:00,33.02,105.08,9.01,7.13,15.13,13.42,12.26,0.34,1.5,0.0,0.0,0.0,0.0,0.0,27.47,52.06,0.4,247.29,752.55,269.64,0.0,29-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Mar-2020 - 00:00,33.98,99.31,9.0,7.22,15.22,13.43,11.86,0.31,2.85,0.0,0.0,0.0,0.0,0.0,27.54,39.85,0.38,249.8,751.57,280.89,0.0,30-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-Mar-2020 - 00:00,43.42,100.74,9.0,7.17,15.17,13.42,11.61,0.42,3.45,1.61,0.23,2.33,5.49,7.98,27.43,33.38,0.42,282.05,752.21,277.97,0.0,31-Mar-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
31-Mar-2020 - 00:00,57.61,105.73,9.0,7.25,15.25,13.42,12.48,0.58,2.99,7.82,1.38,13.37,28.92,44.56,27.23,40.69,0.3,237.79,752.48,279.23,0.0,01-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Apr-2020 - 00:00,74.0,108.59,9.0,7.16,15.16,13.42,12.41,0.84,2.77,11.72,1.65,14.17,30.09,44.72,29.01,37.42,0.23,219.15,751.28,258.95,0.0,02-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Apr-2020 - 00:00,62.65,99.01,9.0,7.25,15.25,13.42,12.39,0.68,2.79,9.15,1.51,13.32,28.24,42.73,30.35,36.8,0.28,268.02,750.37,255.89,0.0,03-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Apr-2020 - 00:00,60.45,88.27,8.99,7.21,15.04,13.42,11.19,0.43,4.32,2.41,0.53,5.42,11.72,18.74,29.64,27.04,0.5,298.93,752.08,284.52,0.0,04-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Apr-2020 - 00:00,70.64,110.98,9.0,7.34,15.34,13.42,11.33,0.59,3.53,3.36,0.53,4.99,11.04,16.73,28.46,27.1,0.23,243.69,753.0,285.38,0.0,05-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Apr-2020 - 00:00,54.22,114.52,9.0,7.2,15.2,13.42,11.67,0.64,3.27,5.42,0.63,6.38,13.5,20.76,28.76,27.53,0.25,252.07,753.24,275.41,0.0,06-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Apr-2020 - 00:00,51.75,161.01,9.0,7.22,15.22,13.42,11.17,0.62,3.22,0.0,0.0,0.0,0.0,0.0,29.67,28.4,0.39,255.15,751.64,262.92,0.0,07-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Apr-2020 - 00:00,46.67,124.99,9.0,7.3,15.31,13.42,11.06,0.61,2.6,0.0,0.0,0.0,0.0,0.0,30.51,27.54,0.3,251.51,750.11,271.57,0.0,08-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Apr-2020 - 00:00,44.99,146.79,9.0,7.2,15.2,13.42,10.99,0.63,3.07,0.0,0.0,0.0,0.0,0.0,29.99,29.39,0.34,256.0,750.97,233.57,0.0,09-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Apr-2020 - 00:00,41.66,142.59,8.99,6.81,14.8,13.42,11.09,0.7,3.73,0.0,0.0,0.0,0.0,0.0,30.13,33.5,0.3,267.05,751.61,249.41,0.0,10-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Apr-2020 - 00:00,37.56,115.7,8.99,7.12,15.1,13.42,10.99,0.67,4.76,0.0,0.0,0.0,0.0,0.0,31.47,27.47,0.31,223.1,752.85,265.06,0.0,11-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Apr-2020 - 00:00,45.39,201.36,8.99,7.23,15.06,13.42,10.77,0.77,3.55,0.0,0.0,0.0,0.0,0.0,29.87,46.95,0.47,134.42,753.27,244.95,0.0,12-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Apr-2020 - 00:00,39.98,213.96,8.99,7.08,14.77,13.42,10.9,0.69,4.1,0.0,0.0,0.0,0.0,0.0,29.67,48.93,0.58,103.69,751.94,241.88,0.0,13-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Apr-2020 - 00:00,40.17,160.72,8.99,7.18,15.01,13.42,11.1,0.6,4.27,0.0,0.0,0.0,0.0,0.0,29.88,56.42,0.63,103.96,751.16,238.23,0.0,14-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Apr-2020 - 00:00,37.33,228.27,9.01,7.21,15.22,13.42,10.6,0.64,5.07,0.0,0.0,0.0,0.0,0.0,31.35,54.89,0.58,99.72,751.64,232.42,0.0,15-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Apr-2020 - 00:00,22.27,181.79,9.0,7.11,15.11,13.42,10.48,0.48,2.81,0.0,0.0,0.0,0.0,0.0,27.72,58.86,0.71,102.63,752.27,203.4,0.0,16-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Apr-2020 - 00:00,21.49,145.04,9.0,7.24,15.24,13.42,10.37,0.56,4.06,0.0,0.0,0.0,0.0,0.0,28.05,64.19,0.63,97.15,750.13,252.8,0.0,17-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Apr-2020 - 00:00,25.74,162.03,9.0,7.23,15.23,13.41,10.01,0.6,4.3,0.71,0.11,1.18,2.69,3.7,29.01,66.88,0.72,90.92,749.61,245.44,0.0,18-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Apr-2020 - 00:00,30.67,173.94,8.99,7.3,15.29,13.42,10.24,0.53,2.94,0.0,0.0,0.0,0.0,0.0,29.42,65.68,0.57,149.56,750.76,207.08,0.0,19-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Apr-2020 - 00:00,33.16,155.04,9.0,7.17,15.17,13.42,10.23,0.62,3.86,0.0,0.0,0.0,0.0,0.0,30.23,65.22,0.58,91.95,750.01,239.44,0.0,20-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Apr-2020 - 00:00,17.53,154.39,9.0,7.24,15.24,13.42,10.57,0.53,3.34,0.0,0.0,0.0,0.0,0.0,27.87,63.72,0.56,110.46,751.13,189.89,0.0,21-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Apr-2020 - 00:00,12.89,99.5,9.01,7.25,15.26,13.42,9.81,0.46,3.16,0.0,0.0,0.0,0.0,0.0,26.14,66.02,0.96,92.76,751.82,245.35,0.0,22-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Apr-2020 - 00:00,13.86,115.83,8.99,7.28,15.27,13.42,9.87,0.44,3.83,0.0,0.0,0.0,0.0,0.0,26.75,59.74,0.62,74.82,751.62,276.07,0.0,23-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Apr-2020 - 00:00,28.56,140.09,9.0,7.14,15.14,13.42,10.22,0.62,4.77,0.0,0.0,0.0,0.0,0.0,27.83,65.65,0.62,81.9,750.54,249.87,0.0,24-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Apr-2020 - 00:00,16.9,97.47,9.0,7.37,15.37,13.42,10.38,0.51,3.36,0.0,0.0,0.0,0.0,0.0,25.74,74.52,0.61,90.6,750.06,134.5,0.0,25-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Apr-2020 - 00:00,18.07,125.66,9.0,7.18,15.18,13.42,9.61,0.46,3.9,0.0,0.0,0.0,0.0,0.0,26.19,75.24,0.72,95.47,750.8,230.84,0.0,26-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Apr-2020 - 00:00,10.27,84.91,9.0,7.28,15.28,13.42,10.2,0.41,3.44,0.0,0.0,0.0,0.0,0.0,23.48,84.05,0.67,99.51,752.99,126.98,0.0,27-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Apr-2020 - 00:00,14.5,89.88,9.0,7.2,15.19,13.42,10.25,0.51,3.42,0.0,0.0,0.0,0.0,0.0,25.97,76.79,0.58,106.29,754.04,177.98,0.0,28-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Apr-2020 - 00:00,8.93,68.63,9.0,7.17,15.17,13.42,9.82,0.38,4.16,0.0,0.0,0.0,0.0,0.0,25.31,75.7,0.77,89.0,753.45,206.36,0.0,29-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Apr-2020 - 00:00,9.97,65.64,9.01,7.25,15.09,13.42,8.96,0.41,5.95,1.55,0.25,3.12,6.87,9.61,26.79,69.68,0.5,92.55,752.05,266.64,0.0,30-Apr-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-Apr-2020 - 00:00,25.11,50.66,9.0,7.28,15.28,13.42,8.59,0.53,4.41,5.36,0.87,10.32,21.09,31.46,28.8,66.76,0.54,89.02,752.02,255.35,0.0,01-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-May-2020 - 00:00,28.02,51.38,9.0,7.3,15.3,13.42,9.67,0.57,2.94,5.59,0.86,10.11,21.87,31.04,26.31,75.56,0.57,103.08,751.49,11.95,0.0,02-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-May-2020 - 00:00,,,,,0.0,,,0.01,24.29,0.0,0.0,0.0,0.0,0.0,29.82,62.0,0.59,113.0,752.35,769.4,0.0,04-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-May-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,05-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-May-2020 - 00:00,9.2,117.13,,,0.0,,1.05,0.16,5.12,1.38,0.27,3.33,6.48,9.3,26.26,77.55,0.55,100.29,750.81,17.72,0.0,06-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-May-2020 - 00:00,12.43,276.23,,,0.0,,4.31,0.44,5.1,4.01,0.9,10.95,21.34,31.66,27.42,68.7,0.43,133.44,750.81,287.99,0.0,07-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-May-2020 - 00:00,17.89,229.46,5.07,0.23,1.53,,4.1,0.53,9.44,4.5,0.69,8.04,15.91,22.99,26.15,72.95,0.49,88.73,750.93,236.72,0.0,08-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
