from date,Toluene,Benzene,AT,RH,BP,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,station
22-Jan-2020 - 00:00,12.97,4.15,14.59,87.1,,3.62,21.84,0.1,0.46,248.51,0.68,63.49,164.08,124.22,15.67,134.32,6.01,23-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Jan-2020 - 00:00,2.99,0.0,14.98,78.51,,0.0,14.56,0.09,0.45,271.82,0.57,5.02,86.28,49.44,23.52,62.83,7.83,24-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Jan-2020 - 00:00,13.87,3.7,14.93,78.36,,2.35,13.77,0.1,0.47,260.62,0.69,33.89,98.66,65.35,10.39,68.46,4.53,25-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Jan-2020 - 00:00,10.11,1.94,15.6,85.51,,3.61,12.6,0.09,0.42,212.73,0.54,52.68,169.05,138.03,4.8,102.6,7.06,26-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Jan-2020 - 00:00,10.18,4.02,14.17,93.5,,3.38,16.47,0.09,0.45,276.41,0.84,44.7,162.87,81.59,4.49,124.82,7.54,27-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Jan-2020 - 00:00,26.17,8.28,17.04,81.72,,6.93,15.59,0.09,0.48,256.22,1.13,42.98,175.19,120.23,6.55,145.38,5.89,28-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Jan-2020 - 00:00,6.48,2.68,17.69,90.42,,3.61,12.47,0.09,0.48,118.31,0.97,18.79,44.08,38.01,8.2,121.23,3.49,29-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Jan-2020 - 00:00,0.19,0.0,18.49,90.53,,0.0,12.35,0.06,0.42,193.24,2.26,5.05,14.97,12.0,6.75,103.05,1.33,30-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Jan-2020 - 00:00,2.74,0.0,17.14,77.79,,0.0,12.38,0.01,0.4,279.53,3.72,2.93,16.74,11.16,5.2,42.65,1.85,31-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
31-Jan-2020 - 00:00,11.8,0.86,15.79,72.25,,2.91,12.28,0.0,0.44,274.92,4.04,18.39,22.63,26.68,4.4,65.61,2.84,01-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Feb-2020 - 00:00,1.94,0.0,15.87,70.81,,0.24,12.03,-0.0,0.42,296.43,4.08,5.96,22.91,16.92,4.49,69.16,3.45,02-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Feb-2020 - 00:00,5.33,0.08,14.85,77.69,,0.67,12.94,0.03,0.44,272.38,3.64,4.03,32.9,18.97,4.34,59.1,4.01,03-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Feb-2020 - 00:00,13.6,1.64,15.3,77.26,,3.62,11.7,0.09,0.43,271.21,3.66,27.77,45.55,45.71,4.36,76.9,4.69,04-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Feb-2020 - 00:00,15.49,2.64,15.4,79.52,,5.56,12.1,0.1,0.42,205.15,3.01,54.77,65.93,78.88,4.33,103.51,2.79,05-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Feb-2020 - 00:00,2.73,1.0,13.13,84.31,,1.47,5.84,0.1,0.44,275.19,2.86,6.35,36.95,24.73,2.76,98.06,0.88,06-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Feb-2020 - 00:00,2.44,0.27,18.69,58.02,,1.76,12.94,0.01,0.4,137.93,1.58,29.63,48.63,49.57,3.25,95.15,2.73,07-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Feb-2020 - 00:00,2.35,0.05,15.74,66.67,,0.85,1.28,0.06,0.43,189.63,1.34,6.59,53.05,33.22,5.14,76.43,5.17,08-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Feb-2020 - 00:00,2.17,0.07,15.83,64.44,,1.07,13.19,0.04,0.45,271.7,1.5,14.92,45.71,36.25,2.75,94.05,1.0,09-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Feb-2020 - 00:00,5.32,0.06,17.04,70.58,,0.98,11.9,0.0,0.41,239.36,1.52,12.87,49.75,36.76,3.56,109.42,1.39,10-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Feb-2020 - 00:00,1.5,0.11,17.41,66.16,,0.0,11.87,-0.02,0.45,278.88,1.4,6.6,43.91,28.63,5.36,105.27,1.95,11-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Feb-2020 - 00:00,5.04,0.02,16.86,63.3,,0.41,11.42,0.09,0.47,208.78,1.3,12.05,46.49,34.37,2.39,95.06,5.73,12-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Feb-2020 - 00:00,1.77,0.0,17.86,69.15,,0.0,10.73,0.09,0.45,272.21,1.14,1.51,35.64,20.11,2.95,98.92,8.85,13-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Feb-2020 - 00:00,1.83,0.07,19.72,68.16,,0.73,10.98,0.1,0.45,273.23,1.09,4.22,32.3,20.42,4.34,90.6,6.73,14-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Feb-2020 - 00:00,1.05,0.0,22.1,59.56,,0.0,14.02,0.1,0.43,275.99,0.49,1.73,18.3,10.78,3.83,228.44,25.08,15-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Feb-2020 - 00:00,9.24,0.17,19.5,55.15,,1.86,12.45,0.11,0.48,273.5,1.02,20.24,36.69,35.7,2.92,65.89,8.6,16-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Feb-2020 - 00:00,8.43,0.16,19.81,70.17,,1.99,11.41,0.1,0.44,254.22,1.29,14.45,56.6,41.67,3.18,83.96,6.56,17-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Feb-2020 - 00:00,1.9,0.03,20.74,73.12,,0.98,12.11,0.1,0.42,275.28,1.27,2.42,39.32,22.85,2.89,107.77,6.49,18-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Feb-2020 - 00:00,7.98,0.0,20.42,55.01,,0.81,11.56,0.09,0.48,267.49,1.04,6.16,34.1,22.95,26.31,60.86,6.81,19-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Feb-2020 - 00:00,12.93,0.2,20.83,58.3,,3.32,9.71,0.09,0.46,192.08,1.7,25.43,68.4,56.71,31.38,78.22,9.02,20-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Feb-2020 - 00:00,0.68,0.0,22.1,55.65,,0.32,11.81,0.08,0.5,125.65,1.18,1.94,26.54,15.64,50.3,76.59,5.36,21-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Feb-2020 - 00:00,0.0,0.0,20.7,77.26,,0.0,20.73,0.1,0.47,122.33,1.19,0.29,9.78,5.35,52.47,69.37,5.78,22-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Feb-2020 - 00:00,0.3,0.0,20.46,82.14,,0.0,23.68,0.09,0.48,107.02,1.1,2.26,17.02,10.83,32.93,35.46,3.17,23-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Feb-2020 - 00:00,2.36,2.49,21.88,83.69,,1.42,20.31,0.09,0.49,108.25,1.53,5.76,31.01,20.99,5.15,67.72,3.54,24-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Feb-2020 - 00:00,1.55,0.0,21.56,89.76,,0.04,22.78,0.11,0.39,154.15,1.71,3.39,30.15,18.75,3.63,78.84,3.83,25-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Feb-2020 - 00:00,0.04,0.0,19.53,84.99,,0.0,30.74,0.1,0.38,126.99,0.96,2.55,12.01,7.68,4.33,53.58,10.23,26-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Feb-2020 - 00:00,0.59,0.0,19.98,78.61,,0.32,29.95,0.09,0.45,119.43,1.3,6.29,30.32,21.16,2.9,32.52,4.84,27-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Feb-2020 - 00:00,1.01,0.02,20.9,81.12,,0.98,23.46,0.09,0.46,141.68,1.41,7.75,29.48,21.88,2.46,38.85,5.1,28-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Feb-2020 - 00:00,47.98,23.06,21.82,78.05,,15.8,24.66,0.08,0.5,123.4,1.42,6.85,36.0,24.63,19.7,53.56,5.42,29-Feb-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Feb-2020 - 00:00,68.43,36.77,23.3,72.71,,19.51,23.35,0.09,0.51,133.95,1.44,9.29,33.7,25.35,25.95,65.45,6.47,01-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Mar-2020 - 00:00,63.36,31.07,24.01,74.31,,17.15,27.56,0.09,0.41,168.08,1.25,9.08,33.81,25.25,27.42,43.05,5.73,02-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Mar-2020 - 00:00,75.5,37.15,24.69,72.05,,14.89,27.76,0.1,0.43,201.64,1.24,7.73,38.39,26.59,22.34,56.81,5.69,03-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Mar-2020 - 00:00,40.3,25.49,25.49,64.89,999.75,10.69,28.17,0.09,0.46,236.52,1.22,6.77,44.3,28.98,26.3,53.8,5.44,04-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Mar-2020 - 00:00,29.74,17.57,24.66,56.19,,5.06,23.19,0.08,0.48,123.78,1.22,7.4,37.16,25.65,34.06,66.51,4.73,05-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Mar-2020 - 00:00,18.48,11.69,23.19,74.92,,3.75,25.49,0.1,0.44,137.55,1.14,3.54,24.48,15.85,27.54,53.74,5.82,06-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Mar-2020 - 00:00,9.7,6.61,21.73,77.95,,1.78,24.95,0.14,0.44,126.52,1.11,3.32,15.84,10.88,29.07,28.23,4.24,07-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Mar-2020 - 00:00,19.08,7.84,20.43,87.06,,4.27,61.08,0.1,0.43,154.89,1.38,7.81,20.91,17.28,29.83,30.17,5.49,08-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Mar-2020 - 00:00,15.76,7.6,20.44,76.93,,6.48,65.88,0.09,0.42,263.21,1.08,4.01,20.45,14.09,25.42,27.5,6.17,09-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Mar-2020 - 00:00,14.45,8.75,20.53,66.37,,6.2,68.59,0.08,0.45,277.79,1.2,3.39,20.81,13.78,29.74,37.02,5.1,10-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Mar-2020 - 00:00,21.64,14.59,18.46,63.36,,3.82,29.75,0.07,0.47,241.21,1.28,3.73,25.83,16.72,25.73,71.25,6.17,11-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Mar-2020 - 00:00,22.89,11.75,19.41,74.66,,3.79,31.52,0.08,0.49,118.64,1.25,5.89,35.44,23.56,25.97,56.04,5.04,12-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Mar-2020 - 00:00,23.17,9.91,23.69,71.87,,3.9,20.68,0.08,0.54,119.25,1.26,11.14,34.05,26.82,27.26,43.96,9.72,13-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Mar-2020 - 00:00,6.1,4.25,18.56,91.56,,0.64,24.41,0.11,0.45,110.53,1.04,3.62,14.17,10.43,29.41,24.28,4.68,14-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Mar-2020 - 00:00,12.39,6.69,18.26,88.05,,1.47,29.52,0.09,0.4,152.7,1.14,8.46,22.64,18.73,22.43,28.91,4.55,15-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Mar-2020 - 00:00,3.93,3.18,19.4,85.06,,1.84,27.39,0.08,0.41,161.39,1.17,3.56,18.98,12.93,28.01,33.0,6.21,16-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Mar-2020 - 00:00,8.72,1.44,19.5,71.17,,7.66,27.73,0.08,0.42,279.77,1.11,5.38,28.15,19.21,28.52,43.41,4.87,17-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Mar-2020 - 00:00,0.03,0.0,20.99,62.22,,1.6,37.16,0.08,0.46,252.74,1.19,13.11,35.07,29.15,34.03,53.95,3.68,18-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Mar-2020 - 00:00,0.0,0.0,22.45,54.86,,0.0,36.25,0.06,0.45,274.63,1.07,3.75,29.68,18.32,39.55,46.7,3.68,19-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Mar-2020 - 00:00,0.0,0.0,23.74,57.64,,0.0,34.08,0.08,0.46,294.71,1.33,13.95,32.63,27.17,32.59,67.39,4.57,20-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Mar-2020 - 00:00,0.0,0.0,24.69,62.47,999.12,0.0,30.38,0.09,0.47,145.92,1.34,18.5,56.08,44.62,27.12,97.3,5.4,21-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Mar-2020 - 00:00,0.0,0.0,24.4,53.71,,0.0,29.23,0.09,0.43,195.67,0.98,4.73,22.16,16.81,27.17,49.51,6.43,22-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Mar-2020 - 00:00,0.0,0.0,24.68,55.56,,0.0,31.46,0.09,0.46,206.55,1.07,6.45,7.99,7.96,29.48,41.32,5.86,23-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Mar-2020 - 00:00,0.0,0.0,24.91,57.38,,0.0,33.93,0.09,0.45,166.09,1.05,6.38,7.82,8.1,32.67,51.98,6.52,24-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Mar-2020 - 00:00,0.0,0.0,26.25,55.6,999.41,0.0,31.75,0.09,0.48,183.9,1.1,6.96,12.81,11.73,29.42,70.02,6.84,25-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Mar-2020 - 00:00,0.0,0.0,27.43,49.27,999.38,0.0,35.84,0.09,0.41,261.71,0.89,6.33,7.2,7.3,25.2,65.1,6.49,26-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Mar-2020 - 00:00,0.0,0.0,27.11,46.12,,0.0,34.28,0.09,0.38,283.82,0.89,6.21,2.1,4.68,23.13,38.02,6.75,27-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Mar-2020 - 00:00,0.0,0.0,21.36,79.12,,0.0,11.24,0.09,0.37,277.62,0.9,6.48,3.75,6.64,12.51,38.68,8.54,28-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Mar-2020 - 00:00,0.0,0.0,24.37,66.35,,0.0,56.06,0.09,0.36,283.77,0.9,6.17,1.01,4.85,21.37,23.0,6.04,29-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Mar-2020 - 00:00,0.0,0.0,24.73,53.52,999.34,0.0,43.99,0.08,0.37,287.44,0.86,6.24,3.15,4.74,25.85,27.57,8.34,30-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Mar-2020 - 00:00,0.0,0.0,24.81,41.76,999.85,0.0,41.25,0.1,0.4,287.14,0.9,6.19,3.33,5.35,35.26,29.11,8.37,31-Mar-2020 - 00:00,"Central School, Lucknow - CPCB"
31-Mar-2020 - 00:00,5.04,4.62,25.53,38.6,999.44,0.8,38.07,0.09,0.47,279.47,0.86,4.44,6.3,6.85,17.61,33.01,8.11,01-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Apr-2020 - 00:00,7.65,8.47,28.3,39.43,998.42,1.07,36.87,0.09,0.44,267.27,0.87,2.64,10.15,7.49,7.1,55.95,9.38,02-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Apr-2020 - 00:00,4.13,4.06,27.37,38.18,999.26,0.75,38.77,0.08,0.43,288.17,0.84,2.4,6.92,5.6,6.86,33.35,7.74,03-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Apr-2020 - 00:00,4.5,3.69,25.45,32.14,,0.88,41.76,0.09,0.45,287.21,0.82,2.47,8.06,6.26,9.95,20.94,7.34,04-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Apr-2020 - 00:00,4.79,4.82,25.85,32.33,,0.98,41.51,0.1,0.44,280.14,0.84,2.47,8.52,6.5,10.26,21.15,7.13,05-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Apr-2020 - 00:00,5.67,5.09,27.26,32.16,,1.08,40.56,0.1,0.48,276.0,0.87,2.56,9.36,7.03,10.7,30.86,7.66,06-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Apr-2020 - 00:00,3.97,3.81,29.07,30.62,999.23,0.8,38.44,0.1,0.44,290.98,0.84,2.5,7.78,6.13,12.17,22.89,6.41,07-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Apr-2020 - 00:00,3.86,3.4,29.05,30.3,998.32,0.82,39.07,0.1,0.44,282.88,0.84,2.36,7.29,5.75,7.92,24.55,5.37,08-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Apr-2020 - 00:00,9.29,5.9,28.52,32.87,999.06,1.89,25.19,0.09,0.45,242.48,0.92,3.75,18.62,12.9,6.1,28.79,7.81,09-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Apr-2020 - 00:00,4.34,4.27,28.47,30.81,999.51,0.73,39.41,0.06,0.46,264.42,0.81,2.46,8.89,6.69,7.5,24.15,7.48,10-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Apr-2020 - 00:00,6.07,5.02,28.01,32.49,,0.95,36.31,0.03,0.49,274.18,0.88,2.57,14.14,9.55,11.99,31.03,8.63,11-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Apr-2020 - 00:00,11.8,9.58,29.97,34.23,999.78,2.19,34.89,0.04,0.51,283.33,0.88,3.12,20.39,13.34,8.24,42.54,9.1,12-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Apr-2020 - 00:00,6.42,5.36,30.62,32.35,998.17,1.49,37.66,0.09,0.48,268.05,0.82,2.48,11.33,8.01,6.34,35.39,7.55,13-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Apr-2020 - 00:00,14.24,13.56,30.4,33.49,997.17,5.01,37.09,0.09,0.5,257.36,1.06,2.93,19.18,12.54,7.96,58.58,8.03,14-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Apr-2020 - 00:00,12.76,14.59,30.83,41.33,997.98,12.59,32.92,0.1,0.47,149.2,0.96,2.81,16.45,11.0,8.33,79.29,6.68,15-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Apr-2020 - 00:00,13.64,10.79,30.39,42.42,998.13,3.67,27.69,0.09,0.51,188.01,1.15,3.52,18.59,12.7,9.98,53.46,9.25,16-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Apr-2020 - 00:00,10.81,7.84,29.65,50.18,997.28,2.8,33.78,0.02,0.48,122.98,1.01,2.85,17.91,11.8,8.19,91.62,13.79,17-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Apr-2020 - 00:00,15.4,12.72,30.77,43.77,997.24,3.5,26.86,0.02,0.47,206.93,1.13,4.39,26.2,17.26,5.66,39.24,17.45,18-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Apr-2020 - 00:00,5.61,5.66,30.65,38.44,998.38,1.21,34.28,-0.01,0.45,174.48,1.0,5.89,13.7,11.68,7.72,73.34,15.25,19-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Apr-2020 - 00:00,8.18,7.11,30.69,40.06,998.06,1.26,29.0,-0.02,0.4,168.33,1.13,10.46,19.66,17.72,7.59,48.91,19.17,20-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Apr-2020 - 00:00,4.43,4.52,28.87,41.11,999.5,1.01,28.76,0.09,0.36,200.9,0.98,2.46,11.17,7.91,7.42,40.87,6.93,21-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Apr-2020 - 00:00,2.78,2.08,26.78,46.91,998.9,0.7,36.66,0.07,0.42,161.24,0.89,2.37,8.79,6.5,9.15,74.89,10.06,22-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Apr-2020 - 00:00,3.29,3.4,27.98,47.14,998.47,0.87,36.15,0.08,0.42,165.34,0.87,2.45,9.86,7.2,8.76,61.72,7.17,23-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Apr-2020 - 00:00,4.99,5.74,26.89,48.08,998.24,1.05,15.08,0.06,0.51,144.17,0.96,2.73,14.68,9.99,10.18,30.44,5.52,24-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Apr-2020 - 00:00,3.99,4.29,30.62,38.64,995.29,0.99,6.04,0.07,0.5,123.61,0.95,2.31,12.35,8.42,13.29,84.46,10.24,25-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Apr-2020 - 00:00,2.85,3.78,27.53,61.94,997.36,0.72,23.24,0.02,0.47,111.94,1.0,2.5,10.74,7.7,12.31,42.15,13.88,26-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Apr-2020 - 00:00,1.28,1.8,24.83,77.17,999.06,0.44,29.16,0.09,0.46,139.06,0.9,2.36,6.75,5.44,10.91,49.44,6.58,27-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Apr-2020 - 00:00,1.42,1.98,24.6,77.01,,0.48,40.55,0.09,0.45,109.0,0.83,2.47,7.88,6.17,9.35,35.92,6.36,28-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Apr-2020 - 00:00,1.69,2.03,26.52,67.52,999.37,0.49,35.88,0.08,0.43,119.86,0.87,2.43,7.5,5.93,9.0,33.2,7.27,29-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Apr-2020 - 00:00,1.62,1.61,26.66,67.43,999.17,0.47,31.08,0.07,0.45,116.63,0.84,2.45,7.54,5.77,12.22,39.34,7.99,30-Apr-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Apr-2020 - 00:00,3.21,2.4,29.41,51.91,998.56,0.65,30.63,0.07,0.44,139.82,0.9,2.42,9.56,7.02,11.81,38.4,6.74,01-May-2020 - 00:00,"Central School, Lucknow - CPCB"
01-May-2020 - 00:00,1.12,1.2,25.11,64.09,999.27,0.29,31.42,0.07,0.49,114.34,0.9,2.27,5.34,4.66,17.11,49.38,5.1,02-May-2020 - 00:00,"Central School, Lucknow - CPCB"
