from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
20-Sep-2020 - 00:00,8.74,3.82,6.72,2.54,10.92,0.34,15.63,9.6,15.35,0.1,27.67,80.24,707.67,0.39,215.2,21-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Sep-2020 - 00:00,8.25,3.87,6.49,2.57,9.72,0.36,15.24,12.15,23.69,0.1,27.45,73.56,707.58,0.43,212.85,22-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Sep-2020 - 00:00,8.89,3.94,6.82,2.58,10.78,0.44,20.42,13.4,30.92,0.1,27.56,75.15,708.68,0.5,206.78,23-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Sep-2020 - 00:00,12.01,4.06,8.45,2.53,10.47,0.39,20.55,18.7,50.1,0.14,27.46,70.93,710.68,0.74,212.52,24-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Sep-2020 - 00:00,12.04,4.29,8.5,2.57,10.69,0.49,19.83,18.54,41.57,0.1,27.3,70.89,712.3,0.93,205.92,25-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Sep-2020 - 00:00,10.06,4.53,7.47,2.6,10.29,0.41,23.02,18.09,39.47,0.1,27.27,69.16,711.76,0.58,209.51,26-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Sep-2020 - 00:00,12.8,4.51,8.84,2.49,8.9,0.44,12.41,17.96,38.98,0.11,27.6,74.52,711.8,1.14,227.19,27-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Sep-2020 - 00:00,11.56,4.45,8.28,2.62,9.9,0.58,18.09,18.38,39.33,0.13,27.61,70.04,712.14,0.97,226.3,28-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Sep-2020 - 00:00,14.94,4.6,9.99,2.51,10.14,0.47,18.21,21.93,46.39,0.15,27.41,72.09,711.43,1.5,221.19,29-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Sep-2020 - 00:00,16.83,4.94,11.08,2.61,10.5,0.62,22.17,22.76,41.35,0.14,27.56,76.64,710.95,1.63,225.71,30-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Sep-2020 - 00:00,13.46,4.46,9.21,2.52,11.18,0.62,21.0,17.68,36.4,0.14,27.55,75.3,710.42,1.34,233.04,01-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Oct-2020 - 00:00,15.98,4.45,10.62,2.6,11.01,0.65,24.55,23.15,47.55,0.22,27.45,67.38,710.56,2.03,224.23,02-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Oct-2020 - 00:00,19.88,5.22,12.63,2.53,10.97,0.6,28.77,34.56,85.61,0.14,27.38,67.52,710.6,1.33,235.15,03-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
