from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
16-Jul-2020 - 00:00,3.41,11.88,7.33,64.41,55.46,36.55,26.37,0.24,42.16,1.41,1.75,0.93,1.15,0.22,97.7,105.88,1.08,376.77,0.0,17-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Jul-2020 - 00:00,2.84,13.46,7.59,45.24,91.5,51.47,22.32,0.3,40.9,1.47,1.83,0.84,1.08,0.27,99.37,105.89,0.96,295.2,0.0,18-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Jul-2020 - 00:00,3.28,14.46,8.59,54.75,57.63,36.88,28.64,0.37,33.18,2.33,1.7,0.86,1.18,0.24,97.92,238.45,1.88,296.5,0.0,19-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
19-Jul-2020 - 00:00,3.08,12.47,6.38,48.59,40.2,23.55,24.54,0.53,36.33,1.46,1.7,0.8,1.11,0.23,99.57,294.79,2.47,209.94,0.68,20-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Jul-2020 - 00:00,3.14,8.67,5.44,42.06,31.69,16.52,21.9,0.47,67.62,1.45,1.91,0.8,1.21,0.24,99.5,193.96,0.84,332.5,0.49,21-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Jul-2020 - 00:00,3.4,15.94,7.16,48.22,36.13,23.39,21.08,1.44,70.3,2.48,7.77,1.36,1.29,0.92,99.71,147.38,1.08,241.58,0.04,22-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Jul-2020 - 00:00,3.55,14.76,8.97,36.77,37.19,24.8,29.19,0.68,43.47,4.47,19.11,4.39,2.14,2.6,99.66,172.82,0.56,157.48,0.24,23-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Jul-2020 - 00:00,3.33,15.18,9.0,45.73,49.36,33.19,26.13,0.44,68.65,4.81,15.98,3.53,1.55,2.15,89.99,224.3,0.63,397.28,0.01,24-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Jul-2020 - 00:00,3.29,13.48,8.08,62.52,68.56,50.8,28.57,0.31,75.13,4.9,15.58,2.43,1.34,1.64,99.3,140.51,0.72,319.79,0.02,25-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
25-Jul-2020 - 00:00,3.18,11.5,6.96,74.46,50.74,39.57,29.27,1.18,52.72,4.33,14.38,1.75,1.01,1.26,99.23,100.51,0.67,337.76,0.0,26-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Jul-2020 - 00:00,3.24,14.86,8.77,79.26,57.78,38.93,32.45,0.99,65.86,4.72,18.98,2.23,1.45,1.55,95.47,147.3,0.49,326.99,0.0,27-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Jul-2020 - 00:00,3.14,14.01,8.24,83.08,72.34,37.15,31.95,0.62,74.31,4.95,15.86,2.21,1.1,1.43,96.43,235.53,0.92,340.89,0.0,28-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Jul-2020 - 00:00,3.52,15.36,9.25,71.85,67.64,26.92,32.1,0.32,54.14,4.73,15.29,2.17,0.98,1.45,93.38,242.14,1.0,392.23,0.0,29-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Jul-2020 - 00:00,3.16,15.06,7.78,70.43,70.8,24.7,24.95,0.75,54.04,3.14,7.41,1.5,0.85,1.31,96.47,179.38,1.14,327.43,0.0,30-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Jul-2020 - 00:00,3.13,17.4,8.74,52.86,35.56,24.05,21.63,0.63,50.25,4.15,4.46,2.99,2.11,1.41,99.49,125.02,0.74,131.34,0.33,31-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
31-Jul-2020 - 00:00,3.23,10.87,6.67,40.07,47.28,34.49,25.78,1.14,52.47,2.93,12.54,1.34,0.95,0.82,98.87,130.89,0.55,338.89,0.0,01-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Aug-2020 - 00:00,3.37,12.76,7.75,59.04,42.93,24.8,23.08,0.67,48.18,2.74,10.8,1.48,0.76,0.92,99.63,170.79,0.57,226.18,0.14,02-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Aug-2020 - 00:00,3.38,13.25,8.03,64.12,48.29,27.12,19.29,1.13,34.59,2.93,11.17,1.7,0.7,0.9,99.31,229.53,0.59,390.25,0.0,03-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Aug-2020 - 00:00,3.27,11.68,7.12,74.92,61.61,33.0,4.23,1.21,38.97,2.97,10.51,1.28,0.54,0.76,98.69,221.47,0.72,369.08,0.0,04-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Aug-2020 - 00:00,3.36,10.31,6.49,67.46,51.32,23.38,15.6,1.17,45.24,1.81,9.9,1.06,0.44,0.62,98.1,190.31,0.74,368.73,0.0,05-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Aug-2020 - 00:00,3.34,11.51,7.1,75.61,55.47,34.55,23.12,0.22,40.94,2.32,9.45,1.01,0.52,0.64,99.13,110.49,0.83,367.75,0.0,06-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Aug-2020 - 00:00,3.2,10.86,6.66,69.47,37.84,18.84,22.32,0.48,34.68,1.89,7.68,0.8,0.39,0.53,87.37,104.89,1.1,393.6,0.02,07-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Aug-2020 - 00:00,3.12,8.55,5.37,42.81,27.41,18.59,30.83,1.35,6.73,1.43,6.32,0.56,0.28,0.36,98.97,121.84,1.31,382.96,0.0,08-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Aug-2020 - 00:00,3.23,14.76,8.71,52.6,56.27,40.27,28.1,1.18,8.21,3.11,10.65,1.41,0.95,0.82,97.09,160.69,0.5,278.22,0.0,09-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Aug-2020 - 00:00,3.34,10.57,6.6,43.55,43.04,27.86,30.22,0.69,9.3,2.14,9.26,1.09,0.47,0.58,99.61,222.72,0.87,135.51,0.0,10-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Aug-2020 - 00:00,3.26,12.17,6.86,45.11,55.38,41.63,23.95,1.01,9.45,2.38,10.93,0.89,0.53,0.6,99.56,137.22,0.66,344.65,0.01,11-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Aug-2020 - 00:00,3.27,10.55,6.54,45.63,41.61,31.71,18.6,0.51,9.25,2.56,9.64,1.03,0.6,0.84,99.51,191.03,0.56,265.44,0.0,12-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Aug-2020 - 00:00,3.32,9.69,6.12,48.46,51.24,24.53,24.6,1.66,10.47,1.56,8.57,0.99,0.42,0.56,99.19,251.48,0.98,287.42,0.0,13-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Aug-2020 - 00:00,3.33,9.01,5.78,44.43,25.82,18.39,24.53,0.83,11.05,2.14,11.28,0.61,0.3,0.6,99.27,136.06,0.95,275.23,0.16,14-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Aug-2020 - 00:00,3.04,8.54,5.3,44.05,26.47,17.56,23.15,1.56,10.8,1.19,3.47,0.3,0.35,0.18,99.54,108.85,0.79,310.55,0.0,15-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
15-Aug-2020 - 00:00,3.15,8.51,5.38,31.07,41.91,32.74,26.98,0.77,12.17,1.58,1.91,0.89,1.24,0.21,99.36,112.1,0.68,362.13,0.0,16-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
16-Aug-2020 - 00:00,3.2,9.81,6.04,31.52,39.48,31.36,26.89,1.07,12.02,1.7,1.62,0.88,1.23,0.21,,126.14,0.83,3.67,0.0,17-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Aug-2020 - 00:00,3.64,13.61,8.19,34.04,38.75,29.26,16.57,1.65,10.44,2.03,1.3,0.6,0.71,0.19,99.48,126.32,0.74,197.92,0.28,18-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Aug-2020 - 00:00,3.89,15.5,9.62,42.99,49.17,33.79,27.03,1.92,11.2,5.6,41.29,1.28,0.04,0.77,99.6,168.86,0.8,274.45,0.01,19-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
