from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
09-May-2020 - 00:00,32.66,981.77,68.25,167.5,42.04,223.23,102.34,1.3,3.15,18.48,39.43,29.57,18.44,3.32,0.52,106.07,15.18,10-May-2020 - 00:00,"Narela, Delhi - DPCC"
10-May-2020 - 00:00,27.63,983.22,60.31,129.91,49.52,228.72,98.87,2.02,2.61,23.76,42.28,23.67,14.76,2.78,0.42,76.35,11.52,11-May-2020 - 00:00,"Narela, Delhi - DPCC"
11-May-2020 - 00:00,28.43,984.11,57.75,129.92,52.94,231.16,91.91,1.62,3.57,25.02,39.41,29.01,18.95,4.3,0.63,89.37,13.32,12-May-2020 - 00:00,"Narela, Delhi - DPCC"
12-May-2020 - 00:00,30.46,983.61,59.02,150.79,45.12,228.8,85.6,1.4,2.88,47.37,38.54,23.13,14.22,2.34,0.61,94.29,15.39,13-May-2020 - 00:00,"Narela, Delhi - DPCC"
13-May-2020 - 00:00,29.56,982.21,105.27,246.79,49.84,219.13,176.04,0.75,3.59,54.0,44.61,31.54,18.63,2.25,0.76,71.11,21.02,14-May-2020 - 00:00,"Narela, Delhi - DPCC"
14-May-2020 - 00:00,29.86,981.6,92.94,229.71,54.42,217.34,156.2,0.93,2.66,48.82,44.34,28.24,19.12,5.06,0.68,78.66,14.63,15-May-2020 - 00:00,"Narela, Delhi - DPCC"
15-May-2020 - 00:00,31.16,980.59,67.33,160.67,35.68,238.92,296.42,1.7,2.02,45.24,42.03,25.9,15.86,2.53,0.54,78.56,17.86,16-May-2020 - 00:00,"Narela, Delhi - DPCC"
16-May-2020 - 00:00,32.21,979.39,91.31,206.15,28.12,232.92,297.36,1.61,2.43,31.06,40.38,25.48,15.01,1.79,2.23,92.13,23.68,17-May-2020 - 00:00,"Narela, Delhi - DPCC"
17-May-2020 - 00:00,32.89,978.08,113.23,254.12,25.52,222.09,265.61,0.93,3.02,42.03,39.33,29.42,17.48,2.3,0.63,94.71,30.94,18-May-2020 - 00:00,"Narela, Delhi - DPCC"
18-May-2020 - 00:00,32.85,977.17,119.91,264.16,21.67,221.8,283.36,1.17,3.86,59.7,38.21,41.83,25.49,4.0,0.82,82.02,31.72,19-May-2020 - 00:00,"Narela, Delhi - DPCC"
19-May-2020 - 00:00,32.83,976.76,118.65,327.52,18.65,159.91,238.57,1.02,3.74,109.93,35.76,50.19,35.82,11.63,1.41,80.89,23.9,20-May-2020 - 00:00,"Narela, Delhi - DPCC"
20-May-2020 - 00:00,32.24,976.06,93.63,219.37,16.71,156.33,300.81,1.71,2.9,70.38,35.68,36.62,21.43,2.39,0.55,88.34,29.66,21-May-2020 - 00:00,"Narela, Delhi - DPCC"
21-May-2020 - 00:00,33.52,975.12,72.84,225.19,16.59,156.71,295.64,1.75,2.76,44.13,34.38,33.31,19.62,2.31,1.16,85.5,27.86,22-May-2020 - 00:00,"Narela, Delhi - DPCC"
22-May-2020 - 00:00,35.41,975.64,136.01,310.98,17.62,156.62,237.63,0.99,5.1,93.01,40.7,47.39,32.29,8.66,1.63,86.24,38.11,23-May-2020 - 00:00,"Narela, Delhi - DPCC"
23-May-2020 - 00:00,37.02,976.98,102.81,304.42,20.15,161.06,224.57,1.04,4.91,75.24,31.78,48.88,38.56,15.42,1.7,49.54,18.61,24-May-2020 - 00:00,"Narela, Delhi - DPCC"
24-May-2020 - 00:00,37.78,977.38,67.24,246.69,18.43,160.88,267.67,1.48,2.79,53.86,32.87,27.38,16.79,2.87,1.61,69.31,17.14,25-May-2020 - 00:00,"Narela, Delhi - DPCC"
25-May-2020 - 00:00,36.52,976.64,71.68,208.64,18.54,165.16,281.1,1.48,2.43,26.69,35.41,27.53,16.34,2.08,1.52,73.22,27.46,26-May-2020 - 00:00,"Narela, Delhi - DPCC"
26-May-2020 - 00:00,37.44,975.31,89.44,266.27,16.86,164.95,236.91,1.19,3.88,36.03,35.17,35.23,26.89,9.96,1.69,56.74,33.17,27-May-2020 - 00:00,"Narela, Delhi - DPCC"
27-May-2020 - 00:00,37.05,974.25,56.43,221.35,19.89,169.18,129.28,1.34,2.78,95.05,25.05,34.78,22.37,4.76,1.29,91.0,16.51,28-May-2020 - 00:00,"Narela, Delhi - DPCC"
28-May-2020 - 00:00,32.53,976.27,53.0,273.62,41.37,164.94,92.51,2.54,1.27,25.23,25.59,26.21,17.65,4.53,1.3,58.28,8.76,29-May-2020 - 00:00,"Narela, Delhi - DPCC"
29-May-2020 - 00:00,28.56,979.45,31.19,94.36,56.27,152.17,93.63,2.16,1.2,54.77,42.8,28.35,19.16,4.96,1.32,44.56,10.1,30-May-2020 - 00:00,"Narela, Delhi - DPCC"
30-May-2020 - 00:00,29.11,981.11,27.07,61.95,56.53,167.38,105.49,1.55,0.93,10.04,46.63,35.75,25.8,8.31,1.49,52.74,7.38,31-May-2020 - 00:00,"Narela, Delhi - DPCC"
31-May-2020 - 00:00,25.29,983.19,25.53,53.08,79.62,166.16,133.1,1.42,0.58,33.69,45.73,25.81,17.19,4.22,1.63,40.96,5.89,01-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
01-Jun-2020 - 00:00,27.89,983.37,46.17,115.22,66.11,170.68,77.76,0.95,1.4,76.34,47.83,24.57,15.86,3.41,1.46,50.64,15.64,02-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
02-Jun-2020 - 00:00,29.48,981.22,52.03,125.01,62.32,170.46,204.7,1.24,0.72,64.46,43.04,26.23,16.24,2.81,1.39,48.89,6.94,03-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
03-Jun-2020 - 00:00,31.14,979.33,56.79,146.96,49.18,283.92,201.99,1.07,1.19,96.72,48.57,31.09,21.42,5.99,1.31,56.48,11.8,04-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
04-Jun-2020 - 00:00,29.04,978.7,71.6,175.92,58.07,198.88,150.82,1.21,1.93,92.63,46.46,39.02,30.46,11.95,1.63,37.58,14.46,05-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
05-Jun-2020 - 00:00,28.33,978.83,48.21,116.46,62.24,290.18,93.82,1.21,1.11,46.77,46.01,28.37,18.94,4.75,1.47,52.0,10.81,06-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
06-Jun-2020 - 00:00,30.2,978.3,47.02,125.32,60.02,171.67,69.46,1.39,0.62,46.24,21.97,28.75,20.74,6.68,1.48,32.11,6.93,07-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
07-Jun-2020 - 00:00,29.75,977.93,50.26,134.54,56.66,253.38,167.32,1.38,0.77,90.43,17.36,27.24,17.77,4.02,1.52,33.77,10.57,08-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
08-Jun-2020 - 00:00,32.0,977.45,54.14,143.49,51.76,207.49,163.36,1.16,0.84,111.27,16.66,25.19,15.53,2.63,1.42,41.03,12.16,09-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
09-Jun-2020 - 00:00,34.5,977.16,78.55,205.32,44.55,160.81,167.32,0.98,1.0,109.39,17.09,39.04,31.44,13.09,1.6,39.9,15.89,10-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
10-Jun-2020 - 00:00,33.96,976.43,72.41,205.34,47.22,202.31,189.1,0.82,0.74,64.91,15.97,33.8,22.62,5.68,1.54,30.49,7.94,11-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
11-Jun-2020 - 00:00,34.39,975.59,70.97,191.88,48.29,335.69,141.09,0.92,0.58,128.1,15.47,29.06,19.5,5.0,1.27,34.39,10.06,12-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
12-Jun-2020 - 00:00,34.42,974.47,85.41,238.35,50.92,164.46,129.86,1.05,0.72,71.03,14.28,39.53,30.01,10.99,1.78,37.33,8.87,13-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
13-Jun-2020 - 00:00,31.58,975.2,72.8,202.78,62.23,159.92,124.2,1.28,0.64,40.68,13.74,39.11,27.51,8.2,2.59,20.75,6.18,14-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
14-Jun-2020 - 00:00,33.43,976.52,79.98,218.53,54.93,161.47,148.78,0.82,0.63,88.45,14.08,30.04,23.94,9.8,1.58,12.63,8.1,15-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
15-Jun-2020 - 00:00,35.79,974.45,62.92,172.36,45.55,163.32,162.52,0.96,0.51,38.49,12.9,30.01,25.31,11.5,0.57,13.21,5.41,16-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
16-Jun-2020 - 00:00,35.72,972.42,53.25,155.65,42.29,169.9,97.69,1.24,0.6,49.34,12.2,31.04,29.39,15.79,1.45,14.34,8.55,17-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
17-Jun-2020 - 00:00,34.48,972.34,42.38,128.73,52.48,171.39,79.32,1.73,0.44,34.87,11.49,28.5,22.31,8.71,1.13,14.44,5.17,18-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
18-Jun-2020 - 00:00,35.76,972.65,43.22,126.85,47.32,167.24,121.93,1.29,0.32,36.74,13.36,24.64,18.28,6.33,1.53,14.86,4.95,19-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
19-Jun-2020 - 00:00,35.24,974.53,73.19,221.91,53.48,163.73,81.07,1.61,1.48,63.84,15.41,25.99,20.31,7.95,1.51,13.21,4.34,20-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
20-Jun-2020 - 00:00,30.81,976.13,41.91,111.36,61.3,165.96,146.27,1.24,0.86,35.23,13.41,29.98,21.82,7.17,1.52,14.16,2.16,21-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
21-Jun-2020 - 00:00,30.47,976.09,50.85,128.53,68.68,163.33,124.35,1.06,1.91,40.01,14.61,32.85,28.43,13.55,1.43,17.12,3.49,22-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
22-Jun-2020 - 00:00,31.65,975.76,41.65,99.58,65.43,163.1,156.85,1.28,1.68,83.94,15.34,22.26,14.62,3.38,1.35,16.57,4.45,23-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
23-Jun-2020 - 00:00,31.83,978.05,34.19,81.91,68.18,163.79,71.95,1.72,1.53,28.98,17.36,27.45,23.21,10.56,1.84,15.4,3.03,24-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
24-Jun-2020 - 00:00,30.79,979.02,32.22,75.11,76.12,175.24,73.69,1.64,1.57,41.26,17.5,26.99,22.22,9.7,1.4,13.88,1.34,25-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
25-Jun-2020 - 00:00,31.35,976.31,46.75,119.76,72.24,163.72,196.7,0.95,2.21,100.33,18.27,30.55,22.12,7.19,1.99,15.0,1.14,26-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
26-Jun-2020 - 00:00,31.74,975.19,52.19,134.31,71.88,160.23,191.66,1.1,2.11,40.31,17.31,28.9,24.67,11.47,1.54,15.2,2.48,27-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
27-Jun-2020 - 00:00,33.57,973.74,51.23,201.74,59.36,170.74,233.32,1.39,2.97,70.57,16.1,21.11,14.88,4.51,0.72,9.72,4.55,28-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
28-Jun-2020 - 00:00,35.77,973.03,63.68,379.8,49.88,177.57,232.92,1.32,5.75,190.8,15.27,22.38,15.99,5.01,0.79,10.06,6.12,29-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
29-Jun-2020 - 00:00,33.88,975.4,50.55,236.89,56.01,153.99,159.49,1.41,9.5,287.92,13.81,24.16,20.08,8.82,0.82,15.54,4.68,30-Jun-2020 - 00:00,"Narela, Delhi - DPCC"
30-Jun-2020 - 00:00,32.35,977.2,47.61,122.93,70.56,161.59,70.65,1.75,5.88,141.26,16.99,27.67,20.39,6.96,0.53,22.11,3.21,01-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
01-Jul-2020 - 00:00,33.9,975.85,53.71,154.44,62.11,150.53,81.92,1.32,2.03,83.11,17.26,30.01,20.77,5.92,0.92,25.8,5.24,02-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
02-Jul-2020 - 00:00,35.27,973.44,70.04,190.29,56.56,151.64,122.37,1.01,2.13,145.4,16.33,37.29,28.04,10.08,0.42,32.36,2.9,03-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
03-Jul-2020 - 00:00,35.32,973.04,66.17,178.58,56.88,151.5,84.35,1.54,2.4,110.62,14.62,40.38,29.53,9.84,0.57,32.31,3.19,04-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
04-Jul-2020 - 00:00,33.04,973.59,45.33,113.25,67.01,176.51,77.62,1.91,1.32,32.76,12.46,28.36,21.22,7.57,0.92,27.26,2.37,05-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
05-Jul-2020 - 00:00,28.77,974.54,24.19,70.17,78.56,168.35,85.67,1.71,1.64,143.55,9.46,19.76,13.38,3.5,1.17,25.46,5.87,06-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
06-Jul-2020 - 00:00,31.06,973.94,46.52,112.35,75.41,162.4,65.08,1.39,2.1,163.93,9.55,27.36,19.42,5.92,1.15,24.35,6.54,07-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
07-Jul-2020 - 00:00,29.46,976.93,20.15,53.46,82.46,168.82,69.15,2.09,0.89,52.83,7.28,21.04,21.14,12.14,0.6,15.66,7.19,08-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
08-Jul-2020 - 00:00,29.54,977.7,21.17,48.4,85.82,148.06,120.99,1.48,0.78,42.15,7.04,22.09,18.7,8.44,0.57,18.96,4.43,09-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
09-Jul-2020 - 00:00,32.68,974.0,38.31,87.42,70.83,173.78,190.84,0.71,1.53,83.99,7.77,25.43,17.22,4.52,0.77,28.02,5.12,10-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
10-Jul-2020 - 00:00,34.03,971.6,27.62,75.88,63.71,159.57,241.86,1.18,0.68,53.96,6.74,19.16,12.24,2.51,0.53,25.26,2.82,11-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
11-Jul-2020 - 00:00,30.73,973.26,21.4,63.23,75.78,176.71,189.06,1.37,0.82,102.79,6.39,23.28,16.46,5.41,0.66,29.15,4.12,12-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
12-Jul-2020 - 00:00,28.84,974.58,25.17,69.54,78.76,220.33,238.36,1.45,0.99,176.34,6.26,18.45,12.0,2.7,0.84,26.33,9.61,13-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
13-Jul-2020 - 00:00,31.59,974.23,37.67,129.81,67.1,355.33,268.85,0.97,0.88,146.57,6.31,21.03,13.25,2.53,1.01,30.13,12.68,14-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
14-Jul-2020 - 00:00,33.47,975.25,51.06,181.77,65.49,216.8,191.72,0.88,1.37,109.59,6.53,21.73,16.32,5.83,1.21,29.75,7.04,15-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
15-Jul-2020 - 00:00,32.32,976.33,41.23,117.77,70.88,194.47,59.4,1.8,1.35,135.17,6.87,23.79,17.52,5.97,0.79,29.74,11.15,16-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
16-Jul-2020 - 00:00,31.95,975.54,34.73,83.64,74.75,178.85,63.47,1.72,1.43,125.62,6.74,22.38,16.38,5.53,1.02,25.56,13.73,17-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
17-Jul-2020 - 00:00,31.24,976.07,48.36,111.26,84.09,188.94,89.08,1.41,1.6,69.13,7.94,31.71,23.78,8.49,1.03,28.14,8.52,18-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
18-Jul-2020 - 00:00,30.92,977.29,32.89,84.99,84.39,198.71,63.84,1.57,1.59,133.41,7.12,22.67,17.72,6.92,0.6,21.21,9.4,19-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
19-Jul-2020 - 00:00,29.55,975.42,19.16,47.4,85.88,203.83,198.32,0.85,1.16,58.89,6.68,21.15,14.6,4.1,1.63,25.51,2.28,20-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
20-Jul-2020 - 00:00,28.34,973.65,16.15,54.13,84.0,223.16,230.66,0.99,0.97,62.9,6.31,25.3,16.99,4.34,0.43,28.29,3.0,21-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
21-Jul-2020 - 00:00,26.02,977.01,21.6,52.15,90.98,155.46,158.76,1.32,1.54,117.82,6.2,31.35,23.99,8.94,0.44,33.19,5.76,22-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
22-Jul-2020 - 00:00,26.27,977.82,26.64,60.77,93.05,167.16,207.31,0.97,1.54,122.98,6.37,25.77,17.75,4.95,0.67,35.75,4.9,23-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
23-Jul-2020 - 00:00,29.88,976.82,33.27,77.31,75.47,160.45,203.6,0.77,1.13,54.95,7.1,27.01,21.01,8.15,0.61,36.04,6.39,24-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
24-Jul-2020 - 00:00,30.14,980.03,51.83,101.65,77.3,181.46,68.45,1.46,1.58,152.13,8.64,31.03,21.87,6.59,0.67,29.79,5.51,25-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
25-Jul-2020 - 00:00,30.26,981.63,28.97,72.41,81.04,164.12,64.56,1.55,1.38,81.86,11.52,22.03,19.58,9.65,0.75,22.41,6.46,26-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
26-Jul-2020 - 00:00,31.6,981.1,43.46,98.18,73.42,156.47,87.12,0.92,1.65,68.65,9.65,30.38,21.78,6.9,1.06,34.81,2.2,27-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
27-Jul-2020 - 00:00,33.11,977.79,39.83,106.14,62.7,169.58,233.2,1.08,1.54,41.15,9.04,25.66,17.42,4.63,0.81,30.28,3.39,28-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
28-Jul-2020 - 00:00,33.0,975.57,23.53,85.59,63.5,184.79,238.62,1.14,0.93,26.32,8.08,24.03,16.36,4.38,0.9,18.89,4.55,29-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
29-Jul-2020 - 00:00,30.79,976.43,23.95,95.72,68.92,159.08,136.04,1.19,1.69,97.61,7.15,36.66,28.86,11.47,0.75,19.19,4.76,30-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
30-Jul-2020 - 00:00,28.16,978.51,20.76,58.2,78.26,217.36,145.78,1.21,1.4,138.21,6.59,29.62,24.31,10.49,0.81,17.11,3.68,31-Jul-2020 - 00:00,"Narela, Delhi - DPCC"
31-Jul-2020 - 00:00,30.83,977.85,35.08,87.31,63.89,208.11,82.67,1.01,1.9,119.73,6.71,32.51,22.76,6.71,0.95,19.05,5.13,01-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
01-Aug-2020 - 00:00,29.24,977.27,26.04,59.92,74.11,220.1,143.23,0.9,1.16,67.79,6.34,24.48,18.32,6.5,0.74,15.89,2.89,02-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
02-Aug-2020 - 00:00,31.53,974.93,21.69,43.62,64.6,194.81,236.62,0.82,1.06,84.18,5.6,18.06,14.43,5.91,0.77,15.13,4.98,03-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
03-Aug-2020 - 00:00,32.45,970.81,25.46,66.6,61.26,207.76,224.9,0.81,0.95,49.05,6.74,18.5,14.26,5.42,0.69,22.92,3.56,04-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
04-Aug-2020 - 00:00,32.12,969.45,23.73,90.17,51.07,205.11,217.39,0.91,1.07,154.56,6.84,24.85,18.71,6.76,0.73,27.7,2.87,05-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
05-Aug-2020 - 00:00,30.49,971.37,37.69,109.0,46.42,191.16,67.54,1.17,2.5,159.96,6.82,30.59,22.73,7.92,0.91,27.41,3.56,06-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
06-Aug-2020 - 00:00,32.08,974.31,18.26,77.06,33.98,210.99,63.52,2.24,1.32,108.24,5.69,21.76,19.36,9.55,0.65,26.19,4.14,07-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
07-Aug-2020 - 00:00,31.16,976.67,20.31,57.85,2.31,204.63,72.08,1.94,0.85,49.87,7.19,25.13,20.15,8.33,0.75,20.81,3.58,08-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
08-Aug-2020 - 00:00,33.17,974.63,40.98,92.27,7.15,193.59,128.59,0.77,1.54,114.02,10.81,23.95,15.7,3.63,0.86,19.75,2.44,09-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
09-Aug-2020 - 00:00,29.93,974.12,27.92,55.04,29.0,205.07,173.22,0.97,0.93,65.28,9.9,17.83,12.52,3.72,0.78,20.79,3.62,10-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
10-Aug-2020 - 00:00,30.77,975.48,33.95,69.31,32.53,215.93,98.75,1.25,1.37,80.21,9.84,27.77,23.56,10.78,0.87,21.91,2.56,11-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
11-Aug-2020 - 00:00,30.23,975.1,37.07,83.38,36.06,226.74,138.29,0.82,1.65,105.61,9.62,25.73,21.9,10.07,0.93,21.44,2.0,12-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
12-Aug-2020 - 00:00,31.57,973.59,19.36,60.34,11.01,218.22,213.61,1.18,0.73,71.37,8.59,15.57,11.13,3.49,0.81,21.0,0.78,13-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
13-Aug-2020 - 00:00,26.62,973.87,15.99,44.64,38.14,197.09,111.79,1.14,1.32,139.88,8.54,22.78,17.26,6.31,1.55,15.85,5.62,14-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
14-Aug-2020 - 00:00,28.71,973.08,18.73,59.39,,211.44,62.09,1.62,1.23,93.97,9.69,18.52,14.33,5.48,0.29,9.86,3.34,15-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
15-Aug-2020 - 00:00,30.66,972.92,31.54,69.5,,204.22,79.98,1.27,1.49,38.42,9.77,25.19,23.17,11.98,0.34,11.24,3.48,16-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
16-Aug-2020 - 00:00,31.25,973.84,26.71,70.99,,187.74,81.75,1.23,1.26,28.48,9.21,27.64,31.99,21.21,0.7,12.16,2.96,17-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
17-Aug-2020 - 00:00,29.24,974.12,30.72,76.74,,194.8,119.18,1.18,2.25,98.52,9.0,31.89,29.54,15.44,0.54,11.52,2.72,18-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
18-Aug-2020 - 00:00,30.36,974.52,36.42,88.76,,219.58,146.74,0.8,2.3,102.03,8.94,31.88,27.57,13.02,0.65,11.12,2.79,19-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
19-Aug-2020 - 00:00,26.25,974.66,18.8,47.97,84.03,193.21,126.14,1.0,1.88,116.76,8.12,32.83,31.37,17.05,0.45,10.19,3.01,20-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
20-Aug-2020 - 00:00,26.93,977.38,15.1,42.14,94.49,213.53,78.0,1.33,1.99,109.02,8.09,29.83,23.94,9.9,0.32,8.0,1.73,21-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
21-Aug-2020 - 00:00,29.25,979.0,14.42,48.15,,214.13,59.51,1.51,1.35,150.35,8.03,23.46,19.92,9.12,0.55,8.0,3.43,22-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
22-Aug-2020 - 00:00,29.98,978.58,12.71,61.43,,238.95,54.91,1.86,1.19,165.11,8.51,18.3,15.94,7.61,0.51,8.87,3.09,23-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
23-Aug-2020 - 00:00,30.76,976.05,17.24,54.0,,212.51,65.14,2.01,1.15,135.77,9.41,17.13,13.57,5.46,1.05,14.07,2.57,24-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
24-Aug-2020 - 00:00,28.96,977.25,17.56,58.58,,207.28,81.63,1.73,1.37,38.6,10.88,31.23,34.3,21.69,1.59,12.66,4.15,25-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
25-Aug-2020 - 00:00,29.45,979.09,24.98,73.65,,203.81,114.43,1.28,1.4,42.97,11.52,33.98,29.45,13.94,0.52,12.48,2.87,26-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
26-Aug-2020 - 00:00,29.91,979.92,16.06,55.69,,184.84,225.06,0.69,0.97,44.84,10.89,22.5,19.49,9.23,0.46,12.02,4.3,27-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
27-Aug-2020 - 00:00,30.99,979.2,28.0,80.98,,223.39,228.57,0.85,1.07,124.99,11.15,22.13,18.32,8.03,0.78,12.02,3.28,28-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
28-Aug-2020 - 00:00,29.19,977.55,29.65,81.92,,209.47,169.88,1.14,1.35,108.8,11.59,25.93,23.97,12.47,0.34,11.35,7.11,29-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
29-Aug-2020 - 00:00,30.5,977.55,31.23,84.31,,212.32,85.12,1.21,1.87,128.46,11.59,31.18,28.15,14.22,0.38,11.54,7.92,30-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
30-Aug-2020 - 00:00,28.58,977.49,21.04,64.73,,220.39,65.48,2.2,1.08,71.49,11.09,19.61,17.9,9.16,0.67,9.76,7.54,31-Aug-2020 - 00:00,"Narela, Delhi - DPCC"
31-Aug-2020 - 00:00,29.07,979.32,15.9,49.67,,204.66,110.19,1.57,0.86,19.84,10.57,31.79,30.1,16.19,0.39,10.66,6.04,01-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
01-Sep-2020 - 00:00,29.78,980.71,24.75,77.27,7.1,203.77,138.79,0.81,1.48,30.14,10.72,37.77,37.69,21.55,0.82,11.38,6.87,02-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
02-Sep-2020 - 00:00,30.42,982.61,29.81,91.33,,200.06,150.3,0.8,1.75,150.83,11.01,28.06,17.83,3.56,0.26,11.94,5.95,03-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
03-Sep-2020 - 00:00,30.45,983.5,46.54,126.44,,200.13,74.78,1.64,2.15,103.94,11.94,36.09,30.21,13.51,0.39,13.13,14.06,04-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
04-Sep-2020 - 00:00,30.3,982.2,50.65,129.94,,194.96,112.37,1.06,2.26,138.94,12.24,37.12,26.72,8.55,0.45,12.47,6.65,05-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
05-Sep-2020 - 00:00,29.57,980.23,51.52,120.17,,214.78,180.37,0.74,2.5,127.13,12.31,29.72,25.21,11.53,0.43,12.66,7.73,06-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
06-Sep-2020 - 00:00,29.53,979.33,30.02,73.17,82.38,223.27,230.38,0.73,1.09,93.03,12.09,20.52,14.23,4.05,0.49,11.11,5.02,07-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
07-Sep-2020 - 00:00,29.51,979.86,35.38,88.42,31.05,210.12,221.25,0.7,1.67,133.63,12.57,25.49,19.09,6.79,0.49,11.54,7.06,08-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
08-Sep-2020 - 00:00,30.4,980.37,30.93,81.75,0.34,208.32,263.69,0.93,1.04,56.67,13.02,22.73,14.86,3.41,0.65,14.58,8.7,09-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
