from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
20-Jan-2020 - 00:00,0.87,59.48,41.64,22.34,248.32,0.6,45.97,7.29,11.4,18.34,1.96,21-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,0.88,66.97,45.49,,232.94,0.66,35.52,6.17,10.29,16.14,4.5,22-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,0.89,46.21,39.16,14.4,217.9,0.67,51.51,7.89,12.49,20.08,2.66,23-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,0.8,36.34,21.61,,298.48,0.51,44.82,19.15,26.96,16.61,19.09,24-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Jan-2020 - 00:00,0.88,39.08,26.43,,252.97,0.65,45.49,7.82,14.76,17.87,10.02,25-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Jan-2020 - 00:00,0.93,39.73,27.63,1.93,210.85,0.77,34.55,6.56,16.28,22.72,2.39,26-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,0.95,40.36,28.67,6.29,192.77,0.78,36.91,6.11,15.95,21.95,5.17,27-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Jan-2020 - 00:00,0.73,47.48,41.37,9.97,199.97,0.76,42.04,5.86,12.81,18.8,21.39,28-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,0.42,53.88,52.89,6.97,191.69,0.74,52.18,4.83,6.68,12.53,41.88,29-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,0.42,54.93,54.82,5.96,194.86,0.73,50.08,4.83,6.68,12.54,41.85,30-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,0.74,54.47,54.0,8.27,172.4,0.73,47.25,5.78,11.82,17.99,19.96,31-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,0.91,60.88,54.69,7.71,185.59,0.73,47.17,6.47,16.11,22.59,0.89,01-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,0.92,98.43,59.03,15.93,183.51,0.72,56.38,6.55,15.92,22.35,2.24,02-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,0.9,102.29,61.37,9.65,195.95,0.71,59.68,6.54,16.35,22.77,2.87,03-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,0.89,78.26,54.9,9.29,207.81,0.74,52.56,6.68,16.84,23.39,2.58,04-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,0.9,61.99,63.39,14.88,218.1,0.76,54.13,6.39,16.08,22.35,3.06,05-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,0.97,56.36,97.8,10.72,186.37,0.74,59.56,6.15,15.87,21.91,7.94,06-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,0.9,82.85,54.33,10.02,181.22,0.73,51.3,6.11,15.85,21.9,3.49,07-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,0.91,86.7,61.88,7.11,169.47,0.72,58.05,6.29,15.88,22.07,5.33,08-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,0.92,79.81,58.44,13.38,196.93,0.72,51.92,6.26,16.65,22.33,6.98,09-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,0.9,60.52,61.12,15.92,185.24,0.72,60.28,6.45,16.19,22.49,6.8,10-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,0.96,64.04,60.76,15.97,198.91,0.71,57.92,6.5,16.45,22.88,13.3,11-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,0.89,61.84,62.51,24.97,193.24,0.71,55.9,6.65,16.59,23.14,4.82,12-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,0.91,63.15,69.51,31.5,197.03,0.7,60.48,6.4,16.11,22.38,6.36,13-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,0.97,69.63,60.05,22.45,214.5,0.71,55.0,6.44,16.41,22.79,10.3,14-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,0.99,74.77,53.17,23.94,195.21,0.73,47.91,6.17,15.75,21.81,8.47,15-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,0.93,88.13,45.12,26.07,210.72,0.75,35.66,6.46,16.6,22.96,8.07,16-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,0.88,73.21,31.6,22.32,210.55,0.77,31.17,6.87,18.11,23.67,14.73,17-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,0.89,63.15,31.99,27.32,352.91,0.87,36.6,6.9,17.02,23.79,20.41,18-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,0.89,66.87,112.1,28.58,932.22,2.66,,7.35,16.67,23.8,14.11,19-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,0.96,75.35,110.21,32.0,748.23,2.66,23.96,6.79,16.47,23.09,13.0,20-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,0.95,76.76,72.9,33.25,612.24,4.71,64.38,6.47,16.03,22.28,8.48,21-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,0.94,57.68,85.29,32.48,527.71,3.62,47.44,6.81,16.55,23.18,11.27,22-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,0.97,63.7,91.32,32.63,496.25,2.86,42.51,7.27,17.61,24.75,11.82,23-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,0.89,60.76,107.58,32.82,430.04,2.22,56.14,6.91,16.7,23.44,7.09,24-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,0.95,65.42,97.69,33.04,448.84,2.43,50.78,7.18,17.36,24.41,6.63,25-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,0.98,81.74,112.52,32.67,594.44,2.56,45.32,6.86,16.57,23.28,6.21,26-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,0.94,72.4,147.61,32.04,514.81,1.4,34.65,6.81,16.08,22.74,6.06,27-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,0.94,79.28,140.38,28.91,304.59,0.82,43.04,7.08,16.59,23.51,6.68,28-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,0.87,90.25,88.37,29.48,477.38,1.29,78.45,8.19,17.09,25.09,6.26,29-Feb-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,0.47,82.35,86.37,26.88,759.96,1.4,80.25,7.91,16.81,24.51,3.79,01-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,0.48,72.82,86.88,27.41,759.33,1.4,80.14,7.41,16.69,23.85,3.74,02-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,0.52,97.82,86.87,26.84,739.36,1.4,80.14,7.71,17.1,24.64,3.44,03-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,0.48,110.16,70.63,23.94,582.91,1.44,80.05,8.18,17.06,25.05,3.77,04-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,0.42,85.21,63.24,20.13,296.54,1.4,79.94,9.82,19.03,28.38,5.54,05-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,0.45,85.06,46.66,9.37,,1.17,,8.7,16.66,24.47,7.79,06-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,0.48,64.9,28.41,9.37,,1.16,,8.8,17.62,26.19,9.06,07-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,0.48,69.36,33.9,9.2,,1.16,,7.47,16.69,23.94,3.01,08-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,0.48,66.98,30.34,9.31,,1.16,,7.4,16.77,23.95,3.34,09-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,0.47,68.19,30.72,9.32,,1.16,,7.54,16.42,23.75,3.45,10-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,0.49,71.45,50.19,11.67,187.72,0.82,,8.24,17.4,25.42,3.56,11-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,0.47,67.32,83.96,22.75,303.45,1.36,79.19,8.4,17.39,25.55,6.94,12-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,0.45,75.71,85.96,30.59,208.86,2.79,78.02,7.14,16.16,23.14,2.79,13-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,0.47,72.97,85.96,30.59,229.39,2.8,78.4,7.5,16.59,23.92,2.82,14-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,0.48,65.16,85.94,30.61,145.89,2.79,78.3,7.53,17.21,24.67,2.93,15-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,0.36,66.39,85.96,30.57,228.42,2.8,77.88,7.19,16.42,23.24,3.29,16-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,0.49,59.9,85.9,30.62,231.86,2.79,75.75,7.54,16.56,23.89,3.89,17-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,0.46,55.51,85.99,30.58,239.23,2.79,77.89,7.52,16.72,24.05,3.28,18-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,0.48,60.13,85.54,27.65,233.42,3.01,69.62,7.66,17.15,24.79,3.86,19-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,0.49,71.96,85.96,,223.92,3.39,,7.41,16.42,23.62,3.13,20-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,0.51,63.62,86.0,,168.24,3.4,,7.74,17.06,24.54,2.66,21-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,0.52,95.2,86.01,,215.12,3.41,,7.71,16.75,24.22,3.49,22-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,0.42,73.21,85.97,,222.25,3.38,,7.83,16.88,24.44,4.15,23-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,0.48,81.01,85.96,,165.53,3.37,,7.57,17.23,24.31,3.2,24-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,0.45,84.55,86.05,,229.65,3.41,,7.36,16.52,23.68,3.49,25-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,0.46,58.08,85.96,,200.52,3.38,,7.69,17.06,24.45,6.96,26-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,0.45,59.86,85.98,,228.92,3.39,,7.76,16.9,24.42,7.47,27-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,0.43,57.27,85.97,,246.73,3.39,,11.38,16.17,22.61,5.08,28-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,0.4,53.05,85.99,,251.02,3.43,,7.96,17.49,25.24,6.03,29-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,0.42,54.69,86.01,,249.72,3.43,,7.57,16.57,23.91,2.81,30-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,0.41,61.75,85.9,,249.4,3.37,,8.77,18.68,27.23,3.11,31-Mar-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,0.45,56.73,85.72,,248.39,3.27,,8.89,18.17,26.46,3.63,01-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,0.43,56.32,86.11,,250.81,3.41,,7.43,16.47,23.73,4.85,02-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,0.44,70.43,86.12,,228.18,3.42,,7.56,16.51,23.85,2.77,03-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,0.45,76.02,86.13,,227.69,3.41,,7.53,16.71,24.04,2.89,04-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,0.43,72.72,86.09,,234.87,3.4,,7.56,16.53,23.91,2.95,05-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,0.47,70.31,86.03,,224.96,3.38,,7.8,17.35,24.76,2.54,06-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,0.44,57.4,86.08,,236.63,3.4,,7.64,17.21,24.42,2.83,07-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,0.4,14.12,85.91,,180.01,3.38,,7.98,16.78,24.47,4.61,08-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,0.44,13.24,85.93,,220.96,3.37,,8.34,17.39,25.45,3.14,09-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,0.43,13.27,85.99,,205.72,3.39,,8.09,17.49,25.2,3.14,10-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,0.43,13.53,85.89,,190.43,3.38,,7.36,16.53,23.42,6.5,11-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,0.44,13.4,85.93,,233.12,3.37,,7.99,17.23,24.9,4.19,12-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,0.43,13.57,85.93,,234.21,3.37,,8.05,17.57,25.37,3.16,13-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,0.47,13.42,85.8,,238.07,3.39,,8.07,17.21,25.01,3.29,14-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,0.4,13.35,85.9,,246.67,3.39,,7.83,17.02,24.64,2.98,15-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,0.42,13.45,85.91,,237.05,3.39,,7.96,17.51,25.23,2.92,16-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,0.43,12.96,85.94,,229.12,3.38,,7.85,17.05,24.62,2.74,17-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,0.46,13.48,86.08,,202.86,3.43,,7.25,16.6,23.62,2.81,18-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,0.44,13.56,86.12,,193.17,3.46,,7.51,17.07,24.43,3.02,19-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,0.44,13.11,85.94,,219.89,3.4,,8.06,17.05,24.88,2.82,20-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,0.4,13.47,85.93,,236.05,3.39,,7.77,17.26,24.79,3.1,21-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,0.45,131.96,85.9,,223.24,3.39,,7.88,18.07,24.83,3.13,22-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,0.46,56.82,85.92,,224.46,3.37,,8.02,17.05,24.84,3.75,23-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,0.43,54.95,85.9,,210.62,3.36,,8.1,17.13,25.04,3.54,24-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,0.47,47.12,85.92,,159.41,3.38,,8.44,17.36,25.61,3.73,25-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,0.45,51.82,85.9,,147.74,3.37,,9.98,17.14,24.15,3.87,26-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,0.45,54.06,85.91,,173.24,3.41,,7.96,16.58,24.04,4.32,27-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,0.46,57.86,85.91,,134.37,3.37,,7.92,16.81,24.5,4.4,28-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,0.43,62.32,85.95,,204.87,3.38,,7.81,17.16,24.53,4.75,29-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,0.45,37.56,85.96,,121.32,3.4,,8.26,17.89,26.07,3.63,30-Apr-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,0.46,52.69,85.95,,227.85,3.38,,8.19,17.15,24.27,4.2,01-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-May-2020 - 00:00,0.49,61.45,85.85,,213.49,3.35,,9.28,17.05,24.21,5.35,02-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-May-2020 - 00:00,0.45,53.25,85.87,,193.92,3.22,,7.89,16.89,24.71,5.97,03-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-May-2020 - 00:00,0.46,60.0,85.62,,193.22,2.97,,7.94,17.19,24.97,5.43,04-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-May-2020 - 00:00,0.46,78.21,85.75,,220.81,3.12,,8.24,17.81,26.05,3.43,05-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-May-2020 - 00:00,0.44,94.22,85.8,,202.23,3.32,,9.9,16.61,24.37,5.04,06-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-May-2020 - 00:00,0.46,66.99,85.82,,198.45,3.34,,8.07,17.37,25.32,4.9,07-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-May-2020 - 00:00,0.44,71.78,86.01,,136.89,3.42,,7.8,16.81,24.51,2.97,08-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-May-2020 - 00:00,0.46,54.62,85.91,,196.42,3.38,,8.27,17.54,25.72,2.89,09-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-May-2020 - 00:00,0.45,63.16,85.82,,220.4,3.32,,8.2,18.06,25.95,5.63,10-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-May-2020 - 00:00,0.45,60.89,85.73,,216.17,3.26,,9.1,17.48,24.97,2.78,11-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-May-2020 - 00:00,0.47,146.94,85.59,,205.69,2.87,,9.4,18.92,28.19,5.79,12-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-May-2020 - 00:00,0.44,177.03,85.62,,198.96,2.86,,8.23,17.53,25.64,2.72,13-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-May-2020 - 00:00,0.46,28.33,85.5,,218.4,2.78,,8.76,18.27,26.91,2.9,14-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-May-2020 - 00:00,0.42,42.29,85.58,,212.75,3.04,,13.4,17.29,24.96,3.35,15-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-May-2020 - 00:00,0.52,34.01,85.61,,210.38,3.24,,12.04,17.73,25.89,8.06,16-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-May-2020 - 00:00,0.42,46.83,85.62,,167.44,3.25,,9.32,18.46,27.63,3.24,17-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-May-2020 - 00:00,0.39,47.54,85.52,,204.07,3.22,,9.2,18.02,27.05,2.55,18-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-May-2020 - 00:00,0.4,36.53,85.68,,165.41,3.25,,39.82,16.47,22.46,2.49,19-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-May-2020 - 00:00,0.43,65.55,85.67,,173.62,3.29,,8.94,17.68,26.47,1.75,20-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-May-2020 - 00:00,0.43,51.87,85.61,,193.51,3.26,,9.31,18.33,27.5,2.43,21-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-May-2020 - 00:00,0.44,50.01,85.45,,212.78,3.21,,10.28,19.82,29.94,2.73,22-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-May-2020 - 00:00,0.48,24.98,85.66,,167.58,3.25,,10.59,17.61,25.93,2.15,23-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,24-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,25-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,26-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,27-May-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
