from date,PM10,PM2.5,SO2,CO,NOx,NO2,NO,to date,station
05-Oct-2020 - 00:00,,49.11,5.01,0.57,,14.5,,06-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Oct-2020 - 00:00,,45.86,4.85,0.66,,15.14,,07-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Oct-2020 - 00:00,,55.85,4.99,0.68,,17.1,,08-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Oct-2020 - 00:00,,45.82,4.8,0.68,,14.58,,09-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Oct-2020 - 00:00,,61.68,4.48,0.71,,12.88,,10-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Oct-2020 - 00:00,,45.18,4.81,0.61,,12.6,,11-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Oct-2020 - 00:00,,52.66,4.83,0.58,,12.62,,12-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Oct-2020 - 00:00,,52.52,5.02,0.7,,14.23,,13-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Oct-2020 - 00:00,,57.06,4.67,0.78,,12.79,,14-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Oct-2020 - 00:00,,44.58,4.73,0.64,,10.87,,15-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Oct-2020 - 00:00,,38.73,4.76,0.78,,12.91,,16-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Oct-2020 - 00:00,,52.64,4.7,1.13,,9.76,,17-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Oct-2020 - 00:00,,46.73,4.5,0.59,,9.37,,18-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Oct-2020 - 00:00,144.48,49.99,4.77,0.73,,10.35,,19-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Oct-2020 - 00:00,90.82,56.15,4.74,0.77,,10.94,,20-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Oct-2020 - 00:00,,81.32,4.42,0.97,,12.88,,21-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Oct-2020 - 00:00,,74.57,4.84,0.68,,15.46,,22-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Oct-2020 - 00:00,111.84,54.99,4.87,0.72,,14.93,,23-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Oct-2020 - 00:00,,63.28,4.8,1.01,,16.5,,24-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Oct-2020 - 00:00,,68.0,4.83,0.84,,18.83,,25-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Oct-2020 - 00:00,,51.96,4.82,0.79,,17.06,,26-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Oct-2020 - 00:00,,65.97,4.87,0.8,,15.49,,27-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Oct-2020 - 00:00,,59.38,4.26,0.8,,15.46,,28-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Oct-2020 - 00:00,114.01,71.48,4.08,0.93,,17.74,,29-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Oct-2020 - 00:00,,62.19,4.77,0.94,,17.04,,30-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Oct-2020 - 00:00,,73.19,4.92,0.71,,15.49,,31-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-Oct-2020 - 00:00,,73.07,4.9,0.8,,17.07,,01-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Nov-2020 - 00:00,,87.27,4.96,0.88,,16.53,,02-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
