from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
14-Feb-2020 - 00:00,19.35,989.45,165.92,78.29,52.84,156.05,20.51,322.34,4.17,0.8,4.43,38.78,48.19,53.94,68.16,29.95,21.61,15-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
15-Feb-2020 - 00:00,18.66,989.64,192.35,97.69,49.21,157.12,31.63,312.53,3.4,1.11,5.65,39.94,80.34,71.29,103.56,26.88,26.63,16-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
16-Feb-2020 - 00:00,17.44,992.69,230.65,137.98,57.4,153.75,51.43,291.1,1.42,1.48,7.81,50.99,80.02,73.59,103.93,24.34,25.14,17-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
17-Feb-2020 - 00:00,17.11,993.73,267.44,161.83,59.18,156.18,66.7,265.75,1.83,2.06,10.44,48.94,144.53,76.61,158.41,19.31,24.2,18-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
18-Feb-2020 - 00:00,17.0,991.0,228.38,136.85,56.15,164.21,43.03,307.83,1.8,1.4,7.27,44.83,89.64,80.5,115.74,21.76,31.23,19-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
19-Feb-2020 - 00:00,17.32,989.66,170.21,105.83,59.57,122.91,25.8,205.03,2.69,1.05,5.07,37.43,58.14,52.59,74.52,50.27,24.59,20-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
20-Feb-2020 - 00:00,20.43,989.07,157.98,94.29,55.47,139.74,8.41,148.86,4.51,0.63,3.12,38.41,5.31,37.08,24.11,72.45,18.03,21-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
21-Feb-2020 - 00:00,16.78,993.34,59.83,42.29,69.21,65.15,30.74,94.04,5.54,0.47,0.97,29.71,4.73,27.47,18.43,53.08,13.25,22-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
22-Feb-2020 - 00:00,17.93,996.59,88.33,53.9,67.14,129.71,45.78,81.54,1.76,0.5,0.0,28.46,19.83,60.39,48.26,36.26,17.05,23-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
23-Feb-2020 - 00:00,19.53,994.37,155.67,92.44,64.94,132.19,23.73,130.05,1.26,1.16,0.0,40.97,84.64,60.31,102.48,27.63,19.56,24-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
24-Feb-2020 - 00:00,19.92,991.15,140.1,70.68,62.29,154.98,43.49,157.74,1.32,0.99,0.33,38.65,107.36,61.98,120.24,27.19,22.27,25-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
25-Feb-2020 - 00:00,19.84,989.94,222.38,136.72,64.7,149.11,12.47,,,,0.66,49.68,,,,,24.03,26-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
26-Feb-2020 - 00:00,20.36,990.54,202.32,115.98,62.49,164.05,27.49,209.14,1.56,1.48,6.26,44.96,85.77,92.41,119.09,30.14,20.15,27-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
27-Feb-2020 - 00:00,19.99,990.91,131.77,86.54,67.91,147.44,14.49,145.62,1.39,0.86,4.05,48.55,22.13,57.83,48.01,37.67,16.11,28-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
28-Feb-2020 - 00:00,20.85,989.64,109.9,75.81,64.87,146.5,6.24,151.88,3.31,0.6,2.78,38.65,6.21,32.31,22.35,54.05,13.56,29-Feb-2020 - 00:00,"Pusa, Delhi - DPCC"
29-Feb-2020 - 00:00,19.94,988.87,78.44,51.62,66.58,143.96,11.63,135.92,3.89,0.56,3.02,31.35,7.91,34.0,23.24,45.05,13.55,01-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
01-Mar-2020 - 00:00,20.71,989.49,90.34,35.56,63.84,181.71,29.15,143.55,1.42,0.89,3.82,33.77,60.57,57.56,77.39,38.18,13.72,02-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
02-Mar-2020 - 00:00,20.81,989.12,159.19,85.52,67.18,163.25,53.17,146.01,0.82,1.59,7.78,53.7,105.78,73.62,125.64,26.23,22.76,03-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
