from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,BP,SR,to date,station
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-May-2020 - 00:00,24.28,38.18,7.21,9.16,1.95,3.42,2.6,0.47,112.83,0.0,0.0,0.0,0.0,0.0,256.96,30.72,25.58,38.08,812.74,146.71,30-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-May-2020 - 00:00,22.92,36.67,7.87,9.84,1.97,3.3,1.49,0.56,67.04,0.0,0.0,0.0,0.0,0.0,230.47,29.86,24.25,50.68,811.91,228.93,31-May-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-May-2020 - 00:00,24.1,38.57,9.65,11.61,1.96,3.0,1.97,0.77,68.45,0.0,0.0,0.0,0.0,0.0,201.01,29.69,23.52,60.63,810.95,183.23,01-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Jun-2020 - 00:00,23.79,38.14,11.07,13.07,2.0,2.81,0.84,0.47,68.87,0.0,0.0,0.0,0.0,0.0,175.57,29.87,22.14,80.7,811.1,240.38,02-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Jun-2020 - 00:00,19.27,30.84,9.14,11.06,1.92,3.23,1.64,0.66,67.79,0.0,0.0,0.0,0.0,0.0,192.92,30.07,21.91,83.59,816.43,154.71,03-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Jun-2020 - 00:00,13.2,21.11,19.4,21.58,2.18,1.42,2.0,0.57,170.68,0.0,0.0,0.0,0.0,0.0,203.93,31.88,22.48,68.97,831.46,380.29,04-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Jun-2020 - 00:00,20.95,33.51,7.75,9.74,1.99,4.26,2.74,0.59,93.34,0.0,0.0,0.0,0.0,0.0,271.09,31.43,23.29,60.53,821.96,307.48,05-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Jun-2020 - 00:00,19.47,31.15,7.91,9.92,2.03,4.49,2.78,0.56,76.93,0.0,0.0,0.0,0.0,0.0,275.58,31.04,22.7,65.92,821.11,224.17,06-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Jun-2020 - 00:00,20.67,33.07,9.58,11.54,1.94,3.03,2.99,0.57,100.96,0.0,0.0,0.0,0.0,0.0,280.28,31.02,22.84,65.65,821.05,209.12,07-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Jun-2020 - 00:00,20.53,32.84,9.51,11.53,2.03,3.07,2.7,0.63,94.87,0.0,0.0,0.0,0.0,0.0,279.08,30.84,22.89,64.22,818.87,200.98,08-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Jun-2020 - 00:00,17.4,27.84,9.14,11.19,2.06,3.07,2.08,0.63,83.62,0.0,0.0,0.0,0.0,0.0,282.91,30.95,21.83,76.79,820.3,136.82,09-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Jun-2020 - 00:00,20.83,33.32,15.92,17.93,2.02,2.66,2.54,0.51,72.61,0.0,0.0,0.0,0.0,0.0,264.68,30.54,23.24,60.82,815.93,225.97,10-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Jun-2020 - 00:00,26.39,42.41,42.73,45.06,2.33,2.46,30.5,1.45,55.9,0.0,0.0,0.0,0.0,0.0,246.0,30.35,23.33,61.83,817.44,240.18,11-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Jun-2020 - 00:00,16.04,25.67,11.76,13.73,1.97,4.0,1.98,0.72,41.86,0.0,0.0,0.0,0.0,0.0,222.7,29.66,22.04,81.97,824.49,230.78,12-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Jun-2020 - 00:00,20.31,32.5,6.9,8.89,1.99,6.26,1.21,0.66,33.92,0.0,0.0,0.0,0.0,0.0,283.41,31.57,23.37,63.81,833.19,241.42,15-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Jun-2020 - 00:00,18.91,30.26,10.19,12.22,2.04,6.24,2.38,0.62,39.96,0.0,0.0,0.0,0.0,0.0,277.24,31.36,22.75,71.02,827.46,208.72,16-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Jun-2020 - 00:00,15.79,25.26,6.9,8.94,2.05,6.46,1.16,0.7,26.23,0.0,0.0,0.0,0.0,0.0,274.76,31.41,21.86,83.74,829.44,159.08,17-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Jun-2020 - 00:00,16.87,26.99,6.91,8.99,2.08,6.33,0.91,0.65,25.74,0.0,0.0,0.0,0.0,0.0,275.02,30.95,21.56,87.54,822.6,153.96,18-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Jun-2020 - 00:00,18.88,30.21,6.8,8.93,2.13,6.27,2.03,0.68,21.4,0.0,0.0,0.0,0.0,0.0,272.35,31.2,21.96,81.81,820.85,191.58,19-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Jun-2020 - 00:00,34.65,55.45,6.75,8.76,2.0,6.28,1.81,0.7,26.26,0.0,0.0,0.0,0.0,0.0,280.79,30.87,22.48,74.67,818.53,205.64,20-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Jun-2020 - 00:00,47.92,76.67,6.79,8.94,2.16,6.14,2.62,0.68,23.11,0.0,0.0,0.0,0.0,0.0,275.85,30.81,22.68,71.71,818.88,199.5,21-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Jun-2020 - 00:00,20.45,32.72,6.3,8.26,1.96,6.39,2.48,0.72,23.61,0.0,0.0,0.0,0.0,0.0,281.71,30.88,22.48,71.22,819.86,175.18,22-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Jun-2020 - 00:00,31.53,50.45,6.66,9.4,2.75,6.44,3.34,0.79,26.08,0.0,0.0,0.0,0.0,0.0,278.19,30.92,22.55,69.31,818.92,198.83,23-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Jun-2020 - 00:00,19.4,31.04,6.85,8.9,2.05,6.45,2.78,0.74,28.88,0.0,0.0,0.0,0.0,0.0,279.24,31.14,22.76,66.17,817.45,212.99,24-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Jun-2020 - 00:00,17.82,28.51,8.05,10.08,2.04,6.64,1.69,0.7,39.79,0.0,0.0,0.0,0.0,0.0,272.79,30.79,23.04,63.36,817.63,221.24,25-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Jun-2020 - 00:00,17.6,28.16,7.88,10.01,2.13,5.92,1.97,0.72,28.98,0.0,0.0,0.0,0.0,0.0,231.0,30.0,22.8,71.84,820.39,211.97,26-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Jun-2020 - 00:00,18.95,30.07,9.05,11.1,2.06,5.65,2.8,0.58,40.99,0.0,0.0,0.0,0.0,0.0,241.86,29.98,22.61,74.3,822.87,232.03,27-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Jun-2020 - 00:00,19.49,31.19,7.81,9.91,2.11,6.02,3.5,0.91,22.46,0.0,0.0,0.0,0.0,0.0,249.55,29.87,22.75,77.86,826.09,204.12,28-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Jun-2020 - 00:00,24.99,39.99,8.42,10.57,2.15,5.63,1.37,0.77,26.57,0.0,0.0,0.0,0.0,0.0,232.9,29.7,22.71,75.44,825.0,196.47,29-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Jun-2020 - 00:00,27.16,43.45,7.28,9.45,2.17,6.17,5.01,0.78,16.63,0.0,0.0,0.0,0.0,0.0,244.92,29.7,22.37,80.92,824.79,211.22,30-Jun-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Jun-2020 - 00:00,17.38,27.8,6.95,8.99,2.04,6.09,3.23,0.69,26.02,0.0,0.0,0.0,0.0,0.0,263.23,30.35,22.25,79.46,825.53,207.74,01-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Jul-2020 - 00:00,16.03,25.65,6.78,8.85,2.07,6.03,3.43,0.71,23.98,0.0,0.0,0.0,0.0,0.0,278.71,30.99,22.19,77.37,825.58,195.36,02-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Jul-2020 - 00:00,17.06,27.95,6.92,9.07,2.15,6.1,2.6,0.67,23.47,0.0,0.0,0.0,0.0,0.0,277.38,30.89,22.38,74.03,825.75,216.32,03-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Jul-2020 - 00:00,14.49,23.18,7.11,9.14,2.03,6.19,2.61,0.66,31.84,0.0,0.0,0.0,0.0,0.0,281.38,31.52,22.04,75.37,826.5,183.4,04-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Jul-2020 - 00:00,17.03,27.25,6.62,8.68,2.07,6.05,2.01,0.66,28.91,0.0,0.0,0.0,0.0,0.0,285.58,31.48,21.56,81.21,823.79,159.89,05-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Jul-2020 - 00:00,18.03,28.85,6.57,8.58,2.01,5.99,2.41,0.64,25.68,0.0,0.0,0.0,0.0,0.0,280.02,31.16,21.73,81.79,819.35,188.36,06-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Jul-2020 - 00:00,25.6,40.96,20.27,23.18,2.91,20.27,1.55,0.33,29.1,0.0,0.0,0.0,0.0,0.0,276.71,31.34,22.08,76.53,818.9,175.03,07-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Jul-2020 - 00:00,23.71,37.93,41.46,50.14,8.68,45.42,6.73,0.78,30.52,0.0,0.0,0.0,0.0,0.0,269.35,31.41,21.99,80.06,819.86,193.53,08-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Jul-2020 - 00:00,20.53,32.85,25.72,31.01,5.29,43.66,8.5,1.53,24.93,0.0,0.0,0.0,0.0,0.0,270.29,30.81,21.55,90.65,820.6,213.43,09-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Jul-2020 - 00:00,25.35,40.56,23.81,27.78,3.97,38.48,2.8,0.63,24.87,0.0,0.0,0.0,0.0,0.0,271.7,30.33,21.41,90.03,818.69,196.68,10-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Jul-2020 - 00:00,27.61,44.17,27.02,30.65,3.64,36.75,2.87,0.67,22.47,0.0,0.0,0.0,0.0,0.0,274.61,30.49,21.76,86.34,818.03,202.46,11-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Jul-2020 - 00:00,28.11,45.32,21.42,24.24,2.82,38.4,6.15,1.3,25.85,0.0,0.0,0.0,0.0,0.0,277.18,30.67,22.32,76.7,815.35,245.74,12-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Jul-2020 - 00:00,27.13,43.41,21.7,24.41,2.71,37.94,6.76,2.55,27.43,0.0,0.0,0.0,0.0,0.0,282.29,30.89,21.81,81.37,815.67,181.47,13-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Jul-2020 - 00:00,27.78,44.42,14.6,16.49,2.06,22.14,16.41,1.97,34.0,0.0,0.0,0.0,0.0,0.0,277.25,30.57,21.98,78.7,819.95,252.23,14-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Jul-2020 - 00:00,21.64,34.62,10.3,12.37,2.07,3.42,0.97,0.72,48.33,0.0,0.0,0.0,0.0,0.0,282.4,30.93,21.98,79.01,826.75,207.04,15-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Jul-2020 - 00:00,16.12,25.79,10.49,12.58,2.09,3.9,0.79,0.68,42.8,0.0,0.0,0.0,0.0,0.0,282.09,30.9,21.12,91.15,827.97,142.9,16-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Jul-2020 - 00:00,18.2,29.12,11.35,13.25,1.9,4.0,2.11,0.68,45.71,0.0,0.0,0.0,0.0,0.0,278.78,30.84,20.82,93.7,823.36,122.06,17-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Jul-2020 - 00:00,19.0,30.41,14.46,16.47,2.01,3.27,2.89,0.76,55.01,0.0,0.0,0.0,0.0,0.0,263.92,30.95,21.33,86.58,820.0,198.51,18-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Jul-2020 - 00:00,19.71,31.54,12.96,14.96,2.11,3.88,1.62,0.79,42.6,0.0,0.0,0.0,0.0,0.0,264.78,30.55,21.9,82.0,822.59,226.8,19-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Jul-2020 - 00:00,17.81,28.49,9.76,11.86,2.1,4.75,1.38,0.77,28.82,0.0,0.0,0.0,0.0,0.0,265.47,30.0,21.92,84.14,826.29,182.04,20-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Jul-2020 - 00:00,20.57,32.92,9.96,12.06,2.1,4.75,2.18,0.71,23.76,0.0,0.0,0.0,0.0,0.0,232.23,29.61,21.96,85.1,830.14,211.2,21-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Jul-2020 - 00:00,19.29,30.86,9.82,12.06,2.25,4.87,1.22,0.79,22.73,0.0,0.0,0.0,0.0,0.0,227.96,29.61,22.47,79.41,827.68,241.99,22-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Jul-2020 - 00:00,16.64,26.63,10.79,12.9,2.11,4.44,1.76,0.73,32.31,0.0,0.0,0.0,0.0,0.0,272.07,30.0,22.51,78.44,822.39,251.94,23-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Jul-2020 - 00:00,19.7,31.52,9.76,11.87,2.11,4.82,1.92,0.69,22.76,0.0,0.0,0.0,0.0,0.0,236.01,29.4,21.85,83.81,825.32,144.98,24-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Jul-2020 - 00:00,20.47,32.74,10.31,12.49,2.18,4.56,1.65,0.82,26.03,0.0,0.0,0.0,0.0,0.0,219.87,29.47,21.53,89.29,823.09,151.73,25-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Jul-2020 - 00:00,18.3,29.28,10.75,12.83,2.08,4.35,1.95,0.7,38.31,0.0,0.0,0.0,0.0,0.0,234.05,29.95,21.56,87.29,820.43,226.21,26-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Jul-2020 - 00:00,16.73,26.93,11.85,13.9,2.05,3.69,1.7,0.64,55.07,0.0,0.0,0.0,0.0,0.0,265.93,30.65,21.86,78.73,811.19,213.8,27-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Jul-2020 - 00:00,18.28,29.25,11.23,13.35,2.12,3.93,2.55,0.74,43.7,0.0,0.0,0.0,0.0,0.0,271.47,30.03,21.93,77.41,813.58,193.93,28-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Jul-2020 - 00:00,17.03,27.25,10.02,12.1,2.08,4.12,2.87,0.71,37.63,0.0,0.0,0.0,0.0,0.0,254.64,29.77,22.12,79.2,820.49,249.51,29-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Jul-2020 - 00:00,30.06,48.1,10.31,12.32,2.0,4.28,2.7,0.76,35.96,0.0,0.0,0.0,0.0,0.0,223.57,29.38,22.45,78.4,821.27,238.06,30-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Jul-2020 - 00:00,46.18,73.88,10.74,12.84,2.1,4.62,4.24,0.78,35.63,0.0,0.0,0.0,0.0,0.0,270.21,29.73,22.38,80.83,821.1,266.79,31-Jul-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-Jul-2020 - 00:00,18.78,30.04,10.16,12.28,2.11,4.13,0.68,0.65,29.84,0.0,0.0,0.0,0.0,0.0,271.64,29.78,22.12,84.63,820.32,255.07,01-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Aug-2020 - 00:00,16.86,26.97,13.07,15.13,2.06,2.9,1.19,0.79,64.78,0.0,0.0,0.0,0.0,0.0,274.9,30.32,22.12,77.38,815.73,211.11,02-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Aug-2020 - 00:00,16.2,25.92,34.6,36.63,2.02,0.56,1.27,0.51,91.91,0.0,0.0,0.0,0.0,0.0,275.85,30.95,22.08,77.71,810.44,198.92,03-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Aug-2020 - 00:00,17.48,27.96,,,,,0.85,,71.61,,,,,,281.53,30.86,21.57,84.04,811.44,148.52,04-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Aug-2020 - 00:00,16.5,26.4,,,,,1.64,,95.03,,,,,,283.77,31.99,21.47,85.08,811.29,173.82,05-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Aug-2020 - 00:00,16.15,25.74,,,,,1.37,,75.33,,,,,,283.21,31.13,21.33,90.7,809.52,154.52,06-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Aug-2020 - 00:00,17.33,27.73,,,,,2.02,,86.29,,,,,,279.72,31.52,22.0,82.95,810.1,223.86,07-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Aug-2020 - 00:00,17.9,28.64,,,,,1.09,,74.56,,,,,,277.98,31.16,21.79,85.13,810.48,196.93,08-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Aug-2020 - 00:00,20.71,33.14,,,,,2.56,0.28,65.9,,,,,,282.28,30.67,21.86,81.44,821.82,177.57,09-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Aug-2020 - 00:00,21.82,34.92,,,,,2.19,0.36,59.68,,,,,,275.27,30.42,21.89,80.5,827.85,179.11,10-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Aug-2020 - 00:00,20.86,33.37,,,,,0.69,,60.5,,,,,,281.26,30.55,21.24,91.57,820.51,161.01,11-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Aug-2020 - 00:00,19.22,30.76,,,,,2.51,,70.36,,,,,,286.38,30.88,21.64,82.51,819.37,208.84,12-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Aug-2020 - 00:00,20.72,33.15,,,,,3.62,,80.41,,,,,,283.97,31.2,21.69,80.25,817.21,167.38,13-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Aug-2020 - 00:00,19.25,30.81,,,,,1.75,,71.75,,,,,,288.04,31.13,21.14,87.18,814.9,125.14,14-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Aug-2020 - 00:00,19.7,31.53,,,,,1.76,0.41,87.43,,,,,,284.01,31.62,21.33,82.08,811.74,184.33,15-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Aug-2020 - 00:00,19.61,31.38,,,,,3.66,,75.96,,,,,,281.37,31.1,21.04,89.51,813.23,125.77,16-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Aug-2020 - 00:00,17.47,27.95,,,,,1.61,0.41,62.0,,,,,,279.96,30.52,20.85,95.68,812.73,104.66,17-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Aug-2020 - 00:00,19.94,31.9,,,,,1.38,,67.39,,,,,,286.42,30.83,21.3,88.18,812.64,172.76,18-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Aug-2020 - 00:00,18.87,30.19,10.22,11.99,2.07,3.39,2.34,0.39,49.28,0.01,0.01,0.01,0.02,0.02,286.57,30.54,21.34,87.67,812.15,183.94,19-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Aug-2020 - 00:00,19.04,30.46,9.5,11.51,2.01,3.93,2.29,0.75,,0.01,0.02,0.01,0.02,0.01,281.71,30.55,21.59,84.79,814.86,167.53,20-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Aug-2020 - 00:00,19.03,30.45,9.87,11.95,2.08,3.65,0.45,0.66,43.15,0.01,0.01,0.02,0.02,0.01,284.2,30.8,21.4,86.19,816.64,163.66,21-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Aug-2020 - 00:00,19.26,30.81,9.8,11.86,2.06,3.53,1.63,0.67,50.25,0.01,0.02,0.01,0.01,0.01,280.04,30.96,21.58,84.2,815.84,175.66,22-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Aug-2020 - 00:00,18.89,30.41,9.78,11.82,2.05,3.49,3.52,0.73,54.19,0.01,0.02,0.01,0.02,0.01,280.3,31.06,21.84,81.57,816.32,205.58,23-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Aug-2020 - 00:00,18.76,30.01,9.63,11.65,2.02,3.58,4.03,0.66,51.6,0.01,0.02,0.02,0.02,0.01,279.22,30.94,21.84,81.31,816.36,200.42,24-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Aug-2020 - 00:00,17.27,27.64,9.21,11.28,2.07,3.6,2.92,0.57,47.98,0.01,0.02,0.01,0.02,0.01,276.47,30.79,21.78,81.53,816.28,210.86,25-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Aug-2020 - 00:00,19.62,31.39,8.48,10.53,2.05,3.83,1.04,0.62,40.23,0.01,0.02,0.01,0.02,0.01,282.05,30.54,22.07,76.89,815.93,229.84,26-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Aug-2020 - 00:00,23.18,37.09,7.72,9.74,2.02,4.1,3.2,0.74,30.75,0.01,0.01,0.01,0.01,0.01,269.95,29.88,22.14,74.69,814.21,211.1,27-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Aug-2020 - 00:00,19.63,31.41,6.69,8.6,1.91,4.27,2.11,0.59,23.88,0.01,0.02,0.02,0.02,0.01,287.89,29.91,20.95,86.94,811.85,93.33,28-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
