from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
11-Jan-2020 - 00:00,17.7,40.9,31.68,21.51,1.68,33.37,3.96,0.0,,,131.95,0.47,14.05,12-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Jan-2020 - 00:00,19.06,44.73,36.94,24.61,1.72,30.94,4.08,0.0,,,141.96,0.44,14.83,13-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Jan-2020 - 00:00,19.8,61.7,46.2,31.99,1.74,25.1,5.65,0.0,,0.0,144.22,0.38,16.37,14-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Jan-2020 - 00:00,24.04,77.91,43.55,31.86,1.25,38.55,5.61,47.92,265.59,129.49,148.93,0.38,17.48,15-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Jan-2020 - 00:00,26.1,106.33,46.16,30.61,0.82,26.97,8.64,4.93,212.59,117.52,130.02,0.43,18.64,16-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Jan-2020 - 00:00,20.52,88.67,38.89,27.29,0.83,35.58,6.9,1.72,197.33,109.81,168.2,0.47,19.26,17-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Jan-2020 - 00:00,25.07,69.82,41.75,24.81,0.87,28.66,6.36,0.0,180.47,96.28,166.42,0.41,19.06,18-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Jan-2020 - 00:00,15.52,61.04,36.61,27.15,0.85,27.34,6.26,1.85,185.77,84.64,150.6,0.43,19.65,19-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Jan-2020 - 00:00,18.8,84.32,38.19,27.03,0.89,28.15,5.3,0.97,154.87,90.33,137.59,0.42,19.88,20-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Jan-2020 - 00:00,26.51,90.05,27.86,15.48,0.87,37.23,4.63,1.22,125.06,69.43,135.38,0.52,18.14,21-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Jan-2020 - 00:00,25.01,79.82,39.09,29.23,0.88,24.45,5.68,0.2,160.59,83.69,132.83,0.5,17.6,22-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Jan-2020 - 00:00,19.35,92.98,38.02,25.81,0.87,26.39,6.26,0.0,187.55,105.87,146.91,0.43,18.63,23-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Jan-2020 - 00:00,14.13,83.65,36.52,26.24,0.89,27.19,5.08,0.0,159.02,90.35,132.64,0.41,20.22,24-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Jan-2020 - 00:00,18.25,85.17,20.85,28.26,0.5,29.37,4.55,0.0,130.75,66.45,168.19,0.39,17.33,25-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Jan-2020 - 00:00,,,0.0,,0.0,,,0.0,136.44,63.03,149.53,0.52,16.27,26-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Jan-2020 - 00:00,,,0.0,,0.0,,,0.0,124.74,58.62,140.27,0.57,17.0,27-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Jan-2020 - 00:00,22.7,42.85,20.29,26.56,0.43,39.02,5.18,0.0,152.38,72.58,146.33,0.42,17.42,28-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Jan-2020 - 00:00,21.28,47.91,38.72,24.83,0.89,27.2,5.48,0.0,155.23,79.05,154.96,0.4,19.43,29-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Jan-2020 - 00:00,13.27,43.9,36.34,25.56,0.88,26.68,4.91,1.03,140.62,75.25,160.48,0.41,21.18,30-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Jan-2020 - 00:00,12.67,47.56,27.02,20.06,0.88,31.29,5.15,1.86,123.72,59.37,127.33,0.65,20.47,31-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
31-Jan-2020 - 00:00,21.89,43.66,24.56,12.91,0.88,34.99,4.09,1.08,114.6,53.77,142.43,0.55,17.19,01-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Feb-2020 - 00:00,16.44,46.89,26.58,14.88,0.86,34.39,4.41,0.0,132.57,57.33,128.4,0.58,17.53,02-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Feb-2020 - 00:00,20.23,65.32,21.47,10.44,0.88,43.17,3.84,0.0,89.26,46.71,129.52,0.59,18.03,03-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Feb-2020 - 00:00,27.7,87.45,37.31,18.03,0.86,31.19,6.3,1.36,239.12,107.81,117.26,0.55,18.25,04-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Feb-2020 - 00:00,23.6,54.74,30.05,14.44,0.88,19.81,8.72,2.55,136.31,67.92,111.83,0.68,17.81,05-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Feb-2020 - 00:00,17.27,64.82,21.83,12.04,0.84,23.67,8.77,0.43,126.19,66.9,160.87,0.52,19.65,06-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Feb-2020 - 00:00,13.64,68.91,30.62,19.73,0.46,18.76,6.55,1.08,141.49,71.58,153.5,0.4,17.67,07-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Feb-2020 - 00:00,14.03,58.06,22.21,12.83,0.01,24.42,4.45,0.54,103.62,51.35,104.47,0.74,14.93,08-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Feb-2020 - 00:00,17.16,53.13,17.31,9.05,0.02,26.12,4.81,0.0,97.69,45.16,117.71,0.55,14.77,09-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Feb-2020 - 00:00,16.5,31.71,23.53,12.85,0.01,41.45,4.66,0.0,134.08,60.19,138.88,0.66,15.87,10-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Feb-2020 - 00:00,19.75,53.99,30.4,16.89,0.02,36.47,5.28,0.19,146.9,63.68,143.35,0.54,16.16,11-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Feb-2020 - 00:00,20.32,90.77,36.01,19.99,0.03,40.06,5.37,0.0,191.72,86.37,151.2,0.57,16.72,12-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Feb-2020 - 00:00,26.36,70.88,35.18,21.98,0.04,35.29,6.18,1.04,174.28,79.26,165.36,0.53,17.67,13-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Feb-2020 - 00:00,27.51,53.31,40.07,21.05,0.05,32.41,6.58,3.52,179.35,77.79,174.72,0.43,19.04,14-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Feb-2020 - 00:00,18.9,69.4,40.01,26.32,0.03,29.16,5.46,1.72,193.85,81.74,176.68,0.46,20.7,15-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Feb-2020 - 00:00,26.29,72.65,31.6,17.83,0.01,35.89,4.28,3.71,150.28,67.89,174.35,0.49,20.57,16-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Feb-2020 - 00:00,22.62,57.06,24.4,13.7,0.02,39.87,3.71,1.55,118.29,55.34,160.57,0.58,20.1,17-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Feb-2020 - 00:00,23.49,72.31,28.96,16.81,0.02,34.27,4.47,0.98,151.86,62.86,153.51,0.53,20.11,18-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Feb-2020 - 00:00,23.08,118.83,35.58,21.04,0.02,36.16,5.35,1.4,150.56,65.37,184.4,0.52,19.5,19-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Feb-2020 - 00:00,29.81,80.3,43.22,19.71,0.04,28.53,11.28,1.25,186.59,78.89,148.12,0.51,19.19,20-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Feb-2020 - 00:00,22.8,94.1,38.86,20.72,0.05,30.94,9.46,2.58,187.73,84.17,159.21,0.47,20.53,21-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Feb-2020 - 00:00,20.8,52.83,32.77,17.36,0.05,34.34,5.73,0.75,147.51,69.29,166.93,0.65,21.78,22-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Feb-2020 - 00:00,24.71,97.41,32.16,15.8,0.05,38.01,7.72,0.0,184.25,93.08,168.14,0.58,22.31,23-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Feb-2020 - 00:00,19.46,69.52,26.02,12.99,0.05,44.33,6.4,0.0,154.25,74.53,163.27,0.63,22.38,24-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Feb-2020 - 00:00,19.37,76.95,19.18,9.36,0.05,28.63,3.43,0.87,173.0,65.68,173.26,0.5,18.8,25-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Feb-2020 - 00:00,11.75,87.5,15.64,8.96,0.04,32.74,4.41,0.39,47.67,34.18,204.3,0.46,17.8,26-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Feb-2020 - 00:00,17.03,90.62,18.48,12.52,0.04,31.78,3.56,0.0,72.61,51.17,182.48,0.44,19.44,27-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Feb-2020 - 00:00,18.24,74.47,19.43,11.39,0.03,37.24,2.59,0.64,94.7,55.25,155.87,0.49,20.01,28-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Feb-2020 - 00:00,19.01,77.81,10.78,13.02,0.01,12.23,3.39,0.74,116.74,70.31,145.57,0.5,20.33,29-Feb-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Feb-2020 - 00:00,,,0.0,,0.0,,,0.0,147.15,86.26,183.97,0.53,21.08,01-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Mar-2020 - 00:00,,,0.0,,0.0,,,0.0,132.1,95.7,145.13,0.51,22.42,02-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Mar-2020 - 00:00,,,0.0,,0.0,,,0.0,145.79,103.5,176.76,0.51,23.19,03-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Mar-2020 - 00:00,20.38,78.44,8.84,7.24,0.03,48.83,8.24,0.0,97.48,72.99,171.06,0.62,22.55,04-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Mar-2020 - 00:00,18.04,101.31,18.14,7.8,0.05,45.41,5.75,0.0,51.86,0.0,199.44,0.66,22.59,05-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Mar-2020 - 00:00,19.78,97.01,20.33,9.79,0.03,32.18,4.67,0.0,32.28,0.0,184.43,0.61,22.43,06-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Mar-2020 - 00:00,14.53,72.03,20.89,15.96,0.03,26.94,3.54,0.0,35.61,0.0,182.89,0.69,22.09,07-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Mar-2020 - 00:00,12.38,88.36,14.64,10.74,0.01,29.11,3.02,0.49,35.0,0.0,204.74,0.61,22.73,08-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Mar-2020 - 00:00,9.34,109.01,8.16,18.05,0.01,22.86,2.5,0.65,40.61,0.0,161.14,0.49,23.18,09-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Mar-2020 - 00:00,18.71,113.96,10.25,12.07,0.08,51.17,5.22,1.05,38.53,4.01,158.34,0.52,22.08,10-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Mar-2020 - 00:00,16.22,85.5,20.88,13.79,0.26,31.93,3.77,1.03,25.78,25.66,130.47,0.59,20.38,11-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Mar-2020 - 00:00,14.4,68.72,15.84,11.83,0.25,36.97,2.6,0.28,34.73,34.62,104.48,1.25,21.68,12-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Mar-2020 - 00:00,11.98,103.5,17.86,17.41,0.23,36.7,2.5,0.29,21.17,21.1,110.32,1.07,23.57,13-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Mar-2020 - 00:00,,,,,,,,,,,,,,14-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,,15-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,,17-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Mar-2020 - 00:00,6.09,13.03,24.25,18.16,0.3,47.38,4.02,0.35,228.01,78.54,169.7,0.19,24.93,18-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Mar-2020 - 00:00,3.27,14.13,27.19,24.25,0.3,49.06,3.85,0.56,178.44,65.28,176.82,0.58,24.25,19-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Mar-2020 - 00:00,5.2,16.49,28.24,24.04,0.3,47.85,4.11,0.45,134.83,58.27,187.72,1.27,21.95,20-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Mar-2020 - 00:00,,,,,,,,,,,,,,21-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Mar-2020 - 00:00,,,,,,,,,,,,,,22-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Mar-2020 - 00:00,5.3,11.28,20.77,15.74,0.3,61.46,5.06,0.24,232.97,95.03,136.84,0.51,28.32,25-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Mar-2020 - 00:00,4.71,12.63,22.86,20.22,0.3,52.47,4.21,0.24,185.84,71.23,210.12,0.78,26.78,26-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Mar-2020 - 00:00,3.44,12.72,20.84,18.52,0.3,58.63,3.99,0.24,155.02,66.46,188.48,0.46,26.73,27-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Mar-2020 - 00:00,3.59,15.37,37.33,34.58,0.3,58.04,5.07,0.2,197.53,82.13,160.47,1.0,27.74,28-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Mar-2020 - 00:00,,58.36,,,0.29,62.96,3.95,0.11,125.91,53.44,197.57,0.71,28.26,29-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Mar-2020 - 00:00,,58.15,,,0.29,54.76,3.68,0.12,126.99,52.6,198.49,0.62,28.11,30-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Mar-2020 - 00:00,,58.32,,,0.28,66.54,4.29,0.11,122.17,51.15,159.19,0.86,27.85,31-Mar-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
31-Mar-2020 - 00:00,,58.35,,,0.28,63.55,4.96,0.13,157.77,63.56,173.8,0.53,27.94,01-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Apr-2020 - 00:00,,53.59,,,0.28,55.36,4.72,0.18,210.09,75.95,121.36,0.39,29.86,02-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Apr-2020 - 00:00,,56.82,,,0.29,52.9,4.1,0.24,197.47,73.23,171.08,0.79,28.97,03-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Apr-2020 - 00:00,,62.59,,,0.3,61.11,3.79,0.22,184.85,71.79,209.44,0.84,28.11,04-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Apr-2020 - 00:00,,61.97,,,0.31,77.97,4.3,0.2,152.72,61.11,179.13,1.32,28.68,05-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Apr-2020 - 00:00,,60.36,,,0.3,97.53,4.28,0.08,117.01,60.25,193.25,0.66,30.57,06-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Apr-2020 - 00:00,,60.98,,,0.3,47.29,4.41,0.23,238.3,91.9,206.19,0.42,25.75,07-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Apr-2020 - 00:00,,62.54,0.0,90.91,0.31,60.97,4.57,0.27,170.85,78.23,162.15,0.82,26.92,08-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Apr-2020 - 00:00,,67.43,64.15,288.55,0.3,74.8,4.79,0.04,98.14,52.9,154.25,0.86,25.83,09-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Apr-2020 - 00:00,,60.95,341.7,351.3,0.4,29.04,5.23,0.09,175.69,135.72,191.25,0.64,22.96,10-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Apr-2020 - 00:00,,65.57,13.82,136.09,0.32,59.41,5.69,0.13,147.54,88.4,179.38,0.6,27.08,11-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Apr-2020 - 00:00,,59.16,,,0.33,73.93,5.31,0.15,203.28,92.92,158.05,0.66,28.99,12-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Apr-2020 - 00:00,,70.66,0.0,,0.34,37.96,5.45,0.15,189.96,83.77,153.58,1.11,28.6,13-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Apr-2020 - 00:00,,,0.0,,0.35,,5.11,0.14,197.93,76.65,144.01,1.02,29.6,14-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Apr-2020 - 00:00,,,0.0,,0.35,,4.86,0.13,218.71,90.64,158.19,0.71,30.23,15-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Apr-2020 - 00:00,,,0.0,,0.37,,4.34,0.18,180.16,75.23,135.1,1.43,31.32,16-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Apr-2020 - 00:00,,,0.0,,0.37,,4.44,0.06,146.74,62.48,146.08,1.02,30.45,17-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Apr-2020 - 00:00,,,0.0,,0.38,,4.34,0.14,219.67,98.48,115.73,0.96,31.33,18-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Apr-2020 - 00:00,,,0.0,,0.39,,5.02,0.1,159.99,74.39,171.8,0.96,31.51,19-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Apr-2020 - 00:00,,,0.0,,0.38,,5.22,0.05,126.75,56.8,102.09,0.61,28.0,20-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Apr-2020 - 00:00,,,0.0,,0.39,,4.49,0.12,180.31,83.8,140.33,0.49,28.39,21-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Apr-2020 - 00:00,,,0.0,,0.39,,4.33,0.06,71.33,33.03,208.3,0.83,26.4,22-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Apr-2020 - 00:00,,,0.0,,0.38,,5.0,0.07,60.12,29.03,178.37,0.71,26.62,23-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Apr-2020 - 00:00,,,0.0,,0.37,,4.63,0.06,82.98,39.16,165.36,0.7,26.74,24-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Apr-2020 - 00:00,,,0.0,,0.36,,4.26,0.06,66.46,32.67,225.82,0.77,25.1,25-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Apr-2020 - 00:00,,,0.0,,0.35,,4.76,0.05,102.44,39.93,101.04,0.35,27.26,26-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Apr-2020 - 00:00,,,0.0,,0.35,,4.59,0.05,45.71,17.87,212.75,1.07,25.31,27-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Apr-2020 - 00:00,,,0.0,,0.34,,4.31,0.07,74.25,29.41,157.21,1.0,25.78,28-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Apr-2020 - 00:00,,,0.0,,0.33,,4.66,0.07,88.7,37.07,187.25,1.21,26.8,29-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Apr-2020 - 00:00,,,0.0,,0.33,,3.98,0.06,76.78,36.8,205.85,0.9,27.29,30-Apr-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Apr-2020 - 00:00,,,0.0,,0.32,,5.01,0.06,111.49,54.66,190.16,1.18,28.05,01-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-May-2020 - 00:00,,,0.0,,0.31,,5.57,0.04,217.53,59.14,187.59,0.89,27.93,02-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,03-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-May-2020 - 00:00,,,0.0,,0.46,92.08,,0.03,144.75,74.98,203.7,1.52,30.2,04-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-May-2020 - 00:00,,,0.0,,0.39,55.46,,0.05,104.33,29.46,215.43,0.83,27.98,05-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-May-2020 - 00:00,,,0.0,,0.38,74.59,,0.05,94.71,48.19,189.81,0.94,28.99,06-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-May-2020 - 00:00,,,0.0,,0.38,78.72,,0.08,86.81,40.46,181.18,0.64,27.96,07-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-May-2020 - 00:00,,,0.0,,0.37,77.29,,0.03,69.28,25.01,105.64,0.79,27.5,08-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-May-2020 - 00:00,,,0.0,,0.38,65.0,,0.05,76.87,33.54,144.28,0.81,29.76,09-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-May-2020 - 00:00,,,0.0,,0.38,72.72,,0.02,116.73,39.18,133.47,0.96,31.04,10-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-May-2020 - 00:00,,,0.0,,0.38,52.03,,0.03,97.92,43.93,170.17,0.77,30.23,11-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-May-2020 - 00:00,32.61,40.03,346.79,343.41,0.6,48.59,6.95,0.01,126.65,70.15,91.47,0.71,28.94,12-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-May-2020 - 00:00,,53.93,,,0.41,49.42,5.18,0.08,131.21,75.39,170.04,0.43,26.64,13-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-May-2020 - 00:00,34.21,47.63,302.78,304.26,0.47,59.02,6.18,0.04,125.25,76.15,196.69,0.94,27.4,14-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-May-2020 - 00:00,,50.1,378.24,390.68,0.41,84.57,,0.05,120.93,66.79,162.55,1.22,32.22,15-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-May-2020 - 00:00,,49.98,,,0.37,73.91,,0.05,116.26,49.23,146.69,0.94,32.13,16-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-May-2020 - 00:00,,51.12,66.87,267.71,0.37,77.25,,0.06,126.42,47.56,144.68,1.54,30.66,17-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-May-2020 - 00:00,,45.5,,,0.37,46.74,,0.08,90.48,46.88,195.0,0.38,24.68,18-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,19-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,20-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,21-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,22-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,23-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,24-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,25-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,26-May-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
