from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
08-Mar-2020 - 00:00,25.57,77.85,11.64,16.99,11.32,26.8,12.09,0.82,30.29,1.46,1.77,2.0,17.1,393.69,193.31,0.6,74.95,09-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Mar-2020 - 00:00,21.47,74.51,6.71,17.53,11.76,26.93,12.14,0.83,32.78,1.43,1.76,2.0,16.92,386.49,285.54,0.72,73.29,10-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Mar-2020 - 00:00,43.78,116.95,9.49,18.79,12.94,28.58,12.27,0.72,33.96,1.67,2.03,2.0,18.57,381.61,188.66,0.31,62.92,11-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Mar-2020 - 00:00,38.44,104.28,7.85,18.11,12.73,27.6,11.91,0.63,30.47,1.64,1.97,1.95,15.2,360.44,91.35,0.71,72.21,12-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Mar-2020 - 00:00,18.58,75.09,7.72,17.85,11.04,27.3,12.09,0.71,35.91,1.3,1.4,1.9,19.78,414.39,200.83,0.73,62.31,13-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Mar-2020 - 00:00,17.08,70.2,8.92,17.4,11.47,27.11,11.82,0.78,35.91,1.39,1.61,2.0,16.41,389.03,158.25,1.08,77.19,14-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Mar-2020 - 00:00,21.13,70.63,13.12,18.28,12.12,28.18,11.75,0.7,31.89,1.37,1.68,1.98,15.41,383.2,134.98,0.76,81.17,15-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Mar-2020 - 00:00,26.27,84.75,21.18,17.85,12.89,27.23,12.16,0.73,33.04,1.48,1.9,2.0,17.79,388.85,206.71,0.34,69.82,16-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Mar-2020 - 00:00,38.22,106.55,9.7,17.46,12.39,27.63,11.96,0.67,33.26,1.58,1.94,1.98,19.94,388.58,272.57,0.39,69.01,17-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Mar-2020 - 00:00,42.16,110.49,9.57,18.04,10.37,27.94,11.98,0.73,31.32,1.57,1.85,2.0,20.99,387.4,261.15,0.43,67.23,18-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Mar-2020 - 00:00,44.99,117.2,9.76,17.72,10.39,25.28,11.94,0.63,30.44,1.46,1.7,1.83,22.3,393.6,256.91,0.42,66.75,19-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Mar-2020 - 00:00,40.33,109.85,16.31,17.47,10.4,27.46,11.99,0.62,30.16,1.59,1.96,2.0,22.64,392.79,208.91,0.32,66.28,20-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Mar-2020 - 00:00,39.19,108.27,28.0,16.97,10.91,27.28,11.96,0.47,31.94,1.79,2.1,2.0,23.58,386.64,187.24,0.37,58.23,21-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Mar-2020 - 00:00,34.18,101.37,23.07,17.65,11.52,27.14,12.06,0.7,26.57,1.56,2.05,1.98,21.06,369.59,225.47,0.54,75.09,22-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Mar-2020 - 00:00,23.63,75.48,18.84,17.26,11.33,27.04,11.98,0.7,31.31,1.46,1.97,2.0,22.2,395.04,229.68,0.42,57.99,23-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Mar-2020 - 00:00,31.25,87.36,9.36,17.99,10.32,27.71,11.88,0.85,31.15,1.44,1.9,2.0,23.46,393.91,212.36,0.36,61.55,24-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Mar-2020 - 00:00,25.2,73.93,7.61,17.97,10.86,27.02,12.11,1.29,29.68,1.43,1.66,1.98,20.23,369.41,134.85,0.63,84.21,25-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Mar-2020 - 00:00,15.86,61.6,6.41,18.41,10.88,28.04,11.95,0.84,28.33,1.36,1.69,2.0,21.29,380.8,240.12,0.49,73.19,26-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Mar-2020 - 00:00,23.13,73.51,7.24,17.79,11.97,28.08,11.79,0.73,32.26,1.41,1.71,2.0,22.09,383.9,277.27,0.49,68.34,27-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Mar-2020 - 00:00,19.46,59.72,6.17,21.54,13.86,29.16,12.82,0.73,25.32,1.35,1.61,1.94,18.43,367.72,192.41,0.6,96.73,28-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Mar-2020 - 00:00,12.41,55.12,6.22,19.88,12.65,30.47,12.35,0.75,22.81,1.34,1.54,2.01,19.67,395.13,176.44,0.59,85.4,29-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Mar-2020 - 00:00,17.96,63.8,6.67,17.19,11.59,27.34,12.18,0.76,22.1,1.37,1.67,1.98,21.75,366.37,284.01,0.5,72.97,30-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Mar-2020 - 00:00,21.25,68.87,7.23,17.98,11.08,27.19,12.06,0.71,22.14,1.37,1.66,1.98,21.69,364.17,296.09,0.58,68.54,31-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Mar-2020 - 00:00,21.58,70.22,6.78,17.69,10.66,27.36,11.94,0.77,22.14,1.38,1.52,2.0,20.87,375.98,173.8,0.9,73.93,01-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Apr-2020 - 00:00,14.38,60.54,6.35,18.7,10.32,28.15,12.11,0.77,22.14,1.32,1.61,1.98,22.03,391.22,298.74,0.73,67.47,02-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Apr-2020 - 00:00,13.74,63.55,6.2,17.67,10.67,27.83,11.79,0.78,22.14,1.34,1.58,2.01,22.64,389.27,289.0,0.72,51.75,03-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Apr-2020 - 00:00,18.48,61.74,6.61,17.87,10.69,26.92,12.15,0.76,22.14,1.34,1.62,1.98,22.37,386.33,247.93,0.44,44.5,04-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Apr-2020 - 00:00,22.76,51.0,7.39,17.43,10.95,27.69,11.97,0.69,22.14,1.43,1.79,2.0,24.07,396.61,264.22,0.41,46.34,05-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Apr-2020 - 00:00,34.55,69.54,8.85,17.02,10.63,26.12,12.01,0.68,22.14,1.52,1.87,1.93,24.26,414.98,155.0,0.4,52.35,06-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Apr-2020 - 00:00,13.78,26.09,7.19,17.49,12.78,29.03,10.74,0.55,22.14,0.98,0.93,1.43,25.7,350.72,306.7,0.29,46.97,12-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Apr-2020 - 00:00,20.56,35.46,8.53,18.42,11.06,28.01,12.07,0.86,22.14,1.42,1.59,2.0,27.6,395.89,255.56,0.4,44.34,13-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Apr-2020 - 00:00,29.67,60.09,9.69,17.66,11.63,27.62,12.16,0.57,22.14,1.64,1.97,2.0,29.05,394.45,212.73,0.38,47.88,14-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Apr-2020 - 00:00,22.37,51.37,6.34,17.26,10.63,24.29,12.21,0.67,22.14,1.28,1.47,1.88,33.51,401.86,101.32,0.77,35.42,15-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Apr-2020 - 00:00,32.99,76.53,6.56,20.51,17.04,28.89,14.25,0.74,24.13,1.26,1.55,1.83,29.37,402.49,186.55,0.52,37.13,16-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Apr-2020 - 00:00,22.02,48.46,7.69,23.17,16.83,33.29,14.86,0.73,36.49,1.39,1.71,2.0,28.64,388.82,292.14,0.54,45.17,17-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Apr-2020 - 00:00,16.82,35.68,7.72,18.11,11.51,27.87,12.46,0.69,42.81,1.38,1.46,1.98,24.57,368.7,180.4,0.54,58.4,18-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Apr-2020 - 00:00,8.86,18.03,5.85,21.66,11.37,31.17,12.42,0.8,43.02,1.32,1.43,2.0,24.19,407.43,206.7,0.86,66.69,19-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Apr-2020 - 00:00,11.41,32.8,8.96,18.06,11.41,27.82,12.7,0.83,43.02,1.35,1.56,2.0,26.41,402.54,250.0,0.39,54.1,20-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Apr-2020 - 00:00,16.12,55.67,9.53,17.78,12.26,28.2,12.0,0.66,43.02,1.37,1.51,2.0,24.82,392.87,216.98,0.83,53.32,21-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Apr-2020 - 00:00,10.14,40.52,13.08,19.37,13.01,29.1,12.24,0.81,43.02,1.33,1.45,2.0,24.99,394.14,224.4,0.47,49.57,22-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Apr-2020 - 00:00,13.42,51.52,9.15,21.83,14.01,31.51,12.64,0.73,43.02,1.36,1.58,2.0,27.43,395.62,181.55,0.34,39.69,23-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Apr-2020 - 00:00,14.96,59.91,8.62,23.58,17.13,33.63,13.04,0.85,43.02,1.31,1.15,2.0,29.35,397.48,197.33,0.4,34.76,24-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Apr-2020 - 00:00,20.69,78.42,10.65,20.46,16.21,32.28,12.37,0.66,43.02,1.3,1.1,2.0,29.88,394.59,209.84,0.35,34.58,25-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Apr-2020 - 00:00,15.76,67.41,15.93,21.95,16.36,30.29,13.42,0.78,43.02,1.29,1.09,1.98,27.06,366.57,254.1,0.49,45.18,26-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Apr-2020 - 00:00,14.49,53.08,10.85,19.84,15.62,30.03,12.01,0.69,43.02,1.3,1.1,5.34,26.07,394.77,148.34,0.81,57.28,27-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Apr-2020 - 00:00,11.21,42.8,6.43,38.23,32.86,46.57,19.71,0.75,44.15,1.25,1.06,8.48,25.82,404.63,94.78,1.2,55.7,28-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Apr-2020 - 00:00,14.19,53.7,7.09,27.88,21.08,37.33,14.63,0.79,43.57,1.3,1.1,8.81,26.82,384.9,198.51,0.61,52.57,29-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Apr-2020 - 00:00,24.47,87.72,9.02,27.17,19.55,36.6,14.16,0.76,43.57,1.3,1.1,8.72,29.68,397.18,261.57,0.32,43.75,30-Apr-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
