from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,WS,WD,to date,station
22-Apr-2020 - 00:00,23.35,72.59,2.53,8.02,5.5,8.62,5.76,0.77,23.11,1.45,16.35,0.69,1.02,0.86,226.95,59.48,0.9,220.71,23-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Apr-2020 - 00:00,22.69,73.77,2.09,7.72,5.62,8.75,6.91,0.74,26.54,1.45,16.39,0.69,1.02,0.86,242.19,53.59,1.42,236.92,24-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Apr-2020 - 00:00,20.04,60.16,2.32,8.89,6.56,11.1,6.24,0.69,26.79,1.69,19.93,0.78,1.19,1.06,243.85,57.66,1.55,239.47,25-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Apr-2020 - 00:00,19.13,68.77,2.67,9.54,6.89,12.03,5.92,0.68,25.32,1.89,22.89,0.86,1.33,1.23,238.29,58.92,1.55,228.51,26-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Apr-2020 - 00:00,18.54,63.94,2.25,9.35,7.11,13.74,5.13,0.65,25.55,1.52,18.79,0.75,1.13,1.23,238.16,57.48,1.4,224.15,27-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Apr-2020 - 00:00,21.06,64.35,3.86,11.24,7.4,14.25,7.4,0.71,23.98,1.3,16.34,0.68,1.02,1.23,238.0,52.85,1.01,187.45,28-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Apr-2020 - 00:00,25.13,82.35,3.12,9.98,6.88,14.35,7.56,0.7,27.84,1.3,16.32,0.69,1.02,1.23,240.56,54.59,0.47,187.1,29-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Apr-2020 - 00:00,22.61,66.39,3.33,10.33,7.01,15.43,7.22,0.72,28.08,1.31,16.36,0.69,1.02,1.23,238.77,53.13,0.56,194.29,30-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Apr-2020 - 00:00,21.1,65.24,2.81,9.17,6.37,14.16,7.9,0.72,30.91,1.3,16.24,0.69,1.02,1.23,231.08,57.23,0.72,220.11,01-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-May-2020 - 00:00,25.45,87.96,2.77,8.93,6.18,13.6,8.26,0.71,28.3,1.3,16.33,0.68,1.02,1.23,234.23,55.17,1.12,240.22,02-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-May-2020 - 00:00,17.67,50.36,2.51,8.51,6.0,13.33,8.13,0.68,27.66,1.31,16.3,0.69,1.02,1.23,248.23,56.88,1.45,243.1,03-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-May-2020 - 00:00,17.95,54.8,2.07,8.58,6.54,14.15,6.53,0.66,26.33,1.31,16.35,0.69,1.02,1.23,237.0,59.31,1.35,235.48,04-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-May-2020 - 00:00,15.69,59.97,1.9,7.77,5.9,12.54,5.93,0.64,28.47,1.44,17.33,0.68,1.11,1.16,239.78,57.33,1.31,233.3,05-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-May-2020 - 00:00,24.22,108.79,2.73,8.97,6.28,13.26,5.84,0.66,31.05,1.74,19.71,0.69,1.33,0.98,224.28,56.88,0.73,175.79,06-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-May-2020 - 00:00,23.47,80.34,2.04,7.71,5.69,12.74,6.35,0.64,29.33,1.62,18.35,0.82,4.5,1.13,228.45,56.34,1.23,230.59,07-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-May-2020 - 00:00,22.51,54.56,2.41,8.43,6.05,13.43,6.99,0.66,31.31,1.25,14.08,0.87,5.32,1.24,234.7,55.83,0.91,190.94,08-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-May-2020 - 00:00,23.89,50.45,2.3,7.84,5.56,12.45,8.79,0.66,26.94,1.43,13.79,0.81,0.97,1.23,234.5,55.67,1.24,226.69,09-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-May-2020 - 00:00,21.57,50.15,1.84,6.96,5.15,12.11,6.83,0.63,27.55,1.68,19.52,0.78,0.92,1.17,232.09,61.84,1.2,222.34,10-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-May-2020 - 00:00,21.45,52.01,1.43,6.87,5.49,12.36,7.05,0.61,27.96,1.34,21.29,0.67,0.87,1.05,233.63,58.29,1.23,231.37,11-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-May-2020 - 00:00,24.42,57.03,1.49,7.88,6.44,13.95,9.11,0.62,25.49,1.15,14.48,0.74,0.88,1.06,226.93,60.03,1.3,193.81,12-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-May-2020 - 00:00,25.17,69.56,2.29,7.78,5.53,11.89,5.61,0.58,28.76,1.18,13.58,0.72,0.85,1.05,219.86,61.6,1.1,211.11,13-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-May-2020 - 00:00,27.83,70.21,2.85,8.56,5.75,13.2,7.89,0.59,26.05,1.05,9.6,0.55,0.66,1.18,227.17,55.55,1.08,230.9,14-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-May-2020 - 00:00,27.35,60.83,3.03,8.73,5.72,14.2,8.05,0.6,25.97,1.01,12.31,0.65,0.77,0.85,227.8,59.0,0.82,218.86,15-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-May-2020 - 00:00,26.57,58.71,3.13,8.7,5.59,14.43,7.73,0.61,30.69,0.99,10.6,0.57,0.69,0.79,224.3,57.28,0.93,250.15,16-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-May-2020 - 00:00,40.56,102.9,3.59,9.01,5.45,13.68,6.37,0.62,27.25,1.11,11.73,0.42,0.82,0.76,220.92,55.18,0.93,244.16,17-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-May-2020 - 00:00,29.21,65.82,3.23,8.57,5.37,13.49,7.09,0.63,27.31,1.26,14.89,0.73,0.7,1.08,226.22,58.12,1.04,243.61,18-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-May-2020 - 00:00,24.63,66.61,3.0,7.89,4.9,13.19,6.56,0.62,27.21,1.7,15.94,1.02,1.0,1.44,219.49,58.3,1.1,210.51,19-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-May-2020 - 00:00,19.96,49.0,3.76,9.28,5.55,13.59,7.79,0.66,28.97,1.0,13.28,0.72,0.78,0.79,230.89,57.1,1.05,225.76,20-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-May-2020 - 00:00,18.39,67.57,3.23,8.42,5.2,14.3,9.0,0.67,30.57,0.99,12.46,0.75,0.74,0.84,227.82,57.43,0.81,240.86,21-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-May-2020 - 00:00,23.79,72.05,3.8,8.86,5.08,13.63,9.13,0.71,29.44,1.46,14.43,0.82,0.88,1.33,228.32,53.39,0.95,207.84,22-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-May-2020 - 00:00,21.59,71.69,3.71,8.89,5.19,12.61,11.15,0.7,30.6,1.05,14.61,0.67,0.82,0.96,225.67,55.65,1.25,222.48,23-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-May-2020 - 00:00,22.22,72.25,3.11,8.75,5.65,13.66,9.95,0.68,28.12,0.94,13.27,0.61,0.88,0.75,223.55,56.44,1.31,235.57,24-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-May-2020 - 00:00,18.28,58.02,3.0,8.05,5.07,12.9,9.31,0.65,28.54,1.16,15.11,0.71,0.96,0.9,226.29,58.71,1.27,238.28,25-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-May-2020 - 00:00,21.75,70.45,2.92,8.26,5.37,13.32,10.38,0.67,28.31,0.84,10.2,0.57,0.59,0.81,226.64,58.27,1.37,244.63,26-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-May-2020 - 00:00,23.32,74.94,2.72,8.08,5.41,13.16,7.18,0.65,25.3,1.47,16.58,0.86,1.03,1.25,225.0,62.0,1.68,227.64,27-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-May-2020 - 00:00,25.68,86.14,3.34,16.37,14.12,13.64,7.27,0.63,27.28,1.24,14.01,0.73,0.87,1.06,224.68,62.28,1.9,218.17,28-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-May-2020 - 00:00,24.73,80.56,2.34,8.57,6.34,12.87,9.06,0.61,26.65,1.07,12.02,0.63,0.75,0.9,219.67,60.93,2.01,215.37,29-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-May-2020 - 00:00,16.64,64.29,2.07,6.85,4.84,11.65,6.41,0.58,20.08,1.25,14.2,0.74,0.88,1.06,215.79,60.56,2.05,210.9,30-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-May-2020 - 00:00,17.68,47.38,2.11,6.68,4.63,11.84,5.62,0.55,22.31,1.06,13.29,0.67,0.8,0.96,206.11,62.76,1.88,218.66,31-May-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-May-2020 - 00:00,18.34,56.0,1.97,6.0,4.08,11.22,6.01,0.52,25.99,1.08,13.35,0.63,0.75,0.9,208.11,62.7,1.29,234.72,01-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Jun-2020 - 00:00,21.87,82.1,2.58,6.83,4.27,11.45,6.87,0.56,31.25,1.2,13.47,0.72,0.84,1.02,204.02,55.73,1.3,205.98,02-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jun-2020 - 00:00,19.82,46.18,2.84,7.24,4.41,10.37,6.76,0.57,22.28,0.77,8.72,0.46,0.55,0.66,200.24,57.96,1.27,158.62,03-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jun-2020 - 00:00,24.36,57.44,4.54,17.66,13.52,13.96,7.3,0.63,18.38,1.26,14.03,0.73,0.88,1.05,167.02,58.22,1.0,135.03,04-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jun-2020 - 00:00,18.48,51.71,4.35,12.15,7.81,11.81,6.11,0.57,13.56,1.53,15.21,0.73,0.97,1.07,201.3,59.43,1.2,213.69,05-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jun-2020 - 00:00,20.43,57.34,3.99,10.17,6.19,12.72,5.85,0.52,18.0,1.04,14.59,0.73,0.78,0.9,222.9,59.07,1.49,199.38,06-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jun-2020 - 00:00,16.34,36.15,4.03,9.5,5.47,11.95,5.67,0.51,19.79,0.91,14.44,0.72,0.74,0.79,219.84,60.71,1.5,185.68,07-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jun-2020 - 00:00,16.76,36.96,4.13,9.28,5.15,11.04,5.7,0.49,18.94,0.93,12.33,0.6,0.67,0.76,188.53,62.85,1.43,182.38,08-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jun-2020 - 00:00,16.19,33.73,4.12,9.34,5.22,10.82,5.72,0.48,12.73,1.45,16.39,0.86,1.02,1.23,157.83,67.7,1.29,177.78,09-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jun-2020 - 00:00,22.32,40.56,3.68,9.54,5.86,11.93,5.62,0.42,19.91,1.03,11.61,0.61,0.73,0.87,236.24,66.91,1.29,182.12,10-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jun-2020 - 00:00,24.31,64.0,3.3,7.86,4.57,10.4,5.4,0.39,21.31,1.09,12.8,0.65,0.77,0.92,194.78,66.67,1.47,197.01,11-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jun-2020 - 00:00,21.01,46.21,3.68,8.93,5.26,13.02,4.92,0.4,18.83,0.98,12.85,0.58,0.69,0.83,174.85,79.24,1.07,192.95,12-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jun-2020 - 00:00,28.5,63.57,4.29,11.93,7.67,13.53,5.05,0.36,22.64,1.09,14.69,0.64,0.76,0.92,215.15,66.16,1.16,208.45,13-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jun-2020 - 00:00,22.7,37.8,3.01,8.36,5.38,10.77,4.89,0.34,15.39,1.09,14.81,0.67,0.79,0.95,171.03,67.41,1.15,197.88,14-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jun-2020 - 00:00,23.56,41.99,2.68,8.74,6.11,12.31,4.95,0.29,17.65,0.71,8.75,0.53,0.63,0.77,150.95,66.25,0.99,203.26,15-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jun-2020 - 00:00,21.76,40.11,3.4,9.96,6.61,12.91,4.89,0.26,17.11,1.09,12.26,0.66,0.79,0.96,202.54,66.52,1.15,213.97,16-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jun-2020 - 00:00,30.02,67.96,3.11,9.64,6.6,12.98,5.29,0.22,18.66,0.94,11.26,0.68,0.85,1.13,201.79,63.21,1.43,214.43,17-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jun-2020 - 00:00,20.45,51.45,3.58,9.3,5.73,12.76,5.1,0.19,20.68,0.91,13.05,0.54,0.74,1.07,197.88,61.0,1.91,198.47,18-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jun-2020 - 00:00,13.47,30.34,3.63,11.11,7.5,14.01,5.03,0.17,20.6,1.04,13.23,0.66,0.79,1.03,202.12,60.69,1.87,188.44,19-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jun-2020 - 00:00,20.98,49.27,3.39,9.66,6.27,12.9,5.13,0.14,20.33,1.88,21.3,0.95,1.33,1.6,221.96,60.32,2.08,185.49,20-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jun-2020 - 00:00,25.94,64.15,3.25,8.42,5.18,12.7,5.28,0.14,22.51,1.88,21.28,0.94,1.33,1.59,227.87,59.05,1.95,183.84,21-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jun-2020 - 00:00,20.7,55.35,2.76,6.96,4.21,11.87,5.34,0.13,19.0,1.73,19.41,0.88,1.21,1.46,192.63,58.69,1.81,191.56,22-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jun-2020 - 00:00,16.56,42.32,2.87,8.06,5.21,12.45,5.47,0.14,21.02,1.11,12.84,0.62,0.78,1.0,222.5,56.0,1.68,183.08,23-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jun-2020 - 00:00,19.55,48.13,2.49,8.15,5.71,11.8,5.78,0.13,20.25,1.48,17.39,0.96,1.06,1.27,198.12,56.55,1.67,181.67,24-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jun-2020 - 00:00,14.03,32.5,2.95,8.97,6.08,11.57,5.8,0.14,18.22,0.97,15.18,0.6,0.75,0.9,170.38,58.0,1.4,196.34,25-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jun-2020 - 00:00,23.14,45.62,3.7,10.03,6.35,11.24,5.73,0.14,20.17,1.01,13.89,0.7,0.81,0.94,158.24,57.16,1.17,178.56,26-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jun-2020 - 00:00,29.6,67.22,2.93,10.13,7.25,12.12,5.77,0.12,19.92,0.96,16.17,0.71,0.75,0.83,181.32,53.61,1.13,208.5,27-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jun-2020 - 00:00,23.0,59.89,2.96,9.62,6.67,11.81,5.87,0.12,21.26,0.74,12.3,0.43,0.63,0.59,209.77,52.14,1.48,204.46,28-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jun-2020 - 00:00,21.71,55.73,2.31,8.14,5.92,11.77,5.86,0.12,21.73,0.79,11.77,0.47,0.69,0.67,240.76,54.7,1.74,202.39,29-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jun-2020 - 00:00,19.5,49.07,2.42,7.35,4.94,11.29,5.78,0.12,18.34,1.2,10.34,0.63,0.69,0.91,218.45,55.8,1.33,202.38,30-Jun-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jun-2020 - 00:00,16.47,42.03,2.55,16.92,15.51,13.56,5.73,0.13,16.39,1.07,12.01,0.63,0.75,0.91,138.37,57.33,1.0,144.46,01-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Jul-2020 - 00:00,23.59,42.32,2.67,10.57,8.08,12.73,5.77,0.12,19.6,0.92,10.37,0.54,0.65,0.78,211.58,58.34,1.54,186.79,02-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jul-2020 - 00:00,16.97,38.89,2.16,8.03,5.98,11.84,5.8,0.12,19.83,1.08,12.53,0.61,0.72,0.86,235.74,50.7,1.7,195.29,03-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jul-2020 - 00:00,34.58,65.71,1.96,6.11,4.17,10.27,6.27,0.12,20.09,0.98,12.02,0.57,0.65,0.77,170.43,53.45,1.28,209.11,04-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jul-2020 - 00:00,23.89,45.74,1.95,6.11,4.2,10.42,6.36,0.12,17.86,0.95,10.71,0.56,0.67,0.84,190.36,55.37,1.02,147.12,05-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jul-2020 - 00:00,32.34,61.52,1.8,8.38,6.86,11.08,6.44,0.12,17.93,1.15,12.99,0.68,0.8,0.97,156.85,59.03,1.68,143.9,06-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jul-2020 - 00:00,21.4,40.7,1.65,7.57,6.19,11.89,6.05,0.12,13.53,0.96,10.86,0.57,0.67,0.81,92.07,60.37,1.25,121.52,07-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jul-2020 - 00:00,21.78,41.45,1.53,20.01,22.08,15.41,5.8,0.12,12.78,0.74,8.27,0.44,0.52,0.63,138.39,60.01,1.53,121.27,08-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jul-2020 - 00:00,23.19,44.11,1.89,27.42,30.62,14.87,6.43,0.12,15.76,0.91,10.28,0.54,0.64,0.77,111.83,59.53,1.36,136.74,09-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jul-2020 - 00:00,23.52,44.76,5.02,27.92,24.58,12.59,6.18,0.12,19.34,1.09,13.01,0.68,0.81,0.98,171.73,59.86,1.17,169.64,10-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jul-2020 - 00:00,15.11,34.16,5.98,21.02,15.07,12.05,5.72,0.12,20.96,0.99,11.11,0.58,0.69,0.83,208.65,61.5,1.68,188.71,11-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jul-2020 - 00:00,14.39,33.05,5.96,23.14,17.21,13.0,5.77,0.12,21.31,1.0,12.39,0.48,0.76,0.92,163.32,61.55,1.75,193.86,12-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jul-2020 - 00:00,16.82,26.88,5.85,35.16,29.66,11.64,5.9,0.12,12.46,1.16,14.73,0.68,0.92,1.11,130.72,61.09,1.41,189.62,13-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jul-2020 - 00:00,18.73,44.23,6.13,34.22,28.51,10.62,5.93,0.12,18.02,1.19,14.82,0.7,0.93,1.12,193.46,59.45,1.32,189.81,14-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jul-2020 - 00:00,23.4,48.77,6.7,33.51,27.03,11.76,5.8,0.12,22.6,1.45,16.32,0.85,1.02,1.23,166.78,58.55,0.94,194.81,15-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jul-2020 - 00:00,19.45,43.64,6.33,25.19,18.92,12.97,5.85,0.12,23.4,1.13,13.03,0.68,0.81,0.98,153.98,59.78,1.03,201.72,16-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jul-2020 - 00:00,25.11,43.48,7.23,22.25,15.03,14.95,5.7,0.12,23.67,0.93,10.45,0.55,0.65,0.79,178.3,59.16,0.86,162.47,17-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jul-2020 - 00:00,20.46,29.11,6.65,21.58,14.94,16.58,5.76,0.12,22.53,0.93,10.43,0.54,0.66,0.78,142.19,59.37,0.98,136.24,18-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jul-2020 - 00:00,16.19,28.77,5.74,16.73,11.0,14.64,6.02,0.12,25.3,0.93,10.5,0.55,0.66,0.79,216.54,59.2,1.49,152.83,19-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jul-2020 - 00:00,18.34,36.96,6.74,18.75,12.01,15.29,6.44,0.12,24.4,1.24,14.14,0.76,0.89,1.07,214.24,58.59,1.42,197.18,20-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jul-2020 - 00:00,18.98,41.77,5.85,15.94,10.1,14.01,6.58,0.12,23.86,0.96,10.74,0.59,0.67,0.81,195.76,56.65,1.56,198.64,21-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jul-2020 - 00:00,20.93,49.32,5.48,12.22,6.74,11.71,6.51,0.12,16.49,0.98,11.0,0.57,0.68,0.82,220.89,58.36,1.69,187.55,22-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jul-2020 - 00:00,23.13,58.52,6.58,14.54,7.98,10.73,6.57,0.12,21.79,0.97,10.94,0.58,0.68,0.82,222.4,57.22,1.31,200.91,23-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jul-2020 - 00:00,18.76,54.67,8.35,19.46,11.14,11.25,6.19,0.12,24.65,0.97,11.0,0.57,0.68,0.83,215.97,57.15,1.3,216.3,24-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jul-2020 - 00:00,26.79,77.71,7.58,18.25,10.7,12.92,6.18,0.12,17.1,0.97,10.99,0.57,0.68,0.82,171.87,59.01,1.04,201.56,25-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jul-2020 - 00:00,16.46,26.9,6.81,17.69,10.89,13.15,6.15,0.12,33.04,0.97,10.98,0.57,0.68,0.82,191.96,59.04,0.79,136.58,26-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jul-2020 - 00:00,17.43,29.08,7.49,20.09,12.61,13.0,6.16,0.12,53.36,0.97,11.01,0.58,0.68,0.82,184.13,59.41,1.2,162.54,27-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jul-2020 - 00:00,12.14,25.36,7.7,17.28,9.58,11.16,5.92,0.12,19.45,1.13,13.69,0.69,0.79,0.99,201.24,57.7,1.07,193.17,28-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jul-2020 - 00:00,19.2,38.94,6.28,12.4,6.16,10.72,6.0,0.12,20.12,1.24,15.73,0.78,0.88,1.12,206.67,59.23,1.23,217.51,29-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jul-2020 - 00:00,22.76,58.69,6.34,11.92,5.59,10.05,6.16,0.12,18.13,0.88,9.99,0.52,0.62,0.75,193.4,57.87,1.12,213.69,30-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jul-2020 - 00:00,27.17,55.07,6.25,14.64,8.39,10.23,6.25,0.12,18.54,1.07,12.59,0.65,0.77,0.95,141.5,60.83,0.83,176.69,31-Jul-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Jul-2020 - 00:00,31.92,53.4,6.54,14.25,7.72,10.84,6.33,0.12,12.09,1.36,17.02,0.85,1.01,1.29,207.65,58.22,0.9,162.85,01-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Aug-2020 - 00:00,22.87,50.02,5.82,11.6,5.78,11.3,6.93,0.12,19.52,0.95,10.72,0.56,0.67,0.8,193.61,57.36,1.11,184.37,02-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Aug-2020 - 00:00,19.79,43.84,5.07,9.46,4.38,9.84,7.01,0.12,18.39,1.46,16.44,0.87,1.02,1.24,222.56,53.25,1.12,199.25,03-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Aug-2020 - 00:00,13.88,31.92,4.71,9.35,4.64,10.81,6.98,0.12,20.18,1.24,13.94,0.73,0.87,1.05,194.23,52.62,1.33,190.18,04-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Aug-2020 - 00:00,14.55,30.66,4.77,10.08,5.32,10.99,7.03,0.13,19.46,1.51,17.95,0.9,1.07,1.28,226.89,54.97,1.09,156.91,05-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Aug-2020 - 00:00,18.11,42.28,5.47,11.92,6.45,12.18,6.84,0.13,18.02,1.51,19.61,0.89,1.06,1.28,135.79,62.15,0.7,211.58,06-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Aug-2020 - 00:00,17.6,32.79,5.77,12.3,6.54,11.14,6.56,0.24,20.86,1.17,13.27,0.7,0.82,0.99,60.99,70.3,0.45,166.81,07-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Aug-2020 - 00:00,22.78,38.31,5.23,15.55,10.39,11.63,6.39,0.3,17.56,1.45,16.7,0.88,1.05,1.23,130.1,65.75,1.38,153.35,08-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Aug-2020 - 00:00,22.25,46.76,4.9,11.86,6.95,11.65,6.99,0.39,16.75,1.13,12.75,0.67,0.79,0.96,156.99,60.46,1.43,190.05,09-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Aug-2020 - 00:00,19.53,30.09,5.2,15.89,10.73,11.59,6.79,0.43,14.18,1.28,14.5,0.76,0.9,1.09,76.63,62.24,1.12,199.84,10-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Aug-2020 - 00:00,18.61,38.07,4.56,11.85,7.3,12.68,6.87,0.44,10.79,1.32,14.84,0.78,0.92,1.12,119.96,60.13,0.82,194.22,11-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Aug-2020 - 00:00,18.15,42.17,6.33,12.23,5.9,11.14,6.47,0.43,18.8,1.76,19.78,1.04,1.23,1.48,165.93,58.83,1.11,209.34,12-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Aug-2020 - 00:00,10.86,22.83,6.75,12.37,5.62,11.12,6.62,0.38,17.06,1.55,27.09,0.88,1.1,1.31,96.26,60.63,1.54,211.32,13-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Aug-2020 - 00:00,9.52,19.04,18.77,28.02,9.27,10.15,6.2,0.4,12.24,0.94,39.87,0.59,0.62,0.81,62.12,63.45,1.61,208.6,14-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
