from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
23-Jul-2020 - 00:00,14.15,24.77,5.0,10.0,5.01,5.0,0.85,0.43,4.48,0.09,1.28,0.0,2.63,0.71,27.26,87.28,0.23,218.54,745.25,118.27,0.19,24-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
24-Jul-2020 - 00:00,13.94,26.21,5.01,10.1,5.09,5.0,1.4,0.84,6.2,0.11,1.28,0.0,3.2,0.83,27.84,86.82,0.29,174.93,745.27,137.56,0.04,25-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
25-Jul-2020 - 00:00,21.51,34.65,5.01,10.13,5.11,5.0,1.44,0.8,7.97,0.09,1.28,0.0,3.26,0.94,28.83,83.62,0.37,131.87,745.28,191.37,0.01,26-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
26-Jul-2020 - 00:00,21.21,37.36,5.01,10.12,5.11,5.0,0.59,0.67,12.63,0.1,1.28,0.03,3.82,1.12,30.13,81.36,0.21,248.03,745.27,216.91,0.0,27-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
27-Jul-2020 - 00:00,26.55,46.76,5.01,9.76,5.07,5.0,0.47,0.61,9.79,0.09,1.24,0.0,3.01,0.61,29.22,85.68,0.22,266.32,745.26,137.22,0.06,28-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
28-Jul-2020 - 00:00,20.49,33.02,5.02,10.26,5.24,5.0,0.98,0.67,13.38,0.09,1.26,0.0,2.91,0.39,28.52,84.36,0.29,199.13,745.25,149.96,0.0,29-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
29-Jul-2020 - 00:00,17.19,28.72,5.0,10.05,5.04,5.0,0.84,0.73,2.53,0.07,1.28,0.0,2.21,0.51,29.87,78.93,0.3,138.4,745.26,223.55,0.0,30-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
30-Jul-2020 - 00:00,25.29,49.09,4.86,8.2,4.96,4.93,1.53,0.53,6.88,0.09,1.18,0.12,2.54,0.6,29.3,81.68,0.27,152.38,745.26,159.77,0.0,31-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
31-Jul-2020 - 00:00,25.44,46.52,4.99,9.93,4.94,5.0,0.23,0.72,18.89,0.05,1.25,0.96,2.7,1.46,28.5,86.45,0.23,190.75,745.26,152.71,0.69,01-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
01-Aug-2020 - 00:00,19.45,38.36,5.0,10.0,5.0,5.0,0.03,0.79,23.82,0.99,1.27,1.63,4.07,2.33,29.6,83.14,0.24,164.37,745.25,194.8,0.0,02-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
