from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
25-Jan-2020 - 00:00,44.97,112.86,33.27,10.64,43.91,27.55,19.19,0.66,83.51,,,,,,18.1,57.18,0.75,166.63,-0.01,,67.94,0.0,26-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Jan-2020 - 00:00,83.83,156.67,46.36,27.13,73.52,38.37,19.31,1.06,69.23,,,,,,18.72,68.08,0.52,228.66,-0.01,,64.72,0.0,27-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Jan-2020 - 00:00,91.63,181.58,48.06,26.62,74.72,38.74,15.33,1.17,67.61,17.59,31.09,2.94,6.65,3.32,18.74,71.87,0.35,175.71,-0.02,,68.76,0.0,28-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Jan-2020 - 00:00,94.47,190.41,35.1,10.82,45.93,32.56,18.01,0.84,81.28,10.84,28.0,1.45,3.29,1.52,20.04,75.43,0.46,167.13,-0.01,,65.13,0.0,29-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Jan-2020 - 00:00,44.44,74.52,18.55,5.56,24.11,28.3,14.86,0.35,80.31,3.29,21.09,0.26,0.52,0.21,20.91,94.32,0.72,152.88,-0.02,,63.37,0.0,30-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Jan-2020 - 00:00,52.59,84.39,25.11,17.16,42.28,31.62,13.51,0.61,56.67,5.16,27.62,0.87,1.9,0.52,20.49,98.02,0.82,145.81,-0.02,,61.36,0.02,31-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
31-Jan-2020 - 00:00,62.68,93.24,31.55,20.95,52.52,31.25,15.52,0.6,63.58,6.6,31.47,1.42,3.08,1.08,19.82,78.8,0.6,113.22,-0.02,,75.86,0.0,01-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Feb-2020 - 00:00,46.13,81.35,34.62,18.8,53.44,30.17,19.78,0.55,76.69,5.9,37.02,1.4,3.06,1.0,19.37,66.18,1.53,108.52,-0.01,,73.16,0.0,02-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Feb-2020 - 00:00,59.97,104.1,42.66,34.19,76.88,37.5,19.73,0.77,67.44,8.1,41.48,2.26,5.07,1.77,19.0,60.91,0.47,166.63,-0.02,,74.79,0.0,03-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Feb-2020 - 00:00,51.79,101.72,36.73,20.99,57.73,31.13,14.05,0.52,68.75,4.45,25.54,1.37,3.23,1.15,18.62,55.45,0.56,166.16,-0.02,,74.77,0.0,04-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Feb-2020 - 00:00,56.82,119.74,42.76,18.13,60.9,32.73,22.33,0.63,70.58,7.19,40.76,1.93,4.27,1.72,19.4,59.21,0.23,184.49,-0.02,,75.52,0.0,05-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Feb-2020 - 00:00,89.68,161.88,51.61,22.2,73.84,38.39,43.1,0.8,74.81,14.52,43.63,2.8,6.35,3.31,21.58,65.67,0.43,187.32,-0.02,,69.62,0.0,06-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Feb-2020 - 00:00,63.15,125.33,33.96,10.46,51.89,34.93,14.64,0.77,14.28,15.69,45.72,2.44,5.54,1.9,18.39,98.36,0.3,180.44,-0.02,,32.72,0.0,07-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Feb-2020 - 00:00,70.01,133.82,44.76,7.57,53.43,30.93,13.64,0.64,31.6,9.01,18.13,1.21,2.75,0.96,20.79,63.81,0.2,158.68,-0.01,,35.75,0.0,08-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Feb-2020 - 00:00,65.04,136.04,53.21,35.77,100.02,42.06,20.68,1.42,73.64,10.08,25.04,2.57,5.49,2.3,20.75,54.95,0.35,215.16,-0.09,,57.46,0.0,11-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Feb-2020 - 00:00,84.1,140.08,52.18,35.51,87.74,42.13,24.23,1.2,56.21,13.38,51.42,3.45,7.71,4.53,19.84,58.63,0.29,184.06,-0.02,,81.56,0.0,12-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Feb-2020 - 00:00,78.03,154.6,53.5,40.2,93.74,44.65,24.46,1.25,58.86,12.31,41.5,3.22,6.92,2.95,19.87,60.92,0.25,201.09,-0.02,,81.62,0.0,13-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Feb-2020 - 00:00,62.7,144.67,50.06,24.93,75.03,39.27,19.3,1.17,63.73,17.33,41.81,3.46,7.43,3.77,20.64,59.95,0.23,223.39,-0.02,,80.22,0.0,14-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Feb-2020 - 00:00,101.1,161.8,45.47,21.28,66.78,39.33,26.31,1.15,66.62,21.81,34.44,3.24,6.81,3.16,22.12,66.49,0.45,223.43,-0.02,,78.65,0.0,15-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Feb-2020 - 00:00,73.55,123.82,42.09,11.61,53.71,33.88,28.84,0.86,63.52,10.48,33.96,1.72,3.71,1.67,22.76,57.52,0.25,218.44,-0.02,,83.97,0.0,16-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Feb-2020 - 00:00,92.18,138.58,43.35,14.97,58.34,35.31,26.03,0.95,63.45,11.91,36.57,2.24,4.73,2.17,22.76,60.68,0.27,179.54,-0.02,,77.95,0.0,17-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Feb-2020 - 00:00,101.42,174.51,45.11,19.37,64.52,39.15,22.51,1.07,57.38,13.67,40.95,2.84,5.98,3.87,22.84,68.26,0.62,190.95,-0.02,,75.99,0.0,18-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Feb-2020 - 00:00,59.4,154.67,42.83,13.79,56.67,37.65,23.88,0.91,60.32,13.52,35.64,2.3,5.05,2.68,23.23,73.25,0.93,227.09,-0.02,,81.07,0.0,19-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Feb-2020 - 00:00,64.54,135.89,27.56,7.04,34.61,30.83,31.41,0.57,58.99,12.37,24.36,1.34,3.06,1.67,23.28,80.28,1.37,204.91,-0.02,,83.71,0.0,20-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Feb-2020 - 00:00,50.35,92.0,21.64,5.49,27.15,27.46,31.53,0.41,74.35,9.11,22.96,0.93,2.33,1.1,24.19,76.15,1.6,235.82,-0.02,,82.36,0.0,21-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Feb-2020 - 00:00,63.23,133.16,36.73,13.26,50.68,30.12,19.42,0.82,66.19,9.91,24.85,1.67,3.43,1.39,24.22,68.4,0.39,183.94,-0.02,,85.37,0.0,22-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Feb-2020 - 00:00,81.26,126.62,40.12,13.05,53.19,28.94,25.44,0.9,79.13,11.03,37.63,1.97,4.03,1.85,24.53,57.61,0.68,171.51,-0.02,,85.7,0.0,23-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Feb-2020 - 00:00,77.71,133.55,32.41,12.47,45.11,28.67,18.89,0.77,61.35,8.63,26.6,1.68,3.62,1.92,24.49,67.43,0.96,135.45,-0.02,,80.39,0.0,24-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Feb-2020 - 00:00,94.53,153.19,45.09,20.66,65.76,37.28,18.11,1.06,40.63,14.19,33.87,2.98,6.21,2.98,23.36,77.61,1.63,164.55,-0.02,,60.03,0.0,25-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Feb-2020 - 00:00,65.68,100.77,37.59,10.14,47.75,34.14,15.44,0.72,23.95,10.96,30.81,1.8,3.48,1.64,20.8,91.89,1.92,205.85,-0.02,,50.45,0.0,26-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Feb-2020 - 00:00,32.96,68.32,28.96,8.8,37.77,46.48,17.06,0.5,24.5,9.36,40.6,1.39,2.42,1.1,21.96,81.95,1.49,221.49,-0.02,,78.7,0.0,27-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Feb-2020 - 00:00,40.73,66.8,29.98,9.73,39.72,41.82,12.45,0.64,34.69,6.75,29.04,2.22,2.93,1.21,22.53,75.48,2.11,178.08,-0.02,,70.7,0.0,28-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Feb-2020 - 00:00,52.42,92.95,28.25,10.27,38.53,32.32,13.38,0.63,62.12,6.97,36.06,1.55,2.69,1.2,22.94,68.62,2.2,139.71,-0.02,,89.76,0.0,29-Feb-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Feb-2020 - 00:00,47.7,97.56,33.04,10.66,43.72,32.13,12.59,0.61,65.56,6.69,35.56,1.82,3.42,1.41,23.75,57.76,1.03,174.0,-0.02,,98.71,0.0,01-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Mar-2020 - 00:00,68.19,150.87,39.78,13.61,53.41,35.74,19.67,0.86,67.22,12.91,34.24,2.53,5.1,2.21,24.55,67.96,1.38,201.63,-0.02,,92.06,0.0,02-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Mar-2020 - 00:00,85.13,157.64,38.49,8.66,47.18,33.62,16.28,0.77,51.72,10.73,27.41,2.17,4.09,1.77,25.64,69.89,1.56,222.48,-0.02,,87.85,0.0,03-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Mar-2020 - 00:00,64.28,125.57,26.38,5.96,32.35,32.61,8.38,0.51,66.2,7.56,15.86,1.04,1.93,0.89,24.03,80.38,3.18,173.34,-0.02,998.8,85.64,0.06,04-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Mar-2020 - 00:00,42.11,72.22,22.24,6.88,29.13,28.02,12.53,0.44,48.18,7.83,18.49,1.04,2.12,1.02,23.86,83.64,2.3,190.24,-0.02,,93.89,0.0,05-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Mar-2020 - 00:00,32.31,66.08,23.95,8.38,32.34,28.14,9.44,0.41,44.92,6.33,15.99,0.94,1.66,0.84,22.79,85.4,1.71,195.78,-0.02,,100.67,0.0,06-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Mar-2020 - 00:00,30.01,53.64,20.19,10.11,30.32,24.96,10.13,0.4,30.34,8.46,15.9,0.94,1.97,0.85,24.46,86.95,2.01,210.79,-0.02,,88.56,0.0,07-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Mar-2020 - 00:00,22.78,30.66,17.66,6.15,23.82,25.06,11.5,0.4,34.51,4.22,14.6,0.58,1.02,0.42,23.46,94.89,2.18,142.15,-0.02,,76.49,0.06,08-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Mar-2020 - 00:00,23.66,29.9,27.16,18.0,45.18,26.65,17.69,0.67,41.0,6.15,19.43,1.24,2.47,0.92,25.16,81.54,1.65,221.71,-0.02,,106.17,0.0,09-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Mar-2020 - 00:00,38.2,63.76,24.96,8.99,33.95,23.52,21.81,0.46,72.83,4.75,23.1,1.21,2.41,0.81,25.03,56.93,1.22,178.24,-0.02,,126.15,0.0,10-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Mar-2020 - 00:00,50.24,75.96,26.41,6.04,32.46,22.29,23.09,0.52,88.25,5.74,23.02,1.18,2.25,0.84,25.29,59.54,1.36,197.46,-0.02,,116.05,0.0,11-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Mar-2020 - 00:00,49.53,97.62,26.31,5.68,32.01,22.96,20.64,0.46,59.37,5.85,16.74,0.85,1.63,0.84,27.26,69.65,1.15,212.05,-0.02,,105.16,0.0,12-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Mar-2020 - 00:00,47.68,100.47,27.89,6.52,34.42,24.44,16.06,0.52,23.62,8.08,17.01,1.21,2.44,1.27,27.72,73.34,1.87,189.75,-0.02,,106.86,0.0,13-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Mar-2020 - 00:00,50.53,110.53,22.53,12.89,35.42,33.52,11.49,0.62,31.88,11.14,18.3,3.59,5.12,3.64,29.1,73.32,1.28,176.83,-0.02,,122.49,0.0,14-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Mar-2020 - 00:00,45.8,99.61,10.22,5.31,15.54,23.85,6.48,0.31,72.93,4.43,10.02,0.46,0.83,0.44,27.06,63.43,1.7,71.15,-0.02,,122.44,0.0,15-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Mar-2020 - 00:00,19.92,50.07,11.25,5.4,16.66,23.53,10.93,0.31,64.61,2.71,14.86,0.5,0.98,0.52,25.87,66.67,0.94,97.84,-0.02,,134.58,0.0,16-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Mar-2020 - 00:00,47.08,105.77,15.73,8.11,23.85,27.48,26.38,0.55,57.23,5.88,17.48,1.17,2.23,0.98,27.62,67.6,1.69,133.05,-0.02,,109.12,0.0,17-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Mar-2020 - 00:00,51.34,86.38,15.12,8.03,23.15,29.33,10.46,0.58,73.37,6.83,14.02,1.06,2.14,0.85,28.01,62.39,2.1,150.03,-0.02,,117.03,0.0,18-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Mar-2020 - 00:00,65.17,121.04,18.04,8.05,26.11,28.78,23.22,0.62,81.2,7.43,25.85,1.61,3.15,2.06,27.46,57.47,1.88,166.42,-0.02,,115.83,0.0,19-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Mar-2020 - 00:00,59.25,116.34,17.0,6.26,23.28,26.41,23.1,0.53,86.92,7.31,20.17,1.26,2.48,1.23,27.25,53.83,0.68,202.97,-0.02,,121.44,0.0,20-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Mar-2020 - 00:00,35.18,84.58,15.05,6.64,21.69,23.83,18.2,0.44,78.26,4.77,19.43,1.4,2.28,1.39,27.05,49.55,1.26,231.53,-0.02,,138.77,0.0,21-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Mar-2020 - 00:00,39.05,80.53,11.42,5.7,17.15,22.53,15.9,0.33,69.3,6.87,15.69,0.85,1.64,0.85,27.15,70.01,2.61,220.37,-0.02,,123.75,0.0,22-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Mar-2020 - 00:00,14.58,29.69,9.42,5.21,14.63,20.01,8.29,0.23,72.23,2.39,10.29,0.33,0.67,0.3,24.62,71.87,2.18,165.04,-0.02,,140.68,0.0,23-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Mar-2020 - 00:00,25.93,57.38,10.1,5.38,15.48,19.86,8.64,0.35,77.06,3.26,11.41,0.43,0.84,0.35,26.1,75.84,1.73,154.16,-0.02,,116.18,0.0,24-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Mar-2020 - 00:00,29.62,50.93,8.8,5.3,14.1,19.25,8.94,0.4,53.35,3.61,10.95,0.43,0.82,0.3,26.9,74.42,0.7,149.03,-0.02,,131.85,0.0,25-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Mar-2020 - 00:00,51.52,76.69,9.87,5.63,15.48,20.58,17.56,0.45,54.88,6.5,14.03,0.98,1.82,0.79,27.86,75.31,0.56,215.95,-0.02,,112.78,0.0,26-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Mar-2020 - 00:00,31.21,38.89,8.71,5.22,13.91,18.81,3.47,0.39,59.06,3.69,10.56,0.56,1.12,0.44,29.27,64.75,0.46,209.1,-0.02,,141.44,0.0,27-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Mar-2020 - 00:00,43.0,64.12,9.01,5.17,14.19,18.09,15.1,0.42,80.41,3.86,9.75,0.51,0.99,0.38,30.34,53.82,0.47,228.8,-0.02,,190.47,0.0,28-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Mar-2020 - 00:00,39.16,70.6,8.75,5.13,13.88,20.16,1.72,0.4,48.06,3.35,8.23,0.47,0.88,0.35,27.3,86.46,0.65,250.13,-0.02,,32.59,0.0,29-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
31-Mar-2020 - 00:00,47.88,79.06,10.38,5.2,15.59,20.41,8.62,0.51,72.58,6.72,9.44,0.89,1.83,0.7,29.03,52.78,0.53,264.94,-0.02,,28.47,0.0,01-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Apr-2020 - 00:00,41.45,69.17,8.08,5.12,13.2,19.38,12.98,0.37,95.82,2.83,9.03,0.33,0.68,0.26,31.02,62.51,1.07,252.82,-0.02,,138.67,0.0,02-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Apr-2020 - 00:00,36.67,61.42,7.91,5.17,13.08,20.2,4.11,0.37,74.22,3.47,9.92,0.33,0.59,0.29,30.4,70.16,1.05,238.72,-0.02,,136.31,0.0,03-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Apr-2020 - 00:00,40.81,70.55,8.4,5.21,13.62,19.01,5.51,0.46,73.21,4.74,9.21,0.45,0.77,0.39,31.37,68.9,0.46,189.66,-0.02,,137.15,0.0,04-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Apr-2020 - 00:00,49.13,90.38,8.61,5.16,13.77,17.74,8.62,0.44,104.16,4.47,8.91,0.42,0.81,0.34,31.69,52.21,1.27,189.51,-0.02,,135.7,0.0,05-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Apr-2020 - 00:00,40.32,71.01,8.14,5.14,13.29,18.31,12.78,0.46,79.84,3.03,8.33,0.33,0.63,0.25,31.32,63.56,1.25,240.31,-0.02,,130.13,0.0,06-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Apr-2020 - 00:00,39.72,69.46,8.8,5.15,13.96,17.83,17.62,0.45,59.18,3.83,9.18,0.44,0.87,0.38,31.67,54.95,1.9,245.03,-0.02,,158.3,0.0,07-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Apr-2020 - 00:00,38.47,69.18,7.89,5.11,13.01,17.78,23.84,0.41,70.2,2.39,10.08,0.25,0.52,0.22,31.49,54.4,2.64,254.61,-0.02,,142.29,0.0,08-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Apr-2020 - 00:00,24.55,49.99,8.36,5.12,13.48,17.3,17.35,0.37,61.3,2.2,9.6,0.28,0.58,0.23,30.27,51.79,1.71,258.45,-0.02,,99.41,0.0,09-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Apr-2020 - 00:00,21.38,43.01,8.28,5.11,13.38,15.77,19.57,0.34,76.46,2.03,9.45,0.23,0.42,0.2,29.91,47.35,1.55,227.29,-0.02,,148.7,0.0,10-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Apr-2020 - 00:00,21.25,36.96,7.22,5.14,12.37,16.8,10.37,0.36,49.97,1.91,9.92,0.22,0.44,0.17,30.03,76.11,1.9,245.56,-0.02,,137.0,0.0,11-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Apr-2020 - 00:00,20.53,45.12,7.06,5.09,12.15,15.83,10.68,0.35,45.12,1.71,9.68,0.2,0.39,0.15,30.41,71.87,1.9,233.96,-0.02,,139.7,0.0,12-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Apr-2020 - 00:00,24.83,61.01,7.05,5.16,12.22,16.06,8.56,0.37,38.55,2.9,7.82,0.15,0.27,0.17,28.72,79.74,1.14,165.0,-0.01,,126.79,0.0,13-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Apr-2020 - 00:00,26.83,51.82,6.14,3.69,9.83,15.43,7.52,0.41,31.97,3.44,8.45,0.14,0.29,0.21,29.93,85.14,0.95,235.04,-0.01,,131.7,0.0,14-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
