from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Jan-2020 - 00:00,,0.05,147.7,80.44,51.5,113.5,37.57,110.78,21.55,359.43,9.16,1.97,0.69,51.33,46.39,11.87,20.83,12.44,18.51,02-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jan-2020 - 00:00,,0.13,129.58,78.62,50.33,144.12,48.89,141.3,14.59,385.09,9.85,2.21,0.55,62.67,71.94,16.94,32.65,19.54,27.44,03-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jan-2020 - 00:00,,0.15,162.38,78.18,51.92,97.13,32.76,95.13,13.01,181.16,11.55,1.04,0.56,32.72,28.92,6.69,13.06,6.87,7.2,04-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jan-2020 - 00:00,,0.17,190.96,78.14,54.22,53.82,36.04,62.23,14.34,184.23,12.56,1.02,0.69,24.56,21.33,4.35,9.05,4.87,5.77,05-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jan-2020 - 00:00,,0.18,171.16,72.63,51.81,8.17,33.14,24.16,20.35,142.25,12.49,0.79,0.79,9.55,5.68,2.22,1.68,0.15,2.17,06-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jan-2020 - 00:00,,0.17,131.27,74.44,30.76,14.28,38.54,31.93,9.1,150.92,12.63,0.61,0.81,10.85,10.42,2.42,3.62,1.42,3.58,07-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jan-2020 - 00:00,,0.17,135.3,77.56,36.1,11.65,41.46,31.38,17.49,109.96,12.76,0.75,1.05,11.52,11.23,3.14,3.32,1.59,2.99,08-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jan-2020 - 00:00,,0.15,195.12,95.12,20.51,11.04,31.0,25.32,5.15,104.15,12.22,0.64,0.79,9.59,9.03,2.19,2.3,1.03,3.07,09-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jan-2020 - 00:00,,0.21,274.3,85.63,41.56,6.47,26.5,19.27,11.65,97.41,10.27,0.78,1.14,5.35,5.86,1.14,0.96,0.17,1.3,10-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jan-2020 - 00:00,,0.21,297.3,83.49,54.27,17.99,37.88,34.54,14.46,143.32,9.34,0.88,0.83,9.56,10.08,2.65,3.2,1.87,3.28,11-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jan-2020 - 00:00,,0.24,246.84,72.17,58.62,39.13,44.58,55.02,19.86,176.17,10.79,0.99,0.6,17.15,14.96,4.18,6.37,4.25,4.55,12-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jan-2020 - 00:00,,0.25,209.48,76.29,58.43,55.4,39.25,65.2,13.77,202.48,11.83,1.2,0.6,32.46,24.29,6.5,10.26,5.87,7.09,13-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jan-2020 - 00:00,,0.24,168.42,76.33,38.3,30.71,42.31,47.07,16.88,196.12,12.5,1.34,1.39,37.28,19.44,5.12,8.28,4.57,5.65,14-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jan-2020 - 00:00,,0.27,103.03,85.31,48.66,7.02,28.43,20.74,11.09,95.63,11.94,0.97,1.13,10.65,5.4,1.24,1.27,0.32,1.63,15-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jan-2020 - 00:00,,0.27,80.61,79.63,61.13,9.24,32.01,24.42,15.05,122.44,11.9,0.7,0.94,8.19,5.79,1.62,1.0,0.25,2.21,16-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jan-2020 - 00:00,,0.21,137.71,87.21,45.26,10.0,29.6,23.74,7.89,139.72,12.55,0.67,0.86,4.96,11.95,1.96,2.41,0.58,3.05,17-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jan-2020 - 00:00,,0.15,178.49,90.58,56.2,11.95,23.9,22.27,9.4,118.87,14.12,0.58,0.82,30.09,10.48,2.39,2.24,1.03,2.87,18-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jan-2020 - 00:00,,0.19,145.54,88.45,57.99,16.46,30.66,29.48,5.6,114.81,12.93,0.78,0.72,27.43,16.78,2.95,4.32,1.15,3.81,19-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jan-2020 - 00:00,,0.22,300.91,85.57,69.43,5.34,22.34,16.16,7.64,110.43,12.71,0.75,1.07,20.07,3.47,1.12,0.73,0.15,1.78,20-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jan-2020 - 00:00,,0.01,263.92,87.38,42.9,30.6,23.16,36.8,13.18,137.98,13.32,0.95,0.73,14.69,8.66,2.22,4.49,2.22,3.59,21-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jan-2020 - 00:00,,-0.15,140.48,83.39,65.03,46.47,32.02,54.21,15.42,231.37,13.36,1.12,0.75,33.7,22.49,6.27,10.6,5.45,7.38,22-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jan-2020 - 00:00,,-0.07,252.22,90.63,57.42,41.6,27.11,47.7,12.65,188.67,13.75,1.02,0.75,28.17,23.79,5.44,9.37,5.42,8.09,23-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jan-2020 - 00:00,,0.04,313.31,70.78,68.64,6.81,28.58,20.65,8.94,100.62,13.81,0.75,1.29,6.31,5.18,1.8,1.21,0.56,1.35,24-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jan-2020 - 00:00,,0.07,291.15,65.4,62.09,16.49,31.07,29.72,9.9,97.71,15.37,1.07,1.1,20.92,6.03,2.07,2.56,1.37,1.44,25-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jan-2020 - 00:00,,0.01,193.78,70.78,66.24,36.02,36.52,48.25,22.2,131.77,14.1,1.15,0.67,27.54,12.25,3.44,5.76,3.16,3.25,26-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jan-2020 - 00:00,,0.04,204.2,75.01,66.92,52.37,30.13,57.92,24.41,191.53,15.43,1.58,0.7,38.35,17.29,4.57,9.07,4.67,5.3,27-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jan-2020 - 00:00,,0.01,122.36,72.93,47.68,37.83,45.88,54.67,13.05,187.06,15.93,1.03,0.88,27.44,12.18,6.33,5.45,3.31,4.09,28-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jan-2020 - 00:00,,0.01,143.09,80.25,67.94,6.8,31.73,22.32,24.7,97.56,15.79,0.92,1.3,10.17,5.55,1.65,1.54,0.47,1.84,29-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jan-2020 - 00:00,,0.04,151.36,76.84,78.19,9.0,27.61,21.89,22.56,86.0,14.88,0.59,0.84,2.46,9.25,1.61,1.7,0.76,1.38,30-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jan-2020 - 00:00,,0.05,211.66,77.93,74.37,13.42,31.53,27.5,16.49,115.01,14.5,0.39,0.98,3.0,8.1,1.9,1.53,0.51,2.01,31-Jan-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jan-2020 - 00:00,,0.03,210.57,78.35,81.6,12.03,28.49,24.78,18.55,100.94,12.67,0.34,0.85,1.86,8.49,1.92,1.91,0.77,2.38,01-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Feb-2020 - 00:00,,0.02,149.52,75.14,74.82,22.88,28.77,33.6,27.95,115.59,14.31,0.37,0.92,5.56,13.82,2.59,3.69,1.37,3.11,02-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Feb-2020 - 00:00,,0.06,279.08,77.89,81.97,15.45,32.25,29.52,20.7,132.52,13.18,1.26,0.78,8.2,8.0,2.63,2.2,1.17,2.85,03-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Feb-2020 - 00:00,,0.04,233.99,71.42,77.14,33.62,36.91,46.53,23.19,149.99,13.73,0.7,0.62,9.13,12.82,3.97,5.18,2.94,3.99,04-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Feb-2020 - 00:00,,0.1,146.93,66.02,73.6,41.62,44.41,56.92,29.21,181.28,14.76,0.99,0.71,19.71,21.3,5.12,8.46,5.34,5.34,05-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Feb-2020 - 00:00,,0.34,248.14,68.37,74.52,20.76,34.24,34.83,23.63,154.2,13.85,0.59,0.99,7.63,16.31,5.55,5.78,5.13,6.36,06-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Feb-2020 - 00:00,,0.37,226.06,70.31,78.44,15.51,33.01,29.97,28.21,122.25,12.45,0.8,0.75,17.23,24.85,7.23,12.48,8.0,14.53,07-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Feb-2020 - 00:00,,0.22,224.07,69.98,73.58,40.08,40.62,53.67,25.89,153.2,13.06,0.76,0.78,16.82,45.04,11.08,19.1,12.61,23.43,08-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Feb-2020 - 00:00,,0.07,297.6,69.87,74.63,15.64,34.1,30.65,28.89,158.23,13.5,0.61,0.92,20.53,22.33,4.26,7.86,4.66,12.6,09-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Feb-2020 - 00:00,,0.07,267.85,68.35,79.09,22.15,36.52,37.14,28.3,156.52,13.79,0.74,0.7,21.92,24.86,6.07,10.86,6.66,14.08,10-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Feb-2020 - 00:00,,0.05,248.16,72.19,77.59,41.88,39.77,54.66,28.69,201.24,13.41,0.74,0.67,23.88,27.7,9.98,15.74,11.89,18.78,11-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Feb-2020 - 00:00,,0.13,232.98,69.29,81.78,46.2,39.29,57.86,30.03,209.31,14.14,0.83,0.65,29.71,40.88,9.58,17.39,11.36,18.39,12-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Feb-2020 - 00:00,,0.33,265.73,69.26,83.6,17.73,33.44,31.98,31.56,181.16,15.6,0.52,1.13,25.74,20.63,4.95,8.01,5.87,12.38,13-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Feb-2020 - 00:00,,0.35,291.87,61.94,75.11,5.8,30.1,20.65,30.63,122.41,18.03,0.49,1.19,30.13,12.04,5.4,6.77,4.46,8.2,14-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Feb-2020 - 00:00,,0.33,307.62,59.07,77.69,4.69,27.86,18.57,34.54,94.62,17.46,0.65,1.89,17.97,12.41,2.71,4.54,3.24,6.02,15-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Feb-2020 - 00:00,,0.32,295.69,51.32,77.7,6.29,32.22,22.17,34.85,112.78,16.96,0.7,2.06,10.19,6.17,1.32,2.6,1.86,4.7,16-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Feb-2020 - 00:00,,0.32,253.92,57.18,77.84,16.68,39.44,34.32,33.44,146.09,16.97,0.67,1.71,12.89,4.09,0.94,2.08,1.02,2.32,17-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Feb-2020 - 00:00,,0.22,254.86,58.86,87.75,21.03,40.71,38.48,22.42,174.29,17.3,0.66,1.29,20.26,4.77,1.15,2.51,1.26,2.7,18-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Feb-2020 - 00:00,,0.14,250.87,54.61,76.74,35.39,41.16,50.2,28.92,153.12,16.95,0.72,0.94,22.04,4.05,1.12,3.01,1.44,2.76,19-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Feb-2020 - 00:00,,0.1,146.1,55.84,72.33,40.2,34.63,50.58,40.4,134.47,18.43,0.79,1.53,37.08,5.6,1.96,3.61,1.68,2.31,20-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Feb-2020 - 00:00,,0.07,139.74,52.28,78.36,2.78,23.41,14.68,67.49,81.6,20.76,0.51,1.96,19.41,1.4,0.26,0.6,0.26,0.99,21-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Feb-2020 - 00:00,,0.14,77.63,75.58,60.26,3.62,20.64,13.87,41.78,55.04,16.6,0.55,1.81,15.67,2.9,0.45,0.85,0.48,1.17,22-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Feb-2020 - 00:00,,0.15,93.11,71.48,148.52,8.74,29.35,22.6,28.19,61.76,18.03,0.56,0.77,10.27,4.52,0.9,1.55,0.81,1.55,23-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Feb-2020 - 00:00,,0.18,185.14,71.27,175.47,13.3,26.61,24.79,30.98,103.93,19.31,0.6,0.62,17.44,4.94,0.82,1.37,0.84,1.57,24-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Feb-2020 - 00:00,,0.18,240.24,67.84,172.64,14.05,30.04,27.22,25.79,90.01,19.1,0.53,0.63,29.02,2.92,0.57,1.23,0.62,1.1,25-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Feb-2020 - 00:00,,0.21,269.19,72.86,184.53,17.54,32.72,31.44,19.51,148.7,18.74,0.72,0.54,33.98,4.3,0.59,1.31,0.62,1.55,26-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Feb-2020 - 00:00,,0.19,218.11,68.69,186.66,21.12,34.85,35.43,23.14,148.9,19.62,0.63,0.48,33.72,13.96,4.43,7.17,3.8,5.2,27-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Feb-2020 - 00:00,,0.19,151.02,68.48,148.51,8.68,38.94,27.65,35.01,107.13,20.61,0.41,0.57,26.56,11.11,3.02,5.62,2.67,4.0,28-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Feb-2020 - 00:00,,0.12,145.06,67.4,147.45,2.81,20.84,13.33,54.4,87.17,20.96,0.85,1.7,17.01,3.83,0.92,1.8,0.86,2.25,29-Feb-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Feb-2020 - 00:00,,0.14,125.61,70.19,142.1,2.89,20.23,13.07,45.58,63.84,20.11,0.47,1.7,27.28,5.31,1.07,1.91,0.91,2.1,01-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Mar-2020 - 00:00,,0.18,183.45,68.3,179.89,6.81,24.77,18.63,43.02,47.15,20.07,0.28,0.62,15.61,8.97,2.07,4.41,2.03,2.22,02-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Mar-2020 - 00:00,,0.11,193.34,72.56,138.91,41.99,25.89,47.36,30.43,93.84,20.78,0.39,0.32,34.34,25.22,5.66,12.92,6.99,6.21,03-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Mar-2020 - 00:00,,0.03,184.1,61.89,111.11,25.77,27.95,35.49,27.43,101.16,21.38,0.29,0.53,26.15,18.49,3.57,5.93,3.76,4.03,04-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Mar-2020 - 00:00,,-0.01,136.56,61.98,91.48,13.06,32.0,27.47,43.57,66.84,20.9,0.3,1.19,20.79,10.19,2.0,3.99,2.19,3.92,05-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Mar-2020 - 00:00,,-0.02,131.6,68.82,95.35,3.39,20.52,13.62,42.97,33.8,19.14,0.23,1.33,16.35,3.76,0.72,1.57,0.73,1.13,06-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Mar-2020 - 00:00,,-0.0,140.04,81.72,98.9,3.5,23.8,15.46,34.23,38.06,16.04,0.47,1.58,17.78,3.43,0.82,1.84,0.77,0.91,07-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Mar-2020 - 00:00,,0.03,144.44,80.96,69.98,8.27,25.8,20.34,37.14,51.13,16.57,0.64,0.87,26.41,10.8,2.61,4.51,1.06,2.28,08-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Mar-2020 - 00:00,,0.04,270.54,75.47,140.88,28.83,30.14,39.1,29.09,66.98,17.53,0.45,0.66,34.96,14.47,3.52,6.8,1.88,3.3,09-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Mar-2020 - 00:00,,0.06,309.73,64.94,132.23,7.61,28.47,21.23,27.0,66.14,17.87,0.36,0.89,37.51,5.67,1.08,2.53,0.89,1.93,10-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Mar-2020 - 00:00,,0.02,204.71,56.78,113.8,3.06,21.72,14.0,59.46,67.32,19.27,0.32,0.61,35.18,3.83,0.48,1.31,0.49,1.55,11-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Mar-2020 - 00:00,,-0.0,140.77,65.24,131.65,3.39,24.16,15.56,43.48,43.13,20.73,0.39,1.52,31.98,3.54,0.69,1.91,0.74,1.69,12-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Mar-2020 - 00:00,,0.09,152.98,57.74,112.11,8.68,27.23,21.43,31.23,79.21,21.34,0.76,1.12,4.48,3.77,0.91,2.46,1.03,1.14,13-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Mar-2020 - 00:00,,0.1,215.93,51.25,110.24,7.01,29.17,21.12,32.81,115.03,20.37,0.51,0.66,4.42,5.96,1.3,2.4,1.15,1.4,14-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Mar-2020 - 00:00,,0.09,120.06,75.11,76.15,3.44,21.43,14.15,36.79,50.26,18.49,0.42,0.99,4.0,5.83,0.9,1.64,0.81,1.21,15-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Mar-2020 - 00:00,,0.09,223.31,69.81,104.09,8.34,28.82,22.0,48.55,64.98,17.77,0.61,0.61,4.58,7.09,1.29,2.25,1.14,1.75,16-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Mar-2020 - 00:00,,0.1,305.71,66.03,103.1,7.44,29.03,21.39,35.49,67.57,19.56,0.54,0.72,21.11,5.98,1.2,2.25,1.01,1.4,17-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Mar-2020 - 00:00,,0.11,306.5,62.48,125.31,8.64,34.29,25.15,34.15,104.4,20.8,0.92,0.71,8.18,7.56,1.14,2.42,1.09,1.64,18-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Mar-2020 - 00:00,,0.11,271.54,59.09,117.39,5.89,31.9,21.68,33.11,89.93,22.13,0.48,0.8,9.48,4.35,1.24,1.78,0.8,1.59,19-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Mar-2020 - 00:00,,0.11,203.49,63.07,108.46,11.14,31.15,25.47,39.49,95.78,22.89,0.61,0.61,8.37,11.25,1.46,2.51,1.33,1.69,20-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Mar-2020 - 00:00,,0.1,137.98,58.88,94.37,11.12,45.77,33.24,56.27,98.23,24.22,0.57,0.55,7.07,10.1,2.16,4.02,2.04,3.12,21-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Mar-2020 - 00:00,,0.11,215.98,57.08,73.65,8.51,34.13,24.96,43.98,94.11,23.82,0.62,0.63,2.71,6.76,2.15,3.0,1.34,1.89,22-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Mar-2020 - 00:00,,0.11,179.72,54.05,108.09,5.63,23.43,16.97,57.84,75.94,24.23,0.65,0.78,5.6,4.49,0.83,1.5,0.78,2.07,23-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Mar-2020 - 00:00,,0.11,177.69,51.29,119.08,4.13,18.64,13.22,53.75,53.43,24.55,0.56,0.53,3.46,2.53,0.48,1.17,0.51,1.27,24-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Mar-2020 - 00:00,,0.1,158.79,59.53,96.47,4.29,20.13,14.14,43.55,61.63,23.71,0.54,0.8,2.3,2.58,0.48,1.3,0.56,1.35,25-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Mar-2020 - 00:00,,4.96,195.64,63.13,176.97,4.58,15.76,12.05,31.97,47.73,24.35,0.59,0.72,10.79,2.11,0.41,0.87,0.4,0.93,26-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Mar-2020 - 00:00,,4.6,304.33,64.97,97.47,4.28,15.2,11.5,29.02,54.76,23.45,0.37,0.94,4.7,1.19,0.26,0.52,0.19,0.86,27-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Mar-2020 - 00:00,,0.18,172.77,75.45,115.74,4.32,13.2,10.48,28.57,36.74,20.86,0.4,1.11,5.37,0.78,0.19,0.29,0.08,0.52,28-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Mar-2020 - 00:00,,0.19,300.23,71.05,330.67,4.29,14.8,11.31,24.94,35.88,21.43,0.43,0.94,5.1,1.55,0.3,0.64,0.28,0.6,29-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Mar-2020 - 00:00,,0.11,311.85,58.64,200.13,3.99,14.03,10.66,36.37,40.39,22.97,0.47,1.24,3.27,0.79,0.2,0.32,0.07,0.56,30-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Mar-2020 - 00:00,,0.11,284.88,56.84,156.73,3.92,13.99,10.58,45.62,46.98,22.67,0.59,1.08,6.36,1.45,0.22,0.33,0.12,0.64,31-Mar-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Mar-2020 - 00:00,,-0.52,244.92,52.23,136.03,3.81,13.34,10.15,50.05,45.41,23.94,0.68,1.08,6.74,0.93,0.21,0.32,0.08,0.57,01-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Apr-2020 - 00:00,,0.15,253.32,54.76,150.14,4.07,14.43,10.93,41.52,43.03,24.55,0.55,0.88,6.52,1.09,0.2,0.43,0.14,0.63,02-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Apr-2020 - 00:00,,7.45,255.57,51.69,109.77,3.82,12.82,9.88,50.81,42.44,24.25,0.63,1.27,2.9,0.9,0.2,0.24,0.07,0.41,03-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Apr-2020 - 00:00,,-0.46,311.91,44.31,117.48,3.86,14.41,10.75,61.4,38.63,23.35,0.6,0.97,3.34,1.08,0.21,0.34,0.11,0.68,04-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Apr-2020 - 00:00,,-1.48,262.56,43.69,166.71,3.82,14.89,10.98,59.15,40.64,24.25,0.48,0.8,4.69,1.12,0.22,0.43,0.14,0.88,05-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Apr-2020 - 00:00,,2.94,153.53,43.67,154.13,3.9,16.57,11.93,61.14,51.59,25.94,0.45,0.53,4.1,2.11,0.32,0.8,0.28,0.99,06-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Apr-2020 - 00:00,,0.75,182.91,39.21,170.72,4.01,16.5,11.98,55.74,62.59,28.04,0.59,0.92,4.74,1.9,0.34,0.87,0.4,1.12,07-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Apr-2020 - 00:00,,-2.68,172.5,45.12,164.21,3.82,13.39,10.18,57.17,45.92,25.97,0.57,1.44,4.41,0.74,0.19,0.18,0.03,0.6,08-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Apr-2020 - 00:00,,7.89,308.26,38.19,179.46,3.77,12.9,9.88,64.01,43.26,25.7,0.51,1.34,2.24,0.86,0.19,0.2,0.03,0.42,09-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Apr-2020 - 00:00,,1.99,279.62,39.01,171.96,3.79,14.44,10.71,65.6,47.41,25.44,0.41,0.92,4.8,0.9,0.21,0.36,0.12,0.7,10-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Apr-2020 - 00:00,,3.1,196.81,35.44,171.35,4.27,18.45,13.23,55.24,62.99,27.55,0.47,0.54,5.09,2.14,0.33,0.92,0.4,1.27,11-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Apr-2020 - 00:00,,6.19,197.68,34.22,170.13,3.82,16.57,11.87,66.42,45.87,29.66,0.48,0.76,2.68,2.18,0.36,0.89,0.38,0.86,12-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Apr-2020 - 00:00,,3.52,296.33,37.37,180.37,3.78,13.9,10.42,63.9,49.38,28.6,0.6,1.01,5.02,0.88,0.21,0.3,0.11,0.76,13-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Apr-2020 - 00:00,,-5.6,251.74,37.19,171.21,4.21,19.33,13.65,51.0,61.81,30.05,0.55,0.81,7.81,1.54,0.28,0.73,0.3,1.21,14-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Apr-2020 - 00:00,,-2.14,167.62,35.99,156.67,4.09,18.69,13.21,54.68,62.06,31.15,0.69,0.41,6.15,1.78,0.27,0.74,0.31,1.0,15-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Apr-2020 - 00:00,,3.22,200.54,26.72,157.49,5.59,20.6,15.43,45.58,63.83,31.75,0.73,0.52,2.96,2.13,0.39,1.08,0.5,1.04,16-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Apr-2020 - 00:00,,-0.17,291.01,26.87,180.09,4.05,18.08,12.86,55.39,75.91,31.1,0.63,0.94,4.64,2.18,0.32,0.74,0.3,0.92,17-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Apr-2020 - 00:00,,2.35,126.29,28.82,130.26,3.75,13.33,10.09,72.09,56.72,30.51,0.38,1.16,5.76,0.67,0.17,0.18,0.04,0.36,18-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Apr-2020 - 00:00,,7.01,85.41,38.04,147.51,3.84,12.83,9.9,70.93,53.41,28.9,0.52,1.4,3.33,0.85,0.16,0.16,0.06,0.47,19-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Apr-2020 - 00:00,,-4.4,229.34,40.19,203.51,3.87,15.0,11.08,58.95,52.96,27.99,0.62,0.83,3.4,0.94,0.19,0.35,0.16,0.56,20-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Apr-2020 - 00:00,,-4.3,186.17,43.2,135.45,4.85,18.13,13.52,42.12,61.64,26.32,0.69,0.9,6.15,2.37,0.41,0.91,0.41,0.98,21-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
