from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
10-Aug-2020 - 00:00,67.42,-0.31,142.89,82.54,137.97,6.24,15.79,12.37,12.9,22.11,28.19,0.33,0.88,5.88,1.93,0.49,0.84,0.32,0.48,11-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Aug-2020 - 00:00,80.26,-0.05,201.14,79.04,138.74,6.42,19.59,14.9,9.72,31.72,31.0,0.57,0.69,6.71,3.07,1.02,1.45,0.46,0.49,12-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Aug-2020 - 00:00,77.09,-0.12,252.38,77.65,159.08,6.48,12.33,11.74,12.42,27.1,31.1,0.26,0.96,3.94,1.19,0.43,0.37,0.08,0.13,13-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Aug-2020 - 00:00,31.88,-0.37,149.73,94.31,39.22,7.1,14.13,13.19,11.69,12.73,26.88,0.38,0.67,4.39,3.73,0.7,1.41,0.59,0.63,14-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Aug-2020 - 00:00,44.42,-0.12,109.28,86.8,96.86,6.37,14.49,12.8,9.99,15.09,28.64,0.36,0.96,5.45,3.33,0.7,1.29,0.51,0.64,15-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Aug-2020 - 00:00,52.41,-0.0,140.28,80.51,151.06,6.41,22.71,17.19,14.6,21.07,30.31,0.5,1.04,3.86,1.08,0.31,0.2,0.05,0.16,16-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Aug-2020 - 00:00,43.63,-0.02,150.9,81.31,170.71,5.86,14.73,12.52,12.14,20.29,30.58,0.34,0.95,5.69,0.98,0.33,0.39,0.13,0.15,17-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Aug-2020 - 00:00,60.89,-0.31,147.12,84.41,88.54,7.48,16.57,14.78,11.72,23.21,30.2,0.42,0.89,4.19,3.41,0.82,1.29,0.51,0.52,18-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Aug-2020 - 00:00,58.51,0.05,189.64,85.3,85.88,7.8,17.77,15.68,10.13,19.01,29.61,0.27,0.58,6.39,1.72,0.66,1.03,0.29,0.31,19-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Aug-2020 - 00:00,51.16,-0.1,156.42,93.7,18.52,10.87,23.02,20.94,6.32,21.54,26.94,0.32,0.81,8.88,3.97,1.36,2.07,0.79,0.56,20-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Aug-2020 - 00:00,58.27,0.02,128.04,92.06,57.52,10.18,34.03,26.24,28.57,19.42,26.77,0.4,0.85,7.29,4.46,0.93,1.52,0.72,0.63,21-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Aug-2020 - 00:00,63.89,0.17,113.21,77.87,168.75,8.91,22.65,19.13,30.61,16.34,29.12,0.35,1.02,10.25,4.01,0.73,1.53,0.65,0.69,22-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Aug-2020 - 00:00,75.28,0.18,107.0,73.3,182.29,6.17,17.42,14.17,20.76,14.48,29.89,0.4,1.59,11.03,2.25,1.06,1.15,0.32,0.34,23-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Aug-2020 - 00:00,57.95,0.25,117.03,77.98,127.66,5.87,14.97,12.64,19.31,13.68,29.2,0.38,1.63,10.41,0.9,0.26,0.04,0.01,0.04,24-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Aug-2020 - 00:00,49.47,0.25,141.23,81.03,82.82,6.05,16.44,13.56,15.44,14.36,28.57,0.65,1.41,9.87,0.78,0.25,0.29,0.06,0.06,25-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Aug-2020 - 00:00,56.4,0.13,163.67,80.72,96.79,6.38,17.97,14.65,13.41,16.82,28.81,0.24,1.21,8.7,0.83,0.48,0.49,0.11,0.07,26-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Aug-2020 - 00:00,77.23,0.05,235.51,77.04,117.11,8.79,20.1,17.72,12.5,18.85,29.5,0.22,0.54,8.18,1.35,0.51,0.56,0.14,0.12,27-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Aug-2020 - 00:00,87.68,0.12,254.88,73.77,145.12,10.77,21.35,19.96,15.01,19.18,30.19,0.27,0.67,7.75,1.88,0.38,0.46,0.19,0.21,28-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Aug-2020 - 00:00,86.09,-0.01,192.99,80.14,120.92,11.05,22.8,20.96,16.17,20.28,29.01,0.77,0.7,8.56,4.13,0.91,1.47,0.65,0.69,29-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Aug-2020 - 00:00,96.07,0.1,131.41,75.85,146.73,9.69,24.04,20.54,38.02,24.44,29.93,0.51,0.69,10.8,4.13,0.65,1.2,0.5,0.47,30-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Aug-2020 - 00:00,69.68,0.1,123.6,77.94,78.32,6.41,22.18,16.2,18.88,23.13,28.51,0.69,1.77,17.27,1.97,0.34,0.25,0.1,0.15,31-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Aug-2020 - 00:00,39.24,0.11,155.21,78.19,123.8,5.96,16.91,13.75,16.61,17.8,28.36,0.59,1.63,7.65,1.07,0.61,0.93,0.39,0.15,01-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Sep-2020 - 00:00,56.56,0.08,189.05,71.78,143.24,6.25,18.45,14.82,16.64,20.53,29.51,0.65,0.93,7.19,2.08,1.33,1.08,0.3,0.26,02-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Sep-2020 - 00:00,63.33,0.06,195.76,73.56,133.29,5.21,18.85,14.2,26.19,17.1,29.95,0.72,0.49,8.24,3.9,1.61,1.69,0.79,0.68,03-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Sep-2020 - 00:00,72.2,0.09,137.1,72.99,154.22,4.57,19.37,13.93,24.84,16.11,30.54,0.38,1.16,9.67,3.91,1.11,1.29,0.4,0.5,04-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Sep-2020 - 00:00,74.12,0.11,165.52,75.96,118.67,4.99,18.73,13.9,25.79,19.35,30.14,0.51,0.91,7.93,3.02,1.19,1.04,0.39,0.42,05-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Sep-2020 - 00:00,84.51,-0.02,213.63,78.23,158.33,7.33,21.31,17.16,25.69,17.32,29.28,0.55,0.69,8.33,6.87,3.19,2.5,1.0,0.75,06-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Sep-2020 - 00:00,56.63,0.01,224.05,78.69,145.13,5.47,17.75,13.76,27.77,20.26,29.23,0.55,0.44,6.17,4.51,1.09,1.24,0.52,0.54,07-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Sep-2020 - 00:00,104.05,-0.02,204.95,79.87,101.77,7.18,26.32,19.72,22.04,24.77,29.13,0.47,0.49,7.38,7.73,2.45,3.16,1.17,1.59,08-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Sep-2020 - 00:00,74.14,0.05,265.99,74.86,148.25,5.58,17.53,13.73,25.64,20.02,29.93,0.63,0.7,6.92,3.73,0.92,0.77,0.18,0.55,09-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Sep-2020 - 00:00,130.97,-0.01,289.68,74.02,153.64,7.85,21.37,17.62,25.65,24.6,30.76,0.43,0.77,7.42,5.77,1.43,1.17,0.24,1.09,10-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Sep-2020 - 00:00,132.75,-0.0,279.65,70.33,149.99,6.99,23.47,18.07,24.67,25.53,30.92,0.5,0.75,7.1,7.82,1.72,1.25,0.5,1.08,11-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Sep-2020 - 00:00,145.95,0.02,206.7,63.01,162.76,6.62,24.29,18.2,28.17,26.9,31.81,0.71,0.55,7.67,6.66,1.72,1.88,0.67,1.01,12-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Sep-2020 - 00:00,161.34,0.05,217.56,61.92,158.76,12.21,24.19,22.63,30.19,26.05,31.95,0.39,0.67,6.94,14.09,2.65,3.72,1.81,1.79,13-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Sep-2020 - 00:00,159.65,0.06,143.9,68.11,125.1,5.46,14.13,11.86,29.81,28.11,31.48,0.54,0.64,5.83,7.74,1.19,1.25,0.31,0.99,14-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Sep-2020 - 00:00,141.8,0.07,170.84,66.83,133.04,3.77,17.49,12.3,30.7,23.9,31.7,0.82,0.69,6.18,3.98,0.98,0.59,0.06,0.58,15-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Sep-2020 - 00:00,144.62,0.02,192.07,66.44,130.27,4.27,16.08,11.94,32.73,23.46,31.66,0.76,0.62,6.77,7.39,1.27,1.21,0.37,0.81,16-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Sep-2020 - 00:00,162.79,0.04,258.38,64.87,145.54,4.5,20.36,14.42,28.29,24.84,32.15,0.96,0.74,7.15,4.42,1.35,1.38,0.28,0.78,17-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Sep-2020 - 00:00,135.89,0.07,289.1,62.16,156.98,4.83,18.71,13.79,25.46,20.0,32.42,0.39,0.99,6.77,3.28,1.45,0.37,0.06,0.67,18-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Sep-2020 - 00:00,118.29,0.13,276.84,63.12,156.2,3.93,16.44,11.84,25.02,18.49,32.62,0.43,1.01,6.73,3.29,1.12,0.41,0.19,0.38,19-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Sep-2020 - 00:00,126.52,0.12,219.83,63.89,144.2,4.01,15.3,11.27,38.15,20.46,32.07,0.43,0.71,5.48,3.54,0.93,0.4,0.12,0.7,20-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Sep-2020 - 00:00,157.5,0.12,278.7,66.28,145.37,3.23,17.92,12.08,37.43,31.06,31.54,0.58,0.98,5.76,5.9,1.15,0.8,0.52,0.79,21-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Sep-2020 - 00:00,146.88,0.09,285.39,64.95,134.45,3.53,16.49,11.52,44.41,31.42,31.8,0.49,0.85,5.91,2.57,0.78,0.49,0.07,0.79,22-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Sep-2020 - 00:00,107.88,0.11,152.37,68.14,119.39,4.1,18.99,13.34,31.67,23.06,31.33,0.74,0.74,6.65,4.61,1.15,1.26,0.35,0.74,23-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Sep-2020 - 00:00,83.49,0.08,136.6,67.6,109.96,3.53,18.93,12.83,34.36,17.01,30.98,0.47,0.81,5.23,4.93,1.32,1.76,0.16,0.85,24-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Sep-2020 - 00:00,88.2,0.05,162.17,67.82,131.35,4.63,18.79,13.67,43.31,17.06,30.33,0.67,0.86,5.12,5.39,1.3,1.29,0.15,0.75,25-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Sep-2020 - 00:00,146.62,-0.03,227.8,61.75,142.54,6.43,24.52,18.14,44.77,24.97,30.94,0.65,0.82,8.78,6.78,2.14,2.8,0.25,1.05,26-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Sep-2020 - 00:00,171.84,-0.02,225.78,60.9,79.53,7.41,28.17,20.9,22.92,28.25,28.92,0.71,0.65,6.89,9.08,2.36,2.72,0.3,1.27,27-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Sep-2020 - 00:00,113.11,0.06,264.27,59.13,151.87,12.56,23.95,22.77,31.6,19.02,28.87,0.77,0.66,10.01,6.08,1.57,2.98,0.33,0.91,28-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Sep-2020 - 00:00,202.06,0.0,259.16,56.53,149.5,9.12,25.65,20.91,41.59,27.83,29.66,0.59,0.93,6.79,8.58,2.08,2.75,0.27,1.62,29-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Sep-2020 - 00:00,209.16,-0.0,283.29,61.69,146.97,3.66,23.73,15.33,43.62,35.73,29.27,0.57,0.97,10.78,5.54,2.12,0.98,0.04,1.58,30-Sep-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Sep-2020 - 00:00,182.18,-0.04,292.68,58.31,150.97,3.74,22.15,14.58,46.12,29.2,28.99,0.78,0.97,7.14,4.41,1.44,0.96,0.07,0.88,01-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Oct-2020 - 00:00,177.13,0.0,254.97,53.69,150.01,4.35,25.58,16.84,41.93,29.3,29.5,0.67,0.85,6.99,8.12,1.94,1.6,0.19,1.46,02-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Oct-2020 - 00:00,192.21,-0.02,244.1,56.98,151.12,4.68,23.64,16.2,50.17,29.53,28.85,0.77,0.73,6.31,3.92,1.18,1.05,0.05,1.32,03-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Oct-2020 - 00:00,207.79,-0.02,262.71,54.22,145.12,4.99,29.12,19.44,41.46,30.96,28.56,0.98,0.63,10.52,3.47,1.29,0.94,0.07,1.24,04-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
