from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
10-Aug-2020 - 00:00,7.95,7.5,4.17,9.54,16.09,0.39,14.65,23.77,32.98,1.72,56.41,0.89,2.47,29.41,105.6,93.3,0.0,0.41,138.76,11-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Aug-2020 - 00:00,11.94,10.95,7.77,9.37,21.59,0.46,12.69,25.38,52.77,1.78,79.67,1.11,1.55,29.9,332.1,92.75,0.0,0.58,181.08,12-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Aug-2020 - 00:00,6.87,7.16,5.61,13.96,0.2,0.35,13.82,22.76,47.95,1.14,66.2,0.64,0.88,30.37,825.07,89.02,0.13,0.72,239.73,13-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Aug-2020 - 00:00,5.56,7.88,5.81,9.01,2.23,0.37,7.66,13.23,25.18,1.28,63.09,1.07,3.06,25.99,342.79,,0.56,0.4,143.03,14-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Aug-2020 - 00:00,14.43,12.7,5.37,11.12,42.02,0.33,8.38,16.12,33.55,1.66,57.74,1.02,2.95,28.07,221.48,91.94,0.0,0.43,122.67,15-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Aug-2020 - 00:00,15.44,13.33,6.57,41.02,4.43,0.33,11.19,24.41,39.98,1.18,56.9,0.66,1.81,29.83,,88.91,0.0,0.39,112.56,16-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Aug-2020 - 00:00,14.99,12.7,6.07,39.47,3.75,0.32,11.52,27.96,42.03,1.14,58.06,0.59,1.6,29.94,204.26,90.97,0.0,0.35,132.04,17-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Aug-2020 - 00:00,14.03,13.25,7.38,34.5,12.14,0.35,12.57,21.9,34.7,1.45,50.54,0.82,2.01,27.85,177.87,,0.0,0.41,120.3,18-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Aug-2020 - 00:00,10.77,11.12,6.85,26.41,3.71,0.4,26.35,27.8,40.71,2.0,54.03,0.99,2.8,29.21,232.21,89.77,0.0,0.74,139.91,19-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Aug-2020 - 00:00,11.75,10.15,4.89,31.28,9.56,0.36,19.89,15.88,25.69,1.61,56.15,1.17,3.24,26.57,38.52,,0.06,0.61,161.24,20-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Aug-2020 - 00:00,10.05,8.65,4.24,34.88,4.39,0.3,5.61,10.67,29.06,1.25,60.39,0.98,2.69,26.32,160.12,96.84,0.01,0.46,110.53,21-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Aug-2020 - 00:00,11.36,12.3,7.94,40.0,6.84,0.39,5.63,13.75,26.91,1.5,58.38,1.11,3.07,26.98,347.13,97.75,0.3,0.47,64.91,22-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Aug-2020 - 00:00,11.29,14.18,10.32,45.98,5.07,0.31,5.98,19.19,34.1,1.55,53.42,1.2,3.19,29.15,466.17,86.94,0.0,0.38,110.58,23-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Aug-2020 - 00:00,10.04,9.3,5.05,43.78,4.94,0.25,8.62,17.2,32.61,0.95,18.44,0.93,2.37,29.38,318.3,85.18,0.0,0.52,101.0,24-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Aug-2020 - 00:00,12.06,14.25,9.85,45.43,14.88,0.26,6.75,15.47,39.07,1.2,15.55,1.0,2.72,28.43,205.15,89.93,0.0,0.46,112.91,25-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Aug-2020 - 00:00,9.55,8.91,5.06,43.29,5.47,0.27,9.57,21.05,35.6,1.28,14.35,0.86,2.34,29.24,254.18,86.18,0.0,0.6,147.89,26-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Aug-2020 - 00:00,9.57,9.87,6.09,30.9,5.29,0.33,9.37,22.34,43.01,1.76,18.6,1.24,3.33,28.97,277.19,90.7,0.0,0.71,208.89,27-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Aug-2020 - 00:00,12.21,12.92,8.2,32.62,17.3,0.36,10.03,22.85,41.15,1.7,19.2,1.66,2.83,29.78,260.89,87.29,0.02,0.29,179.14,28-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Aug-2020 - 00:00,8.59,14.94,13.0,33.28,5.56,0.34,4.54,27.88,45.73,1.95,17.14,1.49,3.58,27.01,211.9,94.0,0.01,0.43,125.14,29-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Aug-2020 - 00:00,7.94,6.68,4.02,23.72,6.15,0.3,11.71,19.86,38.87,1.29,15.87,0.97,2.41,28.81,192.26,84.3,0.0,0.39,140.55,30-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Aug-2020 - 00:00,7.07,6.92,4.0,23.05,10.75,0.25,10.11,21.73,36.59,1.24,13.75,0.84,2.19,28.82,208.05,82.6,0.25,0.53,101.98,31-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-Aug-2020 - 00:00,6.65,5.88,2.96,22.29,5.95,0.22,12.47,15.71,35.95,4.56,24.24,21.59,56.55,28.76,201.82,83.69,0.0,0.63,167.71,01-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Sep-2020 - 00:00,7.76,7.23,3.88,20.94,5.75,0.3,14.07,24.41,46.48,6.6,26.19,12.99,31.3,28.62,202.26,85.79,0.0,0.53,163.07,02-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Sep-2020 - 00:00,8.79,7.88,4.2,16.94,20.36,0.35,12.68,27.12,54.24,2.49,14.21,2.38,5.22,29.53,253.72,82.79,0.0,0.63,199.67,03-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Sep-2020 - 00:00,11.54,9.73,4.63,14.75,4.33,0.35,9.16,34.43,76.68,3.11,16.43,1.67,4.52,28.27,246.21,92.25,0.0,0.37,96.29,04-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Sep-2020 - 00:00,13.77,12.06,6.52,16.49,17.97,0.41,11.76,32.17,52.08,2.52,14.02,1.41,3.53,29.33,263.01,91.0,0.0,0.34,109.05,05-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Sep-2020 - 00:00,10.24,8.55,4.81,11.93,4.55,0.41,15.19,41.13,57.27,2.49,15.43,1.32,1.72,28.95,204.15,87.97,0.0,0.6,200.91,06-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Sep-2020 - 00:00,6.79,5.81,2.8,9.58,6.27,0.32,15.67,20.64,39.9,1.74,14.46,0.75,1.73,27.94,,89.45,0.0,0.41,203.11,07-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Sep-2020 - 00:00,11.07,10.13,5.75,8.82,8.42,0.45,12.48,30.09,82.63,1.88,13.65,0.91,2.03,29.22,181.58,89.73,0.0,0.55,226.69,08-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Sep-2020 - 00:00,7.25,6.07,2.98,7.9,4.55,0.41,9.03,34.25,55.99,1.84,15.16,0.95,2.31,29.58,387.78,83.9,0.0,0.75,278.8,09-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Sep-2020 - 00:00,7.55,6.39,3.32,5.99,22.44,0.42,13.38,41.68,64.01,2.02,14.12,0.83,2.02,30.6,328.45,81.98,0.0,0.74,267.11,10-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Sep-2020 - 00:00,6.52,5.63,2.51,5.86,4.49,0.43,13.42,42.56,64.13,1.8,14.6,0.76,2.06,29.92,219.97,83.39,0.0,0.94,271.82,11-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Sep-2020 - 00:00,6.63,5.52,2.54,5.18,5.12,0.4,15.84,44.28,71.13,1.92,15.6,0.82,2.04,30.57,244.64,79.13,0.0,0.64,254.05,12-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Sep-2020 - 00:00,8.46,6.65,2.83,3.53,3.93,0.44,26.48,51.65,70.13,2.18,13.46,0.69,1.61,30.75,175.88,79.08,0.0,0.56,252.78,13-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Sep-2020 - 00:00,6.77,5.45,2.38,3.65,5.04,0.42,28.65,51.34,77.21,1.93,14.7,0.64,1.58,30.72,184.15,84.66,0.0,0.5,270.08,14-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Sep-2020 - 00:00,7.81,6.02,2.42,3.27,5.54,0.48,28.5,53.35,84.88,2.03,15.4,0.9,2.33,30.55,251.23,84.36,0.0,0.66,268.47,15-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Sep-2020 - 00:00,6.06,5.3,2.62,2.7,9.01,0.48,25.06,53.07,77.62,2.14,14.54,0.98,2.12,29.82,298.67,88.61,0.0,0.76,274.66,16-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Sep-2020 - 00:00,6.75,6.06,3.16,2.61,4.82,0.44,22.93,51.59,86.87,2.1,20.24,1.01,2.35,30.93,254.38,83.73,0.0,0.92,267.52,17-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Sep-2020 - 00:00,4.4,7.01,3.23,21.65,18.04,0.4,21.08,43.46,72.46,6.06,46.43,27.04,44.28,30.53,96.83,80.0,0.0,1.09,274.28,18-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Sep-2020 - 00:00,2.67,8.41,3.3,37.45,4.99,0.38,22.12,35.48,66.65,3.32,23.59,5.81,11.73,30.48,255.13,81.68,0.0,1.05,274.74,19-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Sep-2020 - 00:00,2.54,8.22,3.22,19.54,4.34,0.5,25.53,43.05,76.91,3.2,21.69,3.83,8.37,30.17,230.69,81.1,0.0,0.56,260.85,20-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Sep-2020 - 00:00,2.5,8.47,3.65,15.46,4.65,0.49,25.39,49.0,89.95,3.2,21.43,2.46,5.48,30.46,225.18,85.54,0.0,0.69,260.59,21-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Sep-2020 - 00:00,2.18,7.22,3.04,12.29,11.69,0.5,21.94,47.88,80.22,2.21,17.97,1.59,3.15,29.84,230.57,81.12,0.0,0.54,266.57,22-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Sep-2020 - 00:00,1.72,6.58,3.46,11.64,6.76,0.44,15.67,36.53,75.62,2.02,12.01,0.33,0.78,30.19,232.74,86.46,0.0,0.38,117.05,23-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Sep-2020 - 00:00,1.46,7.26,4.47,4.61,6.3,0.41,16.05,25.27,54.19,1.22,13.88,0.31,0.8,29.73,180.78,84.49,0.0,0.48,151.69,24-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Sep-2020 - 00:00,1.14,7.03,4.7,4.14,6.67,0.39,20.15,35.4,61.18,0.84,13.82,0.29,0.72,29.11,267.68,87.16,0.0,0.75,205.16,25-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Sep-2020 - 00:00,1.53,5.34,2.61,3.78,30.93,0.54,26.11,54.44,109.7,1.89,13.01,0.75,1.77,29.37,464.93,82.0,0.0,0.82,259.8,26-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Sep-2020 - 00:00,1.06,4.8,2.76,4.32,6.7,0.46,24.79,46.08,147.61,2.67,18.8,1.17,2.68,29.06,508.68,65.96,0.0,0.64,210.26,27-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Sep-2020 - 00:00,13.69,42.03,11.98,7.45,16.31,0.28,28.46,30.04,116.94,1.38,14.57,0.97,1.87,30.01,287.6,73.59,0.0,0.91,280.66,28-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Sep-2020 - 00:00,7.8,17.91,2.98,5.04,17.12,0.45,31.01,62.82,112.28,2.32,17.49,1.41,2.66,29.07,230.47,78.75,0.0,1.07,271.01,29-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Sep-2020 - 00:00,6.13,14.5,2.77,4.42,19.7,0.4,29.88,59.6,89.31,2.37,16.42,1.21,2.7,28.01,181.38,72.56,0.0,1.04,278.98,30-Sep-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Sep-2020 - 00:00,5.25,12.53,2.48,2.53,8.39,0.42,33.02,56.24,83.62,2.16,15.81,1.05,2.39,27.72,274.27,76.81,0.0,1.19,280.44,01-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Oct-2020 - 00:00,6.03,14.17,2.63,6.83,14.39,0.43,30.98,56.03,79.26,2.46,14.82,1.11,2.65,27.8,228.06,72.11,0.0,0.85,277.16,02-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Oct-2020 - 00:00,5.42,12.97,2.59,14.41,9.53,0.45,33.98,57.41,83.74,3.1,16.5,1.05,2.47,27.43,245.01,75.58,0.0,0.64,259.84,03-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Oct-2020 - 00:00,13.92,30.34,3.7,34.82,17.85,0.46,38.26,54.08,109.44,5.18,17.14,1.84,3.01,29.57,232.13,55.62,0.0,0.8,280.63,04-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Oct-2020 - 00:00,7.57,17.32,2.82,32.43,10.7,0.54,36.31,72.31,111.29,3.5,14.68,0.96,2.25,27.36,211.77,63.95,0.0,0.68,245.37,05-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Oct-2020 - 00:00,8.41,18.92,2.8,18.97,24.87,0.52,38.06,64.23,134.39,2.97,10.96,0.9,2.3,27.05,298.09,66.8,0.0,0.95,280.77,06-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Oct-2020 - 00:00,8.44,18.97,2.82,14.37,12.09,0.58,34.81,63.34,115.01,3.36,13.71,1.03,2.63,27.05,220.29,63.53,0.0,0.72,224.09,07-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Oct-2020 - 00:00,13.73,35.83,9.55,12.19,22.11,0.71,32.12,73.96,133.31,4.15,11.99,1.23,3.08,27.02,176.62,66.69,0.0,0.6,240.56,08-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Oct-2020 - 00:00,9.66,21.07,2.9,11.41,23.89,0.64,32.84,66.68,143.66,4.07,13.02,1.33,3.42,27.52,164.06,62.2,0.0,0.67,227.15,09-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Oct-2020 - 00:00,9.83,22.86,4.06,10.13,11.07,0.74,32.45,69.32,138.88,4.23,14.96,1.22,3.12,27.4,161.48,67.66,0.0,0.54,248.49,10-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Oct-2020 - 00:00,8.93,19.87,2.64,8.67,24.37,0.68,35.12,94.38,131.85,4.16,13.28,1.06,2.69,27.16,157.28,69.59,0.0,0.53,266.02,11-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Oct-2020 - 00:00,8.68,19.61,3.0,7.08,13.85,0.88,38.88,111.86,150.45,5.14,14.59,1.25,3.24,27.02,166.46,68.96,0.0,0.51,218.9,12-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Oct-2020 - 00:00,17.41,46.62,14.15,5.87,23.74,1.16,23.75,133.7,209.72,6.82,13.18,1.72,4.57,26.96,64.21,69.94,0.0,0.34,173.19,13-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Oct-2020 - 00:00,15.68,42.7,11.0,5.59,10.21,0.88,16.62,84.11,139.58,7.65,15.35,1.72,4.3,26.39,,74.76,0.0,0.34,102.34,14-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Oct-2020 - 00:00,18.35,47.65,12.32,10.47,14.47,1.18,21.7,94.67,161.55,7.72,14.54,2.39,5.95,27.61,166.96,67.36,0.0,0.46,233.52,15-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Oct-2020 - 00:00,14.58,33.25,3.86,13.13,26.14,1.1,21.73,314.95,174.03,7.7,15.21,1.76,4.48,26.67,166.51,59.74,0.0,0.52,244.39,16-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Oct-2020 - 00:00,18.7,40.27,4.32,28.31,52.15,0.95,26.0,104.45,155.62,5.88,24.55,1.77,4.61,28.28,157.11,36.6,0.0,0.44,236.78,17-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Oct-2020 - 00:00,18.91,44.29,9.2,25.44,21.01,0.73,11.64,97.33,157.16,6.28,54.09,1.86,4.42,24.45,106.7,46.88,0.0,0.47,223.31,18-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Oct-2020 - 00:00,12.28,26.09,2.75,18.36,19.94,0.55,28.23,85.74,167.65,6.32,16.43,1.47,3.55,27.55,171.83,55.01,0.0,0.9,284.03,19-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Oct-2020 - 00:00,19.69,40.69,3.1,10.92,37.79,1.01,40.29,129.4,211.44,6.63,9.89,1.85,3.34,28.33,179.63,36.41,0.0,0.83,297.6,20-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Oct-2020 - 00:00,14.7,32.65,3.09,10.2,20.13,0.98,33.89,105.79,152.92,5.99,14.58,1.63,3.99,25.78,140.12,41.37,0.0,0.59,287.2,21-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Oct-2020 - 00:00,27.48,79.27,22.15,8.36,36.12,1.2,25.11,134.63,205.45,7.85,11.61,2.21,5.81,25.08,144.77,40.96,0.0,0.41,218.97,22-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Oct-2020 - 00:00,30.44,76.56,18.29,36.02,29.92,1.43,22.66,138.13,241.71,8.86,13.55,2.62,6.69,24.94,155.86,49.48,0.0,0.32,200.95,23-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Oct-2020 - 00:00,27.29,64.65,13.56,24.47,26.46,1.15,22.13,101.02,226.77,9.8,15.57,2.4,3.68,24.01,62.76,48.46,0.0,0.34,181.53,24-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Oct-2020 - 00:00,35.65,105.92,42.0,36.29,24.4,1.32,11.94,139.13,240.55,9.24,12.99,3.51,3.69,21.55,187.82,61.62,0.0,0.38,242.84,25-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Oct-2020 - 00:00,21.31,47.47,6.38,56.88,17.58,0.95,44.12,125.31,249.75,7.35,13.76,1.95,4.77,25.69,234.83,43.98,0.0,0.44,216.04,26-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Oct-2020 - 00:00,24.42,52.97,6.42,56.92,43.76,0.95,30.11,127.54,268.41,7.92,12.83,1.94,3.66,25.15,147.72,52.36,0.0,0.43,194.27,27-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Oct-2020 - 00:00,21.67,41.47,4.09,53.87,35.19,1.06,21.03,121.09,191.26,6.73,10.46,2.24,6.58,22.28,134.63,49.82,0.0,0.8,273.98,28-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Oct-2020 - 00:00,24.48,87.72,34.65,51.87,21.08,1.72,26.85,126.15,209.68,11.02,16.23,3.34,8.34,22.07,86.64,42.36,0.0,0.61,240.15,29-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Oct-2020 - 00:00,36.58,79.6,27.14,50.15,28.95,1.28,17.26,92.91,218.4,14.39,15.87,3.53,7.8,24.24,164.24,50.71,0.0,0.27,121.4,30-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Oct-2020 - 00:00,27.39,56.69,6.21,56.32,20.76,0.87,33.31,98.13,187.32,5.79,10.89,2.06,4.99,22.9,134.65,50.46,0.0,0.53,241.81,31-Oct-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-Oct-2020 - 00:00,19.18,39.18,2.58,57.43,22.54,1.19,26.82,131.3,259.94,7.19,11.01,1.35,3.32,21.3,103.21,47.75,0.0,0.8,281.96,01-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Nov-2020 - 00:00,18.68,39.22,2.47,51.38,24.46,1.21,23.29,132.61,261.35,6.97,11.5,1.33,3.3,22.07,182.31,39.9,0.0,0.73,276.94,02-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Nov-2020 - 00:00,22.89,46.52,2.71,48.69,27.22,1.3,15.78,121.32,268.73,8.26,12.28,1.83,4.72,21.43,140.74,39.77,0.0,0.55,265.83,03-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Nov-2020 - 00:00,43.73,138.94,55.27,62.08,23.38,2.12,6.04,142.68,286.07,10.8,14.66,6.24,14.52,20.53,127.36,45.75,0.0,0.36,192.72,04-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Nov-2020 - 00:00,38.39,133.38,60.57,65.08,36.21,1.66,9.45,131.53,327.45,11.46,15.4,5.93,12.8,21.18,119.9,51.0,0.0,0.6,262.21,05-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Nov-2020 - 00:00,45.48,52.72,3.91,54.84,58.86,1.16,7.82,146.55,373.67,4.58,8.2,0.82,1.65,22.33,107.56,44.96,0.0,0.55,225.14,06-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Nov-2020 - 00:00,50.24,28.86,3.1,45.59,27.91,1.03,7.96,104.67,212.65,6.63,10.75,1.59,4.07,22.42,83.28,40.42,0.0,0.59,227.42,07-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Nov-2020 - 00:00,44.06,24.55,2.38,38.78,48.43,1.66,26.63,125.64,249.31,6.09,7.3,1.06,2.67,21.75,111.91,43.8,0.0,0.61,272.29,08-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Nov-2020 - 00:00,63.16,48.99,22.08,44.5,61.51,2.0,34.7,168.75,292.67,4.77,9.71,0.39,0.42,20.69,115.45,56.64,0.0,0.35,175.13,09-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Nov-2020 - 00:00,94.04,129.55,62.53,88.18,21.23,1.81,18.9,116.05,260.21,10.31,11.42,3.89,5.35,20.17,134.73,65.49,0.0,0.3,153.37,10-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Nov-2020 - 00:00,44.97,126.67,40.06,133.83,17.68,1.26,33.28,94.15,182.97,8.8,9.65,2.56,4.27,20.21,127.06,60.78,0.0,0.3,116.76,11-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Nov-2020 - 00:00,45.48,151.48,57.37,148.8,21.96,1.42,29.65,95.94,169.07,9.91,10.51,3.84,7.34,20.54,105.96,64.58,0.0,0.33,112.34,12-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Nov-2020 - 00:00,38.02,145.65,73.1,150.88,22.97,1.15,44.26,101.75,142.76,10.13,9.99,3.56,7.18,20.88,121.39,64.11,0.0,0.31,140.73,13-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Nov-2020 - 00:00,32.93,72.66,9.71,113.21,17.67,1.15,28.3,109.54,193.19,8.02,9.81,2.21,5.08,20.38,109.52,54.93,0.0,0.44,247.2,14-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Nov-2020 - 00:00,27.64,82.26,29.36,151.88,34.39,1.83,28.64,171.45,256.78,9.83,8.69,2.94,7.22,19.31,101.82,60.52,0.0,0.31,192.74,15-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Nov-2020 - 00:00,25.2,66.52,18.89,186.77,36.43,0.96,28.46,161.29,216.43,9.49,7.48,2.42,5.11,18.27,79.45,76.07,0.1,0.43,102.31,16-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Nov-2020 - 00:00,11.69,27.32,5.06,129.95,8.78,0.5,21.37,30.4,47.29,2.29,6.99,0.67,1.42,18.76,136.87,81.4,0.21,0.53,87.38,17-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Nov-2020 - 00:00,16.44,36.49,5.47,127.47,13.87,0.56,21.11,38.42,69.89,3.04,8.15,0.87,2.39,18.22,135.43,77.91,0.0,0.52,244.05,18-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Nov-2020 - 00:00,17.72,34.28,4.25,120.12,17.27,0.82,28.43,37.35,76.45,4.74,8.31,1.1,2.67,16.86,135.26,77.71,0.0,0.49,269.66,19-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Nov-2020 - 00:00,20.64,45.36,4.04,109.29,14.91,0.66,27.74,71.61,118.0,5.74,8.9,1.45,4.11,16.82,130.31,66.37,0.0,0.4,195.26,20-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Nov-2020 - 00:00,15.08,32.53,3.66,95.89,19.55,0.48,33.68,77.03,125.47,3.87,7.33,0.91,2.53,16.66,171.48,71.81,0.0,0.72,262.93,21-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Nov-2020 - 00:00,14.4,30.96,3.55,82.3,28.28,0.33,30.05,43.07,74.14,1.95,5.65,0.5,1.4,16.02,152.45,51.93,0.0,1.1,279.72,22-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Nov-2020 - 00:00,15.59,33.35,3.48,77.25,21.23,0.56,26.71,69.06,88.52,2.69,6.07,0.53,1.07,15.55,124.91,52.49,0.0,0.69,274.18,23-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Nov-2020 - 00:00,25.97,49.22,7.14,89.75,18.92,0.86,17.39,108.54,167.2,5.45,7.74,1.34,3.7,15.69,141.8,58.78,0.0,0.32,199.53,24-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Nov-2020 - 00:00,48.21,120.06,27.57,128.92,13.0,1.46,7.3,128.14,186.46,10.04,10.1,2.61,6.96,15.24,98.55,77.31,0.0,0.28,129.18,25-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Nov-2020 - 00:00,35.13,76.63,9.39,107.07,13.9,1.3,8.78,123.59,188.25,11.76,9.03,2.24,5.91,15.49,69.73,88.93,0.0,0.36,96.92,26-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Nov-2020 - 00:00,24.28,51.4,4.93,91.75,12.46,0.47,14.25,40.63,65.78,4.06,7.71,1.29,3.62,17.33,103.72,77.34,0.01,0.53,199.71,27-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Nov-2020 - 00:00,19.35,40.97,3.92,84.19,16.39,0.45,20.15,38.58,68.26,2.41,6.34,0.78,2.18,17.3,162.6,65.57,0.0,0.8,282.52,28-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Nov-2020 - 00:00,15.94,34.09,3.57,78.19,18.27,0.61,28.88,38.81,74.14,2.74,5.07,0.6,1.63,16.83,155.95,70.66,0.0,0.88,262.59,29-Nov-2020 - 00:00,"Sector-12, Karnal - HSPCB"
