from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
22-Feb-2020 - 00:00,17.6,21.82,4.22,34.42,38.02,0.51,11.37,45.16,78.72,3.15,19.54,0.82,2.11,18.39,737.07,67.72,0.0,0.42,157.76,23-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Feb-2020 - 00:00,22.68,27.99,5.49,38.83,45.04,0.54,13.93,60.65,115.87,3.09,22.6,0.71,1.68,18.07,737.07,77.26,0.0,0.49,208.18,24-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Feb-2020 - 00:00,23.05,31.54,7.98,38.65,61.37,0.54,13.8,50.46,117.21,3.3,21.62,1.18,3.22,18.2,194.98,69.95,0.0,0.63,257.81,25-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Feb-2020 - 00:00,17.5,20.56,3.24,35.75,67.61,0.65,19.3,77.18,142.07,4.67,22.67,1.11,2.95,18.58,206.19,80.24,0.0,0.64,209.17,26-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Feb-2020 - 00:00,26.6,41.16,14.76,49.97,67.36,0.85,13.52,102.99,188.22,6.12,24.47,1.61,4.26,17.58,67.68,83.87,0.0,0.4,146.71,27-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Feb-2020 - 00:00,28.63,34.17,6.37,47.4,40.24,0.76,13.39,89.34,161.3,6.14,21.84,1.27,3.36,17.75,192.06,81.74,0.0,0.43,96.61,28-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Feb-2020 - 00:00,24.63,28.87,4.24,46.5,21.63,0.7,14.86,57.23,185.9,5.08,19.58,0.73,1.84,18.27,166.4,82.33,0.0,0.5,96.24,29-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Feb-2020 - 00:00,21.42,25.37,3.96,47.07,17.78,0.58,13.09,47.58,109.23,4.73,21.16,0.97,2.28,17.61,92.01,87.7,0.03,0.53,108.23,01-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Mar-2020 - 00:00,20.56,25.86,5.3,44.6,17.24,0.49,13.99,30.73,67.1,3.1,23.08,1.32,3.25,18.67,193.7,70.92,0.0,0.39,156.8,02-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Mar-2020 - 00:00,22.56,26.88,4.32,49.84,18.94,0.66,19.05,63.28,148.47,4.69,27.75,2.04,5.4,20.07,200.26,73.55,0.0,0.41,240.56,03-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Mar-2020 - 00:00,24.75,34.2,9.47,58.78,14.68,0.63,17.44,64.87,148.04,4.34,24.65,1.75,4.9,19.57,200.38,73.14,0.0,0.6,223.51,04-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Mar-2020 - 00:00,25.46,37.17,11.71,61.85,14.17,0.59,20.03,82.7,198.66,4.77,23.13,1.46,3.91,19.12,170.37,73.2,0.07,0.47,144.29,05-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Mar-2020 - 00:00,20.06,19.17,3.65,50.19,26.49,0.34,16.89,33.36,56.89,2.41,16.52,0.68,1.83,18.97,199.6,74.01,0.07,0.47,131.26,06-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Mar-2020 - 00:00,16.09,10.55,2.79,38.14,26.23,0.26,18.09,23.29,39.49,1.35,14.46,0.34,0.7,15.18,245.77,80.3,0.2,0.82,110.56,07-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Mar-2020 - 00:00,17.29,12.86,4.8,39.69,21.93,0.33,11.56,23.27,39.88,2.02,18.41,0.61,1.61,14.97,143.94,91.78,0.0,0.69,112.75,08-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Mar-2020 - 00:00,16.73,18.94,12.72,42.15,29.31,0.38,14.76,38.56,64.6,2.99,19.89,0.71,1.85,17.26,233.87,74.03,0.0,0.65,211.16,09-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Mar-2020 - 00:00,10.35,8.15,2.74,32.19,35.9,0.32,16.69,40.72,89.03,1.93,18.95,0.69,1.89,17.27,234.72,60.37,0.0,1.3,274.28,10-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Mar-2020 - 00:00,10.87,8.44,2.14,31.35,44.74,0.38,18.35,46.36,87.55,2.29,18.62,0.58,1.54,18.43,198.18,67.34,0.0,0.71,220.17,11-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Mar-2020 - 00:00,16.75,11.04,2.77,37.01,46.38,0.4,19.06,54.46,110.12,3.07,18.43,0.66,1.7,18.68,152.14,77.16,0.19,0.46,101.14,12-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Mar-2020 - 00:00,18.57,14.56,6.3,36.22,47.68,0.38,18.41,38.49,73.29,2.3,15.37,0.81,2.23,19.38,217.76,70.95,0.0,0.69,103.59,13-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Mar-2020 - 00:00,14.28,10.16,3.03,29.79,36.38,0.31,17.26,39.05,68.58,1.89,15.97,0.57,1.53,18.13,169.28,75.65,0.05,0.61,92.68,14-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Mar-2020 - 00:00,18.98,13.79,4.81,29.37,36.52,0.3,13.62,24.96,45.91,1.77,16.38,0.5,1.32,15.03,76.47,84.89,0.21,0.58,122.65,15-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Mar-2020 - 00:00,17.24,11.81,3.52,28.37,26.47,0.36,15.46,41.64,69.56,2.26,18.26,0.68,1.7,16.07,242.68,70.71,0.0,0.52,193.71,16-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Mar-2020 - 00:00,13.24,9.65,3.41,29.05,13.25,0.42,18.06,47.48,92.13,2.62,16.81,1.0,2.94,18.88,255.33,79.5,0.0,0.89,278.51,17-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Mar-2020 - 00:00,15.05,10.31,3.08,37.38,51.58,0.47,22.92,56.19,120.2,2.89,16.81,1.07,3.07,20.03,463.58,74.19,0.0,1.01,270.42,18-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Mar-2020 - 00:00,10.94,7.58,2.32,35.71,63.67,0.49,26.98,62.49,124.47,3.17,16.35,0.72,2.32,21.05,472.32,75.11,0.0,1.14,272.53,19-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Mar-2020 - 00:00,19.69,14.88,5.73,40.6,65.23,0.62,21.87,72.63,136.13,3.49,19.18,1.2,3.98,21.65,487.82,68.19,0.0,0.61,208.33,20-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Mar-2020 - 00:00,26.41,21.18,9.47,46.48,68.99,0.6,19.29,80.45,167.4,4.32,21.98,1.39,4.56,22.39,486.53,63.63,0.0,0.33,227.35,21-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Mar-2020 - 00:00,23.4,16.17,5.04,45.59,76.96,0.74,22.08,105.13,191.38,6.97,19.74,1.04,3.42,21.19,259.55,74.16,0.0,0.44,248.87,22-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Mar-2020 - 00:00,11.7,8.05,2.41,32.08,70.13,0.33,24.35,50.77,76.62,2.09,14.04,0.28,0.81,21.52,322.03,67.97,0.0,0.64,144.12,23-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Mar-2020 - 00:00,12.5,8.37,2.29,31.58,73.17,0.37,21.13,50.26,103.04,2.17,15.04,0.4,1.22,21.3,308.52,73.63,0.0,0.48,191.44,24-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Mar-2020 - 00:00,14.92,10.86,3.82,36.82,86.23,0.42,25.22,58.23,92.47,2.84,17.99,0.63,2.08,23.76,301.78,69.62,0.0,0.39,238.65,25-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Mar-2020 - 00:00,7.83,5.52,1.98,30.72,81.23,0.25,23.86,37.28,70.78,1.44,14.48,0.25,0.78,23.68,272.02,69.0,0.0,0.58,130.79,26-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Mar-2020 - 00:00,4.95,4.08,1.86,26.73,84.66,0.25,22.33,29.91,112.85,1.02,12.56,0.16,0.47,23.06,191.37,70.75,0.0,1.19,69.66,27-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Mar-2020 - 00:00,5.88,4.54,1.82,26.51,88.33,0.25,20.15,21.6,21.23,1.4,13.19,0.24,0.67,20.1,144.18,83.9,0.14,0.71,173.72,28-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
