from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
16-Feb-2020 - 00:00,143.55,57.99,8.68,5.35,14.03,8.95,0.43,20.19,3.03,3.6,338.43,68.91,0.0,279.01,1.11,40.77,17-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Feb-2020 - 00:00,141.28,48.44,8.41,5.31,13.73,8.88,0.42,21.75,3.04,3.6,335.59,70.3,0.0,269.51,1.24,37.66,18-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Feb-2020 - 00:00,264.95,89.56,8.55,5.77,13.05,8.87,0.51,21.24,3.08,3.6,316.79,74.16,0.0,280.48,1.42,47.26,19-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Feb-2020 - 00:00,97.7,34.44,8.48,6.81,15.28,9.15,0.26,39.74,2.8,3.54,316.02,70.02,0.0,118.45,3.28,30.88,20-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Feb-2020 - 00:00,66.04,23.26,8.28,6.5,14.79,9.13,0.2,31.4,2.79,3.48,333.87,72.45,0.0,116.7,1.88,22.07,21-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Feb-2020 - 00:00,33.16,13.55,8.37,6.61,14.98,9.13,0.36,20.9,2.93,3.6,314.78,83.59,0.0,155.18,1.13,12.32,22-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Feb-2020 - 00:00,96.09,26.47,8.63,6.48,15.11,9.18,0.58,10.43,3.0,3.54,274.51,90.58,0.0,224.81,0.59,35.69,23-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Feb-2020 - 00:00,134.02,23.92,8.47,6.44,14.91,9.17,0.42,7.31,3.0,3.51,259.27,89.87,0.0,203.02,0.42,50.06,24-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Feb-2020 - 00:00,73.68,17.27,8.29,6.48,14.77,9.12,0.38,16.96,3.02,3.62,428.49,80.76,0.0,275.43,0.88,27.46,25-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Feb-2020 - 00:00,141.37,28.27,8.4,6.54,14.93,9.13,0.37,18.46,3.02,3.6,498.56,85.43,0.0,219.05,0.84,52.74,26-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
