from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
22-Apr-2020 - 00:00,82.78,194.42,36.99,5.51,21.31,42.79,20.32,1.97,16.21,,,,,,29.63,0.49,158.13,34.72,740.26,98.02,0.0,23-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Apr-2020 - 00:00,65.14,185.83,27.38,3.75,15.94,41.76,13.9,1.76,16.4,,,,,,30.38,0.58,189.41,35.42,740.24,73.54,0.01,24-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Apr-2020 - 00:00,72.74,253.62,23.28,3.68,13.75,44.57,17.04,2.16,17.71,,,,,,29.96,0.55,249.74,41.91,740.0,94.1,0.0,25-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Apr-2020 - 00:00,82.99,278.76,34.3,4.81,18.97,48.0,14.27,2.03,15.16,,,,,,31.19,0.55,216.4,38.44,740.0,100.85,0.0,26-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Apr-2020 - 00:00,50.13,192.63,15.52,3.75,11.35,41.44,8.57,1.9,16.11,,,,,,25.7,0.88,261.6,65.23,740.04,72.82,0.0,27-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Apr-2020 - 00:00,31.19,86.85,8.3,4.34,7.47,32.02,5.05,1.74,14.72,,,,,,25.52,0.88,253.13,73.76,740.05,106.49,0.0,28-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Apr-2020 - 00:00,31.69,152.3,9.55,3.75,6.56,32.02,8.77,2.08,14.59,,,,,,28.1,0.6,212.72,60.96,740.0,114.82,0.0,29-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Apr-2020 - 00:00,81.61,220.6,23.81,3.51,13.96,51.99,12.64,2.09,17.73,,,,,,30.24,0.62,264.44,55.35,740.0,99.56,0.0,30-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-Apr-2020 - 00:00,79.16,182.34,19.64,3.66,11.58,56.98,12.6,2.01,18.52,,,,,,31.37,0.63,253.42,56.21,740.0,100.33,0.0,01-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-May-2020 - 00:00,44.58,130.19,12.05,3.37,7.78,42.79,8.9,1.7,21.38,,,,,,30.02,0.74,268.99,56.95,740.0,108.08,0.0,02-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-May-2020 - 00:00,41.05,156.75,12.9,3.26,7.95,38.73,8.02,1.69,18.69,,,,,,29.93,0.87,261.99,59.65,740.0,103.61,0.0,03-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-May-2020 - 00:00,43.69,178.82,10.48,3.59,7.8,39.78,7.24,1.85,17.36,,,,,,29.62,0.81,254.81,61.88,740.0,90.26,0.56,04-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-May-2020 - 00:00,24.28,68.06,24.9,4.23,14.29,34.08,7.78,1.87,15.44,,,,,,27.96,0.55,156.15,66.16,740.26,107.55,0.0,05-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-May-2020 - 00:00,66.36,146.85,35.41,5.56,21.3,40.29,18.62,1.7,14.77,,,,,,30.79,0.56,146.36,52.26,740.17,104.46,0.0,06-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-May-2020 - 00:00,46.53,143.4,18.08,3.39,10.11,38.01,12.7,1.77,18.65,,,,,,28.99,0.68,226.31,54.08,740.46,86.45,0.0,07-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-May-2020 - 00:00,30.36,67.93,14.97,3.27,9.02,31.76,9.83,1.75,23.68,,,,,,28.43,0.65,232.15,51.59,740.41,119.99,0.2,08-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-May-2020 - 00:00,64.27,146.27,21.31,3.67,14.07,48.6,13.55,1.86,19.82,,,,,,31.84,0.57,230.46,50.38,739.43,122.18,0.0,09-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-May-2020 - 00:00,75.75,186.14,24.49,4.11,16.37,58.06,5.72,1.95,6.71,,,,,,32.44,0.68,260.29,51.45,739.0,122.59,0.0,10-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-May-2020 - 00:00,46.48,114.15,14.35,3.96,10.45,49.09,6.19,1.66,6.08,,,,,,27.65,0.83,246.02,62.39,739.0,64.55,0.72,11-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-May-2020 - 00:00,32.95,64.57,10.29,4.19,8.65,29.49,11.15,2.36,12.27,,,,,,28.44,0.74,257.02,61.56,739.0,126.6,0.0,12-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-May-2020 - 00:00,43.19,89.47,10.31,3.96,8.7,38.73,10.61,1.33,12.76,,,,,,30.28,0.68,234.88,56.54,739.0,117.0,0.0,13-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-May-2020 - 00:00,84.41,224.32,33.73,7.03,23.66,51.37,5.31,1.56,8.79,,,,,,30.6,0.46,169.49,59.8,739.0,74.23,0.0,14-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-May-2020 - 00:00,104.99,256.6,34.48,10.26,26.69,58.42,5.34,1.57,9.73,,,,,,32.15,0.53,179.15,54.04,739.0,112.86,0.0,15-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-May-2020 - 00:00,45.05,135.41,18.06,4.49,13.26,38.34,11.94,1.18,14.96,,,,,,32.45,0.76,104.8,37.27,739.0,138.45,0.0,16-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-May-2020 - 00:00,64.84,170.73,14.19,4.35,10.85,32.12,15.61,1.28,23.56,,,,,,32.45,0.84,92.44,36.84,739.0,189.37,0.0,17-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-May-2020 - 00:00,87.58,224.0,31.43,4.92,20.72,37.65,19.34,1.37,34.78,,,,,,36.92,0.66,107.48,17.45,739.0,173.03,0.0,19-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-May-2020 - 00:00,68.42,174.22,48.69,9.59,33.7,33.08,18.93,1.35,21.41,,,,,,34.7,0.52,139.64,19.58,739.0,135.49,0.0,20-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-May-2020 - 00:00,69.04,185.91,29.13,5.53,19.99,32.94,19.02,1.32,24.51,,,,,,33.66,0.71,99.58,21.09,739.1,143.83,0.0,21-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-May-2020 - 00:00,84.85,266.3,29.95,4.8,19.83,38.82,27.02,1.33,26.65,,,,,,34.46,0.77,92.57,23.15,739.02,142.9,0.0,22-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-May-2020 - 00:00,135.17,315.04,52.23,9.68,35.65,51.94,30.59,1.82,27.8,,,,,,36.62,0.49,161.66,23.17,739.21,132.06,0.0,23-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-May-2020 - 00:00,111.39,337.0,28.87,3.93,18.56,61.07,10.59,1.76,16.83,,,,,,35.8,0.62,253.95,42.11,739.15,116.09,0.0,24-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-May-2020 - 00:00,104.58,,31.56,4.07,20.09,25.51,10.36,1.55,14.64,,,,,,37.32,0.62,161.65,38.73,739.0,126.82,0.0,25-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-May-2020 - 00:00,74.58,,29.52,4.71,19.53,85.63,21.23,1.45,22.24,,,,,,37.4,0.7,93.04,25.24,739.0,138.36,0.0,26-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-May-2020 - 00:00,86.46,165.17,30.01,5.25,20.23,45.96,29.54,1.43,24.41,,,,,,38.47,0.62,108.7,23.85,739.4,133.58,0.0,27-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-May-2020 - 00:00,56.02,165.12,28.61,5.08,17.45,41.2,15.19,1.18,27.44,,,,,,36.97,0.64,217.72,27.38,739.53,135.56,0.0,28-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-May-2020 - 00:00,34.7,173.15,5.26,4.0,5.2,28.25,6.82,0.46,18.54,,,,,,33.45,1.08,277.11,41.5,739.0,125.62,0.0,29-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-May-2020 - 00:00,21.67,25.33,12.32,3.82,9.67,52.74,11.01,0.46,15.98,,,,,,30.67,0.96,233.74,57.71,739.79,118.55,0.29,30-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-May-2020 - 00:00,24.88,29.0,12.86,3.8,9.93,36.23,11.03,0.51,16.89,,,,,,29.11,0.7,243.56,66.96,740.0,110.74,0.0,31-May-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
31-May-2020 - 00:00,18.03,,8.07,3.81,6.89,35.65,10.77,0.67,14.09,,,,,,27.36,0.72,223.79,78.49,739.99,101.75,0.47,01-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Jun-2020 - 00:00,19.53,,17.07,3.85,9.04,32.06,10.26,0.42,16.89,,,,,,29.18,0.52,190.89,68.09,739.99,135.84,0.0,02-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Jun-2020 - 00:00,33.37,107.71,27.15,5.54,18.95,44.57,13.81,0.6,17.52,,,,,,31.35,0.6,155.57,56.14,739.86,118.51,0.23,03-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Jun-2020 - 00:00,39.88,103.49,29.86,5.3,20.2,48.27,10.86,0.62,20.17,,,,,,32.18,0.48,177.41,55.17,739.99,142.51,0.0,04-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Jun-2020 - 00:00,60.32,136.71,18.91,4.32,13.58,56.21,13.74,0.73,17.31,,,,,,31.57,0.68,241.55,57.69,740.0,100.4,0.26,05-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Jun-2020 - 00:00,32.93,61.24,8.42,3.86,7.52,41.8,11.01,0.55,16.96,,,,,,28.9,0.66,262.29,73.27,740.0,107.17,0.04,06-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Jun-2020 - 00:00,35.96,64.62,8.22,3.94,7.58,40.05,13.5,0.56,16.04,,,,,,30.42,0.61,250.79,66.64,740.0,125.12,0.0,07-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Jun-2020 - 00:00,49.61,89.79,16.24,4.05,11.94,48.71,8.71,0.67,14.14,,,,,,30.01,0.59,195.89,68.14,740.0,97.35,1.26,08-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Jun-2020 - 00:00,60.18,106.77,27.52,5.09,18.77,45.05,5.13,0.71,15.31,,,,,,32.08,0.5,176.14,61.7,739.72,135.21,0.0,09-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Jun-2020 - 00:00,61.76,131.79,44.19,11.14,32.56,47.85,4.43,0.82,13.6,,,,,,34.85,0.49,164.85,51.24,739.19,132.64,0.0,10-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Jun-2020 - 00:00,62.57,161.06,33.82,7.53,24.12,57.29,10.82,0.76,16.76,,,,,,35.72,0.52,179.49,47.5,739.74,126.57,0.0,11-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Jun-2020 - 00:00,69.87,175.76,23.81,4.6,16.41,48.43,12.79,0.85,14.94,,,,,,34.78,0.54,179.76,55.56,740.0,111.22,0.0,12-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Jun-2020 - 00:00,57.93,134.38,16.09,4.28,12.02,42.01,6.21,0.9,13.08,,,,,,35.21,0.62,256.52,59.39,740.0,122.94,0.0,13-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Jun-2020 - 00:00,56.75,137.79,11.36,3.84,9.17,39.21,5.5,0.8,11.06,,,,,,33.45,0.7,246.99,65.79,740.0,104.06,0.0,14-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Jun-2020 - 00:00,65.23,127.81,17.52,4.28,12.59,35.5,7.95,0.77,10.69,,,,,,34.6,0.57,217.14,62.98,740.0,115.49,0.0,15-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Jun-2020 - 00:00,54.69,134.45,13.52,4.02,10.46,59.44,10.37,0.75,13.03,,,,,,35.3,0.6,234.28,57.72,740.04,127.76,0.0,16-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Jun-2020 - 00:00,41.91,96.16,10.33,3.88,8.64,39.19,12.75,0.67,17.04,,,,,,35.06,0.7,265.99,58.64,740.0,136.42,0.0,17-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Jun-2020 - 00:00,32.8,65.92,10.5,5.27,9.22,30.45,10.21,0.57,12.08,,,,,,34.25,0.79,269.58,64.01,739.83,133.23,0.0,18-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Jun-2020 - 00:00,36.74,82.75,13.4,4.35,8.11,48.48,6.77,0.7,9.2,,,,,,34.83,0.64,259.72,62.66,739.51,131.27,0.0,19-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Jun-2020 - 00:00,41.43,90.24,8.95,6.27,9.65,60.59,4.55,0.77,7.83,,,,,,34.08,0.76,266.64,72.78,740.0,144.67,0.0,20-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Jun-2020 - 00:00,31.91,89.22,12.06,4.78,9.61,40.68,7.69,0.6,7.43,,,,,,34.85,0.61,264.35,50.56,739.81,146.67,0.0,21-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Jun-2020 - 00:00,36.47,67.28,4.31,3.6,3.51,36.87,5.31,0.32,10.74,,,,,,32.34,0.69,275.02,70.7,739.35,99.91,0.02,22-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-Jun-2020 - 00:00,37.29,72.43,8.22,4.13,6.96,34.45,4.82,0.69,8.36,,,,,,32.9,0.63,257.67,70.17,739.66,124.43,0.22,23-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Jun-2020 - 00:00,23.77,67.12,6.22,4.77,6.77,44.61,6.74,0.67,5.94,,,,,,33.05,0.77,268.64,67.07,740.0,120.7,0.0,24-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Jun-2020 - 00:00,29.25,67.98,7.65,4.3,7.56,47.37,5.24,0.64,6.13,,,,,,31.91,0.63,255.26,77.85,740.0,77.16,0.0,25-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Jun-2020 - 00:00,45.36,100.61,25.28,7.9,19.88,44.82,6.27,0.67,6.56,,,,,,32.98,0.54,127.79,73.68,740.0,107.75,0.0,26-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Jun-2020 - 00:00,46.7,91.74,17.5,4.06,12.61,45.67,7.82,0.52,12.79,,,,,,33.35,0.63,159.6,70.21,740.0,113.72,0.0,27-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Jun-2020 - 00:00,50.71,187.1,21.31,4.73,15.18,43.16,17.74,0.52,9.79,,,,,,35.24,0.7,76.3,60.8,740.01,125.74,0.0,28-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Jun-2020 - 00:00,63.82,328.14,27.92,5.89,19.64,44.21,18.76,0.64,10.1,,,,,,36.99,0.72,87.58,52.2,740.0,125.66,0.0,29-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Jun-2020 - 00:00,40.98,120.73,15.24,4.49,11.77,44.17,6.53,0.53,9.91,,,,,,33.01,0.76,258.32,76.2,740.01,115.27,0.26,30-Jun-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-Jun-2020 - 00:00,32.93,78.93,6.12,4.34,6.78,38.07,8.05,0.61,10.46,,,,,,33.01,0.68,270.07,76.61,740.0,108.46,0.0,01-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Jul-2020 - 00:00,44.36,108.1,7.85,3.86,7.31,42.12,7.4,0.69,11.47,,,,,,34.26,0.61,271.47,71.29,740.0,103.42,0.0,02-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Jul-2020 - 00:00,41.13,86.87,5.79,3.83,6.12,42.79,6.51,0.67,13.95,,,,,,34.81,0.64,258.31,67.23,740.0,116.17,0.01,03-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Jul-2020 - 00:00,46.74,94.77,2.9,3.87,4.01,32.12,5.87,0.76,11.53,,,,,,34.26,0.78,273.55,74.4,740.0,121.69,0.0,04-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Jul-2020 - 00:00,32.37,60.1,7.3,3.81,5.14,45.94,6.49,0.56,8.32,,,,,,32.51,0.83,259.3,76.84,740.01,123.7,0.0,05-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Jul-2020 - 00:00,22.33,46.5,3.77,3.92,3.83,42.05,5.71,0.78,10.29,,,,,,30.09,0.7,236.65,82.84,740.07,110.62,1.53,06-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Jul-2020 - 00:00,33.04,73.58,13.1,4.87,8.93,39.32,,1.02,7.9,,,,,,31.6,0.62,243.31,81.43,740.0,83.73,0.0,07-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Jul-2020 - 00:00,12.38,33.95,3.31,4.35,3.76,42.06,,0.81,4.28,,,,,,30.36,0.91,261.24,84.73,740.0,98.95,0.0,08-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Jul-2020 - 00:00,16.48,35.1,6.74,4.03,4.61,31.27,,1.39,5.21,,,,,,31.6,0.77,252.9,82.32,740.0,99.46,0.0,09-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Jul-2020 - 00:00,36.76,79.42,12.76,4.77,10.67,43.25,,0.78,7.66,,,,,,33.53,0.52,175.68,76.68,740.0,131.66,0.0,10-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Jul-2020 - 00:00,35.21,90.06,11.15,3.98,8.63,55.03,,0.67,9.96,,,,,,35.7,0.76,145.56,65.29,740.0,151.27,0.0,11-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Jul-2020 - 00:00,18.71,46.15,3.87,3.77,2.85,38.66,,0.52,9.25,,,,,,30.75,0.6,144.49,84.14,740.0,105.9,1.41,12-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Jul-2020 - 00:00,20.72,45.77,8.04,3.71,3.17,29.4,,0.46,8.56,,,,,,30.55,0.65,153.71,78.23,740.0,114.44,0.02,13-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Jul-2020 - 00:00,35.96,114.88,20.08,4.87,14.63,45.26,,0.55,7.9,,,,,,31.95,0.59,103.26,75.12,740.0,136.02,0.0,14-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Jul-2020 - 00:00,46.67,195.17,34.56,5.06,22.49,55.68,,0.59,9.07,,,,,,34.24,0.53,225.22,73.01,740.0,103.81,0.0,15-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Jul-2020 - 00:00,30.64,74.86,25.05,3.81,16.41,51.06,,0.66,15.14,,,,,,34.24,0.75,265.7,68.74,740.0,118.57,0.0,16-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Jul-2020 - 00:00,24.22,46.83,20.41,3.88,14.02,37.2,,0.62,9.29,,,,,,33.37,0.7,256.01,75.8,740.03,122.44,0.04,17-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Jul-2020 - 00:00,38.06,64.62,29.4,5.48,20.08,35.22,,0.69,6.24,,,,,,31.82,0.6,233.93,89.41,740.0,70.83,2.65,18-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Jul-2020 - 00:00,17.91,,17.84,3.83,12.6,30.41,,0.37,6.11,,,,,,30.16,0.63,247.26,92.3,740.0,62.71,0.72,19-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Jul-2020 - 00:00,23.95,,23.13,3.94,15.51,20.68,,0.34,6.37,,,,,,31.23,0.58,127.05,88.25,740.0,88.04,0.14,20-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Jul-2020 - 00:00,22.61,,36.96,4.32,23.17,31.32,,0.58,9.78,,,,,,30.57,0.6,111.64,83.39,740.0,70.99,0.0,21-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Jul-2020 - 00:00,14.94,,26.32,4.52,17.68,31.43,,0.56,10.15,,,,,,27.57,0.6,217.64,92.38,739.89,63.24,2.79,22-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-Jul-2020 - 00:00,26.66,,30.01,5.52,20.45,26.79,,0.5,7.79,,,,,,28.26,0.57,137.09,92.18,740.0,63.83,0.17,23-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Jul-2020 - 00:00,41.7,,36.07,6.58,24.54,30.77,,0.57,11.32,,,,,,30.46,0.55,96.0,80.56,740.01,136.72,0.01,24-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Jul-2020 - 00:00,23.35,,18.45,4.03,13.09,30.63,,0.36,13.55,,,,,,33.7,0.75,266.73,70.29,740.0,193.79,0.0,25-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Jul-2020 - 00:00,16.15,,13.97,3.78,10.51,28.45,,0.41,11.36,,,,,,33.11,0.75,265.48,75.25,740.0,173.88,0.0,26-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Jul-2020 - 00:00,52.35,156.79,52.28,5.77,32.49,67.55,,0.81,10.76,,,,,,35.3,0.59,82.35,71.75,740.0,138.63,0.0,28-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Jul-2020 - 00:00,33.16,112.43,29.03,5.09,19.58,58.83,,0.67,7.36,,,,,,33.95,0.63,94.49,78.0,739.62,111.14,0.0,29-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Jul-2020 - 00:00,16.53,46.21,18.87,3.9,12.43,52.54,,0.7,6.88,,,,,,31.4,0.88,279.81,85.19,739.44,107.6,0.0,30-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-Jul-2020 - 00:00,18.35,33.7,17.78,4.78,13.34,37.12,,0.66,7.07,,,,,,29.93,0.59,260.35,92.39,739.7,58.15,0.28,31-Jul-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
31-Jul-2020 - 00:00,26.07,61.57,18.85,4.78,13.96,36.89,,0.68,7.95,,,,,,31.61,0.57,256.46,85.88,739.59,90.86,0.0,01-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Aug-2020 - 00:00,18.31,36.21,14.72,3.58,10.75,38.51,,0.61,9.04,,,,,,30.67,0.6,234.6,88.44,739.41,97.67,0.71,02-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Aug-2020 - 00:00,43.85,108.85,20.35,4.29,14.31,40.99,,0.64,8.86,,,,,,32.72,0.52,100.38,81.05,739.1,113.25,0.0,03-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Aug-2020 - 00:00,36.37,119.69,32.1,5.62,21.65,50.92,,0.65,7.18,,,,,,32.73,0.54,64.12,78.44,739.0,112.75,0.0,04-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Aug-2020 - 00:00,26.39,83.22,48.59,5.78,30.53,89.11,,0.63,6.44,,,,,,33.45,0.41,129.67,75.89,739.72,22.0,0.0,05-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Aug-2020 - 00:00,25.54,63.22,15.94,4.03,11.76,40.32,,0.46,7.59,,,,,,33.24,0.68,235.39,79.45,739.35,98.54,0.0,06-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Aug-2020 - 00:00,9.17,38.05,6.52,3.81,6.56,28.61,,0.39,5.57,,,,,,33.07,0.85,249.5,77.56,739.04,112.34,0.29,07-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Aug-2020 - 00:00,13.0,34.72,23.87,15.49,25.29,61.3,,0.31,8.58,,,,,,33.21,0.78,267.39,74.95,739.57,113.57,0.0,08-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Aug-2020 - 00:00,25.6,53.62,18.55,4.17,13.26,51.44,,0.22,11.18,,,,,,34.47,0.48,167.34,74.12,740.0,107.07,0.0,09-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Aug-2020 - 00:00,23.95,43.51,17.26,4.09,12.51,48.82,,0.01,8.97,,,,,,31.79,0.57,221.41,88.29,740.0,68.81,0.07,10-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Aug-2020 - 00:00,23.38,54.1,14.6,3.68,6.48,36.63,,0.39,8.64,,,,,,32.91,0.61,250.09,83.09,740.0,81.91,0.0,11-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Aug-2020 - 00:00,,62.91,19.56,4.33,6.71,54.34,,0.56,9.63,,,,,,31.89,0.54,219.77,87.5,740.0,77.26,0.0,12-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Aug-2020 - 00:00,,68.81,21.18,5.38,15.64,41.07,,0.09,6.16,,,,,,31.41,0.57,154.18,89.64,740.0,64.17,2.03,13-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Aug-2020 - 00:00,,16.35,20.36,7.18,16.65,39.51,,0.11,6.23,,,,,,29.15,0.6,236.33,94.39,740.0,46.53,0.62,14-Aug-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
