from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
17-Nov-2020 - 00:00,11.58,17.43,18.14,18.7,,1.72,10.13,0.61,6.01,0.0,0.0,0.0,0.0,23.77,125.69,85.35,0.0,6.71,105.53,18-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Nov-2020 - 00:00,18.08,24.43,13.56,12.59,,0.84,11.04,0.71,6.48,0.0,0.0,0.0,0.0,25.32,143.77,81.55,0.0,6.76,109.35,19-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Nov-2020 - 00:00,28.05,31.03,22.62,21.73,,1.11,12.28,0.79,4.7,0.0,0.0,0.0,0.0,25.92,206.36,76.61,0.0,7.28,64.99,20-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Nov-2020 - 00:00,36.86,39.76,25.39,24.52,,1.01,14.83,0.78,5.39,0.0,0.0,0.0,0.0,26.16,214.11,73.83,0.0,6.06,61.34,21-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Nov-2020 - 00:00,29.61,33.67,29.11,28.25,,0.53,14.97,0.81,11.32,0.0,0.0,0.01,0.0,26.28,243.77,70.55,0.0,4.14,127.32,22-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Nov-2020 - 00:00,37.46,41.21,26.45,25.57,,0.79,15.21,0.76,16.86,0.0,0.0,0.0,0.0,25.12,254.76,60.3,0.0,5.08,153.39,23-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Nov-2020 - 00:00,45.84,50.53,23.9,23.0,,1.04,15.77,0.82,23.62,0.0,0.0,0.0,0.0,25.21,232.51,59.22,0.0,4.93,171.27,24-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Nov-2020 - 00:00,51.22,57.18,24.5,23.64,,2.61,16.04,0.82,16.69,0.0,0.0,0.0,0.0,26.14,169.0,68.87,0.0,4.25,183.87,25-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Nov-2020 - 00:00,49.86,52.02,21.09,20.24,,3.53,15.45,0.79,17.54,0.0,0.0,0.0,0.0,26.33,155.04,74.23,0.0,3.28,184.07,26-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Nov-2020 - 00:00,29.2,34.09,16.84,15.95,,3.9,14.13,0.63,18.27,0.0,0.0,0.0,0.0,26.28,181.57,80.59,0.0,5.87,143.79,27-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Nov-2020 - 00:00,29.01,32.45,18.96,18.09,,3.65,13.06,0.66,12.2,0.0,0.0,0.0,0.0,26.06,201.82,76.79,0.0,4.29,190.48,28-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Nov-2020 - 00:00,31.43,32.89,18.62,17.74,,3.62,13.53,0.78,8.98,0.0,0.0,0.0,0.0,24.73,168.59,82.19,0.0,5.02,263.22,29-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Nov-2020 - 00:00,28.98,31.49,18.34,17.46,,3.63,13.69,0.66,7.78,0.0,0.0,0.0,0.0,25.2,159.06,82.65,0.0,5.47,274.02,30-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Nov-2020 - 00:00,29.14,32.58,16.21,15.33,,3.81,13.3,0.7,7.96,0.0,0.0,0.0,0.0,26.19,202.99,75.85,0.0,6.74,276.6,01-Dec-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Dec-2020 - 00:00,36.97,47.5,11.37,10.49,,5.04,13.21,0.82,5.12,0.0,0.0,0.0,0.0,24.77,22.48,79.62,0.0,7.56,276.9,02-Dec-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
