from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
19-Feb-2020 - 00:00,1.0,34.02,7.33,16.82,22.06,9.62,63.24,-0.42,4.09,152.15,,39.34,247.78,5.15,0.0,0.3,0.0,0.0,20-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Feb-2020 - 00:00,0.95,35.57,6.28,10.61,16.31,6.18,61.12,-0.41,4.33,101.95,,25.59,260.5,0.12,0.0,0.0,0.0,0.0,21-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Feb-2020 - 00:00,0.99,19.15,5.39,19.84,24.41,7.14,68.29,-0.4,5.15,139.18,,24.5,225.73,0.33,0.0,0.23,0.0,0.0,22-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-Feb-2020 - 00:00,0.98,26.8,3.34,10.03,12.59,6.61,70.71,-0.4,5.07,42.12,,25.83,234.2,0.0,0.0,0.0,0.0,0.0,23-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Feb-2020 - 00:00,0.99,38.07,4.42,7.61,11.67,6.23,71.33,-0.41,4.7,45.11,,25.94,192.64,0.0,0.0,0.0,0.0,0.0,24-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Feb-2020 - 00:00,0.95,30.82,4.4,12.64,16.3,4.72,74.9,-0.41,4.25,104.22,,37.0,169.74,0.13,0.0,0.0,0.0,0.0,25-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Feb-2020 - 00:00,0.33,29.7,4.54,10.85,14.96,4.69,70.9,-0.39,4.72,144.66,999.3,35.21,236.08,0.94,0.0,0.0,0.0,0.0,26-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Feb-2020 - 00:00,0.31,37.33,4.73,9.42,13.58,6.25,69.61,-0.42,3.74,134.27,999.81,31.88,212.79,0.15,0.0,0.0,0.0,0.0,27-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Feb-2020 - 00:00,0.3,33.97,3.87,11.7,14.79,4.79,70.26,-0.43,3.17,109.61,999.95,39.84,225.74,0.11,0.0,0.0,0.0,0.0,28-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Feb-2020 - 00:00,0.29,37.8,3.2,9.1,11.72,5.86,67.08,-0.42,3.59,79.75,999.39,27.41,229.23,0.01,0.0,0.0,0.0,0.0,29-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
