from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
06-Jul-2020 - 00:00,31.92,972.86,108.78,43.41,61.43,152.2,77.59,1.11,2.09,19.02,21.64,24.31,4.72,16.78,5.54,51.72,0.92,07-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jul-2020 - 00:00,30.08,975.79,66.24,16.17,63.45,143.92,90.75,1.39,1.26,10.38,18.16,15.35,4.82,12.1,5.24,31.88,0.71,08-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jul-2020 - 00:00,29.72,976.78,55.64,19.19,69.21,120.58,141.2,1.14,1.33,10.68,17.3,23.02,7.15,18.08,5.49,30.42,0.87,09-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jul-2020 - 00:00,32.71,973.39,101.35,31.3,61.79,179.04,216.91,0.77,1.21,14.56,18.83,32.88,9.9,25.57,14.67,33.41,0.95,10-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jul-2020 - 00:00,34.13,971.26,104.07,19.89,55.56,166.72,256.22,1.11,0.47,7.76,17.83,22.66,7.0,17.76,21.67,25.91,0.82,11-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Jul-2020 - 00:00,32.32,972.7,79.59,17.21,58.33,176.51,150.8,1.2,0.59,10.44,,23.76,6.27,17.73,,45.06,0.9,12-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Jul-2020 - 00:00,30.9,974.02,58.64,15.91,58.74,145.34,211.33,1.33,0.58,9.15,,16.79,4.61,12.66,,45.15,0.76,13-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Jul-2020 - 00:00,32.57,973.63,131.62,25.6,56.32,191.51,277.63,0.93,0.73,12.95,,20.55,8.47,17.82,6.6,35.51,0.83,14-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Jul-2020 - 00:00,34.31,974.53,150.36,30.42,54.79,171.26,97.4,1.15,0.5,15.76,7.4,23.77,9.65,20.35,4.23,33.43,0.92,15-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Jul-2020 - 00:00,33.62,975.34,139.8,36.27,57.4,155.69,89.32,1.23,0.45,8.26,14.94,18.45,4.86,13.45,,44.08,0.93,16-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
