from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
30-Mar-2020 - 00:00,51.64,28.04,2.03,4.14,12.27,0.57,,23.49,31-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-Mar-2020 - 00:00,51.92,24.64,1.82,,1.96,0.58,,24.96,01-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Apr-2020 - 00:00,52.73,25.02,3.13,11.33,28.34,0.56,,19.76,02-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Apr-2020 - 00:00,59.12,23.3,1.73,,,0.53,,23.31,03-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Apr-2020 - 00:00,54.94,24.49,1.29,11.03,19.5,0.55,,28.77,04-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Apr-2020 - 00:00,72.12,38.22,9.48,15.18,40.95,0.59,,22.74,05-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Apr-2020 - 00:00,90.38,56.91,13.15,16.44,49.05,0.67,,27.95,06-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Apr-2020 - 00:00,101.28,54.2,3.66,-1.68,7.5,0.65,626.71,27.97,07-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Apr-2020 - 00:00,82.03,28.77,1.56,-20.17,-15.9,0.52,622.54,24.0,08-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Apr-2020 - 00:00,67.04,24.38,1.68,,2.04,0.49,,26.9,09-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Apr-2020 - 00:00,69.39,33.78,3.31,18.56,33.32,0.5,,27.82,10-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Apr-2020 - 00:00,103.16,51.74,8.72,14.26,36.6,0.64,,22.07,11-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Apr-2020 - 00:00,96.05,44.0,7.08,12.09,32.13,0.62,,27.88,12-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Apr-2020 - 00:00,76.17,31.13,0.84,4.28,5.42,0.5,,28.61,13-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Apr-2020 - 00:00,132.97,64.48,6.02,16.53,30.56,0.62,,21.39,14-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Apr-2020 - 00:00,135.23,55.36,6.38,10.14,19.93,0.62,,21.71,15-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Apr-2020 - 00:00,168.9,48.81,17.09,38.56,96.74,0.58,,20.48,16-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Apr-2020 - 00:00,149.09,53.47,6.41,23.1,38.15,0.67,,24.35,17-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Apr-2020 - 00:00,70.49,21.29,0.6,3.56,12.93,0.48,,31.11,18-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Apr-2020 - 00:00,83.24,22.5,0.93,,,0.46,,28.18,19-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
