from date,Benzene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,SR,Temp,WD,WS,SO2,to date,station
13-Feb-2020 - 00:00,15.31,12.56,4.63,0.86,41.81,30.83,40.23,13.45,43.98,165.62,175.87,32.96,148.48,1.98,62.05,14-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Feb-2020 - 00:00,18.9,16.05,5.25,0.83,32.88,79.28,64.59,12.76,64.79,123.59,227.03,33.35,155.51,2.34,31.83,15-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Feb-2020 - 00:00,17.44,14.19,1.38,0.77,34.02,75.73,60.14,12.02,70.52,125.06,244.86,32.26,151.26,2.62,51.15,16-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Feb-2020 - 00:00,33.89,16.58,2.63,1.18,47.57,204.98,147.52,10.05,34.08,103.23,223.39,28.28,140.01,0.81,40.8,17-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Feb-2020 - 00:00,5.95,0.63,5.45,1.0,49.64,28.54,42.92,12.39,81.9,200.23,270.11,37.8,160.86,0.26,50.32,18-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Feb-2020 - 00:00,4.99,0.01,0.09,1.22,49.51,93.31,80.52,12.26,66.55,178.12,194.43,34.24,155.55,2.01,41.94,19-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Feb-2020 - 00:00,15.03,11.91,14.48,1.27,36.61,154.28,110.45,11.58,42.93,224.45,212.4,32.89,164.15,1.74,35.32,20-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Feb-2020 - 00:00,27.44,15.64,51.73,1.45,22.85,95.14,93.82,4.06,35.68,188.88,206.22,32.12,179.2,1.7,29.28,21-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Feb-2020 - 00:00,21.79,15.25,45.91,1.17,26.59,113.8,99.44,1.57,30.46,224.76,249.96,31.85,150.56,1.5,33.3,22-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Feb-2020 - 00:00,23.6,25.38,53.08,1.26,46.04,165.05,122.73,4.46,34.64,123.41,184.64,31.79,153.08,2.14,30.35,23-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Feb-2020 - 00:00,24.41,27.36,49.9,1.38,47.3,106.98,84.62,2.1,41.01,142.46,196.79,32.76,175.07,3.46,38.46,24-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Feb-2020 - 00:00,24.62,31.01,53.59,1.37,58.08,107.12,94.26,2.56,40.78,138.76,243.76,32.5,161.83,3.27,50.14,25-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Feb-2020 - 00:00,23.44,34.37,59.22,1.04,58.12,95.22,87.35,0.93,28.48,191.02,78.1,33.6,125.23,2.19,108.69,26-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Feb-2020 - 00:00,17.53,35.78,90.23,0.77,46.64,99.07,83.64,9.32,32.75,134.89,258.78,33.4,132.35,2.12,81.72,27-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Feb-2020 - 00:00,14.7,19.95,104.57,1.32,42.33,149.32,111.35,8.08,37.93,119.2,385.2,33.0,155.79,1.35,38.39,28-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Feb-2020 - 00:00,3.23,0.53,0.15,1.2,48.06,188.07,135.09,9.47,43.04,147.81,,31.96,170.76,0.95,28.73,29-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Feb-2020 - 00:00,6.14,4.13,13.95,1.1,45.37,144.41,106.34,7.9,32.93,180.12,194.75,31.83,174.08,1.21,22.7,01-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Mar-2020 - 00:00,18.28,9.81,41.64,1.07,32.71,140.43,101.13,8.47,29.13,137.66,7.8,31.56,171.07,1.74,31.42,02-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Mar-2020 - 00:00,21.14,8.62,52.74,1.03,44.15,140.71,107.27,8.92,29.42,111.47,367.0,31.21,166.86,3.7,39.72,03-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Mar-2020 - 00:00,15.35,9.35,63.14,0.86,35.66,110.03,84.37,10.63,28.14,64.6,350.06,30.9,151.83,4.88,31.26,04-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Mar-2020 - 00:00,3.37,1.33,0.04,1.01,32.44,159.48,112.38,8.66,28.96,62.67,287.38,29.76,169.93,2.8,19.44,05-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Mar-2020 - 00:00,11.19,4.15,18.18,0.84,32.79,126.47,92.76,9.32,27.86,59.22,321.32,30.39,151.33,1.85,38.89,06-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Mar-2020 - 00:00,14.6,7.53,49.37,0.91,26.5,128.33,90.65,10.01,21.13,61.75,266.65,30.43,161.68,1.5,12.6,07-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Mar-2020 - 00:00,13.73,5.43,29.17,0.81,30.05,29.58,32.96,12.64,27.41,51.37,320.35,30.2,167.31,1.85,26.67,08-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Mar-2020 - 00:00,16.5,3.53,40.82,0.87,35.46,49.81,48.31,10.59,35.41,115.41,344.19,29.8,177.09,2.11,26.94,09-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Mar-2020 - 00:00,18.29,4.76,50.1,1.13,40.31,36.4,42.7,12.41,30.36,75.71,305.42,30.34,178.24,3.63,24.72,10-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Mar-2020 - 00:00,0.68,0.19,0.04,1.33,27.21,36.35,35.97,12.9,20.37,74.75,228.12,30.4,164.05,2.97,10.0,11-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Mar-2020 - 00:00,4.32,0.97,3.3,0.87,27.72,44.61,41.1,11.3,22.87,40.48,333.45,29.9,151.91,3.05,11.54,12-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Mar-2020 - 00:00,13.65,1.84,9.95,0.84,30.5,39.72,39.69,11.66,23.52,59.37,252.75,29.06,173.38,2.96,30.08,13-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Mar-2020 - 00:00,11.71,3.73,21.9,0.35,33.46,23.41,30.49,10.52,26.73,103.79,317.35,29.22,165.93,5.46,29.49,14-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Mar-2020 - 00:00,16.44,2.94,20.67,0.72,48.11,36.06,46.62,8.91,37.14,128.61,360.92,31.12,160.99,5.07,44.18,15-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Mar-2020 - 00:00,24.25,2.03,58.53,1.33,74.02,85.18,88.46,7.32,31.69,146.64,311.84,32.38,132.89,2.68,44.77,16-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Mar-2020 - 00:00,26.69,5.69,107.98,0.96,65.64,85.28,85.07,8.48,37.34,140.0,287.72,34.09,158.82,3.93,43.07,17-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Mar-2020 - 00:00,25.79,2.87,80.11,1.45,75.87,104.66,100.76,7.51,34.56,162.85,300.4,33.95,153.61,8.37,30.6,18-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Mar-2020 - 00:00,24.83,2.74,105.98,1.14,64.51,90.15,87.57,7.84,33.16,130.18,282.82,34.34,162.58,5.31,37.5,19-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Mar-2020 - 00:00,20.12,3.52,51.86,0.81,47.39,48.58,53.77,10.38,32.36,128.38,330.91,32.98,163.97,3.4,29.79,20-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Mar-2020 - 00:00,7.17,0.29,2.47,1.08,43.53,68.87,63.77,10.12,25.97,89.88,289.07,31.71,161.85,4.75,47.08,21-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Mar-2020 - 00:00,5.53,1.29,5.5,0.9,27.97,48.59,43.56,11.48,24.67,53.91,300.45,31.36,166.22,5.68,34.25,22-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Mar-2020 - 00:00,3.26,0.88,2.18,0.49,11.89,11.81,13.27,13.98,21.61,36.88,316.07,33.47,174.58,2.87,9.84,23-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Mar-2020 - 00:00,,,,0.72,14.9,8.6,12.77,14.29,27.91,47.74,301.29,34.9,179.33,3.49,11.07,24-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Mar-2020 - 00:00,,,,0.78,11.55,7.9,9.15,14.98,24.06,76.21,294.81,35.08,166.72,4.31,18.91,25-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Mar-2020 - 00:00,,,,0.85,15.06,4.25,10.37,20.06,20.14,86.33,282.06,34.8,127.89,4.27,14.82,26-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Mar-2020 - 00:00,4.71,4.74,2.83,0.77,12.68,4.73,8.65,15.7,18.88,41.96,221.49,33.55,138.22,2.89,9.49,27-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Mar-2020 - 00:00,4.99,4.96,3.0,0.77,4.17,3.03,4.61,6.9,26.52,50.32,280.58,33.46,176.24,2.57,2.25,28-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Mar-2020 - 00:00,5.02,5.02,3.0,0.67,7.79,3.78,6.99,8.09,36.07,54.32,288.49,32.29,155.92,3.02,5.35,29-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Mar-2020 - 00:00,5.03,5.0,3.0,0.67,10.1,3.83,7.97,6.67,43.74,44.5,293.28,32.64,161.65,2.37,8.98,30-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Mar-2020 - 00:00,5.0,5.01,2.99,0.98,17.69,6.89,13.97,5.07,38.14,55.38,267.08,31.94,162.34,2.96,8.38,31-Mar-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Mar-2020 - 00:00,4.99,5.02,3.0,1.12,14.1,7.3,12.29,5.67,31.35,20.82,291.23,30.21,174.13,4.49,8.15,01-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Apr-2020 - 00:00,5.03,4.96,3.01,0.79,8.95,7.23,9.04,5.41,29.32,31.53,320.51,29.8,173.31,4.02,5.47,02-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Apr-2020 - 00:00,5.0,4.97,2.99,0.79,11.52,6.57,10.43,4.99,30.88,41.15,310.73,30.33,165.66,3.25,5.25,03-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Apr-2020 - 00:00,4.99,5.0,3.0,0.66,9.32,5.2,9.23,5.27,29.6,36.89,303.94,30.97,174.32,4.34,3.2,04-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Apr-2020 - 00:00,5.02,5.02,3.01,0.92,13.47,6.96,13.69,5.07,28.23,41.35,319.79,30.83,171.12,4.57,3.59,05-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Apr-2020 - 00:00,6.17,5.04,3.0,0.23,12.49,6.19,12.71,5.17,28.87,41.43,311.41,30.42,169.81,1.86,2.27,06-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Apr-2020 - 00:00,6.19,5.02,3.0,0.06,14.51,7.67,14.66,5.4,20.7,26.98,298.89,29.57,146.12,7.7,1.66,07-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Apr-2020 - 00:00,6.25,5.0,3.0,0.53,14.59,12.38,17.53,5.57,14.73,27.27,296.13,28.82,162.25,2.26,1.7,08-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Apr-2020 - 00:00,6.2,4.99,3.0,0.43,14.82,18.19,21.13,5.16,14.56,25.62,313.23,28.3,160.75,3.39,1.8,09-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Apr-2020 - 00:00,6.22,5.01,2.99,0.81,12.62,16.07,18.71,5.76,14.79,31.66,305.49,28.33,170.55,2.14,1.92,10-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Apr-2020 - 00:00,6.18,4.99,3.0,0.96,8.44,8.45,11.93,6.04,19.02,30.47,311.36,30.33,172.4,2.41,1.82,11-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Apr-2020 - 00:00,6.2,4.98,3.0,0.48,10.84,6.89,12.28,6.45,19.32,42.94,299.43,31.71,164.65,1.8,1.95,12-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Apr-2020 - 00:00,6.22,4.98,3.0,0.98,15.61,8.52,15.74,6.58,71.17,33.73,292.12,31.28,155.13,3.75,1.77,13-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Apr-2020 - 00:00,6.21,5.01,3.0,0.82,10.07,9.37,13.37,7.17,129.39,28.0,292.05,31.1,160.19,3.2,1.35,14-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Apr-2020 - 00:00,6.2,4.99,3.0,0.83,11.55,9.8,14.41,7.06,11.96,35.5,296.32,31.93,139.47,2.82,1.35,15-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Apr-2020 - 00:00,6.21,4.99,3.01,1.02,10.87,9.37,13.77,6.05,12.77,31.96,286.6,31.07,151.43,3.61,0.96,16-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Apr-2020 - 00:00,6.17,5.02,3.0,0.94,13.08,10.68,15.73,5.32,15.83,27.8,293.6,30.67,154.85,4.97,1.33,17-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Apr-2020 - 00:00,6.25,4.98,2.99,1.71,14.55,18.91,21.42,5.68,9.64,18.67,296.46,29.11,146.29,5.78,1.91,18-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Apr-2020 - 00:00,6.2,5.03,3.01,0.69,,,,,77.68,170.96,363.23,33.58,185.4,4.2,,23-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Apr-2020 - 00:00,6.23,4.98,3.0,0.74,7.89,9.41,12.23,6.12,5.04,58.09,328.17,31.47,160.26,3.26,2.5,24-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Apr-2020 - 00:00,5.91,5.01,3.0,0.82,4.73,15.49,13.89,4.52,14.37,52.12,334.31,31.23,159.64,3.79,5.35,25-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Apr-2020 - 00:00,3.21,5.01,3.0,1.13,8.98,11.88,9.66,7.0,7.43,44.8,333.52,30.69,164.35,4.03,6.53,26-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Apr-2020 - 00:00,3.21,5.03,3.0,0.74,,1.83,0.68,0.08,7.94,57.2,330.49,29.87,169.35,2.86,5.9,27-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Apr-2020 - 00:00,3.19,5.01,3.0,0.91,,2.12,0.78,0.02,4.85,40.41,290.18,30.04,171.27,4.06,5.32,28-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Apr-2020 - 00:00,3.2,4.98,3.01,0.58,6.86,2.56,6.54,0.06,4.49,58.06,290.47,31.42,175.38,4.95,11.58,29-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Apr-2020 - 00:00,2.84,4.69,2.87,0.73,6.69,2.56,9.02,2.74,7.52,90.51,277.59,31.86,170.92,3.61,4.72,30-Apr-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Apr-2020 - 00:00,2.4,4.28,2.7,1.23,6.87,2.6,9.22,2.79,9.58,62.25,288.21,31.57,154.46,4.76,14.4,01-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-May-2020 - 00:00,2.39,4.27,2.71,0.88,7.08,3.03,9.54,2.7,18.95,46.95,306.75,31.46,180.4,4.74,9.84,02-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-May-2020 - 00:00,2.4,4.29,2.7,0.43,7.1,2.73,9.41,2.68,20.9,39.76,317.76,31.07,179.91,5.96,6.21,03-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
